composite_ID,UID,test,domain,TSVR_hours,ma_theta,ma_theta_se
A033_T3,A033,T3,What,72.6,-0.8190009421459953,0.00744446686703274
A033_T4,A033,T4,What,168.33,-1.0341943651963093,0.006038758822571965
A034_T1,A034,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A034_T2,A034,T2,What,26.08,-0.6763157167663001,0.0055881399740441255
A034_T3,A034,T3,What,74.28,-0.8256005206043409,0.0068115777433866405
A034_T4,A034,T4,What,145.38,-1.0179131874806238,0.009096366330547117
A035_T1,A035,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A035_T2,A035,T2,What,44.76,-0.7125040742762654,0.017306634404380915
A035_T3,A035,T3,What,79.98,-0.8476050731559853,0.00500291100201465
A035_T4,A035,T4,What,152.47,-1.0254321329117213,0.008448002327541379
A036_T1,A036,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A036_T2,A036,T2,What,21.63,-0.6794769600477156,0.008083110529170837
A036_T3,A036,T3,What,71.47,-0.8145393277960039,0.007887771753306913
A036_T4,A036,T4,What,143.85,-1.0159977150402129,0.00919384638943186
A037_T1,A037,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A037_T2,A037,T2,What,23.7,-0.6772221449283279,0.004212239819113976
A037_T3,A037,T3,What,72.08,-0.816949881274034,0.00764687952880021
A037_T4,A037,T4,What,143.66,-1.0157525862987795,0.009204877947622583
A038_T1,A038,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A038_T2,A038,T2,What,71.85,-0.8160415366528666,0.007737286324562116
A038_T3,A038,T3,What,72.86,-0.820025071169892,0.007344342764494514
A038_T4,A038,T4,What,152.89,-1.0258075364055672,0.008399759453010554
A039_T1,A039,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A039_T2,A039,T2,What,28.65,-0.6771727634178846,0.009208631243874986
A039_T3,A039,T3,What,98.84,-0.913996080566951,0.0053547051353008196
A039_T4,A039,T4,What,246.24,-0.921140321098641,0.04978714968912711
A040_T1,A040,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A040_T2,A040,T2,What,26.26,-0.6763161474356969,0.005837469504723835
A040_T3,A040,T3,What,71.28,-0.8137875630281161,0.00796351647621043
A040_T4,A040,T4,What,143.53,-1.015583942558406,0.00921228875342159
A041_T1,A041,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A041_T2,A041,T2,What,31.78,-0.6804623268026856,0.012779839344231343
A041_T3,A041,T3,What,75.74,-0.831298197162249,0.006292218349427861
A041_T4,A041,T4,What,141.84,-1.0133232559800442,0.009298463409919609
A042_T1,A042,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A042_T2,A042,T2,What,28.93,-0.6773717744716417,0.009576267067100895
A042_T3,A042,T3,What,72.17,-0.8173051327710178,0.007611646584650327
A042_T4,A042,T4,What,146.02,-1.018683579148595,0.009051046338341064
A043_T1,A043,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A043_T2,A043,T2,What,25.62,-0.6763574416327193,0.004986833418637927
A043_T3,A043,T3,What,64.94,-0.7885382717439005,0.01062109986910277
A043_T4,A043,T4,What,149.33,-1.0223775394313752,0.008774406676051217
A044_T1,A044,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A044_T2,A044,T2,What,47.66,-0.7222958655031625,0.016891536055784775
A044_T3,A044,T3,What,91.63,-0.8899827454344342,0.004195354688844991
A044_T4,A044,T4,What,155.27,-1.0277870974918348,0.008106703606603854
A045_T1,A045,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A045_T2,A045,T2,What,24.66,-0.6766476922387166,0.0040952934225272205
A045_T3,A045,T3,What,72.23,-0.8175419075021776,0.0075882036567324436
A045_T4,A045,T4,What,151.52,-1.0245541386087589,0.008553179968599148
A046_T1,A046,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A046_T2,A046,T2,What,24.32,-0.676818064716946,0.003992186517380277
A046_T3,A046,T3,What,73.05,-0.8207728600870914,0.007271652037308525
A046_T4,A046,T4,What,147.94,-1.0208855716698946,0.008899144323219591
A047_T1,A047,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A047_T2,A047,T2,What,23.46,-0.6774114493735591,0.0044425153283702695
A047_T3,A047,T3,What,76.85,-0.8356036417991554,0.005920063199947271
A047_T4,A047,T4,What,144.22,-1.0164704683145531,0.009171681736504171
A048_T1,A048,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A048_T2,A048,T2,What,23.91,-0.6770716367777251,0.004076076059619135
A048_T3,A048,T3,What,81.15,-0.8520330114462725,0.00472111349330627
A048_T4,A048,T4,What,146.3,-1.0190149031055893,0.009030380118238888
A049_T1,A049,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A049_T2,A049,T2,What,27.12,-0.6764452563673536,0.007070611588845647
A049_T3,A049,T3,What,111.38,-0.9510397945705863,0.007593867967973836
A049_T4,A049,T4,What,168.86,-1.0342958920998502,0.005947649690723344
A050_T1,A050,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A050_T2,A050,T2,What,24.73,-0.676617058115106,0.00413372181489903
A050_T3,A050,T3,What,93.39,-0.896014696821812,0.004420276550558083
A050_T4,A050,T4,What,148.69,-1.021701249018233,0.008833368030234651
A051_T1,A051,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A051_T2,A051,T2,What,17.16,-0.6893224729219174,0.02379922584483989
A051_T3,A051,T3,What,65.63,-0.7912940645541932,0.010324341116247526
A051_T4,A051,T4,What,146.99,-1.019816512552042,0.008977281377093953
A052_T1,A052,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A052_T2,A052,T2,What,31.76,-0.6804342729991025,0.01276082921143231
A052_T3,A052,T3,What,80.98,-0.8513917352232487,0.0047596965454056945
A052_T4,A052,T4,What,153.27,-1.026140446111891,0.00835520016824877
A053_T1,A053,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A053_T2,A053,T2,What,32.71,-0.6818589848888684,0.013611470525773125
A053_T3,A053,T3,What,78.28,-0.841113497967219,0.005474456747914957
A053_T4,A053,T4,What,148.9,-1.0219251618481264,0.00881430789605031
A054_T1,A054,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A054_T2,A054,T2,What,16.9,-0.6901012970643381,0.024934716736061884
A054_T3,A054,T3,What,72.83,-0.8199069515084738,0.00735585744258997
A054_T4,A054,T4,What,136.83,-1.0058763290313262,0.009442171416427723
A055_T1,A055,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A055_T2,A055,T2,What,23.24,-0.6776013138447862,0.004718434036641606
A055_T3,A055,T3,What,74.48,-0.826383212061202,0.006738613387612312
A055_T4,A055,T4,What,149.21,-1.0222521204856116,0.008785659733884683
A056_T1,A056,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A056_T2,A056,T2,What,33.61,-0.6833760599918899,0.01432174010940411
A056_T3,A056,T3,What,71.46,-0.8144997720052435,0.007891750136075765
A056_T4,A056,T4,What,147.84,-1.0207749270039155,0.008907642569952802
A057_T1,A057,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A057_T2,A057,T2,What,24.78,-0.6765960995219996,0.004164414518845761
A057_T3,A057,T3,What,73.83,-0.823837061297866,0.0069776965782331795
A057_T4,A057,T4,What,145.06,-1.0175211673068267,0.009118023510159166
A058_T1,A058,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A058_T2,A058,T2,What,22.96,-0.6778657488939545,0.005149454591515136
A058_T3,A058,T3,What,66.28,-0.7938899030889301,0.010045576753176636
A058_T4,A058,T4,What,143.48,-1.0155188796636567,0.009215109385227358
A059_T1,A059,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A059_T2,A059,T2,What,30.4,-0.6787316346158335,0.01135359607536764
A059_T3,A059,T3,What,79.78,-0.8468448364839354,0.005054745463809544
A059_T4,A059,T4,What,151.93,-1.0249379737718547,0.008508462110172076
A060_T1,A060,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A060_T2,A060,T2,What,24.87,-0.6765603065455595,0.00422610878910284
A060_T3,A060,T3,What,94.68,-0.9003675133350231,0.004616721780059869
A060_T4,A060,T4,What,143.91,-1.0160747909124292,0.009190313332281399
A061_T1,A061,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A061_T2,A061,T2,What,35.16,-0.6863445358466654,0.01534112721851732
A061_T3,A061,T3,What,82.55,-0.857285975331814,0.004436315970809527
A061_T4,A061,T4,What,146.56,-1.0193194422601908,0.009010734122996448
A062_T1,A062,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A062_T2,A062,T2,What,44.69,-0.7122760560234029,0.017312387410357646
A062_T3,A062,T3,What,92.72,-0.8937309869396735,0.0043279955361642235
A062_T4,A062,T4,What,149.18,-1.0222206658368302,0.008788458758713348
A063_T1,A063,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A063_T2,A063,T2,What,21.98,-0.6789954009563263,0.0071981711432386585
A063_T3,A063,T3,What,69.99,-0.8086728615584949,0.008485829616210928
A063_T4,A063,T4,What,141.09,-1.0122793519773123,0.009330638624398766
A064_T1,A064,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A064_T2,A064,T2,What,37.65,-0.6919616613551727,0.0164956844695074
A064_T3,A064,T3,What,82.99,-0.8589262691896928,0.004359599203866367
A064_T4,A064,T4,What,156.21,-1.028499803254934,0.007982026600008468
A065_T1,A065,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A065_T2,A065,T2,What,32.31,-0.6812364033268007,0.013266230055566068
A065_T3,A065,T3,What,106.41,-0.9371100284343775,0.006769117776477354
A065_T4,A065,T4,What,187.43,-1.030131899841372,0.005484623073156866
A066_T1,A066,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A066_T2,A066,T2,What,23.35,-0.6775044205434575,0.004573107312372016
A066_T3,A066,T3,What,73.79,-0.8236801516733984,0.0069925895282688996
A066_T4,A066,T4,What,164.93,-1.0332498563668147,0.006625435695471218
A067_T1,A067,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A067_T2,A067,T2,What,29.91,-0.6782209084193208,0.010790530790287588
A067_T3,A067,T3,What,73.19,-0.8213235239738235,0.007218355051197929
A067_T4,A067,T4,What,144.19,-1.016432363551534,0.009173512422664485
A068_T1,A068,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A068_T2,A068,T2,What,30.49,-0.6788315027806093,0.011453775322552104
A068_T3,A068,T3,What,82.98,-0.8588890475792499,0.004361271856035501
A068_T4,A068,T4,What,155.59,-1.028034113933208,0.008064813632313175
A069_T1,A069,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A069_T2,A069,T2,What,24.96,-0.6765269902069344,0.004295572037109233
A069_T3,A069,T3,What,79.75,-0.8467307190519876,0.005062608708001118
A069_T4,A069,T4,What,140.22,-1.0110371317117148,0.009363271598364774
A070_T1,A070,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A070_T2,A070,T2,What,24.25,-0.6768576127993302,0.003989687497218221
A070_T3,A070,T3,What,81.92,-0.8549284288817739,0.0045570147190056014
A070_T4,A070,T4,What,149.2,-1.022241640043284,0.008786593375335126
A071_T1,A071,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A071_T2,A071,T2,What,30.92,-0.6793341141080946,0.01191853565804225
A071_T3,A071,T3,What,79.96,-0.8475290923767536,0.005008048169246532
A071_T4,A071,T4,What,153.27,-1.026140446111891,0.00835520016824877
A072_T1,A072,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A072_T2,A072,T2,What,33.76,-0.6836440942080133,0.01443141251949011
A072_T3,A072,T3,What,83.54,-0.8609692692491926,0.004272785107600348
A072_T4,A072,T4,What,154.89,-1.0274878739428583,0.008155695906676842
A073_T1,A073,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A073_T2,A073,T2,What,66.66,-0.795407126785055,0.009883100046817
A073_T3,A073,T3,What,66.9,-0.7963651731210026,0.009780709162489479
A073_T4,A073,T4,What,140.12,-1.010892194552932,0.009366699190072185
A074_T1,A074,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A074_T2,A074,T2,What,29.33,-0.6776900485712172,0.01008581761791138
A074_T3,A074,T3,What,73.02,-0.8206548231043066,0.007283102238086831
A074_T4,A074,T4,What,147.21,-1.0200676512204343,0.008959703750745295
A075_T1,A075,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A075_T2,A075,T2,What,28.68,-0.6771931381327161,0.009248437877836397
A075_T3,A075,T3,What,71.37,-0.8141437157773155,0.007927596674627748
A075_T4,A075,T4,What,244.53,-0.9262939312912443,0.0477958457429064
A076_T1,A076,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A076_T2,A076,T2,What,27.3,-0.6764983471614333,0.007330158909876808
A076_T3,A076,T3,What,74.88,-0.8279465608891822,0.00659435581645441
A076_T4,A076,T4,What,149.28,-1.0223253592462542,0.008779106521349396
A077_T1,A077,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A077_T2,A077,T2,What,53.88,-0.7450593257606494,0.015128574692594902
A077_T3,A077,T3,What,78.36,-0.841420450641757,0.0054507703844062705
A077_T4,A077,T4,What,149.75,-1.022811470408116,0.008734304825242175
A078_T1,A078,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A078_T2,A078,T2,What,26.17,-0.676314763904126,0.005712096424159766
A078_T3,A078,T3,What,72.3,-0.8178180838771969,0.007560900265728315
A078_T4,A078,T4,What,140.08,-1.0108340953942339,0.009368051544167245
A079_T1,A079,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A079_T2,A079,T2,What,26.11,-0.6763151389329307,0.005629286587754419
A079_T3,A079,T3,What,74.0,-0.8245036424943523,0.0069146297963457995
A079_T4,A079,T4,What,194.42,-1.0247151134524393,0.007841803449160077
A080_T1,A080,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A080_T2,A080,T2,What,29.03,-0.677447622067876,0.00970541003152416
A080_T3,A080,T3,What,72.87,-0.820064441516862,0.007340506774459516
A080_T4,A080,T4,What,145.77,-1.0183848108151312,0.00906906727412164
A081_T1,A081,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A081_T2,A081,T2,What,31.39,-0.6799307325870205,0.012400427483769209
A081_T3,A081,T3,What,80.13,-0.8481746235502441,0.004964713923347021
A081_T4,A081,T4,What,154.53,-1.027198497493089,0.008201348729406303
A082_T1,A082,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A082_T2,A082,T2,What,27.97,-0.6767730209701294,0.008281517751959693
A082_T3,A082,T3,What,75.71,-0.831181506604226,0.006302564404216239
A082_T4,A082,T4,What,170.25,-1.0345036997774024,0.00571202515852694
A083_T1,A083,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A083_T2,A083,T2,What,25.15,-0.6764647463649749,0.00446499326064222
A083_T3,A083,T3,What,74.3,-0.8256788197509572,0.006804256842793263
A083_T4,A083,T4,What,144.91,-1.0173358417073626,0.00912794466809153
A084_T1,A084,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A084_T2,A084,T2,What,27.25,-0.6764827094037252,0.007258161858549787
A084_T3,A084,T3,What,91.97,-0.891156265537238,0.004234193472798598
A084_T4,A084,T4,What,162.51,-1.0322679291025865,0.007031766755452495
A085_T1,A085,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A085_T2,A085,T2,What,24.51,-0.6767184317730872,0.004031968696404266
A085_T3,A085,T3,What,71.4,-0.814262411972928,0.00791563963864681
A085_T4,A085,T4,What,170.65,-1.0345478285215368,0.005645526369712033
A086_T1,A086,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A086_T2,A086,T2,What,23.47,-0.6774031914228681,0.00443140023226278
A086_T3,A086,T3,What,145.29,-1.0178033916526459,0.009102525084121902
A086_T4,A086,T4,What,169.55,-1.0344096244097964,0.005829942332990536
A087_T1,A087,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A087_T2,A087,T2,What,31.07,-0.6795192230198405,0.012075280088600595
A087_T3,A087,T3,What,72.8,-0.8197888189497503,0.007367382150901941
A087_T4,A087,T4,What,144.2,-1.016445069582056,0.009172902851454725
A088_T1,A088,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A088_T2,A088,T2,What,24.25,-0.6768576127993302,0.003989687497218221
A088_T3,A088,T3,What,74.91,-0.8280637007478441,0.006583628697606288
A088_T4,A088,T4,What,149.93,-1.022995043204449,0.008716778240366064
A089_T1,A089,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A089_T2,A089,T2,What,32.14,-0.6809817286485392,0.0131138454801909
A089_T3,A089,T3,What,79.34,-0.8451689938099286,0.005172326064903338
A089_T4,A089,T4,What,146.96,-1.0197820997800664,0.00897965410599579
A090_T1,A090,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A090_T2,A090,T2,What,23.54,-0.67734628898418,0.004357222849669433
A090_T3,A090,T3,What,95.42,-0.9028378562538928,0.004738502616158744
A090_T4,A090,T4,What,144.07,-1.016279544644178,0.009180775978750364
A091_T1,A091,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A091_T2,A091,T2,What,22.2,-0.67871388652379,0.006678136249313087
A091_T3,A091,T3,What,73.64,-0.8230915158875407,0.007048617518282859
A091_T4,A091,T4,What,142.61,-1.0143690066997058,0.009261545030209012
A092_T1,A092,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A092_T2,A092,T2,What,22.83,-0.6779972583530275,0.005376672077651318
A092_T3,A092,T3,What,71.31,-0.8139062912585344,0.007951535130425711
A092_T4,A092,T4,What,146.16,-1.0188496765203463,0.00904077693545978
A093_T1,A093,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A093_T2,A093,T2,What,22.09,-0.6788526075747336,0.006934422973712186
A093_T3,A093,T3,What,70.22,-0.8095860505696748,0.00839174404259538
A093_T4,A093,T4,What,140.95,-1.0120817233193538,0.009336230309544067
A094_T1,A094,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A094_T2,A094,T2,What,22.98,-0.6778460097401237,0.005115948543510644
A094_T3,A094,T3,What,76.21,-0.8331241348702535,0.006132057486351892
A094_T4,A094,T4,What,149.99,-1.0230559144733478,0.008710890820714327
A095_T1,A095,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A095_T2,A095,T2,What,29.71,-0.6780287132395372,0.01055217130849397
A095_T3,A095,T3,What,78.76,-0.8429530870675124,0.005334457901658851
A095_T4,A095,T4,What,148.79,-1.021808118431735,0.008824326749340982
A096_T1,A096,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A096_T2,A096,T2,What,24.49,-0.6767283903708564,0.004025588028992144
A096_T3,A096,T3,What,71.19,-0.8134313150107473,0.007999508542211695
A096_T4,A096,T4,What,143.66,-1.0157525862987795,0.009204877947622583
A097_T1,A097,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A097_T2,A097,T2,What,24.37,-0.6767907544888977,0.003998055189793872
A097_T3,A097,T3,What,70.83,-0.8120053955217549,0.008144179649875167
A097_T4,A097,T4,What,144.85,-1.0172614315612392,0.009131871868286005
A098_T1,A098,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A098_T2,A098,T2,What,25.77,-0.6763370200576768,0.005175669667663239
A098_T3,A098,T3,What,78.84,-0.8432591846743835,0.005311628026987352
A098_T4,A098,T4,What,146.29,-1.0190031300845792,0.009031126970932363
A099_T1,A099,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A099_T2,A099,T2,What,28.75,-0.6772415667276752,0.009340935092667821
A099_T3,A099,T3,What,78.57,-0.8422255290869785,0.005389261215979743
A099_T4,A099,T4,What,143.51,-1.0155579307282825,0.009213418985126016
A100_T1,A100,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A100_T2,A100,T2,What,31.14,-0.6796073163549063,0.012147479153923973
A100_T3,A100,T3,What,75.34,-0.8297409580172437,0.006431337948720892
A100_T4,A100,T4,What,146.8,-1.0195978897404474,0.008992210384363866
A101_T1,A101,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A101_T2,A101,T2,What,29.12,-0.6775180140240186,0.009820646262508587
A101_T3,A101,T3,What,75.21,-0.8292342278179998,0.00647708664552946
A101_T4,A101,T4,What,150.22,-1.0232877737431805,0.008688113305931732
A102_T1,A102,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A102_T2,A102,T2,What,29.13,-0.6775259594058625,0.009833391770926098
A102_T3,A102,T3,What,75.27,-0.8294681410831404,0.0064559398776991754
A102_T4,A102,T4,What,150.41,-1.0234775383616104,0.008669047470692958
A103_T1,A103,T1,What,1.0,-0.4701891222835711,0.004339745445694174
A103_T2,A103,T2,What,27.26,-0.6764857822959439,0.007272568367268941
A103_T3,A103,T3,What,80.24,-0.8485919497751409,0.004937078205583343
A103_T4,A103,T4,What,149.72,-1.0227807350858042,0.008737206115320995
A104_T1,A104,T1,What,1.0,-0.4701891222835711,0.004339745445694174
