item_name,Difficulty,Overall_Discrimination,Discrim_What,Discrim_Where,Discrim_When
TC_IRE-O-i4,0.9968118071556091,1.6797422,0.0,0.0,1.6797422
TC_IRE-O-i5,1.235595464706421,1.9058797,0.0,0.0,1.9058797
TC_IRE-O-i6,1.2723448276519775,2.4447026,0.0,0.0,2.4447026
TC_IRE-U-i1,-0.5444927215576172,1.5756203,0.0,1.5756203,0.0
TC_IRE-U-i2,-0.7300589680671692,1.308045,0.0,1.308045,0.0
TC_IRE-U-i3,-0.7021080851554871,1.5241134,0.0,1.5241134,0.0
TC_IRE-U-i4,-0.620815098285675,1.3294421,0.0,1.3294421,0.0
TC_IRE-U-i5,-0.34036532044410706,1.5172423,0.0,1.5172423,0.0
TC_IRE-U-i6,-0.3980354070663452,1.2708081,0.0,1.2708081,0.0
TC_RFR-L-DOOR,0.1343155801296234,1.3346566,0.0,1.3346566,0.0
TC_RFR-L-LAND,0.2923237383365631,1.5160038,0.0,1.5160038,0.0
TC_RFR-L-OBJ1,-1.691010594367981,1.5136087,0.0,1.5136087,0.0
TC_RFR-L-OBJ2,-1.490612268447876,1.7692974,0.0,1.7692974,0.0
TC_RFR-L-OBJ3,-1.2630608081817627,1.7205772,0.0,1.7205772,0.0
TC_RFR-L-OBJ4,-1.0350143909454346,1.7196923,0.0,1.7196923,0.0
TC_RFR-L-PORT,-0.05844387412071228,1.560822,0.0,1.560822,0.0
TC_RFR-L-STRA,-1.1504504680633545,1.3460382,0.0,1.3460382,0.0
TC_RFR-L-WIND,-0.22603967785835266,1.5974357,0.0,1.5974357,0.0
TC_RFR-N-LAND,-0.26584574580192566,1.1815703,1.1815703,0.0,0.0
TC_RFR-N-OBJ1,-1.1966290473937988,2.1659677,2.1659677,0.0,0.0
TC_RFR-N-OBJ2,-1.0208353996276855,1.8891392,1.8891392,0.0,0.0
TC_RFR-N-OBJ3,-0.6782721281051636,1.4773896,1.4773896,0.0,0.0
TC_RFR-N-OBJ4,-0.8637434244155884,1.8185395,1.8185395,0.0,0.0
TC_RFR-N-PORT,-0.6925629377365112,1.635789,1.635789,0.0,0.0
TC_RFR-N-STRA,-0.9320845007896423,1.4913872,1.4913872,0.0,0.0
TC_RFR-N-WEAT,-0.4728275239467621,1.2033305,1.2033305,0.0,0.0
TC_RFR-O-RORD,-2.5039851665496826,0.8019388,0.0,0.0,0.8019388
TC_RFR-O-TMOD,-0.5097044110298157,0.97548497,0.0,0.0,0.97548497
TC_RRE-L-DOOR,0.22362472116947174,1.7521468,0.0,1.7521468,0.0
TC_RRE-L-LAND,0.550416111946106,1.6689935,0.0,1.6689935,0.0
TC_RRE-L-PORT,-0.10295370221138,1.5811952,0.0,1.5811952,0.0
TC_RRE-L-STRA,-1.470223069190979,1.3487556,0.0,1.3487556,0.0
TC_RRE-L-WIND,0.07912540435791016,1.779563,0.0,1.779563,0.0
TC_RRE-N-LAND,-0.6345651745796204,1.4258779,1.4258779,0.0,0.0
TC_RRE-N-PORT,-1.135485291481018,1.6476425,1.6476425,0.0,0.0
TC_RRE-N-STRA,-1.9943591356277466,1.1219966,1.1219966,0.0,0.0
TC_TCR-O-TSK1,0.44980141520500183,1.1227286,0.0,0.0,1.1227286
TC_TCR-O-TSK2,0.7208642959594727,1.3101432,0.0,0.0,1.3101432
TC_TCR-O-TSK3,0.8025348782539368,1.2996356,0.0,0.0,1.2996356
TC_TCR-O-TSK4,0.8330810070037842,1.3940767,0.0,0.0,1.3940767
TC_TCR-O-TSK5,0.4971141219139099,0.91638327,0.0,0.0,0.91638327
