composite_ID,theta_What,theta_Where,theta_When
A078_T1,-1.0185794,-0.9550609,-1.2669076
A078_T2,-0.9904335,-0.99789536,-0.927811
A078_T3,-1.0203165,-1.1255918,-1.2464578
A078_T4,-1.7117021,-1.4358822,-1.5400054
A079_T1,-0.71846724,-0.5103471,-0.4691084
A079_T2,-0.4687813,-0.40154326,-0.7961562
A079_T3,-0.7912571,-0.8309282,-1.03497
A079_T4,-1.1430237,-0.89567983,-1.0043411
A080_T1,-0.3331419,-0.27479762,-0.12884285
A080_T2,-0.52528346,-0.36208493,-0.022534352
A080_T3,-0.8356168,-0.54912174,-1.004014
A080_T4,-1.1089727,-0.8352316,-0.9994529
A081_T1,-0.32426777,-0.5029323,0.074385546
A081_T2,-0.46589303,-0.8535191,-0.18059202
A081_T3,-0.40189904,-0.7832085,-0.24266918
A081_T4,-0.7679094,-0.5388373,-1.2665
A082_T1,-0.3075968,-0.48643523,-0.45682576
A082_T2,-0.5080273,-0.4182891,-0.48238644
A082_T3,-0.69216347,-0.62079847,-0.9142716
A082_T4,-1.0564356,-0.9672931,-1.1665477
A083_T1,-0.10635004,-0.09583326,0.012034494
A083_T2,-0.6589626,-0.41169494,-1.0398843
A083_T3,-0.7292993,-0.4612502,-0.6107135
A083_T4,-0.6611885,-0.7098516,-0.5430397
A084_T1,-1.6331187,-1.2836237,-1.7699771
A084_T2,-1.7653933,-1.2449703,-1.7262349
A084_T3,-1.3211712,-1.1464479,-0.89445883
A084_T4,-1.9710993,-1.4459121,-1.4943849
A085_T1,-0.16988859,-0.4113594,0.06696249
A085_T2,-0.06407394,-0.079419106,-0.38596627
A085_T3,-0.29939044,-0.29603952,-0.109423846
A085_T4,-0.9037909,-0.50886494,-0.44603387
A086_T1,-0.42006263,-0.22390528,0.19050074
A086_T2,-0.17667152,-0.34955737,-0.13576607
A086_T3,-0.756651,-0.8755129,-0.97178423
A086_T4,-0.81732196,-1.047874,-0.7664863
A087_T1,0.04956661,-0.14499468,0.030974811
A087_T2,-0.28434318,-0.29225552,-0.5095214
A087_T3,-0.3399625,-0.54559875,-0.5164867
A087_T4,-0.31418985,-0.36088088,-0.81772345
A088_T1,-0.48985383,-0.35632056,-0.02518704
A088_T2,-0.3874051,-0.13363272,-0.6045346
A088_T3,-0.47999272,-0.53788346,-0.16763243
A088_T4,-0.21584226,-0.45594898,-0.25859597
A089_T1,-0.24243428,-0.26589176,0.24967499
A089_T2,-0.2085569,-0.35867476,-0.37181965
A089_T3,-0.5054164,-0.75181556,-0.620811
A089_T4,-0.49625972,-0.78483397,-0.40111136
