UID,location,random_intercept,random_slope
A088,Source,0.6831359205574751,0.07368949781298248
A089,Source,0.28325435622744394,0.028533467323079296
A090,Source,-0.24438802831291428,-0.02418653702705025
A091,Source,-0.22525679149614497,-0.028532860687016735
A092,Source,-0.2588905534272397,-0.02734777105522085
A093,Source,0.17148108837238749,0.021776908971730083
A094,Source,-0.3836100282431448,-0.03456068866771527
A095,Source,0.14555941378432646,0.011888511539773883
A096,Source,-0.46578810151942995,-0.051875691467464784
A097,Source,-0.07877088455549952,-0.006568686756282204
A098,Source,0.13546464875533865,0.013678183477249806
A099,Source,0.44376487893847755,0.052914044488382446
A100,Source,0.23141905670277524,0.03071050251211603
A101,Source,-0.4246408829651351,-0.04313356534367892
A102,Source,0.07782334804669401,0.0146994191808512
A103,Source,-0.17952786351153016,-0.026807306406599167
A104,Source,0.029218155941882977,-0.007100774157202966
A105,Source,-0.043645916559512755,-0.006281702628146988
A106,Source,0.11375440798596775,0.013801463226563875
A107,Source,-0.500375679926033,-0.046256866521779
A108,Source,-0.3467655043142854,-0.031610557425755186
A109,Source,-0.31785498146964386,-0.032690573998061655
A010,Destination,0.6284347280567423,-0.11380963523203817
A011,Destination,0.19736997933351966,-0.05266905331733702
A012,Destination,-0.26077946317020795,0.01875809408276359
A013,Destination,-0.10353196312221236,0.03698017076985359
A014,Destination,0.03672639926627512,-0.015342426880483387
A015,Destination,0.4703702222314722,-0.056647464267705665
A016,Destination,0.607623691276522,-0.10188672011066326
A017,Destination,-0.13007833595796814,0.019177010952462985
A018,Destination,0.4022198495264893,-0.0742755341790334
A019,Destination,-0.566926920851663,0.0758528818076073
A020,Destination,-0.3382786302095804,0.03226992532378459
A021,Destination,0.0577456352117055,-0.028744288918188633
A022,Destination,-0.40025234503837986,0.059969664281574145
A023,Destination,-0.020271202900650598,0.026718340489372952
A024,Destination,-0.37215080276719864,0.039657882562466704
A025,Destination,0.11865650170036707,-0.001742974082689738
A026,Destination,0.40419037242394057,-0.04494386463205788
A027,Destination,0.2408623268635543,-0.015432492947020702
A028,Destination,0.48744773141672443,-0.07165291750915675
A029,Destination,0.7582212441168347,-0.07133141977557615
A030,Destination,0.02514348488125341,0.04270252469383308
A031,Destination,0.212941755305453,-0.06053258834431905
A032,Destination,-0.2346312366065217,0.08411391237430658
A033,Destination,-0.470524871557084,0.055233623931669515
A034,Destination,0.4834847998949367,-0.09061706831069041
A035,Destination,-0.07927537883544278,-0.0035273879828116206
A036,Destination,0.04839082541236336,-0.04390949163881241
A037,Destination,-0.09418516515660819,0.027137432168291665
A038,Destination,0.28678168068073107,-0.03603509283092304
A039,Destination,0.8426416889909238,-0.059205395602560426
A040,Destination,-0.4880529548709177,0.055370420014810504
A041,Destination,-0.06145343946199898,0.01902082906875654
A042,Destination,-0.5441470948238624,0.08562652486660323
A043,Destination,0.1451050697634421,-0.010589285531882193
A044,Destination,0.15033104603894107,-0.05985151968483611
A045,Destination,-0.28389127654283314,0.01600993091590918
A046,Destination,-0.7833331586766245,0.08075217265043859
A047,Destination,-0.4529102610078685,0.08735146287965036
A048,Destination,0.4885120479625502,-0.06253192306800698
A049,Destination,0.1853203911166472,0.01907389582007381
A050,Destination,-0.4323309624882558,0.0903681462530173
A051,Destination,0.49759779350198535,-0.07153835645588826
A052,Destination,-0.1584146696266758,0.04429785981253984
A053,Destination,0.20301745842340557,-0.02778153684970748
A054,Destination,0.014461121568711441,0.005410379802695049
A055,Destination,-0.08942146136809061,0.050124234352555065
A056,Destination,-0.10163149724647486,-0.01935165509828382
A057,Destination,-0.6619629773408918,0.09386048613932031
A058,Destination,0.4545433361096084,-0.0795360164248672
A059,Destination,0.610812295216122,-0.06495722583084121
A060,Destination,-0.15136722169263223,0.023962445868767297
A061,Destination,0.9291777226459047,-0.08447628913005549
A062,Destination,0.21739472075541544,-0.034033920220433146
A063,Destination,0.017571301535610866,-0.025746739993295156
A064,Destination,0.023891517394763345,-0.007661364160120196
A065,Destination,-0.5724311651064001,0.07356703590135626
A066,Destination,-0.34915847997596966,0.013086228769707078
