composite_ID,UID,test,theta_confidence,se_confidence,TSVR_hours,Age,Age_c,Time,Time_recip,Time_log
A030_T2,A030,T2,0.64555764,0.07339282,32.95,31.0,-13.57,32.95,0.02945508100147275,3.5248888540047054
A030_T3,A030,T3,-0.12588719,0.07339282,71.93,31.0,-13.57,71.93,0.01371177841766077,4.289500076996142
A030_T4,A030,T4,-0.024427809,0.07339282,150.46,31.0,-13.57,150.46,0.006602403274792024,5.020321563685677
A031_T1,A031,T1,2.0878112,0.07339282,1.0,32.0,-12.57,1.0,0.5,0.6931471805599453
A031_T2,A031,T2,0.40126973,0.07339282,32.41,32.0,-12.57,32.41,0.0299311583358276,3.508855256368665
A031_T3,A031,T3,-0.27508643,0.07339282,71.56,32.0,-12.57,71.56,0.013781697905181918,4.2844138058068815
A031_T4,A031,T4,-0.800131,0.07339282,143.85,32.0,-12.57,143.85,0.0069036934760096655,4.975698724215359
A032_T1,A032,T1,0.3052368,0.07339282,1.0,33.0,-11.57,1.0,0.5,0.6931471805599453
A032_T2,A032,T2,-0.49530542,0.07339282,57.18,33.0,-11.57,57.18,0.017188037126160193,4.063541653067055
A032_T3,A032,T3,-0.23620081,0.07339282,80.16,33.0,-11.57,80.16,0.01232134056185313,4.396422514957614
A032_T4,A032,T4,0.30469647,0.07339282,144.51,33.0,-11.57,144.51,0.0068723799051611575,4.980244812772187
A033_T1,A033,T1,0.77137077,0.07339282,1.0,32.0,-12.57,1.0,0.5,0.6931471805599453
A033_T2,A033,T2,0.4549792,0.07339282,29.16,32.0,-12.57,29.16,0.033156498673740056,3.4065165431397553
A033_T3,A033,T3,0.41117167,0.07339282,72.6,32.0,-12.57,72.6,0.013586956521739132,4.298645025734831
A033_T4,A033,T4,-0.64959884,0.07339282,168.33,32.0,-12.57,168.33,0.005905628063544557,5.131849473677249
A034_T1,A034,T1,2.0106363,0.07339282,1.0,33.0,-11.57,1.0,0.5,0.6931471805599453
A034_T2,A034,T2,1.7898816,0.07339282,26.08,33.0,-11.57,26.08,0.03692762186115214,3.298795448044074
A034_T3,A034,T3,1.2632637,0.07339282,74.28,33.0,-11.57,74.28,0.013283740701381509,4.3212144952771245
