composite_ID,UID,test,theta_confidence,se_confidence,TSVR_hours,Age
A018_T4,A018,T4,-1.4447218,0.07339282,150.87,23.0
A019_T1,A019,T1,-0.13678566,0.07339282,1.0,20.0
A019_T2,A019,T2,-0.41609767,0.07339282,28.69,20.0
A019_T3,A019,T3,-0.15715945,0.07339282,83.68,20.0
A019_T4,A019,T4,-0.49642876,0.07339282,154.76,20.0
A020_T1,A020,T1,0.4385481,0.07339282,1.0,26.0
A020_T2,A020,T2,0.025535457,0.07339282,26.85,26.0
A020_T3,A020,T3,-0.6426598,0.07339282,78.25,26.0
A020_T4,A020,T4,-1.0779264,0.07339282,145.78,26.0
A021_T1,A021,T1,1.2973111,0.07339282,1.0,28.0
A021_T2,A021,T2,0.85418165,0.07339282,30.21,28.0
A021_T3,A021,T3,0.71108764,0.07339282,74.19,28.0
A021_T4,A021,T4,0.59444976,0.07339282,140.39,28.0
A022_T1,A022,T1,-1.0273978,0.07339282,1.0,28.0
A022_T2,A022,T2,-1.6089394,0.07339282,24.15,28.0
A022_T3,A022,T3,-1.41758,0.07339282,74.46,28.0
A022_T4,A022,T4,-2.2419448,0.07339282,141.71,28.0
A023_T1,A023,T1,0.8757261,0.07339282,1.0,26.0
A023_T2,A023,T2,0.7151295,0.07339282,25.63,26.0
A023_T3,A023,T3,0.6461154,0.07339282,72.2,26.0
A023_T4,A023,T4,0.7143073,0.07339282,145.07,26.0
A024_T1,A024,T1,0.5364075,0.07339282,1.0,29.0
A024_T2,A024,T2,0.20124167,0.07339282,29.57,29.0
A024_T3,A024,T3,0.3713352,0.07339282,91.47,29.0
A024_T4,A024,T4,0.009039989,0.07339282,145.65,29.0
A025_T1,A025,T1,0.7685537,0.07339282,1.0,26.0
A025_T2,A025,T2,0.37906578,0.07339282,23.33,26.0
A025_T3,A025,T3,-0.37838924,0.07339282,72.94,26.0
A025_T4,A025,T4,-2.0631132,0.07339282,137.74,26.0
A026_T1,A026,T1,0.56117547,0.07339282,1.0,29.0
A026_T2,A026,T2,0.14260052,0.07339282,26.48,29.0
A026_T3,A026,T3,0.47051916,0.07339282,75.46,29.0
A026_T4,A026,T4,0.6031819,0.07339282,147.65,29.0
A027_T1,A027,T1,1.0715036,0.07339282,1.0,28.0
A027_T2,A027,T2,0.56911445,0.07339282,28.26,28.0
A027_T3,A027,T3,-0.28420392,0.07339282,74.58,28.0
A027_T4,A027,T4,-0.9887715,0.07339282,145.92,28.0
A028_T1,A028,T1,1.2547947,0.07339282,1.0,26.0
A028_T2,A028,T2,0.59293026,0.07339282,22.82,26.0
A028_T3,A028,T3,-0.35394546,0.07339282,72.26,26.0
A028_T4,A028,T4,-0.23738918,0.07339282,138.91,26.0
A029_T1,A029,T1,1.6053915,0.07339282,1.0,25.0
A029_T2,A029,T2,1.1294532,0.07339282,28.43,25.0
A029_T3,A029,T3,0.56202656,0.07339282,93.26,25.0
A029_T4,A029,T4,0.8559158,0.07339282,143.14,25.0
A030_T1,A030,T1,0.23597223,0.07339282,1.0,31.0
A030_T2,A030,T2,0.64555764,0.07339282,32.95,31.0
A030_T3,A030,T3,-0.12588719,0.07339282,71.93,31.0
A030_T4,A030,T4,-0.024427809,0.07339282,150.46,31.0
A031_T1,A031,T1,2.0878112,0.07339282,1.0,32.0
A031_T2,A031,T2,0.40126973,0.07339282,32.41,32.0
A031_T3,A031,T3,-0.27508643,0.07339282,71.56,32.0
A031_T4,A031,T4,-0.800131,0.07339282,143.85,32.0
A032_T1,A032,T1,0.3052368,0.07339282,1.0,33.0
A032_T2,A032,T2,-0.49530542,0.07339282,57.18,33.0
A032_T3,A032,T3,-0.23620081,0.07339282,80.16,33.0
A032_T4,A032,T4,0.30469647,0.07339282,144.51,33.0
A033_T1,A033,T1,0.77137077,0.07339282,1.0,32.0
A033_T2,A033,T2,0.4549792,0.07339282,29.16,32.0
A033_T3,A033,T3,0.41117167,0.07339282,72.6,32.0
A033_T4,A033,T4,-0.64959884,0.07339282,168.33,32.0
A034_T1,A034,T1,2.0106363,0.07339282,1.0,33.0
A034_T2,A034,T2,1.7898816,0.07339282,26.08,33.0
A034_T3,A034,T3,1.2632637,0.07339282,74.28,33.0
A034_T4,A034,T4,0.6997216,0.07339282,145.38,33.0
A035_T1,A035,T1,0.8264408,0.07339282,1.0,34.0
A035_T2,A035,T2,0.7271903,0.07339282,44.76,34.0
A035_T3,A035,T3,0.063205935,0.07339282,79.98,34.0
A035_T4,A035,T4,-0.33424705,0.07339282,152.47,34.0
A036_T1,A036,T1,-0.8724763,0.07339282,1.0,30.0
A036_T2,A036,T2,-1.4847412,0.07339282,21.63,30.0
A036_T3,A036,T3,-1.3907819,0.07339282,71.47,30.0
A036_T4,A036,T4,-1.6291748,0.07339282,143.85,30.0
A037_T1,A037,T1,0.981827,0.07339282,1.0,31.0
A037_T2,A037,T2,0.40132684,0.07339282,23.7,31.0
A037_T3,A037,T3,-0.5773718,0.07339282,72.08,31.0
A037_T4,A037,T4,-0.9496738,0.07339282,143.66,31.0
A038_T1,A038,T1,1.2398889,0.07339282,1.0,32.0
A038_T2,A038,T2,0.9916787,0.07339282,71.85,32.0
A038_T3,A038,T3,1.0252008,0.07339282,72.86,32.0
A038_T4,A038,T4,0.66296256,0.07339282,152.89,32.0
A039_T1,A039,T1,2.2039258,0.07339282,1.0,31.0
A039_T2,A039,T2,1.7605134,0.07339282,28.65,31.0
A039_T3,A039,T3,0.9264932,0.07339282,98.84,31.0
A039_T4,A039,T4,0.4581183,0.07339282,246.24,31.0
A040_T1,A040,T1,0.10722337,0.07339282,1.0,38.0
A040_T2,A040,T2,0.08675729,0.07339282,26.26,38.0
A040_T3,A040,T3,-1.4581342,0.07339282,71.28,38.0
A040_T4,A040,T4,-2.264335,0.07339282,143.53,38.0
A041_T1,A041,T1,1.1639924,0.07339282,1.0,35.0
A041_T2,A041,T2,-0.3599962,0.07339282,31.78,35.0
A041_T3,A041,T3,0.55802584,0.07339282,75.74,35.0
A041_T4,A041,T4,0.12782939,0.07339282,141.84,35.0
A042_T1,A042,T1,-0.26355729,0.07339282,1.0,38.0
A042_T2,A042,T2,-0.74814,0.07339282,28.93,38.0
A042_T3,A042,T3,-0.6204812,0.07339282,72.17,38.0
A042_T4,A042,T4,-1.0438489,0.07339282,146.02,38.0
A043_T1,A043,T1,2.2976968,0.07339282,1.0,38.0
A043_T2,A043,T2,1.9961102,0.07339282,25.62,38.0
A043_T3,A043,T3,1.3940244,0.07339282,64.94,38.0
A043_T4,A043,T4,0.8008104,0.07339282,149.33,38.0
A044_T1,A044,T1,-0.48998752,0.07339282,1.0,38.0
A044_T2,A044,T2,-0.78027636,0.07339282,47.66,38.0
A044_T3,A044,T3,-1.2760453,0.07339282,91.63,38.0
A044_T4,A044,T4,-1.6953964,0.07339282,155.27,38.0
A045_T1,A045,T1,-0.1593461,0.07339282,1.0,37.0
A045_T2,A045,T2,-0.27718532,0.07339282,24.66,37.0
A045_T3,A045,T3,-0.045916285,0.07339282,72.23,37.0
A045_T4,A045,T4,-1.021972,0.07339282,151.52,37.0
A046_T1,A046,T1,0.676205,0.07339282,1.0,38.0
A046_T2,A046,T2,-0.12228983,0.07339282,24.32,38.0
A046_T3,A046,T3,-0.17526035,0.07339282,73.05,38.0
A046_T4,A046,T4,-0.0935051,0.07339282,147.94,38.0
A047_T1,A047,T1,0.3895279,0.07339282,1.0,36.0
A047_T2,A047,T2,0.2769776,0.07339282,23.46,36.0
A047_T3,A047,T3,-0.20571186,0.07339282,76.85,36.0
A047_T4,A047,T4,-1.0360394,0.07339282,144.22,36.0
A048_T1,A048,T1,0.724293,0.07339282,1.0,38.0
A048_T2,A048,T2,0.52653074,0.07339282,23.91,38.0
A048_T3,A048,T3,-0.118984975,0.07339282,81.15,38.0
A048_T4,A048,T4,-0.5066172,0.07339282,146.3,38.0
A049_T1,A049,T1,1.5637307,0.07339282,1.0,35.0
A049_T2,A049,T2,-0.2571439,0.07339282,27.12,35.0
A049_T3,A049,T3,-0.15933253,0.07339282,111.38,35.0
A049_T4,A049,T4,-0.10835778,0.07339282,168.86,35.0
A050_T1,A050,T1,0.035831243,0.07339282,1.0,41.0
A050_T2,A050,T2,-0.56609553,0.07339282,24.73,41.0
A050_T3,A050,T3,-1.4636116,0.07339282,93.39,41.0
A050_T4,A050,T4,-1.8676877,0.07339282,148.69,41.0
A051_T1,A051,T1,1.7638129,0.07339282,1.0,41.0
A051_T2,A051,T2,1.4229454,0.07339282,17.16,41.0
A051_T3,A051,T3,0.2748946,0.07339282,65.63,41.0
A051_T4,A051,T4,0.112219095,0.07339282,146.99,41.0
A052_T1,A052,T1,1.0086244,0.07339282,1.0,43.0
A052_T2,A052,T2,0.23544133,0.07339282,31.76,43.0
A052_T3,A052,T3,-0.10714758,0.07339282,80.98,43.0
A052_T4,A052,T4,0.06826525,0.07339282,153.27,43.0
A053_T1,A053,T1,0.7935923,0.07339282,1.0,44.0
A053_T2,A053,T2,-0.35076645,0.07339282,32.71,44.0
A053_T3,A053,T3,-0.35888958,0.07339282,78.28,44.0
A053_T4,A053,T4,-0.38389128,0.07339282,148.9,44.0
A054_T1,A054,T1,1.6660749,0.07339282,1.0,43.0
A054_T2,A054,T2,0.7989242,0.07339282,16.9,43.0
A054_T3,A054,T3,0.90146124,0.07339282,72.83,43.0
A054_T4,A054,T4,0.721319,0.07339282,136.83,43.0
A055_T1,A055,T1,0.8933571,0.07339282,1.0,44.0
A055_T2,A055,T2,-0.30982408,0.07339282,23.24,44.0
A055_T3,A055,T3,-0.7091042,0.07339282,74.48,44.0
A055_T4,A055,T4,-0.52702236,0.07339282,149.21,44.0
A056_T1,A056,T1,0.35512546,0.07339282,1.0,42.0
A056_T2,A056,T2,-0.11481737,0.07339282,33.61,42.0
A056_T3,A056,T3,-0.09799757,0.07339282,71.46,42.0
A056_T4,A056,T4,-0.4329056,0.07339282,147.84,42.0
A057_T1,A057,T1,0.7148236,0.07339282,1.0,40.0
A057_T2,A057,T2,0.027630882,0.07339282,24.78,40.0
A057_T3,A057,T3,-0.79511607,0.07339282,73.83,40.0
A057_T4,A057,T4,-1.8122908,0.07339282,145.06,40.0
A058_T1,A058,T1,0.6129219,0.07339282,1.0,42.0
A058_T2,A058,T2,-1.2515614,0.07339282,22.96,42.0
A058_T3,A058,T3,-1.0903395,0.07339282,66.28,42.0
A058_T4,A058,T4,-1.8317188,0.07339282,143.48,42.0
A059_T1,A059,T1,0.35930577,0.07339282,1.0,43.0
A059_T2,A059,T2,-0.2759761,0.07339282,30.4,43.0
A059_T3,A059,T3,-0.64548576,0.07339282,79.78,43.0
A059_T4,A059,T4,-0.47585383,0.07339282,151.93,43.0
A060_T1,A060,T1,1.1899056,0.07339282,1.0,48.0
A060_T2,A060,T2,1.1297755,0.07339282,24.87,48.0
A060_T3,A060,T3,0.7342384,0.07339282,94.68,48.0
A060_T4,A060,T4,1.113592,0.07339282,143.91,48.0
A061_T1,A061,T1,3.035337,0.07339282,1.0,47.0
A061_T2,A061,T2,2.2201235,0.07339282,35.16,47.0
A061_T3,A061,T3,0.58240455,0.07339282,82.55,47.0
A061_T4,A061,T4,1.2262194,0.07339282,146.56,47.0
A062_T1,A062,T1,0.8056381,0.07339282,1.0,48.0
A062_T2,A062,T2,-0.1124377,0.07339282,44.69,48.0
A062_T3,A062,T3,-0.80934817,0.07339282,92.72,48.0
A062_T4,A062,T4,-1.309975,0.07339282,149.18,48.0
A063_T1,A063,T1,-0.22373737,0.07339282,1.0,45.0
A063_T2,A063,T2,-0.5303791,0.07339282,21.98,45.0
A063_T3,A063,T3,-1.2802118,0.07339282,69.99,45.0
A063_T4,A063,T4,-1.7153044,0.07339282,141.09,45.0
A064_T1,A064,T1,0.97024375,0.07339282,1.0,47.0
A064_T2,A064,T2,0.085474685,0.07339282,37.65,47.0
A064_T3,A064,T3,0.11236071,0.07339282,82.99,47.0
A064_T4,A064,T4,-0.03018738,0.07339282,156.21,47.0
A065_T1,A065,T1,-0.13690929,0.07339282,1.0,47.0
A065_T2,A065,T2,-1.1207016,0.07339282,32.31,47.0
A065_T3,A065,T3,-1.3502693,0.07339282,106.41,47.0
A065_T4,A065,T4,-1.8451918,0.07339282,187.43,47.0
A066_T1,A066,T1,0.46811906,0.07339282,1.0,47.0
A066_T2,A066,T2,-0.1757307,0.07339282,23.35,47.0
A066_T3,A066,T3,-0.5405086,0.07339282,73.79,47.0
A066_T4,A066,T4,-1.2039877,0.07339282,164.93,47.0
A067_T1,A067,T1,0.24262358,0.07339282,1.0,48.0
A067_T2,A067,T2,-1.4350314,0.07339282,29.91,48.0
A067_T3,A067,T3,-1.9365375,0.07339282,73.19,48.0
A067_T4,A067,T4,-1.7372146,0.07339282,144.19,48.0
A068_T1,A068,T1,2.2656133,0.07339282,1.0,49.0
A068_T2,A068,T2,1.3492081,0.07339282,30.49,49.0
A068_T3,A068,T3,0.6539339,0.07339282,82.98,49.0
A068_T4,A068,T4,0.16218548,0.07339282,155.59,49.0
A069_T1,A069,T1,0.25422466,0.07339282,1.0,46.0
A069_T2,A069,T2,-1.0452298,0.07339282,24.96,46.0
A069_T3,A069,T3,-1.6103827,0.07339282,79.75,46.0
A069_T4,A069,T4,-1.5714215,0.07339282,140.22,46.0
A070_T1,A070,T1,0.26595566,0.07339282,1.0,52.0
A070_T2,A070,T2,-0.2891156,0.07339282,24.25,52.0
A070_T3,A070,T3,-1.5362434,0.07339282,81.92,52.0
A070_T4,A070,T4,-2.3315032,0.07339282,149.2,52.0
A071_T1,A071,T1,1.4062483,0.07339282,1.0,50.0
A071_T2,A071,T2,0.008745952,0.07339282,30.92,50.0
A071_T3,A071,T3,-0.64396226,0.07339282,79.96,50.0
A071_T4,A071,T4,-0.40711495,0.07339282,153.27,50.0
A072_T1,A072,T1,1.1476082,0.07339282,1.0,50.0
A072_T2,A072,T2,0.8802795,0.07339282,33.76,50.0
A072_T3,A072,T3,0.34604254,0.07339282,83.54,50.0
A072_T4,A072,T4,-0.07694118,0.07339282,154.89,50.0
A073_T1,A073,T1,0.005702734,0.07339282,1.0,51.0
A073_T2,A073,T2,-0.51583505,0.07339282,66.66,51.0
A073_T3,A073,T3,0.010290367,0.07339282,66.9,51.0
A073_T4,A073,T4,-0.37375993,0.07339282,140.12,51.0
A074_T1,A074,T1,0.4057072,0.07339282,1.0,53.0
A074_T2,A074,T2,-0.26989007,0.07339282,29.33,53.0
A074_T3,A074,T3,-1.2212816,0.07339282,73.02,53.0
A074_T4,A074,T4,-0.7347055,0.07339282,147.21,53.0
A075_T1,A075,T1,0.21868351,0.07339282,1.0,53.0
A075_T2,A075,T2,-0.06407137,0.07339282,28.68,53.0
A075_T3,A075,T3,-1.966908,0.07339282,71.37,53.0
A075_T4,A075,T4,-0.76381415,0.07339282,244.53,53.0
A076_T1,A076,T1,-0.25764796,0.07339282,1.0,54.0
A076_T2,A076,T2,-0.64143974,0.07339282,27.3,54.0
A076_T3,A076,T3,-0.8713531,0.07339282,74.88,54.0
A076_T4,A076,T4,-2.0592318,0.07339282,149.28,54.0
A077_T1,A077,T1,1.0828195,0.07339282,1.0,52.0
A077_T2,A077,T2,-0.061775867,0.07339282,53.88,52.0
A077_T3,A077,T3,-0.057523195,0.07339282,78.36,52.0
A077_T4,A077,T4,0.02102494,0.07339282,149.75,52.0
A078_T1,A078,T1,-0.9361496,0.07339282,1.0,50.0
A078_T2,A078,T2,-0.96595,0.07339282,26.17,50.0
A078_T3,A078,T3,-1.7301757,0.07339282,72.3,50.0
A078_T4,A078,T4,-1.7319458,0.07339282,140.08,50.0
A079_T1,A079,T1,0.3822094,0.07339282,1.0,50.0
A079_T2,A079,T2,0.10216686,0.07339282,26.11,50.0
A079_T3,A079,T3,-0.4006794,0.07339282,74.0,50.0
A079_T4,A079,T4,-0.75433517,0.07339282,194.42,50.0
A080_T1,A080,T1,1.1243324,0.07339282,1.0,56.0
A080_T2,A080,T2,0.6892572,0.07339282,29.03,56.0
A080_T3,A080,T3,0.62320197,0.07339282,72.87,56.0
A080_T4,A080,T4,-0.8472369,0.07339282,145.77,56.0
A081_T1,A081,T1,1.2758523,0.07339282,1.0,55.0
A081_T2,A081,T2,0.6858867,0.07339282,31.39,55.0
A081_T3,A081,T3,0.8307492,0.07339282,80.13,55.0
A081_T4,A081,T4,0.7054321,0.07339282,154.53,55.0
A082_T1,A082,T1,0.1739859,0.07339282,1.0,58.0
A082_T2,A082,T2,-0.04442855,0.07339282,27.97,58.0
A082_T3,A082,T3,-0.4148056,0.07339282,75.71,58.0
A082_T4,A082,T4,-0.8596984,0.07339282,170.25,58.0
A083_T1,A083,T1,1.2734162,0.07339282,1.0,58.0
A083_T2,A083,T2,0.3070551,0.07339282,25.15,58.0
A083_T3,A083,T3,0.6661916,0.07339282,74.3,58.0
A083_T4,A083,T4,0.5780402,0.07339282,144.91,58.0
A084_T1,A084,T1,-0.42285675,0.07339282,1.0,59.0
A084_T2,A084,T2,-1.4664562,0.07339282,27.25,59.0
A084_T3,A084,T3,-1.013821,0.07339282,91.97,59.0
A084_T4,A084,T4,-1.0321283,0.07339282,162.51,59.0
A085_T1,A085,T1,0.8677166,0.07339282,1.0,58.0
A085_T2,A085,T2,1.0242546,0.07339282,24.51,58.0
A085_T3,A085,T3,0.7863214,0.07339282,71.4,58.0
A085_T4,A085,T4,-0.55458117,0.07339282,170.65,58.0
A086_T1,A086,T1,1.277961,0.07339282,1.0,58.0
A086_T2,A086,T2,1.1118082,0.07339282,23.47,58.0
A086_T3,A086,T3,-0.3442445,0.07339282,145.29,58.0
A086_T4,A086,T4,-0.2083888,0.07339282,169.55,58.0
A087_T1,A087,T1,1.4973053,0.07339282,1.0,59.0
A087_T2,A087,T2,0.72297037,0.07339282,31.07,59.0
A087_T3,A087,T3,0.12718847,0.07339282,72.8,59.0
A087_T4,A087,T4,0.21799015,0.07339282,144.2,59.0
A088_T1,A088,T1,0.25304648,0.07339282,1.0,56.0
A088_T2,A088,T2,0.75527453,0.07339282,24.25,56.0
A088_T3,A088,T3,0.05704416,0.07339282,74.91,56.0
A088_T4,A088,T4,0.31973332,0.07339282,149.93,56.0
A089_T1,A089,T1,1.3327537,0.07339282,1.0,56.0
A089_T2,A089,T2,0.91714174,0.07339282,32.14,56.0
A089_T3,A089,T3,0.1780254,0.07339282,79.34,56.0
A089_T4,A089,T4,-0.008746256,0.07339282,146.96,56.0
A090_T1,A090,T1,-0.65424925,0.07339282,1.0,61.0
A090_T2,A090,T2,-0.8496225,0.07339282,23.54,61.0
A090_T3,A090,T3,-1.6408993,0.07339282,95.42,61.0
A090_T4,A090,T4,-1.4168081,0.07339282,144.07,61.0
A091_T1,A091,T1,0.9867957,0.07339282,1.0,63.0
A091_T2,A091,T2,0.32842198,0.07339282,22.2,63.0
A091_T3,A091,T3,-0.17302956,0.07339282,73.64,63.0
A091_T4,A091,T4,-0.13599955,0.07339282,142.61,63.0
A092_T1,A092,T1,0.22590114,0.07339282,1.0,60.0
A092_T2,A092,T2,0.14786519,0.07339282,22.83,60.0
A092_T3,A092,T3,-0.3949276,0.07339282,71.31,60.0
A092_T4,A092,T4,-0.5185454,0.07339282,146.16,60.0
A093_T1,A093,T1,1.615065,0.07339282,1.0,64.0
A093_T2,A093,T2,0.5044622,0.07339282,22.09,64.0
A093_T3,A093,T3,0.049923185,0.07339282,70.22,64.0
A093_T4,A093,T4,-0.3427646,0.07339282,140.95,64.0
A094_T1,A094,T1,-0.15748604,0.07339282,1.0,60.0
A094_T2,A094,T2,-0.38972417,0.07339282,22.98,60.0
A094_T3,A094,T3,-1.3148012,0.07339282,76.21,60.0
A094_T4,A094,T4,-1.2071853,0.07339282,149.99,60.0
A095_T1,A095,T1,1.0626495,0.07339282,1.0,61.0
A095_T2,A095,T2,-0.13491769,0.07339282,29.71,61.0
A095_T3,A095,T3,-0.06304094,0.07339282,78.76,61.0
A095_T4,A095,T4,-0.4148814,0.07339282,148.79,61.0
A096_T1,A096,T1,1.2504172,0.07339282,1.0,60.0
A096_T2,A096,T2,0.58374166,0.07339282,24.49,60.0
A096_T3,A096,T3,0.73835707,0.07339282,71.19,60.0
A096_T4,A096,T4,0.8100288,0.07339282,143.66,60.0
A097_T1,A097,T1,-0.40680176,0.07339282,1.0,64.0
A097_T2,A097,T2,-0.94182014,0.07339282,24.37,64.0
A097_T3,A097,T3,-0.5738898,0.07339282,70.83,64.0
A097_T4,A097,T4,-1.1440835,0.07339282,144.85,64.0
A098_T1,A098,T1,0.7665425,0.07339282,1.0,60.0
A098_T2,A098,T2,0.114959404,0.07339282,25.77,60.0
A098_T3,A098,T3,0.95175016,0.07339282,78.84,60.0
A098_T4,A098,T4,0.45389512,0.07339282,146.29,60.0
A099_T1,A099,T1,1.5797538,0.07339282,1.0,63.0
A099_T2,A099,T2,1.2974577,0.07339282,28.75,63.0
A099_T3,A099,T3,0.8571293,0.07339282,78.57,63.0
A099_T4,A099,T4,1.3113091,0.07339282,143.51,63.0
A100_T1,A100,T1,0.9444509,0.07339282,1.0,66.0
A100_T2,A100,T2,0.846625,0.07339282,31.14,66.0
A100_T3,A100,T3,0.7006375,0.07339282,75.34,66.0
A100_T4,A100,T4,0.07112359,0.07339282,146.8,66.0
A101_T1,A101,T1,-0.32381263,0.07339282,1.0,69.0
A101_T2,A101,T2,-0.8049391,0.07339282,29.12,69.0
A101_T3,A101,T3,-2.0506682,0.07339282,75.21,69.0
A101_T4,A101,T4,-1.7474207,0.07339282,150.22,69.0
A102_T1,A102,T1,0.7623854,0.07339282,1.0,68.0
A102_T2,A102,T2,0.3141226,0.07339282,29.13,68.0
A102_T3,A102,T3,-0.36135077,0.07339282,75.27,68.0
A102_T4,A102,T4,-0.24279404,0.07339282,150.41,68.0
A103_T1,A103,T1,-1.8178651,0.07339282,1.0,68.0
A103_T2,A103,T2,-2.9925668,0.07339282,27.26,68.0
A103_T3,A103,T3,-2.6570177,0.07339282,80.24,68.0
A103_T4,A103,T4,-2.9122403,0.07339282,149.72,68.0
A104_T1,A104,T1,1.6208797,0.07339282,1.0,66.0
A104_T2,A104,T2,0.573565,0.07339282,22.6,66.0
A104_T3,A104,T3,-0.157371,0.07339282,72.62,66.0
A104_T4,A104,T4,-1.8637626,0.07339282,145.78,66.0
A105_T1,A105,T1,2.0030143,0.07339282,1.0,68.0
A105_T2,A105,T2,1.3873036,0.07339282,22.77,68.0
A105_T3,A105,T3,0.4621537,0.07339282,69.46,68.0
A105_T4,A105,T4,0.38215855,0.07339282,146.2,68.0
A106_T1,A106,T1,0.900686,0.07339282,1.0,66.0
A106_T2,A106,T2,0.14128786,0.07339282,22.64,66.0
A106_T3,A106,T3,0.43720695,0.07339282,66.08,66.0
A106_T4,A106,T4,-0.07177689,0.07339282,147.13,66.0
A107_T1,A107,T1,-1.6444446,0.07339282,1.0,70.0
A107_T2,A107,T2,-0.80871445,0.07339282,26.22,70.0
A107_T3,A107,T3,-1.256739,0.07339282,71.45,70.0
A107_T4,A107,T4,-1.820972,0.07339282,145.95,70.0
A108_T1,A108,T1,-0.31995967,0.07339282,1.0,69.0
A108_T2,A108,T2,-1.9271332,0.07339282,27.61,69.0
A108_T3,A108,T3,-0.52692664,0.07339282,68.96,69.0
A108_T4,A108,T4,-0.62428236,0.07339282,152.12,69.0
A109_T1,A109,T1,0.48572227,0.07339282,1.0,68.0
A109_T2,A109,T2,-0.036711782,0.07339282,24.65,68.0
A109_T3,A109,T3,0.40579683,0.07339282,71.17,68.0
A109_T4,A109,T4,0.20902646,0.07339282,149.87,68.0
