composite_ID,UID,test,TSVR_hours,log_TSVR,paradigm,theta
A044_T3,A044,T3,91.63,4.5286130632659365,IFR,-1.1602864
A044_T4,A044,T4,155.27,5.0515852804252095,IFR,-1.6527768
A045_T1,A045,T1,1.0,0.6931471805599453,IFR,-0.8908339
A045_T2,A045,T2,24.66,3.2449333591874905,IFR,-0.24345724
A045_T3,A045,T3,72.23,4.2936051730729785,IFR,0.001533542
A045_T4,A045,T4,151.52,5.027295734989363,IFR,-1.5910465
A046_T1,A046,T1,1.0,0.6931471805599453,IFR,0.45228595
A046_T2,A046,T2,24.32,3.2315945972759756,IFR,-0.2419213
A046_T3,A046,T3,73.05,4.304740540713808,IFR,0.27085888
A046_T4,A046,T4,147.94,5.003543540282499,IFR,0.53204423
A047_T1,A047,T1,1.0,0.6931471805599453,IFR,0.22207776
A047_T2,A047,T2,23.46,3.1970391302590264,IFR,0.41024467
A047_T3,A047,T3,76.85,4.354783898280007,IFR,-0.22017261
A047_T4,A047,T4,144.22,4.978249833952101,IFR,-0.95780337
A048_T1,A048,T1,1.0,0.6931471805599453,IFR,0.6095396
A048_T2,A048,T2,23.91,3.215269329274089,IFR,0.8507576
A048_T3,A048,T3,81.15,4.408546844483277,IFR,-0.030397754
A048_T4,A048,T4,146.3,4.9924713234685845,IFR,-0.16322981
A049_T1,A049,T1,1.0,0.6931471805599453,IFR,1.500568
A049_T2,A049,T2,27.12,3.336481066942464,IFR,-0.7632378
A049_T3,A049,T3,111.38,4.721885985684052,IFR,0.048425123
A049_T4,A049,T4,168.86,5.134974568351863,IFR,-0.18425566
A050_T1,A050,T1,1.0,0.6931471805599453,IFR,-0.050649323
A050_T2,A050,T2,24.73,3.2476576262936527,IFR,-0.5459121
A050_T3,A050,T3,93.39,4.547435135336853,IFR,-2.3131957
A050_T4,A050,T4,148.69,5.008566488927144,IFR,-2.4320745
A051_T1,A051,T1,1.0,0.6931471805599453,IFR,1.3480291
A051_T2,A051,T2,17.16,2.8992213731731473,IFR,1.2231305
A051_T3,A051,T3,65.63,4.199154926574446,IFR,-0.36823046
A051_T4,A051,T4,146.99,4.997144703913756,IFR,-0.6609453
A052_T1,A052,T1,1.0,0.6931471805599453,IFR,0.6669634
A052_T2,A052,T2,31.76,3.4892082589848687,IFR,0.31808516
A052_T3,A052,T3,80.98,4.406475315076191,IFR,-0.035309065
A052_T4,A052,T4,153.27,5.038704314023848,IFR,-0.19639316
A053_T1,A053,T1,1.0,0.6931471805599453,IFR,0.6536005
A053_T2,A053,T2,32.71,3.5177945292459696,IFR,-0.39780223
A053_T3,A053,T3,78.28,4.372985890021733,IFR,0.34928432
A053_T4,A053,T4,148.9,5.009968405108552,IFR,0.36064044
A054_T1,A054,T1,1.0,0.6931471805599453,IFR,1.8232684
A054_T2,A054,T2,16.9,2.884800712846709,IFR,0.5109033
A054_T3,A054,T3,72.83,4.3017651530710745,IFR,0.6350186
A054_T4,A054,T4,136.83,4.926021041706347,IFR,1.2063037
A055_T1,A055,T1,1.0,0.6931471805599453,IFR,0.024251683
A055_T2,A055,T2,23.24,3.1880041612011136,IFR,-0.9970529
A055_T3,A055,T3,74.48,4.32386772050035,IFR,-0.7205307
A055_T4,A055,T4,149.21,5.012034315009963,IFR,-0.16210052
A056_T1,A056,T1,1.0,0.6931471805599453,IFR,0.57660365
A056_T2,A056,T2,33.61,3.544142657647253,IFR,-0.18208218
A056_T3,A056,T3,71.46,4.283034685466931,IFR,-0.19482121
A056_T4,A056,T4,147.84,5.002871903478422,IFR,-0.8372754
A057_T1,A057,T1,1.0,0.6931471805599453,IFR,0.12487902
A057_T2,A057,T2,24.78,3.2495989975110415,IFR,0.60816133
A057_T3,A057,T3,73.83,4.315218874092267,IFR,-0.8551672
A057_T4,A057,T4,145.06,4.984017496191964,IFR,-2.1506314
A058_T1,A058,T1,1.0,0.6931471805599453,IFR,0.636781
A058_T2,A058,T2,22.96,3.1763857732472487,IFR,-0.8905038
A058_T3,A058,T3,66.28,4.208863015664693,IFR,-0.8070869
A058_T4,A058,T4,143.48,4.973141089668675,IFR,-1.5770576
A059_T1,A059,T1,1.0,0.6931471805599453,IFR,0.36479566
A059_T2,A059,T2,30.4,3.4468078929142076,IFR,-0.032276977
A059_T3,A059,T3,79.78,4.391729410135267,IFR,-0.09160779
A059_T4,A059,T4,151.93,5.029980300360032,IFR,-0.2156555
A060_T1,A060,T1,1.0,0.6931471805599453,IFR,1.1719497
A060_T2,A060,T2,24.87,3.2530839961979376,IFR,0.55717367
A060_T3,A060,T3,94.68,4.561009290202322,IFR,0.35518724
A060_T4,A060,T4,143.91,4.976112860057833,IFR,0.803442
A061_T1,A061,T1,1.0,0.6931471805599453,IFR,2.535371
A061_T2,A061,T2,35.16,3.5879535355239756,IFR,1.7377238
A061_T3,A061,T3,82.55,4.425445255041403,IFR,0.6848701
A061_T4,A061,T4,146.56,4.994234872728475,IFR,0.15847489
A062_T1,A062,T1,1.0,0.6931471805599453,IFR,0.8288939
A062_T2,A062,T2,44.69,3.8218794555751803,IFR,0.19230317
A062_T3,A062,T3,92.72,4.540311613639595,IFR,-1.5353802
A062_T4,A062,T4,149.18,5.011834574671738,IFR,-1.7473658
A063_T1,A063,T1,1.0,0.6931471805599453,IFR,0.29227573
A063_T2,A063,T2,21.98,3.1346242724206097,IFR,0.102089636
A063_T3,A063,T3,69.99,4.262539022051294,IFR,-0.4876853
A063_T4,A063,T4,141.09,4.956460659649984,IFR,-1.1810656
A064_T1,A064,T1,1.0,0.6931471805599453,IFR,1.1998582
A064_T2,A064,T2,37.65,3.654546775033431,IFR,0.22083387
A064_T3,A064,T3,82.99,4.430697744137536,IFR,0.3143954
A064_T4,A064,T4,156.21,5.057582491203423,IFR,0.31942117
A065_T1,A065,T1,1.0,0.6931471805599453,IFR,-0.24094032
A065_T2,A065,T2,32.31,3.5058576522055884,IFR,-0.43244684
A065_T3,A065,T3,106.41,4.676653287609955,IFR,-1.3589516
A065_T4,A065,T4,187.43,5.238726585134399,IFR,-1.171571
A066_T1,A066,T1,1.0,0.6931471805599453,IFR,0.6313859
A066_T2,A066,T2,23.35,3.192531849528599,IFR,0.20375974
A066_T3,A066,T3,73.79,4.314684186203576,IFR,0.13042615
A066_T4,A066,T4,164.93,5.111566012674697,IFR,-0.8513428
A067_T1,A067,T1,1.0,0.6931471805599453,IFR,0.5054463
A067_T2,A067,T2,29.91,3.431079756144025,IFR,-1.7999121
A067_T3,A067,T3,73.19,4.306629370201435,IFR,-1.3676322
A067_T4,A067,T4,144.19,4.978043229495596,IFR,-2.049072
A068_T1,A068,T1,1.0,0.6931471805599453,IFR,1.8079591
A068_T2,A068,T2,30.49,3.4496700351129332,IFR,0.9449378
A068_T3,A068,T3,82.98,4.430578675256047,IFR,0.65327585
A068_T4,A068,T4,155.59,5.053630924557352,IFR,-0.23552643
A069_T1,A069,T1,1.0,0.6931471805599453,IFR,0.68216753
A069_T2,A069,T2,24.96,3.2565568918358894,IFR,0.26281804
A069_T3,A069,T3,79.75,4.391357962102766,IFR,-1.0423872
A069_T4,A069,T4,140.22,4.950318958088201,IFR,-1.4370037
A070_T1,A070,T1,1.0,0.6931471805599453,IFR,-0.27273166
A070_T2,A070,T2,24.25,3.228826155721369,IFR,-0.43006447
A070_T3,A070,T3,81.92,4.417876287567579,IFR,-1.3237823
A070_T4,A070,T4,149.2,5.011967739330034,IFR,-2.1780486
A071_T1,A071,T1,1.0,0.6931471805599453,IFR,1.6882445
A071_T2,A071,T2,30.92,3.463232772581608,IFR,0.4204683
A071_T3,A071,T3,79.96,4.3939552055391555,IFR,-0.24820852
A071_T4,A071,T4,153.27,5.038704314023848,IFR,-0.41662952
A072_T1,A072,T1,1.0,0.6931471805599453,IFR,1.2353214
A072_T2,A072,T2,33.76,3.548467300397191,IFR,1.2433513
A072_T3,A072,T3,83.54,4.437224795138644,IFR,0.5875961
A072_T4,A072,T4,154.89,5.04915063032459,IFR,0.09671751
A073_T1,A073,T1,1.0,0.6931471805599453,IFR,0.027305774
A073_T2,A073,T2,66.66,4.214495163352562,IFR,-0.07061363
A073_T3,A073,T3,66.9,4.21803603456465,IFR,0.6008498
A073_T4,A073,T4,140.12,4.949610592258481,IFR,-0.03065943
A074_T1,A074,T1,1.0,0.6931471805599453,IFR,0.035718292
A074_T2,A074,T2,29.33,3.41213732170049,IFR,-0.4572094
A074_T3,A074,T3,73.02,4.30433532695801,IFR,-1.6960803
A074_T4,A074,T4,147.21,4.998630186968824,IFR,-0.07171073
A075_T1,A075,T1,1.0,0.6931471805599453,IFR,-1.1009943
