composite_ID,UID,test,paradigm,TSVR_hours,ma_theta,ma_theta_se
A048_T2,A048,T2,IFR,23.91,-0.6207213508832443,0.0
A048_T3,A048,T3,IFR,81.15,-0.8031414084413554,0.0
A048_T4,A048,T4,IFR,146.3,-1.010770107775928,0.0
A049_T1,A049,T1,IFR,1.0,-0.5477087107949089,0.0
A049_T2,A049,T2,IFR,27.12,-0.6309514065219853,0.0
A049_T3,A049,T3,IFR,111.38,-0.8994823997058852,0.0
A049_T4,A049,T4,IFR,168.86,-1.0826673212369862,0.0
A050_T1,A050,T1,IFR,1.0,-0.5477087107949089,0.0
A050_T2,A050,T2,IFR,24.73,-0.6233346361242935,0.0
A050_T3,A050,T3,IFR,93.39,-0.8421494710638444,0.0
A050_T4,A050,T4,IFR,148.69,-1.0183868781736196,0.0
A051_T1,A051,T1,IFR,1.0,-0.5477087107949089,0.0
A051_T2,A051,T2,IFR,17.16,-0.5992095516429011,0.0
A051_T3,A051,T3,IFR,65.63,-0.7536802048546697,0.0
A051_T4,A051,T4,IFR,146.99,-1.012969091698274,0.0
A052_T1,A052,T1,IFR,1.0,-0.5477087107949089,0.0
A052_T2,A052,T2,IFR,31.76,-0.6457387766664584,0.0
A052_T3,A052,T3,IFR,80.98,-0.8025996297938208,0.0
A052_T4,A052,T4,IFR,153.27,-1.032983032324845,0.0
A053_T1,A053,T1,IFR,1.0,-0.5477087107949089,0.0
A053_T2,A053,T2,IFR,32.71,-0.6487663632262104,0.0
A053_T3,A053,T3,IFR,78.28,-0.7939949100976834,0.0
A053_T4,A053,T4,IFR,148.9,-1.019056134149986,0.0
A054_T1,A054,T1,IFR,1.0,-0.5477087107949089,0.0
A054_T2,A054,T2,IFR,16.9,-0.5983809490054952,0.0
A054_T3,A054,T3,IFR,72.83,-0.7766261240443693,0.0
A054_T4,A054,T4,IFR,136.83,-0.9805898501750316,0.0
A055_T1,A055,T1,IFR,1.0,-0.5477087107949089,0.0
A055_T2,A055,T2,IFR,23.24,-0.618586105625314,0.0
A055_T3,A055,T3,IFR,74.48,-0.7818845638586754,0.0
A055_T4,A055,T4,IFR,149.21,-1.0200440834484314,0.0
A056_T1,A056,T1,IFR,1.0,-0.5477087107949089,0.0
A056_T2,A056,T2,IFR,33.61,-0.6516346031249228,0.0
A056_T3,A056,T3,IFR,71.46,-0.7722600255318847,0.0
A056_T4,A056,T4,IFR,147.84,-1.015677984935947,0.0
A057_T1,A057,T1,IFR,1.0,-0.5477087107949089,0.0
A057_T2,A057,T2,IFR,24.78,-0.6234939827853331,0.0
A057_T3,A057,T3,IFR,73.83,-0.7798130572651608,0.0
A057_T4,A057,T4,IFR,145.06,-1.0068183105821462,0.0
A058_T1,A058,T1,IFR,1.0,-0.5477087107949089,0.0
A058_T2,A058,T2,IFR,22.96,-0.6176937643234923,0.0
A058_T3,A058,T3,IFR,66.28,-0.7557517114481842,0.0
A058_T4,A058,T4,IFR,143.48,-1.0017829560932954,0.0
A059_T1,A059,T1,IFR,1.0,-0.5477087107949089,0.0
A059_T2,A059,T2,IFR,30.4,-0.6414045474861818,0.0
A059_T3,A059,T3,IFR,79.78,-0.7987753099288708,0.0
A059_T4,A059,T4,IFR,151.93,-1.0287125418089846,0.0
A060_T1,A060,T1,IFR,1.0,-0.5477087107949089,0.0
A060_T2,A060,T2,IFR,24.87,-0.6237808067752043,0.0
