UID,domain,TEST,HCE_rate,N_items,Days_mean,domain_Where,domain_When,HCE_rate_trans
A019,What,4,0.0,29,6.307300000000001,0,0,0.03162804943757168
A019,When,1,0.0,26,0.04166666666666666,0,1,0.03162804943757168
A019,When,2,0.0,26,1.1987375,0,1,0.03162804943757168
A019,When,3,0.038461538461538464,26,3.2778375,0,1,0.19997954661742062
A019,When,4,0.0,26,6.307300000000001,0,1,0.03162804943757168
A019,Where,1,0.02,50,0.04166666666666666,1,0,0.1454258194533693
A019,Where,2,0.0,50,1.1987375,1,0,0.03162804943757168
A019,Where,3,0.0,50,3.2778375,1,0,0.03162804943757168
A019,Where,4,0.0,50,6.307300000000001,1,0,0.03162804943757168
A020,What,1,0.06896551724137931,29,0.04166666666666666,0,0,0.267695745166414
A020,What,2,0.13793103448275862,29,1.1987375,0,0,0.38195417820268907
A020,What,3,0.06896551724137931,29,3.2778375,0,0,0.267695745166414
A020,What,4,0.13793103448275862,29,6.307300000000001,0,0,0.38195417820268907
A020,When,1,0.07692307692307693,26,0.04166666666666666,0,1,0.28290573721145973
A020,When,2,0.0,26,1.1987375,0,1,0.03162804943757168
A020,When,3,0.038461538461538464,26,3.2778375,0,1,0.19997954661742062
A020,When,4,0.038461538461538464,26,6.307300000000001,0,1,0.19997954661742062
A020,Where,1,0.18,50,0.04166666666666666,1,0,0.4394490723289309
A020,Where,2,0.18,50,1.1987375,1,0,0.4394490723289309
A020,Where,3,0.06,50,3.2778375,1,0,0.24956430006370459
A020,Where,4,0.06,50,6.307300000000001,1,0,0.24956430006370459
A021,What,1,0.0,29,0.04166666666666666,0,0,0.03162804943757168
A021,What,2,0.034482758620689655,29,1.1987375,0,0,0.18950082284559064
A021,What,3,0.034482758620689655,29,3.2778375,0,0,0.18950082284559064
A021,What,4,0.10344827586206896,29,6.307300000000001,0,0,0.329092735817834
A021,When,1,0.11538461538461539,26,0.04166666666666666,0,1,0.3481420348899342
A021,When,2,0.3076923076923077,26,1.1987375,0,1,0.5890854491631276
A021,When,3,0.038461538461538464,26,3.2778375,0,1,0.19997954661742062
A021,When,4,0.038461538461538464,26,6.307300000000001,0,1,0.19997954661742062
A021,Where,1,0.12,50,0.04166666666666666,1,0,0.35527749346034315
A021,Where,2,0.1,50,1.1987375,1,0,0.323413536785469
A021,Where,3,0.08,50,3.2778375,1,0,0.28859435195061733
A021,Where,4,0.1,50,6.307300000000001,1,0,0.323413536785469
A022,What,1,0.034482758620689655,29,0.04166666666666666,0,0,0.18950082284559064
A022,What,2,0.06896551724137931,29,1.1987375,0,0,0.267695745166414
A022,What,3,0.034482758620689655,29,3.2778375,0,0,0.18950082284559064
A022,What,4,0.0,29,6.307300000000001,0,0,0.03162804943757168
A022,When,1,0.038461538461538464,26,0.04166666666666666,0,1,0.19997954661742062
A022,When,2,0.038461538461538464,26,1.1987375,0,1,0.19997954661742062
A022,When,3,0.0,26,3.2778375,0,1,0.03162804943757168
A022,When,4,0.0,26,6.307300000000001,0,1,0.03162804943757168
A022,Where,1,0.0,50,0.04166666666666666,1,0,0.03162804943757168
A022,Where,2,0.02,50,1.1987375,1,0,0.1454258194533693
A022,Where,3,0.0,50,3.2778375,1,0,0.03162804943757168
A022,Where,4,0.0,50,6.307300000000001,1,0,0.03162804943757168
A023,What,1,0.034482758620689655,29,0.04166666666666666,0,0,0.18950082284559064
A023,What,2,0.06896551724137931,29,1.1987375,0,0,0.267695745166414
A023,What,3,0.0,29,3.2778375,0,0,0.03162804943757168
A023,What,4,0.06896551724137931,29,6.307300000000001,0,0,0.267695745166414
A023,When,1,0.07692307692307693,26,0.04166666666666666,0,1,0.28290573721145973
A023,When,2,0.15384615384615385,26,1.1987375,0,1,0.4044410432789647
A023,When,3,0.07692307692307693,26,3.2778375,0,1,0.28290573721145973
A023,When,4,0.07692307692307693,26,6.307300000000001,0,1,0.28290573721145973
A023,Where,1,0.14,50,0.04166666666666666,1,0,0.38493583409084897
A023,Where,2,0.24,50,1.1987375,1,0,0.5131425881640808
A023,Where,3,0.12,50,3.2778375,1,0,0.35527749346034315
A023,Where,4,0.14,50,6.307300000000001,1,0,0.38493583409084897
A024,What,1,0.034482758620689655,29,0.04166666666666666,0,0,0.18950082284559064
A024,What,2,0.034482758620689655,29,1.1987375,0,0,0.18950082284559064
A024,What,3,0.10344827586206896,29,3.2778375,0,0,0.329092735817834
A024,What,4,0.06896551724137931,29,6.307300000000001,0,0,0.267695745166414
A024,When,1,0.11538461538461539,26,0.04166666666666666,0,1,0.3481420348899342
A024,When,2,0.07692307692307693,26,1.1987375,0,1,0.28290573721145973
A024,When,3,0.11538461538461539,26,3.2778375,0,1,0.3481420348899342
A024,When,4,0.07692307692307693,26,6.307300000000001,0,1,0.28290573721145973
A024,Where,1,0.04,50,0.04166666666666666,1,0,0.20389438103477908
A024,Where,2,0.08,50,1.1987375,1,0,0.28859435195061733
A024,Where,3,0.1,50,3.2778375,1,0,0.323413536785469
A024,Where,4,0.26,50,6.307300000000001,1,0,0.5362099999892563
A025,What,1,0.034482758620689655,29,0.04166666666666666,0,0,0.18950082284559064
A025,What,2,0.0,29,1.1987375,0,0,0.03162804943757168
A025,What,3,0.0,29,3.2778375,0,0,0.03162804943757168
A025,What,4,0.0,29,6.307300000000001,0,0,0.03162804943757168
A025,When,1,0.038461538461538464,26,0.04166666666666666,0,1,0.19997954661742062
A025,When,2,0.0,26,1.1987375,0,1,0.03162804943757168
A025,When,3,0.0,26,3.2778375,0,1,0.03162804943757168
A025,When,4,0.0,26,6.307300000000001,0,1,0.03162804943757168
A025,Where,1,0.14,50,0.04166666666666666,1,0,0.38493583409084897
A025,Where,2,0.02,50,1.1987375,1,0,0.1454258194533693
A025,Where,3,0.02,50,3.2778375,1,0,0.1454258194533693
A025,Where,4,0.0,50,6.307300000000001,1,0,0.03162804943757168
A026,What,1,0.034482758620689655,29,0.04166666666666666,0,0,0.18950082284559064
A026,What,2,0.034482758620689655,29,1.1987375,0,0,0.18950082284559064
A026,What,3,0.034482758620689655,29,3.2778375,0,0,0.18950082284559064
A026,What,4,0.06896551724137931,29,6.307300000000001,0,0,0.267695745166414
A026,When,1,0.15384615384615385,26,0.04166666666666666,0,1,0.4044410432789647
A026,When,2,0.11538461538461539,26,1.1987375,0,1,0.3481420348899342
A026,When,3,0.0,26,3.2778375,0,1,0.03162804943757168
A026,When,4,0.15384615384615385,26,6.307300000000001,0,1,0.4044410432789647
A026,Where,1,0.1,50,0.04166666666666666,1,0,0.323413536785469
A026,Where,2,0.08,50,1.1987375,1,0,0.28859435195061733
A026,Where,3,0.08,50,3.2778375,1,0,0.28859435195061733
A026,Where,4,0.22,50,6.307300000000001,1,0,0.4894112928012243
A027,What,1,0.034482758620689655,29,0.04166666666666666,0,0,0.18950082284559064
A027,What,2,0.10344827586206896,29,1.1987375,0,0,0.329092735817834
A027,What,3,0.06896551724137931,29,3.2778375,0,0,0.267695745166414
A027,What,4,0.034482758620689655,29,6.307300000000001,0,0,0.18950082284559064
A027,When,1,0.038461538461538464,26,0.04166666666666666,0,1,0.19997954661742062
A027,When,2,0.07692307692307693,26,1.1987375,0,1,0.28290573721145973
A027,When,3,0.0,26,3.2778375,0,1,0.03162804943757168
A027,When,4,0.0,26,6.307300000000001,0,1,0.03162804943757168
A027,Where,1,0.14,50,0.04166666666666666,1,0,0.38493583409084897
A027,Where,2,0.28,50,1.1987375,1,0,0.5587118091752663
