composite_ID,UID,TEST,TSVR_hours,theta,se_all,age,Age_c,Time,Time_log
A031_2,A031,2,32.41,0.018638758,0.3,32.0,-12.57,32.41,3.508855256368665
A031_3,A031,3,71.56,-0.04251805,0.3,32.0,-12.57,71.56,4.2844138058068815
A031_4,A031,4,143.85,-0.57443035,0.3,32.0,-12.57,143.85,4.975698724215359
A032_1,A032,1,1.0,0.8067235,0.3,33.0,-11.57,1.0,0.6931471805599453
A032_2,A032,2,57.18,-0.12246857,0.3,33.0,-11.57,57.18,4.063541653067055
A032_3,A032,3,80.16,0.6580906,0.3,33.0,-11.57,80.16,4.396422514957614
A032_4,A032,4,144.51,1.5530372,0.3,33.0,-11.57,144.51,4.980244812772187
A033_1,A033,1,1.0,0.43369794,0.3,32.0,-12.57,1.0,0.6931471805599453
A033_2,A033,2,29.16,0.5100616,0.3,32.0,-12.57,29.16,3.4065165431397553
A033_3,A033,3,72.6,0.9657034,0.3,32.0,-12.57,72.6,4.298645025734831
A033_4,A033,4,168.33,-0.40873924,0.3,32.0,-12.57,168.33,5.131849473677249
A034_1,A034,1,1.0,2.0359054,0.3,33.0,-11.57,1.0,0.6931471805599453
A034_2,A034,2,26.08,0.65717703,0.3,33.0,-11.57,26.08,3.298795448044074
A034_3,A034,3,74.28,-0.10081277,0.3,33.0,-11.57,74.28,4.3212144952771245
A034_4,A034,4,145.38,-0.1552254,0.3,33.0,-11.57,145.38,4.986205980173081
A035_1,A035,1,1.0,-0.06479133,0.3,34.0,-10.57,1.0,0.6931471805599453
A035_2,A035,2,44.76,0.7425775,0.3,34.0,-10.57,44.76,3.8234103470715426
A035_3,A035,3,79.98,-0.4961729,0.3,34.0,-10.57,79.98,4.394202210604015
A035_4,A035,4,152.47,-0.98961914,0.3,34.0,-10.57,152.47,5.033505108187003
A036_1,A036,1,1.0,1.3283472,0.3,30.0,-14.57,1.0,0.6931471805599453
A036_2,A036,2,21.63,-0.15242939,0.3,30.0,-14.57,21.63,3.119276459645446
A036_3,A036,3,71.47,-0.39740184,0.3,30.0,-14.57,71.47,4.28317268312119
A036_4,A036,4,143.85,-1.0100961,0.3,30.0,-14.57,143.85,4.975698724215359
A037_1,A037,1,1.0,1.1801162,0.3,31.0,-13.57,1.0,0.6931471805599453
A037_2,A037,2,23.7,1.2522094,0.3,31.0,-13.57,23.7,3.2068032436339315
A037_3,A037,3,72.08,0.29365978,0.3,31.0,-13.57,72.08,4.291554731509806
A037_4,A037,4,143.66,-0.16601759,0.3,31.0,-13.57,143.66,4.974386161421135
A038_1,A038,1,1.0,1.2059275,0.3,32.0,-12.57,1.0,0.6931471805599453
A038_2,A038,2,71.85,-0.16850944,0.3,32.0,-12.57,71.85,4.288402532641213
A038_3,A038,3,72.86,0.9667946,0.3,32.0,-12.57,72.86,4.3021714094244174
A038_4,A038,4,152.89,-0.017467948,0.3,32.0,-12.57,152.89,5.0362380614757605
A039_1,A039,1,1.0,2.174663,0.3,31.0,-13.57,1.0,0.6931471805599453
A039_2,A039,2,28.65,1.3026897,0.3,31.0,-13.57,28.65,3.3894621254437345
A039_3,A039,3,98.84,0.567675,0.3,31.0,-13.57,98.84,4.603568904621118
A039_4,A039,4,246.24,0.72307914,0.3,31.0,-13.57,246.24,5.510359524791073
A040_1,A040,1,1.0,-0.5069201,0.3,38.0,-6.57,1.0,0.6931471805599453
A040_2,A040,2,26.26,0.14172223,0.3,38.0,-6.57,26.26,3.3054204262683866
A040_3,A040,3,71.28,-1.6828778,0.3,38.0,-6.57,71.28,4.280547465724028
A040_4,A040,4,143.53,-1.6119773,0.3,38.0,-6.57,143.53,4.97348709846075
A041_1,A041,1,1.0,1.1962991,0.3,35.0,-9.57,1.0,0.6931471805599453
A041_2,A041,2,31.78,-1.1736511,0.3,35.0,-9.57,31.78,3.4898185733156835
A041_3,A041,3,75.74,0.2872409,0.3,35.0,-9.57,75.74,4.340423084818807
A041_4,A041,4,141.84,0.1290578,0.3,35.0,-9.57,141.84,4.961725122726247
A042_1,A042,1,1.0,-0.8806226,0.3,38.0,-6.57,1.0,0.6931471805599453
A042_2,A042,2,28.93,-0.99250966,0.3,38.0,-6.57,28.93,3.3988613218646075
A042_3,A042,3,72.17,-0.17139933,0.3,38.0,-6.57,72.17,4.292785500895938
A042_4,A042,4,146.02,-1.260689,0.3,38.0,-6.57,146.02,4.9905686319459415
A043_1,A043,1,1.0,1.0349586,0.3,38.0,-6.57,1.0,0.6931471805599453
A043_2,A043,2,25.62,0.5667534,0.3,38.0,-6.57,25.62,3.2816628129669656
A043_3,A043,3,64.94,0.56906503,0.3,38.0,-6.57,64.94,4.188745237643585
A043_4,A043,4,149.33,-0.36708274,0.3,38.0,-6.57,149.33,5.012832877639743
A044_1,A044,1,1.0,-0.0888245,0.3,38.0,-6.57,1.0,0.6931471805599453
A044_2,A044,2,47.66,-0.37333766,0.3,38.0,-6.57,47.66,3.8848573373553763
A044_3,A044,3,91.63,-1.308094,0.3,38.0,-6.57,91.63,4.5286130632659365
A044_4,A044,4,155.27,-1.7971689,0.3,38.0,-6.57,155.27,5.0515852804252095
A045_1,A045,1,1.0,-0.9017756,0.3,37.0,-7.57,1.0,0.6931471805599453
A045_2,A045,2,24.66,-1.0143217,0.3,37.0,-7.57,24.66,3.2449333591874905
A045_3,A045,3,72.23,-1.1242429,0.3,37.0,-7.57,72.23,4.2936051730729785
A045_4,A045,4,151.52,-1.2476392,0.3,37.0,-7.57,151.52,5.027295734989363
A046_1,A046,1,1.0,-0.7687857,0.3,38.0,-6.57,1.0,0.6931471805599453
A046_2,A046,2,24.32,-1.3034526,0.3,38.0,-6.57,24.32,3.2315945972759756
A046_3,A046,3,73.05,-1.624248,0.3,38.0,-6.57,73.05,4.304740540713808
A046_4,A046,4,147.94,-1.154563,0.3,38.0,-6.57,147.94,5.003543540282499
A047_1,A047,1,1.0,-0.7466336,0.3,36.0,-8.57,1.0,0.6931471805599453
A047_2,A047,2,23.46,-0.5145792,0.3,36.0,-8.57,23.46,3.1970391302590264
A047_3,A047,3,76.85,-1.2429395,0.3,36.0,-8.57,76.85,4.354783898280007
A047_4,A047,4,144.22,-1.600209,0.3,36.0,-8.57,144.22,4.978249833952101
A048_1,A048,1,1.0,1.0764405,0.3,38.0,-6.57,1.0,0.6931471805599453
A048_2,A048,2,23.91,-0.06019045,0.3,38.0,-6.57,23.91,3.215269329274089
A048_3,A048,3,81.15,0.14282681,0.3,38.0,-6.57,81.15,4.408546844483277
A048_4,A048,4,146.3,0.09614354,0.3,38.0,-6.57,146.3,4.9924713234685845
A049_1,A049,1,1.0,2.1010969,0.3,35.0,-9.57,1.0,0.6931471805599453
A049_2,A049,2,27.12,-0.5321013,0.3,35.0,-9.57,27.12,3.336481066942464
A049_3,A049,3,111.38,0.37812865,0.3,35.0,-9.57,111.38,4.721885985684052
A049_4,A049,4,168.86,0.034191336,0.3,35.0,-9.57,168.86,5.134974568351863
A050_1,A050,1,1.0,-0.39878848,0.3,41.0,-3.5700000000000003,1.0,0.6931471805599453
A050_2,A050,2,24.73,-0.71372736,0.3,41.0,-3.5700000000000003,24.73,3.2476576262936527
A050_3,A050,3,93.39,-0.9261868,0.3,41.0,-3.5700000000000003,93.39,4.547435135336853
A050_4,A050,4,148.69,-1.1381246,0.3,41.0,-3.5700000000000003,148.69,5.008566488927144
A051_1,A051,1,1.0,1.5230782,0.3,41.0,-3.5700000000000003,1.0,0.6931471805599453
A051_2,A051,2,17.16,-0.30774206,0.3,41.0,-3.5700000000000003,17.16,2.8992213731731473
A051_3,A051,3,65.63,-0.6520249,0.3,41.0,-3.5700000000000003,65.63,4.199154926574446
A051_4,A051,4,146.99,-0.72000563,0.3,41.0,-3.5700000000000003,146.99,4.997144703913756
A052_1,A052,1,1.0,0.58457315,0.3,43.0,-1.5700000000000003,1.0,0.6931471805599453
A052_2,A052,2,31.76,0.3844317,0.3,43.0,-1.5700000000000003,31.76,3.4892082589848687
A052_3,A052,3,80.98,0.116021834,0.3,43.0,-1.5700000000000003,80.98,4.406475315076191
A052_4,A052,4,153.27,-0.8312764,0.3,43.0,-1.5700000000000003,153.27,5.038704314023848
A053_1,A053,1,1.0,1.401935,0.3,44.0,-0.5700000000000003,1.0,0.6931471805599453
A053_2,A053,2,32.71,0.97594434,0.3,44.0,-0.5700000000000003,32.71,3.5177945292459696
A053_3,A053,3,78.28,-0.40916884,0.3,44.0,-0.5700000000000003,78.28,4.372985890021733
A053_4,A053,4,148.9,-0.13549207,0.3,44.0,-0.5700000000000003,148.9,5.009968405108552
A054_1,A054,1,1.0,0.52522403,0.3,43.0,-1.5700000000000003,1.0,0.6931471805599453
A054_2,A054,2,16.9,1.1258696,0.3,43.0,-1.5700000000000003,16.9,2.884800712846709
A054_3,A054,3,72.83,1.191061,0.3,43.0,-1.5700000000000003,72.83,4.3017651530710745
A054_4,A054,4,136.83,1.2362738,0.3,43.0,-1.5700000000000003,136.83,4.926021041706347
A055_1,A055,1,1.0,0.28537354,0.3,44.0,-0.5700000000000003,1.0,0.6931471805599453
A055_2,A055,2,23.24,0.8647509,0.3,44.0,-0.5700000000000003,23.24,3.1880041612011136
A055_3,A055,3,74.48,-0.119812906,0.3,44.0,-0.5700000000000003,74.48,4.32386772050035
A055_4,A055,4,149.21,-0.62007034,0.3,44.0,-0.5700000000000003,149.21,5.012034315009963
A056_1,A056,1,1.0,0.5282342,0.3,42.0,-2.5700000000000003,1.0,0.6931471805599453
A056_2,A056,2,33.61,0.54977185,0.3,42.0,-2.5700000000000003,33.61,3.544142657647253
A056_3,A056,3,71.46,-0.4118956,0.3,42.0,-2.5700000000000003,71.46,4.283034685466931
A056_4,A056,4,147.84,-0.9539059,0.3,42.0,-2.5700000000000003,147.84,5.002871903478422
A057_1,A057,1,1.0,0.4946756,0.3,40.0,-4.57,1.0,0.6931471805599453
A057_2,A057,2,24.78,-0.77376056,0.3,40.0,-4.57,24.78,3.2495989975110415
A057_3,A057,3,73.83,-0.68134856,0.3,40.0,-4.57,73.83,4.315218874092267
A057_4,A057,4,145.06,-1.0877718,0.3,40.0,-4.57,145.06,4.984017496191964
A058_1,A058,1,1.0,1.0215306,0.3,42.0,-2.5700000000000003,1.0,0.6931471805599453
A058_2,A058,2,22.96,-0.8427394,0.3,42.0,-2.5700000000000003,22.96,3.1763857732472487
A058_3,A058,3,66.28,-0.121771336,0.3,42.0,-2.5700000000000003,66.28,4.208863015664693
A058_4,A058,4,143.48,-1.0669552,0.3,42.0,-2.5700000000000003,143.48,4.973141089668675
A059_1,A059,1,1.0,0.99710035,0.3,43.0,-1.5700000000000003,1.0,0.6931471805599453
A059_2,A059,2,30.4,1.2424322,0.3,43.0,-1.5700000000000003,30.4,3.4468078929142076
A059_3,A059,3,79.78,1.3356622,0.3,43.0,-1.5700000000000003,79.78,4.391729410135267
A059_4,A059,4,151.93,0.38432297,0.3,43.0,-1.5700000000000003,151.93,5.029980300360032
A060_1,A060,1,1.0,-0.051358394,0.3,48.0,3.4299999999999997,1.0,0.6931471805599453
A060_2,A060,2,24.87,1.310061,0.3,48.0,3.4299999999999997,24.87,3.2530839961979376
A060_3,A060,3,94.68,-0.5090028,0.3,48.0,3.4299999999999997,94.68,4.561009290202322
A060_4,A060,4,143.91,0.19280487,0.3,48.0,3.4299999999999997,143.91,4.976112860057833
A061_1,A061,1,1.0,2.529091,0.3,47.0,2.4299999999999997,1.0,0.6931471805599453
A061_2,A061,2,35.16,0.94611883,0.3,47.0,2.4299999999999997,35.16,3.5879535355239756
A061_3,A061,3,82.55,0.27741587,0.3,47.0,2.4299999999999997,82.55,4.425445255041403
A061_4,A061,4,146.56,-0.2929151,0.3,47.0,2.4299999999999997,146.56,4.994234872728475
A062_1,A062,1,1.0,1.5359104,0.3,48.0,3.4299999999999997,1.0,0.6931471805599453
A062_2,A062,2,44.69,0.14121151,0.3,48.0,3.4299999999999997,44.69,3.8218794555751803
A062_3,A062,3,92.72,-0.59946907,0.3,48.0,3.4299999999999997,92.72,4.540311613639595
A062_4,A062,4,149.18,-0.7168849,0.3,48.0,3.4299999999999997,149.18,5.011834574671738
A063_1,A063,1,1.0,0.86206603,0.3,45.0,0.4299999999999997,1.0,0.6931471805599453
A063_2,A063,2,21.98,0.7186035,0.3,45.0,0.4299999999999997,21.98,3.1346242724206097
A063_3,A063,3,69.99,0.17484958,0.3,45.0,0.4299999999999997,69.99,4.262539022051294
A063_4,A063,4,141.09,-0.58241045,0.3,45.0,0.4299999999999997,141.09,4.956460659649984
A064_1,A064,1,1.0,0.83211017,0.3,47.0,2.4299999999999997,1.0,0.6931471805599453
A064_2,A064,2,37.65,0.56187433,0.3,47.0,2.4299999999999997,37.65,3.654546775033431
A064_3,A064,3,82.99,0.17636402,0.3,47.0,2.4299999999999997,82.99,4.430697744137536
A064_4,A064,4,156.21,-0.33321425,0.3,47.0,2.4299999999999997,156.21,5.057582491203423
A065_1,A065,1,1.0,-2.2385516,0.3,47.0,2.4299999999999997,1.0,0.6931471805599453
A065_2,A065,2,32.31,-0.9801161,0.3,47.0,2.4299999999999997,32.31,3.5058576522055884
A065_3,A065,3,106.41,-2.2205753,0.3,47.0,2.4299999999999997,106.41,4.676653287609955
A065_4,A065,4,187.43,-2.3754525,0.3,47.0,2.4299999999999997,187.43,5.238726585134399
A066_1,A066,1,1.0,0.46571386,0.3,47.0,2.4299999999999997,1.0,0.6931471805599453
A066_2,A066,2,23.35,-0.45289963,0.3,47.0,2.4299999999999997,23.35,3.192531849528599
A066_3,A066,3,73.79,-0.92944336,0.3,47.0,2.4299999999999997,73.79,4.314684186203576
A066_4,A066,4,164.93,-1.2830758,0.3,47.0,2.4299999999999997,164.93,5.111566012674697
A067_1,A067,1,1.0,0.6627066,0.3,48.0,3.4299999999999997,1.0,0.6931471805599453
A067_2,A067,2,29.91,-1.312235,0.3,48.0,3.4299999999999997,29.91,3.431079756144025
A067_3,A067,3,73.19,-1.4752139,0.3,48.0,3.4299999999999997,73.19,4.306629370201435
A067_4,A067,4,144.19,-1.1757759,0.3,48.0,3.4299999999999997,144.19,4.978043229495596
A068_1,A068,1,1.0,1.3038205,0.3,49.0,4.43,1.0,0.6931471805599453
A068_2,A068,2,30.49,0.163223,0.3,49.0,4.43,30.49,3.4496700351129332
A068_3,A068,3,82.98,0.4192529,0.3,49.0,4.43,82.98,4.430578675256047
A068_4,A068,4,155.59,-0.3906647,0.3,49.0,4.43,155.59,5.053630924557352
A069_1,A069,1,1.0,-0.7867887,0.3,46.0,1.4299999999999997,1.0,0.6931471805599453
A069_2,A069,2,24.96,-1.5067587,0.3,46.0,1.4299999999999997,24.96,3.2565568918358894
A069_3,A069,3,79.75,-0.71302193,0.3,46.0,1.4299999999999997,79.75,4.391357962102766
A069_4,A069,4,140.22,-1.7110198,0.3,46.0,1.4299999999999997,140.22,4.950318958088201
A070_1,A070,1,1.0,0.5967721,0.3,52.0,7.43,1.0,0.6931471805599453
A070_2,A070,2,24.25,0.042192243,0.3,52.0,7.43,24.25,3.228826155721369
A070_3,A070,3,81.92,-0.4347659,0.3,52.0,7.43,81.92,4.417876287567579
A070_4,A070,4,149.2,-1.0469787,0.3,52.0,7.43,149.2,5.011967739330034
A071_1,A071,1,1.0,1.1001538,0.3,50.0,5.43,1.0,0.6931471805599453
A071_2,A071,2,30.92,0.40058818,0.3,50.0,5.43,30.92,3.463232772581608
A071_3,A071,3,79.96,-0.86193055,0.3,50.0,5.43,79.96,4.3939552055391555
A071_4,A071,4,153.27,0.1462163,0.3,50.0,5.43,153.27,5.038704314023848
A072_1,A072,1,1.0,0.9622242,0.3,50.0,5.43,1.0,0.6931471805599453
A072_2,A072,2,33.76,0.37431285,0.3,50.0,5.43,33.76,3.548467300397191
A072_3,A072,3,83.54,-0.88631296,0.3,50.0,5.43,83.54,4.437224795138644
A072_4,A072,4,154.89,-0.13873519,0.3,50.0,5.43,154.89,5.04915063032459
A073_1,A073,1,1.0,0.8751058,0.3,51.0,6.43,1.0,0.6931471805599453
A073_2,A073,2,66.66,-0.48682293,0.3,51.0,6.43,66.66,4.214495163352562
A073_3,A073,3,66.9,-0.018863132,0.3,51.0,6.43,66.9,4.21803603456465
A073_4,A073,4,140.12,0.9759681,0.3,51.0,6.43,140.12,4.949610592258481
A074_1,A074,1,1.0,1.1391835,0.3,53.0,8.43,1.0,0.6931471805599453
A074_2,A074,2,29.33,-0.16370372,0.3,53.0,8.43,29.33,3.41213732170049
A074_3,A074,3,73.02,-0.85258937,0.3,53.0,8.43,73.02,4.30433532695801
A074_4,A074,4,147.21,-1.1428367,0.3,53.0,8.43,147.21,4.998630186968824
A075_1,A075,1,1.0,0.4822121,0.3,53.0,8.43,1.0,0.6931471805599453
A075_2,A075,2,28.68,0.49708104,0.3,53.0,8.43,28.68,3.39047341829918
A075_3,A075,3,71.37,-1.5457226,0.3,53.0,8.43,71.37,4.281791848878036
A075_4,A075,4,244.53,-0.5980336,0.3,53.0,8.43,244.53,5.5034191393614815
A076_1,A076,1,1.0,-0.39436588,0.3,54.0,9.43,1.0,0.6931471805599453
A076_2,A076,2,27.3,-0.7679121,0.3,54.0,9.43,27.3,3.342861804649192
A076_3,A076,3,74.88,-1.2046329,0.3,54.0,9.43,74.88,4.3291531450668135
A076_4,A076,4,149.28,-2.5163941,0.3,54.0,9.43,149.28,5.0125002207057685
A077_1,A077,1,1.0,1.257486,0.3,52.0,7.43,1.0,0.6931471805599453
A077_2,A077,2,53.88,-0.15718071,0.3,52.0,7.43,53.88,4.00514898341763
A077_3,A077,3,78.36,0.254887,0.3,52.0,7.43,78.36,4.373994462976618
A077_4,A077,4,149.75,0.58986604,0.3,52.0,7.43,149.75,5.015622835607295
A078_1,A078,1,1.0,0.05510661,0.3,50.0,5.43,1.0,0.6931471805599453
A078_2,A078,2,26.17,0.07325087,0.3,50.0,5.43,26.17,3.3021134234382563
A078_3,A078,3,72.3,-1.0537938,0.3,50.0,5.43,72.3,4.294560608892605
A078_4,A078,4,140.08,-1.0697036,0.3,50.0,5.43,140.08,4.949327105367852
A079_1,A079,1,1.0,0.49688977,0.3,50.0,5.43,1.0,0.6931471805599453
A079_2,A079,2,26.11,-0.40158516,0.3,50.0,5.43,26.11,3.299902663510574
A079_3,A079,3,74.0,-0.94553256,0.3,50.0,5.43,74.0,4.31748811353631
A079_4,A079,4,194.42,-0.9119565,0.3,50.0,5.43,194.42,5.275151088516197
A080_1,A080,1,1.0,0.35685366,0.3,56.0,11.43,1.0,0.6931471805599453
A080_2,A080,2,29.03,0.34285796,0.3,56.0,11.43,29.03,3.402196881995239
A080_3,A080,3,72.87,0.31786218,0.3,56.0,11.43,72.87,4.302306791540646
A080_4,A080,4,145.77,-0.8033879,0.3,56.0,11.43,145.77,4.988866735623107
A081_1,A081,1,1.0,0.56923956,0.3,55.0,10.43,1.0,0.6931471805599453
A081_2,A081,2,31.39,-0.24241331,0.3,55.0,10.43,31.39,3.477849733183238
A081_3,A081,3,80.13,0.93472326,0.3,55.0,10.43,80.13,4.396052806406973
A081_4,A081,4,154.53,0.18450806,0.3,55.0,10.43,154.53,5.046838639056468
A082_1,A082,1,1.0,0.47511065,0.3,58.0,13.43,1.0,0.6931471805599453
A082_2,A082,2,27.97,1.1720833,0.3,58.0,13.43,27.97,3.366260811781259
A082_3,A082,3,75.71,0.4018064,0.3,58.0,13.43,75.71,4.3400320779712045
A082_4,A082,4,170.25,-0.08527875,0.3,58.0,13.43,170.25,5.143124477142335
A083_1,A083,1,1.0,1.9135383,0.3,58.0,13.43,1.0,0.6931471805599453
A083_2,A083,2,25.15,0.9028967,0.3,58.0,13.43,25.15,3.263849190510932
A083_3,A083,3,74.3,0.21852846,0.3,58.0,13.43,74.3,4.321480134805848
A083_4,A083,4,144.91,-0.03377411,0.3,58.0,13.43,144.91,4.982989993275931
A084_1,A084,1,1.0,0.37614724,0.3,59.0,14.43,1.0,0.6931471805599453
