days,difference,se,ci_lower,ci_upper,sig
3.041910,0.074276,0.037100,0.001560,0.146992,1
3.093467,0.076702,0.037077,0.004031,0.149374,1
3.145025,0.079077,0.037052,0.006454,0.151700,1
3.196583,0.081402,0.037026,0.008831,0.153972,1
3.248141,0.083679,0.036998,0.011163,0.156194,1
3.299698,0.085909,0.036968,0.013451,0.158366,1
3.351256,0.088094,0.036937,0.015696,0.160491,1
3.402814,0.090234,0.036906,0.017899,0.162570,1
3.454372,0.092333,0.036874,0.020060,0.164605,1
3.505930,0.094390,0.036842,0.022180,0.166599,1
3.557487,0.096406,0.036810,0.024259,0.168553,1
3.609045,0.098384,0.036778,0.026298,0.170469,1
3.660603,0.100323,0.036748,0.028298,0.172349,1
3.712161,0.102226,0.036718,0.030258,0.174194,1
3.763719,0.104093,0.036691,0.032179,0.176006,1
3.815276,0.105925,0.036665,0.034062,0.177788,1
3.866834,0.107723,0.036641,0.035906,0.179540,1
3.918392,0.109488,0.036621,0.037711,0.181265,1
3.969950,0.111221,0.036603,0.039478,0.182964,1
4.021508,0.112923,0.036590,0.041207,0.184638,1
4.073065,0.114594,0.036580,0.042898,0.186291,1
4.124623,0.116236,0.036574,0.044550,0.187922,1
4.176181,0.117849,0.036574,0.046165,0.189534,1
4.227739,0.119434,0.036578,0.047741,0.191128,1
4.279296,0.120993,0.036588,0.049279,0.192706,1
4.330854,0.122524,0.036604,0.050780,0.194269,1
4.382412,0.124030,0.036627,0.052242,0.195818,1
4.433970,0.125511,0.036655,0.053666,0.197355,1
4.485528,0.126967,0.036691,0.055053,0.198881,1
4.537085,0.128400,0.036734,0.056401,0.200398,1
4.588643,0.129809,0.036784,0.057712,0.201907,1
4.640201,0.131196,0.036842,0.058985,0.203408,1
4.691759,0.132562,0.036909,0.060221,0.204902,1
4.743317,0.133905,0.036983,0.061419,0.206392,1
4.794874,0.135229,0.037065,0.062580,0.207877,1
4.846432,0.136532,0.037157,0.063705,0.209359,1
4.897990,0.137815,0.037256,0.064793,0.210838,1
4.949548,0.139079,0.037365,0.065844,0.212315,1
5.001106,0.140325,0.037482,0.066860,0.213790,1
5.052663,0.141553,0.037608,0.067841,0.215265,1
5.104221,0.142763,0.037743,0.068786,0.216740,1
5.155779,0.143956,0.037887,0.069698,0.218215,1
5.207337,0.145133,0.038040,0.070575,0.219691,1
5.258894,0.146293,0.038201,0.071419,0.221167,1
5.310452,0.147438,0.038371,0.072231,0.222645,1
5.362010,0.148567,0.038549,0.073011,0.224124,1
5.413568,0.149682,0.038736,0.073760,0.225604,1
5.465126,0.150782,0.038930,0.074479,0.227086,1
5.516683,0.151869,0.039133,0.075168,0.228569,1
5.568241,0.152942,0.039343,0.075829,0.230054,1
5.619799,0.154001,0.039561,0.076462,0.231540,1
5.671357,0.155048,0.039786,0.077068,0.233028,1
5.722915,0.156082,0.040017,0.077648,0.234516,1
5.774472,0.157104,0.040256,0.078203,0.236006,1
5.826030,0.158115,0.040500,0.078734,0.237496,1
5.877588,0.159114,0.040751,0.079242,0.238986,1
5.929146,0.160102,0.041007,0.079728,0.240477,1
5.980704,0.161080,0.041269,0.080193,0.241967,1
6.032261,0.162047,0.041536,0.080637,0.243457,1
6.083819,0.163004,0.041807,0.081062,0.244946,1
6.135377,0.163952,0.042083,0.081470,0.246434,1
6.186935,0.164890,0.042363,0.081859,0.247921,1
6.238492,0.165819,0.042646,0.082233,0.249405,1
6.290050,0.166739,0.042933,0.082591,0.250887,1
6.341608,0.167651,0.043223,0.082934,0.252367,1
6.393166,0.168554,0.043515,0.083264,0.253843,1
6.444724,0.169449,0.043810,0.083581,0.255317,1
6.496281,0.170337,0.044107,0.083887,0.256787,1
6.547839,0.171217,0.044406,0.084181,0.258253,1
6.599397,0.172089,0.044707,0.084464,0.259715,1
6.650955,0.172955,0.045009,0.084738,0.261172,1
6.702513,0.173814,0.045312,0.085003,0.262625,1
6.754070,0.174666,0.045615,0.085260,0.264073,1
6.805628,0.175513,0.045920,0.085509,0.265516,1
6.857186,0.176353,0.046225,0.085751,0.266954,1
6.908744,0.177187,0.046530,0.085987,0.268386,1
6.960302,0.178015,0.046836,0.086217,0.269813,1
7.011859,0.178838,0.047141,0.086441,0.271235,1
7.063417,0.179655,0.047447,0.086660,0.272651,1
7.114975,0.180467,0.047752,0.086874,0.274061,1
7.166533,0.181275,0.048057,0.087083,0.275466,1
7.218090,0.182077,0.048361,0.087289,0.276866,1
7.269648,0.182875,0.048666,0.087490,0.278260,1
7.321206,0.183668,0.048970,0.087688,0.279649,1
7.372764,0.184457,0.049273,0.087882,0.281032,1
7.424322,0.185242,0.049576,0.088073,0.282411,1
7.475879,0.186023,0.049879,0.088260,0.283786,1
7.527437,0.186800,0.050182,0.088444,0.285155,1
7.578995,0.187573,0.050484,0.088624,0.286521,1
7.630553,0.188342,0.050786,0.088801,0.287883,1
7.682111,0.189108,0.051089,0.088974,0.289241,1
7.733668,0.189870,0.051391,0.089143,0.290597,1
7.785226,0.190629,0.051694,0.089308,0.291949,1
7.836784,0.191384,0.051998,0.089469,0.293300,1
7.888342,0.192137,0.052302,0.089626,0.294648,1
7.939899,0.192886,0.052606,0.089778,0.295995,1
7.991457,0.193633,0.052912,0.089924,0.297341,1
8.043015,0.194376,0.053220,0.090066,0.298687,1
8.094573,0.195117,0.053528,0.090201,0.300033,1
8.146131,0.195855,0.053839,0.090330,0.301379,1
8.197688,0.196590,0.054152,0.090453,0.302727,1
8.249246,0.197322,0.054466,0.090569,0.304076,1
8.300804,0.198052,0.054784,0.090677,0.305428,1
8.352362,0.198780,0.055104,0.090777,0.306783,1
8.403920,0.199504,0.055427,0.090868,0.308141,1
8.455477,0.200227,0.055753,0.090951,0.309503,1
8.507035,0.200947,0.056083,0.091024,0.310870,1
8.558593,0.201664,0.056417,0.091087,0.312241,1
8.610151,0.202379,0.056755,0.091140,0.313619,1
8.661709,0.203092,0.057097,0.091182,0.315002,1
8.713266,0.203802,0.057444,0.091212,0.316393,1
8.764824,0.204510,0.057796,0.091230,0.317790,1
8.816382,0.205216,0.058153,0.091236,0.319196,1
8.867940,0.205919,0.058515,0.091230,0.320609,1
8.919497,0.206620,0.058883,0.091209,0.322032,1
8.971055,0.207319,0.059257,0.091176,0.323463,1
9.022613,0.208016,0.059637,0.091128,0.324903,1
9.074171,0.208710,0.060023,0.091065,0.326354,1
9.125729,0.209401,0.060415,0.090988,0.327814,1
9.177286,0.210091,0.060814,0.090896,0.329285,1
9.228844,0.210777,0.061219,0.090788,0.330767,1
9.280402,0.211462,0.061631,0.090664,0.332259,1
9.331960,0.212144,0.062050,0.090525,0.333763,1
9.383518,0.212823,0.062477,0.090369,0.335277,1
9.435075,0.213500,0.062910,0.090197,0.336803,1
9.486633,0.214175,0.063350,0.090009,0.338341,1
9.538191,0.214847,0.063797,0.089804,0.339889,1
9.589749,0.215516,0.064251,0.089583,0.341449,1
9.641307,0.216183,0.064713,0.089345,0.343020,1
9.692864,0.216846,0.065181,0.089091,0.344602,1
9.744422,0.217508,0.065657,0.088820,0.346195,1
9.795980,0.218166,0.066139,0.088533,0.347799,1
9.847538,0.218821,0.066628,0.088230,0.349413,1
9.899095,0.219474,0.067124,0.087911,0.351037,1
9.950653,0.220123,0.067626,0.087575,0.352671,1
10.002211,0.220770,0.068135,0.087225,0.354315,1
10.053769,0.221413,0.068650,0.086859,0.355968,1
10.105327,0.222054,0.069171,0.086479,0.357629,1
10.156884,0.222691,0.069698,0.086083,0.359298,1
10.208442,0.223325,0.070230,0.085674,0.360975,1
10.260000,0.223955,0.070767,0.085251,0.362659,1
