UID,TEST,Domain,TSVR_hours,theta_accuracy,theta_confidence,theta_accuracy_z,theta_confidence_z,latent_calibration
A052,T2,What,31.76,0.4169858,-0.6463823,0.4379268776266433,0.207889087043003,-0.03773070085697268
A052,T3,What,80.98,0.17672805,-1.006661,0.1542499334432789,-0.3986973136554784,-0.3052370537241712
A052,T4,What,153.27,-0.5472725,-0.66724753,-0.7005914342590124,0.1727591591137471,0.43056159669742317
A053,T1,What,1.0,1.1032048,-0.5527678,1.248158842924596,0.3655039629937265,-0.28577064849744854
A053,T2,What,32.71,0.5740109,-1.2998157,0.6233294318755166,-0.892269801623385,-0.8246650592267102
A053,T3,What,78.28,-0.52216256,-1.4460309,-0.6709436453829922,-1.1384463085759433,-0.4248452294131731
A053,T4,What,148.9,0.31794128,-1.3424246,0.3209831088129083,-0.964008650710832,-0.7404113334289785
A054,T1,What,1.0,0.5364078,-0.010698893,0.5789307288167329,1.278163043943252,0.5892696909389613
A054,T2,What,16.9,0.78079957,-0.32851967,0.8674887898872443,0.743061298578831,0.12098475186224988
A054,T3,What,72.83,1.0624813,-0.22610237,1.2000758235986793,0.9154970861406728,0.0884040610065156
A054,T4,What,136.83,1.199456,-0.47328517,1.361804485115043,0.4993255917765248,-0.2487703123691304
A055,T1,What,1.0,0.12596902,-0.5363119,0.0943177709215216,0.3932100837032056,0.22950853745685268
A055,T2,What,23.24,0.7207104,-0.8289479,0.796540351703191,-0.0994890904494733,-0.3898770250978253
A055,T3,What,74.48,0.026863433,-0.95640945,-0.0226981008730763,-0.3140908497040436,-0.17457563243468976
A055,T4,What,149.21,-0.27365744,-0.93987375,-0.3775288728916978,-0.2862503730229911,-0.003700440258364912
A056,T1,What,1.0,0.25282967,-0.49617058,0.2441045791685618,0.4607943700295577,0.20836042181210818
A056,T2,What,33.61,0.79354787,-0.98517495,0.8825409527728653,-0.3625221366751917,-0.5959896596296763
A056,T3,What,71.46,-0.6342211,-0.89595854,-0.8032533177945972,-0.2123121436194267,0.2273642475312418
A056,T4,What,147.84,-0.7479079,-1.2052184,-0.9374855080901664,-0.7330002258122298,-0.04937353864416677
A057,T1,What,1.0,0.37111652,-0.40966684,0.3837681369313229,0.6064371523909832,0.24173989676669572
A057,T2,What,24.78,-0.33406383,-0.32671973,-0.4488518588280455,0.7460917833842697,0.6904676440153297
A057,T3,What,73.83,-0.36420104,-0.6543599,-0.4844354420382118,0.1944575306667525,0.3513108362171629
A057,T4,What,145.06,-0.8997757,-1.3364934,-1.1167987390841734,-0.9540225336858096,-0.11409959658460689
A058,T1,What,1.0,0.86404234,-0.50493246,0.9657751287002844,0.4460423537361936,-0.11226530310424437
A058,T2,What,22.96,-0.67254853,-0.6090426,-0.8485072512090316,0.2707564012254986,0.5573112447628199
A058,T3,What,66.28,-0.33693078,-0.5491983,-0.4522369218078099,0.3715137830505138,0.45121080638727185
A058,T4,What,143.48,-0.94237626,-1.1876487,-1.1670980392370305,-0.7034188459406135,0.06863303450254543
A059,T1,What,1.0,1.0408934,-0.73470205,1.174586575058992,0.0591887634793571,-0.4508985836593231
A059,T2,What,30.4,1.4646933,-0.4889424,1.6749752641947866,0.4729641588341713,-0.4007334699320614
A059,T3,What,79.78,1.2263882,-0.76569885,1.393603851404518,0.0070007286464049,-0.5788648410811563
A059,T4,What,151.93,0.31380215,-0.7211721,0.3160959584505259,0.0819685827474138,-0.06612445941691887
A060,T1,What,1.0,0.076296605,-0.6521186,0.0356685956195473,0.198231115116473,0.1294949351941271
A060,T2,What,24.87,1.238489,-0.32915124,1.4078914985924822,0.7419979501957898,-0.1126912201901124
A060,T3,What,94.68,-0.14499544,-0.52048606,-0.2256151760701799,0.4198553983544187,0.384569610540883
A060,T4,What,143.91,0.22517887,-0.10856633,0.2114567480445903,1.1133876732221537,0.6418145989015213
A061,T1,What,1.0,2.5348673,0.07041081,2.938550279212982,1.4147241084871534,-0.3403128632455801
A061,T2,What,35.16,1.0422542,-0.22703744,1.1761932977792569,0.9139227473143666,0.09768920112590623
A061,T3,What,82.55,0.12469013,-0.27437422,0.0928077609129093,0.8342237614990635,0.513569646085435
