UID,TEST,Domain,TSVR_hours,theta_accuracy,theta_confidence,theta_accuracy_z,theta_confidence_z,latent_calibration
A034,T3,What,74.28,0.20019667,-0.32593602,0.181959784242267,0.7474112836158721,0.41934349218223677
A034,T4,What,145.38,-0.25343332,-0.5804641,-0.3536498656155635,0.3188728440026084,0.3748765415996748
A035,T1,What,1.0,-0.060081527,-0.71035606,-0.1253556865906852,0.1001791035842293,0.13590847149755664
A035,T2,What,44.76,0.87888414,-0.21037312,0.9832991272817272,0.9419797761892008,0.1988851901897794
A035,T3,What,79.98,-0.35612592,-0.7377237,-0.474900992616647,0.0541013358915742,0.2570025295356852
A035,T4,What,152.47,-0.88171935,-1.0032879,-1.095479259520641,-0.3930181641853706,0.23722867577296242
A036,T1,What,1.0,0.97793245,-1.4230407,1.1002473710213216,-1.0997386562241993,-1.163612858505101
A036,T2,What,21.63,0.026050432,-2.1549456,-0.0236580267830543,-2.332016775759387,-1.4709481531287893
A036,T3,What,71.47,-0.35021576,-1.8325033,-0.4679227530866641,-1.7891339625652125,-0.9305304880095477
A036,T4,What,143.85,-0.5848764,-2.2474222,-0.7449910818931752,-2.4877158163710944,-1.2600054622110683
A037,T1,What,1.0,1.2614937,-0.39597678,1.4350535901289885,0.6294865422681706,-0.19670563241521782
A037,T2,What,23.7,1.157818,-0.5082488,1.312641698058613,0.4404587687391001,-0.2654037390977891
A037,T3,What,72.08,0.059776444,-0.68401986,0.0161629239402895,0.144520278252827,0.10338836125820855
A037,T4,What,143.66,-0.13570116,-0.80795884,-0.2146412409992631,-0.0641506750520478,0.06879982072795801
A038,T1,What,1.0,1.2025418,-0.45616615,1.3654479484970192,0.5281481803039213,-0.23181882306130164
A038,T2,What,71.85,0.007853324,-0.3251796,-0.045143702023144,0.7486848367990504,0.5180767479379933
A038,T3,What,72.86,0.70266676,-0.57717633,0.7752358790809979,0.3244083268680247,-0.10828108601921005
A038,T4,What,152.89,0.056318834,-0.43558908,0.0120804573435706,0.5627929451157758,0.37394444421649864
A039,T1,What,1.0,2.252001,0.064273424,2.6045646009301597,1.4043908445905164,-0.20295667286295171
A039,T2,What,28.65,0.92305565,0.10130654,1.0354532782998105,1.4667419759260336,0.5136287829893703
A039,T3,What,98.84,0.31220362,-0.23081385,0.3142085433490966,0.9075645614169996,0.4652447576637541
A039,T4,What,246.24,0.6324969,-0.58008456,0.6923849764209402,0.3195118598603906,-0.07570685852497194
A040,T1,What,1.0,-0.36999494,-0.6970588,-0.4912764111511915,0.1225671522880574,0.3080611439290691
A040,T2,What,26.26,0.056224108,-0.7691323,0.0119686125343409,0.0012199703682215,0.013107173914859424
A040,T3,What,71.28,-1.5265014,-0.77506536,-1.8567858213621853,-0.0087692782621531,0.8123943120265884
A040,T4,What,143.53,-1.7589025,-1.1014721,-2.131186267852892,-0.558326855716288,0.5775370521475238
A041,T1,What,1.0,1.2257649,-0.14199288,1.3928679091120864,1.0571087684401952,0.0962868486174151
A041,T2,What,31.78,-1.0088389,-0.319344,-1.2455717559748216,0.7585099960435909,1.0419508376358788
A041,T3,What,75.74,0.059980888,-0.23154925,0.0164043149013579,0.9063263987416216,0.5928462646570766
A041,T4,What,141.84,0.045220107,-0.62750417,-0.001024022989261,0.2396734165873751,0.17194702477919765
A042,T1,What,1.0,-0.8475921,-0.7107582,-1.055184559377225,0.099502037037756,0.536365645171976
A042,T2,What,28.93,-0.4416498,-1.0012134,-0.5758806818591574,-0.389525414022097,0.015450228494522655
A042,T3,What,72.17,0.056583792,-0.912052,0.012393298347771,-0.2394080390364608,-0.141711498626768
A042,T4,What,146.02,-1.0751622,-1.1347266,-1.3238809512959155,-0.6143160870031436,0.19348980678622274
A043,T1,What,1.0,0.78068006,0.04892652,0.8673476821327625,1.3785518947463398,0.5294330064210102
A043,T2,What,25.62,0.43919662,-0.10843749,0.4641516197854571,1.1136045958208696,0.5330055413218803
A043,T3,What,64.94,0.38608864,-0.13326636,0.4014460068420609,1.0718012505586865,0.5331766128472434
A043,T4,What,149.33,-0.026184201,-0.484459,-0.08533246213417,0.4805126746606457,0.36306762272234705
A044,T1,What,1.0,-0.12027291,-1.1892142,-0.1964248096287995,-0.7060546137789385,-0.3515629702175872
A044,T2,What,47.66,-0.47558594,-1.0392059,-0.6159497347516398,-0.4534918206637806,-0.008381090302809646
A044,T3,What,91.63,-0.9757199,-1.1329389,-1.206467515989186,-0.6113062101813146,0.14480168551432665
A044,T4,What,155.27,-1.5148207,-1.6890951,-1.8429941943203,-1.5476834858408102,-0.18250940663078508
A045,T1,What,1.0,-0.90017945,-0.6257483,-1.1172754544709362,0.2426297025498659,0.6551145083800533
A045,T2,What,24.66,-0.808676,-0.593401,-1.0092355719770925,0.2970915185809386,0.6435324890179532
A045,T3,What,72.23,-0.65163666,-0.7782343,-0.8238162042864671,-0.0141046919533578,0.363604567963607
