UID,TEST,theta_accuracy,Domain,theta_confidence,TSVR_hours,theta_accuracy_z,theta_confidence_z,calibration,abs_calibration
A107,T4,-1.3145429,Where,-2.3700135,145.95,-1.6065223456837123,-2.6941177363956417,-1.0875953907119293,1.0875953907119293
A108,T1,-0.46580803,Where,-0.9310122,1.0,-0.6044047684423327,-0.2713305464578636,0.3330742219844691,0.3330742219844691
A108,T2,-0.9090442,Where,-1.1488962,27.61,-1.1277422352134907,-0.6381728586172778,0.4895693765962129,0.4895693765962129
A108,T3,-0.15494189,Where,-1.0102834,68.96,-0.23735914079753054,-0.40479619926234384,-0.1674370584648133,0.1674370584648133
A108,T4,-1.056874,Where,-0.9659984,152.12,-1.3022877219802567,-0.33023536967421596,0.9720523523060407,0.9720523523060407
A109,T1,-0.24901082,Where,-1.5084882,1.0,-0.348428134846625,-1.2436030908235343,-0.8951749559769093,0.8951749559769093
A109,T2,-1.060476,Where,-2.0305598,24.65,-1.306540672625755,-2.1225935300332273,-0.8160528574074724,0.8160528574074724
A109,T3,-0.09701187,Where,-1.1609657,71.17,-0.16896005252636687,-0.6584937784030722,-0.48953372587670535,0.48953372587670535
A109,T4,-1.2608058,Where,-2.159722,149.87,-1.5430739186619997,-2.340058603611814,-0.7969846849498141,0.7969846849498141
A010,T1,-0.24154915,When,0.2531799,1.0,-0.3396179976331337,1.7224448937071422,2.062062891340276,2.062062891340276
A010,T2,0.68599474,When,-0.58785975,21.9,0.7555509045610754,0.30642109286015756,-0.44912981170091787,0.44912981170091787
A010,T3,-0.076383084,When,-0.9595362,80.88,-0.14460324832466026,-0.31935522983082865,-0.17475198150616839,0.17475198150616839
A010,T4,1.1705245,When,-0.72395766,145.31,1.3276445068806633,0.07727865016375111,-1.2503658567169122,1.2503658567169122
A011,T1,0.22548166,When,0.3756417,1.0,0.21181425801847997,1.9286287799181705,1.7168145218996904,1.7168145218996904
A011,T2,1.3155032,When,-0.13075611,24.57,1.498823645067368,1.0760276550404206,-0.42279599002694734,0.42279599002694734
A011,T3,-0.45838392,When,-1.1300645,72.55,-0.5956389790429016,-0.6064667013506018,-0.010827722307700127,0.010827722307700127
A011,T4,0.09927937,When,-1.1402402,148.85,0.06280478807987123,-0.6235991081167734,-0.6864038961966447,0.6864038961966447
A012,T1,0.7508862,When,-0.25392818,1.0,0.8321694988682184,0.8686479164994483,0.03647841763122983,0.03647841763122983
A012,T2,-0.15484987,When,-0.67918605,25.6,-0.2372504910145215,0.15265876495648273,0.38990925597100423,0.38990925597100423
A012,T3,-0.36329967,When,-0.27526832,166.33,-0.4833711771511122,0.832718402173451,1.3160895793245633,1.3160895793245633
A012,T4,-0.50624204,When,-0.5091232,166.87,-0.6521459813600412,0.4389865774916832,1.0911325588517244,1.0911325588517244
A013,T1,-0.21120891,When,-0.6384713,1.0,-0.303794692998882,0.22120851174372966,0.5250032047426116,0.5250032047426116
A013,T2,-0.34614083,When,-0.16366316,24.77,-0.4631114048984741,1.020623411000723,1.4837348158991972,1.4837348158991972
A013,T3,0.43057328,When,-0.08454856,79.66,0.45396987647081205,1.1538254028384312,0.6998555263676192,0.6998555263676192
A013,T4,-0.031026013,When,-1.0340359,147.13,-0.09104928264243817,-0.4447873047109607,-0.3537380220685225,0.3537380220685225
A014,T1,0.37932342,When,-0.025188105,1.0,0.39345818153225026,1.2537681547754016,0.8603099732431514,0.8603099732431514
A014,T2,0.92721575,When,-0.1459619,25.66,1.040365188344324,1.0504262930229689,0.010061104678644961,0.010061104678644961
A014,T3,-0.27616444,When,-0.27133006,70.56,-0.38048893598671846,0.8393490882462464,1.219838024232965,1.219838024232965
A014,T4,-0.40244493,When,-0.75024897,148.87,-0.5295907381686581,0.03301305493831029,0.5626037931069684,0.5626037931069684
A015,T1,1.6497607,When,-0.38100857,1.0,1.893487901143898,0.6546879006299028,-1.2388000005139954,1.2388000005139954
A015,T2,-0.31009868,When,-0.17876375,23.69,-0.42055574551267505,0.9951991698881526,1.4157549154008278,1.4157549154008278
A015,T3,1.2729087,When,-0.62155294,70.59,1.4485315000730095,0.2496932572979939,-1.1988382427750155,1.1988382427750155
A015,T4,-0.07569087,When,-0.36283612,146.54,-0.14378593794761335,0.6852841058381849,0.8290700437857983,0.8290700437857983
