TSVR_hours,domain,probability,predicted_probability,UID
1.0,what,0.8964958638588001,0.8653633402925257,A071
1.0,what,0.8949635123052587,0.8653633402925257,A072
1.0,what,0.8785776561381945,0.8653633402925257,A073
1.0,what,0.9064663206105554,0.8653633402925257,A074
1.0,what,0.8262553133779098,0.8653633402925257,A075
1.0,what,0.6885662192588102,0.8653633402925257,A076
1.0,what,0.9350584794469776,0.8653633402925257,A077
1.0,what,0.7894007751971595,0.8653633402925257,A078
1.0,what,0.8075797843633461,0.8653633402925257,A079
1.0,what,0.8514605700963626,0.8653633402925257,A080
1.0,what,0.8490857893849453,0.8653633402925257,A081
1.0,what,0.8839243398580581,0.8653633402925257,A082
1.0,what,0.9562990244115104,0.8653633402925257,A083
1.0,what,0.8298549935334357,0.8653633402925257,A084
1.0,what,0.8042768223537647,0.8653633402925257,A085
1.0,what,0.8809186208952685,0.8653633402925257,A086
1.0,what,0.9281943393409445,0.8653633402925257,A087
1.0,what,0.9456699733818406,0.8653633402925257,A088
1.0,what,0.9395574638832724,0.8653633402925257,A089
1.0,what,0.8686924482731242,0.8653633402925257,A090
1.0,what,0.8774746870788663,0.8653633402925257,A091
1.0,what,0.6942406577784624,0.8653633402925257,A092
1.0,what,0.8475837010343321,0.8653633402925257,A093
1.0,what,0.6993950066161181,0.8653633402925257,A094
1.0,what,0.9491248041968824,0.8653633402925257,A095
1.0,what,0.6646522377925285,0.8653633402925257,A096
1.0,what,0.8334986253415035,0.8653633402925257,A097
1.0,what,0.8764422892135664,0.8653633402925257,A098
1.0,what,0.9025799496162871,0.8653633402925257,A099
1.0,what,0.7980022400387753,0.8653633402925257,A100
1.0,what,0.5270070579556505,0.8653633402925257,A101
1.0,what,0.765483380797405,0.8653633402925257,A102
1.0,what,0.9501604031072941,0.8653633402925257,A103
1.0,what,0.9664511490017234,0.8653633402925257,A104
1.0,what,0.8812407470897755,0.8653633402925257,A105
1.0,what,0.9506926785954075,0.8653633402925257,A106
1.0,what,0.6548966752740685,0.8653633402925257,A107
1.0,what,0.6429154873356585,0.8653633402925257,A108
1.0,what,0.7291162038355171,0.8653633402925257,A109
16.9,what,0.8919408990845781,0.8299754746327209,A054
17.16,what,0.6572776809420705,0.8294751126582722,A051
20.61,what,0.9171163144712822,0.8230174281111766,A017
21.63,what,0.7898256236633101,0.821169495014781,A036
21.9,what,0.864301814507996,0.8206847732314052,A010
21.98,what,0.8609312089488402,0.8205415033207089,A063
22.09,what,0.8356791824852978,0.8203447681475552,A093
22.2,what,0.7408673926292362,0.8201483341500452,A091
22.6,what,0.7374091494414365,0.8194365505966292,A104
22.64,what,0.7980307566053265,0.8193655885308135,A106
22.77,what,0.847629071726251,0.8191352317498748,A105
22.82,what,0.8378004727022491,0.819046742656967,A028
22.83,what,0.6363458007621474,0.8190290521348152,A092
22.96,what,0.6446411851992772,0.8187992962237518,A058
22.98,what,0.7664107121174998,0.8187639855067579,A094
23.24,what,0.8857531597545883,0.8183058243517001,A055
23.33,what,0.9558577465375356,0.818147608593051,A025
23.35,what,0.7394082699857094,0.8181124758661927,A066
23.46,what,0.6884669108110407,0.8179194166202968,A047
23.47,what,0.6122821460536647,0.8179018800874372,A086
23.54,what,0.5619667756191431,0.8177791909930057,A090
23.69,what,0.9644991588309038,0.8175166775159819,A015
23.7,what,0.9244059502843992,0.8174991955644042,A037
23.91,what,0.6769874797508996,0.8171326195548668,A048
24.15,what,0.8086697819708492,0.8167149434011706,A022
24.25,what,0.8179957408804238,0.8165413085283886,A070
24.25,what,0.9774166496014357,0.8165413085283886,A088
24.32,what,0.5516310408952768,0.8164199024269475,A046
24.37,what,0.6915198308839223,0.8163332533600514,A097
24.49,what,0.3923540522473089,0.816125531574458,A096
24.51,what,0.946022249167117,0.816090943602026,A085
24.57,what,0.870875219758049,0.8159872349849837,A011
24.65,what,0.6008831117880088,0.8158490856502144,A109
24.66,what,0.6115065055754605,0.8158318273190941,A045
24.73,what,0.6577188513918241,0.8157110832066404,A050
24.77,what,0.7274644949551802,0.8156421369558564,A013
24.78,what,0.7208024539473307,0.8156249061116627,A057
24.87,what,0.9300771793178233,0.8154699312991929,A060
24.96,what,0.458929784441707,0.815315141140293,A069
25.15,what,0.8755702349230841,0.8149889660183778,A083
25.6,what,0.7547646047355483,0.8142196921042895,A012
25.62,what,0.8525309272612268,0.8141856073940515,A043
25.63,what,0.6868690995242748,0.8141685683814078,A023
25.66,what,0.969596105588263,0.8141174647052816,A014
25.77,what,0.8297065095725862,0.8139302557767638,A098
26.08,what,0.8411535128690827,0.8134041080050706,A034
26.11,what,0.6664438326450592,0.813353302861159,A079
