TSVR_hours,domain,theta,predicted_theta,UID
1.0,what,-0.1090957,0.5408521538996676,A102
1.0,what,1.5837513,0.5408521538996676,A103
1.0,what,1.9797188,0.5408521538996676,A104
1.0,what,0.6786545,0.5408521538996676,A105
1.0,what,1.5945877,0.5408521538996676,A106
1.0,what,-0.6293192,0.5408521538996676,A107
1.0,what,-0.6797666,0.5408521538996676,A108
1.0,what,-0.29406714,0.5408521538996676,A109
16.9,what,0.78079957,0.27695868388861833,A054
17.16,what,-0.61919725,0.27356155156131773,A051
20.61,what,1.0619187,0.2304109108751724,A017
21.63,what,0.026050432,0.2182912977404533,A036
21.9,what,0.5321417,0.2151285049730427,A010
21.98,what,0.50485903,0.21419495346310008,A063
22.09,what,0.31625798,0.2129139688174964,A093
22.2,what,-0.23618999,0.21163603777346662,A091
22.6,what,-0.25339428,0.20701452795297448,A104
22.64,what,0.07416145,0.20655456068399286,A106
22.77,what,0.4023,0.20506238679513517,A105
22.82,what,0.3311532,0.20448957787312022,A028
22.83,what,-0.707106,0.2043750894970074,A092
22.96,what,-0.67254853,0.20288896131457357,A058
22.98,what,-0.10413395,0.20266069142859933,A094
23.24,what,0.7207104,0.1997019941930782,A055
23.33,what,1.7059261,0.19868162244123522,A025
23.35,what,-0.24346694,0.19845513666722414,A066
23.46,what,-0.48320502,0.19721117238999514,A047
23.47,what,-0.8055431,0.19709822773159558,A086
23.54,what,-1.004835,0.19630828069175155,A090
23.69,what,1.9235327,0.1946194465140741,A015
23.7,what,1.157818,0.19450704650965556,A037
23.91,what,-0.534043,0.19215207395340655,A048
24.15,what,0.13877183,0.18947328352453557,A022
24.25,what,0.19770284,0.18836105943448606,A070
24.25,what,2.3701851,0.18836105943448606,A088
24.32,what,-1.0450114,0.18758387327087028,A046
24.37,what,-0.46951467,0.18702942930883093,A097
24.49,what,-1.6634033,0.18570109870369605,A096
24.51,what,1.5030562,0.1854800299091775,A085
24.57,what,0.58703774,0.18481736997423376,A011
24.65,what,-0.85136366,0.18393509564366645,A109
24.66,what,-0.808676,0.18382491337647971,A045
24.73,what,-0.6173181,0.18305427093269744,A050
24.77,what,-0.30207354,0.18261440069746693,A013
24.78,what,-0.33406383,0.18250448950915577,A057
24.87,what,1.238489,0.18151630154435228,A060
24.96,what,-1.4017547,0.18052993177370308,A069
25.15,what,0.627722,0.17845353644259393,A083
25.6,what,-0.16549101,0.17356760249859166,A012
25.62,what,0.43919662,0.17335148001265288,A043
25.63,what,-0.49034083,0.173243451434129,A023
25.66,what,2.0772517,0.17291949625107478,A014
25.77,what,0.2751316,0.17173333263525958,A098
26.08,what,0.35502133,0.16840455951788247,A034
26.11,what,-0.5799095,0.16808351440252234,A079
26.17,what,0.099462025,0.16744200038208018,A078
26.22,what,-1.6425781,0.1669079911546289,A107
26.26,what,0.056224108,0.16648116643533795,A040
26.48,what,0.00019577265,0.16413968563929765,A026
26.85,what,-0.5171829,0.16022465840890082,A020
27.12,what,-0.3073396,0.15738568362353378,A049
27.25,what,-1.0235722,0.15602411335983535,A084
27.26,what,-0.8997795,0.15591952028192874,A103
27.3,what,-0.47757313,0.15550135191508585,A076
27.61,what,-1.2300881,0.15227155954111576,A108
27.97,what,1.0411574,0.14854509049343279,A082
28.26,what,0.33739686,0.14556193729930345,A027
28.43,what,-0.0183022,0.14382087913992014,A029
28.65,what,0.92305565,0.14157610615688287,A039
28.68,what,0.108092144,0.14127072772702987,A075
28.69,what,-1.1935377,0.1411689735615711,A019
28.75,what,0.962919,0.14055885382298067,A099
28.93,what,-0.4416498,0.13873264979658617,A042
29.03,what,0.4199076,0.1377207736579099,A080
29.12,what,-0.97317004,0.13681171524469826,A101
29.13,what,0.7893604,0.13671080384315598,A102
29.16,what,0.24968037,0.13640818355902046,A033
29.33,what,-0.76089525,0.13469655454845048,A074
29.57,what,-0.0904471,0.1322894029533601,A024
29.71,what,-0.31464836,0.130890206508899,A095
29.91,what,-1.1704557,0.12889766818418819,A067
30.21,what,0.8355286,0.12592267820142,A021
30.4,what,1.4646933,0.12404702127228251,A059
30.49,what,0.14502825,0.12316083751423856,A068
30.92,what,0.52419287,0.11894695086557439,A071
31.07,what,0.91695786,0.11748474843409984,A087
31.14,what,0.9113723,0.11680374975187502,A100
31.39,what,-0.49664956,0.11437864917598772,A081
31.76,what,0.4169858,0.11080951367012037,A052
31.78,what,-1.0088389,0.11061726270190952,A041
32.14,what,0.98157203,0.1071684828506076,A089
32.31,what,-1.1918952,0.1055475726028769,A065
32.41,what,-0.3397794,0.10459638033929847,A031
32.71,what,0.5740109,0.10175288806935212,A053
32.85,what,-0.39004326,0.10043106889536613,A016
32.95,what,0.8832621,0.0994889037686596,A030
33.61,what,0.79354787,0.09331179980117044,A056
33.76,what,0.4618086,0.09191778371071624,A072
34.03,what,-0.36246425,0.08941765324172496,A018
35.16,what,1.0422542,0.07907884393538278,A061
37.65,what,0.62713385,0.05697706926706381,A064
44.69,what,0.4567172,-0.0009907528278254585,A062
44.76,what,0.87888414,-0.0015367903772185443,A035
