UID,HCE_rate_mean,baseline_accuracy,baseline_confidence,Age,confidence_bias
A095,0.03472222222222215,1.5409168,1.0626495,61.0,-0.5818818572365043
A096,0.2152777777777778,-0.45961466,1.2504172,60.0,1.9107348037124265
A097,0.0034722222222222,0.24293853,-0.40680176,64.0,-0.8439271345951433
A098,0.06597222222222218,0.6008492,0.7665425,60.0,0.1355152511745096
A099,0.06597222222222218,1.1219946,1.5797538,63.0,0.5043485924645097
A100,0.16666666666666663,-0.06985861,0.9444509,66.0,1.1069653382731548
A101,0.010416666666666624,-1.0356112,-0.32381263,69.0,0.7054030753041793
A102,0.0208333333333333,-0.044223346,0.7623854,68.0,0.8628469407834377
A103,0.0,1.7611793,-1.8178651,68.0,-4.233791178764594
A104,0.06249999999999995,1.7474676,1.6208797,66.0,-0.15707497529297365
A105,0.07986111111111108,0.61165696,2.0030143,68.0,1.5835180882340671
A106,0.024305555555555525,1.1972102,0.900686,66.0,-0.38300878702125996
A107,0.0034722222222222,-0.71622896,-1.6444446,70.0,-1.216801360564885
A108,0.0243055555555555,-0.4913459,-0.31995967,69.0,0.09214152890320682
A109,0.06597222222222218,-0.25337747,0.48572227,68.0,0.7735253911129943
