UID,HCE_rate_mean,z_baseline_accuracy,z_baseline_confidence,z_Age,z_confidence_bias
A074,0.04166666666666662,0.5431962503336745,-0.3585137908589977,0.5782243822388905,-0.9371238515015979
A075,0.020833333333333252,-0.20255171364041594,-0.5793884441803753,0.5782243822388905,-0.39163663725401415
A076,0.010416666666666624,-1.1975817010181329,-1.1419350836051032,0.6468156494083911,0.05783208576025095
A077,0.031249999999999927,0.6774849705246067,0.4411546603524,0.5096331150693898,-0.245611959918081
A078,0.017361111111111025,-0.6873719806560824,-1.9432443429453832,0.3724505807303885,-1.3051955632947032
A079,0.07291666666666663,-0.18589064967570817,-0.3862646518799468,0.3724505807303885,-0.2082435019111684
A080,0.04861111111111105,-0.3448498432043028,0.49018132320920155,0.7839981837473924,0.8678262268858207
A081,0.0833333333333333,-0.10376423049451855,0.6691260621553201,0.7154069165778918,0.8032448289898223
A082,0.0,-0.21061278278096568,-0.6321762440202999,0.9211807180863937,-0.43811996806247844
A083,0.03819444444444438,1.4221896364895468,0.6662490322830286,0.9211807180863937,-0.7856294575398751
A084,0.0069444444444444,-0.32294912118996366,-1.3370463778849577,0.9897719852558944,-1.0539249687562873
A085,0.0833333333333333,-0.4096459371073098,0.18711850875084107,0.9211807180863937,0.6202018058955066
A086,0.034722222222222175,0.27788140067958716,0.6716164331957951,0.9211807180863937,0.40919860408192377
A087,0.01736111111111105,0.5722890653978829,0.9306616708366536,0.9897719852558944,0.372447351076667
A088,0.020833333333333273,1.5316521548542128,-0.5388058362452901,0.7839981837473924,-2.151773273396254
A089,0.024305555555555476,1.0702063605201249,0.7363265168062846,0.7839981837473924,-0.3469926592655187
A090,0.0034722222222222,-0.5210420132598401,-1.610320518816873,1.1269545195948958,-1.132058890167549
A091,0.03819444444444438,-0.018929629442748605,0.32775071919606147,1.264137053933897,0.36029589193284717
A092,0.05208333333333327,-1.0735889280216675,-0.5708644356761479,1.058363252425395,0.5224685220183253
A093,0.0694444444444444,-0.11241835966973329,1.069735672171615,1.3327283211033976,1.2285820150366862
A094,0.0069444444444444,-1.554618189930013,-1.023644029910229,1.058363252425395,0.551827668712013
A095,0.03472222222222215,0.9992157825927539,0.4173339253562495,1.1269545195948958,-0.604734717660597
A096,0.2152777777777778,-1.2716475505159852,0.6390872531964413,1.058363252425395,1.9857771086642855
A097,0.0034722222222222,-0.4741583279623058,-1.3180854625574492,1.3327283211033976,-0.8770715758165999
A098,0.06597222222222218,-0.06788317894196395,0.06763207223254565,1.058363252425395,0.14083748468619658
A099,0.06597222222222218,0.5236846137876177,1.0280332062521274,1.264137053933897,0.5241564071357174
A100,0.16666666666666663,-0.8292237543901816,0.2777415838829732,1.469910855442399,1.1504403565354662
A101,0.010416666666666624,-1.9254785193543864,-1.220075444050207,1.675684656950901,0.7331071149166394
A102,0.0208333333333333,-0.8001243964364894,0.06272254434694835,1.6070933897814002,0.8967344395254108
A103,0.0,1.2492423604846425,-2.9845488182799516,1.6070933897814002,-4.400069328993527
A104,0.06249999999999995,1.2336777980735185,1.0766028227805449,1.469910855442399,-0.16324394660879396
A105,0.07986111111111108,-0.055614966025662495,1.5279031222084047,1.6070933897814002,1.6457092657031567
A106,0.024305555555555525,0.609064099955645,0.22605531293438505,1.469910855442399,-0.3980510954248375
A107,0.0034722222222222,-1.562938148176152,-2.779739508741037,1.7442759241204016,-1.2645900848755196
A108,0.0243055555555555,-1.3076666338799994,-1.2155251049767926,1.675684656950901,0.09576030043405984
A109,0.06597222222222218,-1.0375415231634435,-0.26401613205044916,1.6070933897814002,0.8039048703453427
