UID,TEST,gamma,n_items,TSVR_hours
A063,T3,0.8309572301425662,72,69.99
A063,T4,0.5308310991957105,72,141.09
A064,T1,0.38823529411764707,72,1.0
A064,T2,0.6817724068479355,72,37.65
A064,T3,0.5517241379310345,72,82.99
A064,T4,0.721618953603159,72,156.21
A065,T1,0.4431057563587684,72,1.0
A065,T2,0.4129692832764505,72,32.31
A065,T3,0.20074349442379183,72,106.41
A065,T4,0.13122171945701358,72,187.43
A066,T1,0.6112676056338028,72,1.0
A066,T2,0.8819503849443969,72,23.35
A066,T3,0.7253668763102725,72,73.79
A066,T4,0.7110834371108343,72,164.93
A067,T1,0.6349809885931559,72,1.0
A067,T2,0.7255434782608695,72,29.91
A067,T3,0.6744913928012519,72,73.19
A067,T4,0.6715686274509803,72,144.19
A068,T1,0.7578027465667915,72,1.0
A068,T2,0.707035755478662,72,30.49
A068,T3,0.824381926683717,72,82.98
A068,T4,0.43137254901960786,72,155.59
A069,T1,0.5412474849094567,72,1.0
A069,T2,0.06080206985769728,72,24.96
A069,T3,0.7740863787375415,72,79.75
A069,T4,-0.01278772378516624,72,140.22
A070,T1,0.5211267605633803,72,1.0
A070,T2,0.8100208768267223,72,24.25
A070,T3,0.6500711237553343,72,81.92
A070,T4,0.8659003831417624,72,149.2
A071,T1,0.8086606243705942,72,1.0
A071,T2,0.8069565217391305,72,30.92
A071,T3,0.5015075376884423,72,79.96
A071,T4,0.8323586744639376,72,153.27
A072,T1,0.8705882352941177,72,1.0
A072,T2,0.5793025871766029,72,33.76
A072,T3,0.6502415458937199,72,83.54
A072,T4,0.4966634890371783,72,154.89
A073,T1,0.901213171577123,72,1.0
A073,T2,0.4197292069632495,72,66.66
A073,T3,0.7775590551181102,72,66.9
A073,T4,0.5734406438631791,72,140.12
A074,T1,0.8741396263520157,72,1.0
A074,T2,0.6229166666666667,72,29.33
A074,T3,0.915068493150685,72,73.02
A074,T4,0.7209821428571429,72,147.21
A075,T1,0.9204946996466431,72,1.0
A075,T2,0.8290105667627281,72,28.68
A075,T3,0.7230769230769231,72,71.37
A075,T4,0.6813048933500627,72,244.53
A076,T1,0.599601593625498,72,1.0
A076,T2,0.48911798396334477,72,27.3
A076,T3,0.5138888888888888,72,74.88
A076,T4,0.39285714285714285,72,149.28
A077,T1,0.65625,72,1.0
A077,T2,0.7666666666666667,72,53.88
A077,T3,0.6696878147029205,72,78.36
A077,T4,0.8009756097560976,72,149.75
A078,T1,0.8648111332007953,72,1.0
A078,T2,0.5404814004376368,72,26.17
A078,T3,0.7209302325581395,72,72.3
A078,T4,0.525965379494008,72,140.08
A079,T1,0.5637450199203188,72,1.0
A079,T2,0.5621890547263682,72,26.11
A079,T3,0.5580678314491264,72,74.0
A079,T4,0.589803012746234,72,194.42
A080,T1,0.7605363984674329,72,1.0
A080,T2,0.740530303030303,72,29.03
A080,T3,0.6563786008230452,72,72.87
A080,T4,0.7261410788381742,72,145.77
A081,T1,0.5932203389830508,72,1.0
A081,T2,0.8300536672629696,72,31.39
A081,T3,0.6488970588235294,72,80.13
A081,T4,0.688715953307393,72,154.53
A082,T1,0.6136136136136137,72,1.0
A082,T2,0.888671875,72,27.97
A082,T3,0.9608574091332712,72,75.71
A082,T4,0.8119312436804853,72,170.25
A083,T1,0.8898128898128899,72,1.0
A083,T2,0.6959395656279509,72,25.15
A083,T3,0.7448015122873346,72,74.3
A083,T4,0.6926108374384237,72,144.91
A084,T1,0.7047898338220919,72,1.0
A084,T2,0.6136631330977621,72,27.25
A084,T3,0.6501516683518705,72,91.97
A084,T4,0.5246073298429319,72,162.51
A085,T1,0.5821917808219178,72,1.0
A085,T2,0.790948275862069,72,24.51
A085,T3,0.925777331995988,72,71.4
A085,T4,0.23252496433666192,72,170.65
A086,T1,0.9035743973399833,72,1.0
A086,T2,0.5626283367556468,72,23.47
A086,T3,0.6526829268292683,72,145.29
A086,T4,0.7704280155642024,72,169.55
A087,T1,0.786697247706422,72,1.0
A087,T2,0.8369351669941061,72,31.07
A087,T3,0.6614173228346457,72,72.8
A087,T4,0.9494097807757167,72,144.2
A088,T1,0.7295528898582334,72,1.0
A088,T2,0.8333333333333334,72,24.25
A088,T3,0.8576449912126538,72,74.91
A088,T4,0.8101135190918473,72,149.93
A089,T1,0.7905405405405406,72,1.0
A089,T2,0.9350307287093942,72,32.14
A089,T3,0.7424657534246575,72,79.34
A089,T4,0.7511436413540714,72,146.96
A090,T1,0.8147368421052632,72,1.0
A090,T2,0.7121848739495799,72,23.54
A090,T3,0.41916167664670656,72,95.42
A090,T4,0.6428571428571429,72,144.07
A091,T1,0.5245901639344263,72,1.0
