UID,composite_ID,test,congruence,theta,se,TSVR_hours,TSVR_sq,TSVR_log
A018,A018_4,4,Congruent,-0.17055476,0.2061241640685505,150.87,22761.7569,5.023024891742178
A018,A018_4,4,Incongruent,0.28919047,0.2365098342133737,150.87,22761.7569,5.023024891742178
A019,A019_1,1,Common,-0.8709922,0.1962873223365104,1.0,1.0,0.6931471805599453
A019,A019_1,1,Congruent,-1.0139009,0.2061241640685505,1.0,1.0,0.6931471805599453
A019,A019_1,1,Incongruent,-0.28521618,0.2365098342133737,1.0,1.0,0.6931471805599453
A019,A019_2,2,Common,-0.35722595,0.1962873223365104,28.69,823.1161000000001,3.3908102887756684
A019,A019_2,2,Congruent,-0.52953434,0.2061241640685505,28.69,823.1161000000001,3.3908102887756684
A019,A019_2,2,Incongruent,-1.109437,0.2365098342133737,28.69,823.1161000000001,3.3908102887756684
A019,A019_3,3,Common,-0.8311249,0.1962873223365104,83.68,7002.342400000001,4.4388794462666645
A019,A019_3,3,Congruent,-0.8048507,0.2061241640685505,83.68,7002.342400000001,4.4388794462666645
A019,A019_3,3,Incongruent,-0.12449538,0.2365098342133737,83.68,7002.342400000001,4.4388794462666645
A019,A019_4,4,Common,-0.5362667,0.1962873223365104,154.76,23950.6576,5.048316361063944
A019,A019_4,4,Congruent,-1.1073892,0.2061241640685505,154.76,23950.6576,5.048316361063944
A019,A019_4,4,Incongruent,-0.2515996,0.2365098342133737,154.76,23950.6576,5.048316361063944
A020,A020_1,1,Common,0.3413008,0.1962873223365104,1.0,1.0,0.6931471805599453
A020,A020_1,1,Congruent,0.5093016,0.2061241640685505,1.0,1.0,0.6931471805599453
A020,A020_1,1,Incongruent,0.10248403,0.2365098342133737,1.0,1.0,0.6931471805599453
A020,A020_2,2,Common,0.4715719,0.1962873223365104,26.85,720.9225000000001,3.326832966373293
A020,A020_2,2,Congruent,-0.5068383,0.2061241640685505,26.85,720.9225000000001,3.326832966373293
A020,A020_2,2,Incongruent,0.029921481,0.2365098342133737,26.85,720.9225000000001,3.326832966373293
A020,A020_3,3,Common,0.16060348,0.1962873223365104,78.25,6123.0625,4.37260741275739
A020,A020_3,3,Congruent,-1.5806824,0.2061241640685505,78.25,6123.0625,4.37260741275739
A020,A020_3,3,Incongruent,-1.1270595,0.2365098342133737,78.25,6123.0625,4.37260741275739
A020,A020_4,4,Common,-1.9810846,0.1962873223365104,145.78,21251.8084,4.9889348671169165
A020,A020_4,4,Congruent,-2.0976696,0.2061241640685505,145.78,21251.8084,4.9889348671169165
A020,A020_4,4,Incongruent,-1.7975917,0.2365098342133737,145.78,21251.8084,4.9889348671169165
A021,A021_1,1,Common,0.80163884,0.1962873223365104,1.0,1.0,0.6931471805599453
A021,A021_1,1,Congruent,2.0377793,0.2061241640685505,1.0,1.0,0.6931471805599453
A021,A021_1,1,Incongruent,1.0467342,0.2365098342133737,1.0,1.0,0.6931471805599453
A021,A021_2,2,Common,0.10639259,0.1962873223365104,30.21,912.6441,3.440738556282688
A021,A021_2,2,Congruent,0.26171365,0.2061241640685505,30.21,912.6441,3.440738556282688
A021,A021_2,2,Incongruent,-0.287681,0.2365098342133737,30.21,912.6441,3.440738556282688
A021,A021_3,3,Common,0.81882334,0.1962873223365104,74.19,5504.156099999999,4.320018243389936
A021,A021_3,3,Congruent,-0.1410835,0.2061241640685505,74.19,5504.156099999999,4.320018243389936
A021,A021_3,3,Incongruent,-0.33009732,0.2365098342133737,74.19,5504.156099999999,4.320018243389936
A021,A021_4,4,Common,0.684539,0.1962873223365104,140.39,19709.3521,4.951522029603749
A021,A021_4,4,Congruent,0.18201117,0.2061241640685505,140.39,19709.3521,4.951522029603749
A021,A021_4,4,Incongruent,1.0272207,0.2365098342133737,140.39,19709.3521,4.951522029603749
A022,A022_1,1,Common,-0.5011533,0.1962873223365104,1.0,1.0,0.6931471805599453
A022,A022_1,1,Congruent,0.49725094,0.2061241640685505,1.0,1.0,0.6931471805599453
A022,A022_1,1,Incongruent,0.4842986,0.2365098342133737,1.0,1.0,0.6931471805599453
A022,A022_2,2,Common,0.2091155,0.1962873223365104,24.15,583.2225,3.224857896545748
A022,A022_2,2,Congruent,0.19156887,0.2061241640685505,24.15,583.2225,3.224857896545748
A022,A022_2,2,Incongruent,0.75264776,0.2365098342133737,24.15,583.2225,3.224857896545748
A022,A022_3,3,Common,0.274723,0.1962873223365104,74.46,5544.291599999999,4.323602714536165
A022,A022_3,3,Congruent,1.4768845,0.2061241640685505,74.46,5544.291599999999,4.323602714536165
A022,A022_3,3,Incongruent,0.632036,0.2365098342133737,74.46,5544.291599999999,4.323602714536165
A022,A022_4,4,Common,0.382118,0.1962873223365104,141.71,20081.724100000003,4.9608145991123
A022,A022_4,4,Congruent,0.73934454,0.2061241640685505,141.71,20081.724100000003,4.9608145991123
A022,A022_4,4,Incongruent,0.3970194,0.2365098342133737,141.71,20081.724100000003,4.9608145991123
A023,A023_1,1,Common,0.56837475,0.1962873223365104,1.0,1.0,0.6931471805599453
A023,A023_1,1,Congruent,-0.6562507,0.2061241640685505,1.0,1.0,0.6931471805599453
A023,A023_1,1,Incongruent,0.66979575,0.2365098342133737,1.0,1.0,0.6931471805599453
A023,A023_2,2,Common,-0.05869632,0.1962873223365104,25.63,656.8969,3.282038399825841
A023,A023_2,2,Congruent,-0.058118515,0.2061241640685505,25.63,656.8969,3.282038399825841
A023,A023_2,2,Incongruent,0.14703572,0.2365098342133737,25.63,656.8969,3.282038399825841
A023,A023_3,3,Common,0.17865486,0.1962873223365104,72.2,5212.84,4.293195420967266
A023,A023_3,3,Congruent,0.4286228,0.2061241640685505,72.2,5212.84,4.293195420967266
A023,A023_3,3,Incongruent,0.15521283,0.2365098342133737,72.2,5212.84,4.293195420967266
A023,A023_4,4,Common,0.5444067,0.1962873223365104,145.07,21045.3049,4.984085958862719
A023,A023_4,4,Congruent,0.59801745,0.2061241640685505,145.07,21045.3049,4.984085958862719
