UID,test,SD_confidence,mean_confidence,SD_accuracy,mean_accuracy
A075,1,0.3520452204556914,0.5472222222222222,0.4438327167280311,0.6111111111111112
A075,2,0.36497690024874174,0.5444444444444445,0.4193575084278382,0.6388888888888888
A075,3,0.1838554239107687,0.26666666666666666,0.4340138886666596,0.4340277777777778
A075,4,0.2992818739292405,0.39722222222222225,0.4522240077750603,0.4131944444444444
A076,1,0.3200156490696232,0.48888888888888893,0.4426742426808006,0.5347222222222222
A076,2,0.27247201978358293,0.41111111111111115,0.4426742426808006,0.4652777777777778
A076,3,0.24963196697505957,0.4277777777777778,0.4385118524708694,0.4305555555555556
A076,4,0.15744437873219289,0.26666666666666666,0.4205075320455536,0.4270833333333333
A077,1,0.3166604891910427,0.6972222222222223,0.43838637016468235,0.7256944444444444
A077,2,0.3499049725680617,0.48055555555555557,0.4329985841378869,0.5590277777777778
A077,3,0.32887868486475746,0.5027777777777778,0.44667470299686723,0.5173611111111112
A077,4,0.3643653775065746,0.5361111111111111,0.43288562552795906,0.59375
A078,1,0.2932602341696312,0.4138888888888889,0.42513403483411544,0.5381944444444444
A078,2,0.2878879976962002,0.4222222222222223,0.43199504431169017,0.625
A078,3,0.28271819443535773,0.375,0.4370456505057316,0.4965277777777778
A078,4,0.20644922682123584,0.33611111111111114,0.4261680763084862,0.4756944444444444
A079,1,0.3267423501480665,0.6499999999999999,0.41629972105020546,0.6770833333333334
A079,2,0.3451882523746496,0.5833333333333334,0.45027323907584826,0.5243055555555556
A079,3,0.3213698185119306,0.48055555555555557,0.44750875355353914,0.5208333333333334
A079,4,0.30011734794111994,0.42500000000000004,0.4305776409096624,0.4652777777777778
A080,1,0.2852668080932077,0.7555555555555555,0.39528470752104744,0.6875
A080,2,0.3090193484985671,0.6833333333333333,0.42738559955176936,0.6458333333333334
A080,3,0.25415175435357823,0.6361111111111112,0.45189946445873425,0.6284722222222222
A080,4,0.28172006883269535,0.47500000000000003,0.4459076437566005,0.4479166666666667
A081,1,0.28906789927495635,0.7305555555555556,0.44947152066323837,0.6041666666666666
A081,2,0.2552577021809366,0.7138888888888889,0.41676935354366945,0.6493055555555556
A081,3,0.25976997167621885,0.6888888888888889,0.43367571793392884,0.6423611111111112
A081,4,0.21754067128234167,0.7,0.45142575388163847,0.6041666666666666
A082,1,0.3504077660439511,0.6055555555555556,0.43027939298209383,0.6631944444444444
A082,2,0.352411766557443,0.5555555555555556,0.39570204148298604,0.71875
A082,3,0.36065277280954217,0.5249999999999999,0.438065529859066,0.625
A082,4,0.29443189508793105,0.42500000000000004,0.424227180995586,0.5694444444444444
A083,1,0.3397389221317858,0.7250000000000001,0.366575292712039,0.7673611111111112
A083,2,0.3157696710151568,0.6027777777777777,0.4502732390758483,0.5868055555555556
A083,3,0.3076362504611722,0.6527777777777778,0.4427156689533094,0.5451388888888888
A083,4,0.29939950333594256,0.6222222222222222,0.4645070754694587,0.6527777777777778
A084,1,0.2553956089244742,0.5111111111111112,0.4200566322948589,0.6944444444444444
A084,2,0.22501956096504455,0.35833333333333334,0.43125857592797395,0.5763888888888888
A084,3,0.259875376416477,0.42500000000000004,0.44007041690050686,0.5833333333333334
A084,4,0.22052363348731485,0.41944444444444445,0.4236359635081337,0.6354166666666666
A085,1,0.3796052640500691,0.6111111111111112,0.45081596601192775,0.5729166666666666
A085,2,0.3535533905932738,0.7083333333333334,0.424227180995586,0.6944444444444444
A085,3,0.3919275427270248,0.6361111111111111,0.4214514008223084,0.6111111111111112
A085,4,0.34355227988485904,0.44999999999999996,0.42162542246656515,0.5069444444444444
A086,1,0.3320043931304268,0.7138888888888889,0.39902500009927366,0.6770833333333334
A086,2,0.2803418436405358,0.75,0.4378421979404676,0.6388888888888888
A086,3,0.2967613395386222,0.5305555555555556,0.45513448372822757,0.3993055555555556
A086,4,0.271306466469275,0.5638888888888889,0.4557921443742087,0.4583333333333333
A087,1,0.31784436305152663,0.7694444444444444,0.36310692002186096,0.7638888888888888
A087,2,0.336743123378058,0.6611111111111111,0.4277716170318318,0.6979166666666666
A087,3,0.358400201207187,0.5666666666666667,0.44634612473650165,0.5868055555555556
A087,4,0.37176355081581086,0.5694444444444444,0.46143052976890997,0.53125
A088,1,0.34303943845865326,0.675,0.3844976195054019,0.7569444444444444
A088,2,0.30437601323607916,0.7444444444444445,0.3152170613635117,0.84375
A088,3,0.3039515446104009,0.6527777777777778,0.4440392690483174,0.6215277777777778
A088,4,0.3304925901025257,0.6916666666666667,0.3843067860320675,0.7638888888888888
A089,1,0.32792561849847235,0.7250000000000001,0.3641660086370437,0.7951388888888888
A089,2,0.29036429549818366,0.7138888888888889,0.42259572630035425,0.6770833333333334
A089,3,0.33450498310872684,0.5722222222222223,0.46617544149549656,0.59375
A089,4,0.3304925901025257,0.5583333333333333,0.423708107369202,0.6180555555555556
A090,1,0.20202418547787013,0.4555555555555556,0.4339716317362227,0.6319444444444444
A090,2,0.24967898012095655,0.4138888888888889,0.4370456505057316,0.5034722222222222
A090,3,0.14238632453543593,0.3027777777777778,0.43198089329885164,0.4340277777777778
A090,4,0.11705167859393918,0.33055555555555555,0.42409747215020516,0.4756944444444444
A091,1,0.3033330753752192,0.6805555555555556,0.44787742758576815,0.6354166666666666
A091,2,0.2778043805727597,0.6472222222222223,0.43756287274588757,0.5625
A091,3,0.2884175160020213,0.5138888888888888,0.4339011943736422,0.46875
A091,4,0.346669826637819,0.5694444444444444,0.4525483183464333,0.4826388888888889
A092,1,0.370245023129008,0.5694444444444444,0.431485315468312,0.5208333333333334
A092,2,0.3532544867292788,0.55,0.431768572451139,0.4861111111111111
A092,3,0.3202111979110125,0.4666666666666667,0.45124967758215284,0.4618055555555556
A092,4,0.2753856308822242,0.4277777777777778,0.4289133328597414,0.4965277777777778
A093,1,0.2661967690915958,0.8111111111111111,0.44118030622162757,0.6527777777777778
A093,2,0.10312033173386038,0.7250000000000001,0.41537358036784866,0.6666666666666666
A093,3,0.13737990914474985,0.6166666666666667,0.39854979680346264,0.6944444444444444
A093,4,0.10007821667210685,0.5111111111111111,0.4446583503244958,0.5347222222222222
A094,1,0.28082986791024406,0.4527777777777778,0.4464693699220141,0.4444444444444444
A094,2,0.25769837155912595,0.49166666666666664,0.4395700524215856,0.5208333333333334
