UID,avg_SD_confidence,avg_SD_accuracy,avg_mean_accuracy
A044,0.2595344449107537,0.43020160112887224,0.4956597222222222
A045,0.32840602854320516,0.4495182448372307,0.5130208333333334
A046,0.24444252483488962,0.42696601236507387,0.3975694444444444
A047,0.24099295501230705,0.4356327664195511,0.5104166666666666
A048,0.3234144891814005,0.4264129137917777,0.6536458333333333
A049,0.33433286537689194,0.41113774960170396,0.6588541666666667
A050,0.32020856307111173,0.4365710313347294,0.5269097222222222
A051,0.29167958153480444,0.44185350951164204,0.6050347222222222
A052,0.312149058154065,0.4341671684462336,0.5902777777777778
A053,0.2168392607283131,0.43724447903655295,0.609375
A054,0.3065569963499322,0.41739480295812464,0.6796875
A055,0.30434748219565644,0.4258128124923711,0.5746527777777778
A056,0.2890445862464051,0.4275123111304401,0.5590277777777778
A057,0.30020088284574364,0.43676203810375225,0.4756944444444444
A058,0.3334844338618106,0.43886015818385643,0.5659722222222222
A059,0.340777850575007,0.4096628458694328,0.6953125
A060,0.30585162263380683,0.4138159271725349,0.6380208333333333
A061,0.24565347724700767,0.38344424185361164,0.6961805555555556
A062,0.29596055663281934,0.4349760448071188,0.540798611111111
A063,0.19709132998116694,0.432506977223455,0.5963541666666666
A064,0.32604229356273123,0.4126926929041507,0.6623263888888888
A065,0.21131600099507986,0.41826047380488063,0.40885416666666663
A066,0.30157986017777927,0.45204685792779886,0.48263888888888884
A067,0.24428326691781457,0.42072134574461045,0.4852430555555555
A068,0.2787561362585709,0.42820491733152627,0.6302083333333334
A069,0.22724340508407936,0.44520936774267267,0.4444444444444444
A070,0.3187747700959405,0.4342404978092991,0.5625
A071,0.29210281403903615,0.452206045754637,0.5555555555555556
A072,0.3017179742123628,0.4268149983588966,0.625
A073,0.27419164446951816,0.4278748999640023,0.6458333333333334
A074,0.3565717453964342,0.440364090770325,0.5711805555555556
A075,0.3000398546361106,0.4373570303993973,0.5243055555555556
A076,0.24989100364011466,0.436091967469506,0.4644097222222222
A077,0.3399523810326091,0.43773632070684887,0.5989583333333334
A078,0.26757891328060623,0.43008570149000586,0.5338541666666666
A079,0.32335444224394166,0.4361648386473138,0.546875
A080,0.2825394949445121,0.4301193538220379,0.6024305555555556
A081,0.2554090611036134,0.43783558650561877,0.625
A082,0.3394760501247168,0.42206853632993296,0.6440972222222222
A083,0.31563608673601434,0.43101781905266384,0.6380208333333334
A084,0.24020354494832766,0.42875539715786837,0.6223958333333333
A085,0.3671596193138067,0.42952999257409685,0.5963541666666666
A086,0.29510351069471497,0.43694845653554437,0.5434027777777778
A087,0.34618780961314566,0.4246637978897761,0.6449652777777778
A088,0.32046489660191474,0.38201518398732465,0.7465277777777778
A089,0.32082187180197713,0.4191613209505241,0.6710069444444444
A090,0.17778529218205044,0.4317739119227528,0.5112847222222222
A091,0.3040561996469548,0.4429724532629328,0.5373263888888888
A092,0.32977408466288083,0.4358542245903363,0.4913194444444445
A093,0.15169380666057822,0.42494050842935865,0.6371527777777778
A094,0.2645465770332786,0.4372347233517979,0.4644097222222222
A095,0.3092554841155322,0.44315057664313806,0.5798611111111112
A096,0.25696502991432585,0.42798369276617915,0.4288194444444444
A097,0.18392754398895345,0.4303620714793461,0.5659722222222222
A098,0.32809240049938293,0.4383272937909672,0.595486111111111
A099,0.2650955506344763,0.41569312550485654,0.6927083333333333
A100,0.09743401040002204,0.43900706041028903,0.6050347222222222
A101,0.21135129781974912,0.43659754739078005,0.4878472222222222
A102,0.3421056916720683,0.4273364235630108,0.6050347222222222
A103,0.1406927738916386,0.3995750157847644,0.6163194444444444
A104,0.31477670658171575,0.4408350396630676,0.5651041666666666
A105,0.2665574718755214,0.45733776856141495,0.5920138888888888
A106,0.32990148982403605,0.4235018287693681,0.6597222222222222
A107,0.11622707427279926,0.434331082579045,0.4539930555555556
A108,0.29085017155062104,0.4398383356667537,0.4921875
A109,0.13221007373060992,0.44534787692148786,0.4609375
