composite_ID,UID,TEST,paradigm,CTT_mean,n_items
A040_4,A040,T4,IRE,0.4107142857142857,14
A041_1,A041,T1,IFR,0.8541666666666666,12
A041_1,A041,T1,ICR,0.7368421052631579,19
A041_1,A041,T1,IRE,0.7142857142857143,14
A041_2,A041,T2,IFR,0.3125,12
A041_2,A041,T2,ICR,0.5394736842105263,19
A041_2,A041,T2,IRE,0.5892857142857143,14
A041_3,A041,T3,IFR,0.5416666666666666,12
A041_3,A041,T3,ICR,0.6578947368421053,19
A041_3,A041,T3,IRE,0.8571428571428571,14
A041_4,A041,T4,IFR,0.7083333333333334,12
A041_4,A041,T4,ICR,0.5789473684210527,19
A041_4,A041,T4,IRE,0.6071428571428571,14
A042_1,A042,T1,IFR,0.16666666666666666,12
A042_1,A042,T1,ICR,0.631578947368421,19
A042_1,A042,T1,IRE,0.5178571428571429,14
A042_2,A042,T2,IFR,0.3125,12
A042_2,A042,T2,ICR,0.6447368421052632,19
A042_2,A042,T2,IRE,0.3392857142857143,14
A042_3,A042,T3,IFR,0.5,12
A042_3,A042,T3,ICR,0.5,19
A042_3,A042,T3,IRE,0.5714285714285714,14
A042_4,A042,T4,IFR,0.5416666666666666,12
A042_4,A042,T4,ICR,0.40789473684210525,19
A042_4,A042,T4,IRE,0.42857142857142855,14
A043_1,A043,T1,IFR,0.7083333333333334,12
A043_1,A043,T1,ICR,0.75,19
A043_1,A043,T1,IRE,0.8571428571428571,14
A043_2,A043,T2,IFR,0.5416666666666666,12
A043_2,A043,T2,ICR,0.7105263157894737,19
A043_2,A043,T2,IRE,0.7142857142857143,14
A043_3,A043,T3,IFR,0.6458333333333334,12
A043_3,A043,T3,ICR,0.7631578947368421,19
A043_3,A043,T3,IRE,0.6785714285714286,14
A043_4,A043,T4,IFR,0.5416666666666666,12
A043_4,A043,T4,ICR,0.5,19
A043_4,A043,T4,IRE,0.44642857142857145,14
A044_1,A044,T1,IFR,0.22916666666666666,12
A044_1,A044,T1,ICR,0.6578947368421053,19
A044_1,A044,T1,IRE,0.6428571428571429,14
A044_2,A044,T2,IFR,0.5416666666666666,12
A044_2,A044,T2,ICR,0.42105263157894735,19
A044_2,A044,T2,IRE,0.6071428571428571,14
A044_3,A044,T3,IFR,0.3958333333333333,12
A044_3,A044,T3,ICR,0.3157894736842105,19
A044_3,A044,T3,IRE,0.4107142857142857,14
A044_4,A044,T4,IFR,0.3333333333333333,12
A044_4,A044,T4,ICR,0.5131578947368421,19
A044_4,A044,T4,IRE,0.375,14
A045_1,A045,T1,IFR,0.2916666666666667,12
A045_1,A045,T1,ICR,0.5131578947368421,19
A045_1,A045,T1,IRE,0.6785714285714286,14
A045_2,A045,T2,IFR,0.5,12
A045_2,A045,T2,ICR,0.47368421052631576,19
A045_2,A045,T2,IRE,0.4107142857142857,14
A045_3,A045,T3,IFR,0.3958333333333333,12
A045_3,A045,T3,ICR,0.5131578947368421,19
A045_3,A045,T3,IRE,0.4107142857142857,14
A045_4,A045,T4,IFR,0.2916666666666667,12
A045_4,A045,T4,ICR,0.40789473684210525,19
A045_4,A045,T4,IRE,0.5,14
A046_1,A046,T1,IFR,0.375,12
A046_1,A046,T1,ICR,0.40789473684210525,19
A046_1,A046,T1,IRE,0.625,14
A046_2,A046,T2,IFR,0.4375,12
A046_2,A046,T2,ICR,0.35526315789473684,19
A046_2,A046,T2,IRE,0.26785714285714285,14
A046_3,A046,T3,IFR,0.5625,12
A046_3,A046,T3,ICR,0.21052631578947367,19
A046_3,A046,T3,IRE,0.3392857142857143,14
A046_4,A046,T4,IFR,0.4583333333333333,12
A046_4,A046,T4,ICR,0.39473684210526316,19
A046_4,A046,T4,IRE,0.21428571428571427,14
A047_1,A047,T1,IFR,0.3333333333333333,12
A047_1,A047,T1,ICR,0.5921052631578947,19
A047_1,A047,T1,IRE,0.4642857142857143,14
A047_2,A047,T2,IFR,0.4166666666666667,12
A047_2,A047,T2,ICR,0.5657894736842105,19
A047_2,A047,T2,IRE,0.5535714285714286,14
A047_3,A047,T3,IFR,0.3333333333333333,12
A047_3,A047,T3,ICR,0.5263157894736842,19
A047_3,A047,T3,IRE,0.5178571428571429,14
A047_4,A047,T4,IFR,0.4166666666666667,12
A047_4,A047,T4,ICR,0.42105263157894735,19
A047_4,A047,T4,IRE,0.5714285714285714,14
A048_1,A048,T1,IFR,0.8333333333333334,12
A048_1,A048,T1,ICR,0.8421052631578947,19
A048_1,A048,T1,IRE,0.7321428571428571,14
A048_2,A048,T2,IFR,0.4583333333333333,12
A048_2,A048,T2,ICR,0.5526315789473685,19
A048_2,A048,T2,IRE,0.7142857142857143,14
A048_3,A048,T3,IFR,0.625,12
A048_3,A048,T3,ICR,0.5,19
A048_3,A048,T3,IRE,0.7142857142857143,14
A048_4,A048,T4,IFR,0.5833333333333334,12
A048_4,A048,T4,ICR,0.6973684210526315,19
A048_4,A048,T4,IRE,0.6785714285714286,14
A049_1,A049,T1,IFR,0.9166666666666666,12
A049_1,A049,T1,ICR,0.8421052631578947,19
A049_1,A049,T1,IRE,0.8571428571428571,14
A049_2,A049,T2,IFR,0.5416666666666666,12
A049_2,A049,T2,ICR,0.5789473684210527,19
A049_2,A049,T2,IRE,0.48214285714285715,14
A049_3,A049,T3,IFR,0.625,12
A049_3,A049,T3,ICR,0.7105263157894737,19
A049_3,A049,T3,IRE,0.6785714285714286,14
A049_4,A049,T4,IFR,0.7083333333333334,12
A049_4,A049,T4,ICR,0.6447368421052632,19
A049_4,A049,T4,IRE,0.6785714285714286,14
A050_1,A050,T1,IFR,0.6458333333333334,12
A050_1,A050,T1,ICR,0.5526315789473685,19
A050_1,A050,T1,IRE,0.6071428571428571,14
A050_2,A050,T2,IFR,0.625,12
A050_2,A050,T2,ICR,0.5526315789473685,19
A050_2,A050,T2,IRE,0.5714285714285714,14
A050_3,A050,T3,IFR,0.375,12
A050_3,A050,T3,ICR,0.3815789473684211,19
A050_3,A050,T3,IRE,0.44642857142857145,14
A050_4,A050,T4,IFR,0.2916666666666667,12
A050_4,A050,T4,ICR,0.5131578947368421,19
A050_4,A050,T4,IRE,0.5357142857142857,14
A051_1,A051,T1,IFR,0.625,12
A051_1,A051,T1,ICR,0.8289473684210527,19
A051_1,A051,T1,IRE,0.8571428571428571,14
A051_2,A051,T2,IFR,0.5416666666666666,12
A051_2,A051,T2,ICR,0.6578947368421053,19
A051_2,A051,T2,IRE,0.6071428571428571,14
A051_3,A051,T3,IFR,0.4583333333333333,12
A051_3,A051,T3,ICR,0.6447368421052632,19
A051_3,A051,T3,IRE,0.5714285714285714,14
A051_4,A051,T4,IFR,0.3958333333333333,12
A051_4,A051,T4,ICR,0.6710526315789473,19
A051_4,A051,T4,IRE,0.6785714285714286,14
A052_1,A052,T1,IFR,0.7916666666666666,12
A052_1,A052,T1,ICR,0.7894736842105263,19
A052_1,A052,T1,IRE,0.6071428571428571,14
A052_2,A052,T2,IFR,0.75,12
A052_2,A052,T2,ICR,0.6447368421052632,19
A052_2,A052,T2,IRE,0.6071428571428571,14
A052_3,A052,T3,IFR,0.5833333333333334,12
A052_3,A052,T3,ICR,0.5526315789473685,19
A052_3,A052,T3,IRE,0.6428571428571429,14
A052_4,A052,T4,IFR,0.6666666666666666,12
A052_4,A052,T4,ICR,0.39473684210526316,19
A052_4,A052,T4,IRE,0.5,14
A053_1,A053,T1,IFR,0.8541666666666666,12
A053_1,A053,T1,ICR,0.7763157894736842,19
A053_1,A053,T1,IRE,0.6964285714285714,14
A053_2,A053,T2,IFR,0.4166666666666667,12
