composite_ID,UID,TEST,TSVR_hours,Days,paradigm,theta,log_TSVR,TSVR_sq
A016_1,A016,T1,1.0,0,IFR,1.8982425,0.6931471805599453,1.0
A016_2,A016,T2,32.85,1,IFR,1.1705568,3.521938999358284,1079.1225000000002
A016_3,A016,T3,80.64,3,IFR,-0.06720384,4.402319337941644,6502.8096000000005
A016_4,A016,T4,150.8,6,IFR,-0.7857009,5.02256386496153,22740.640000000003
A017_1,A017,T1,1.0,0,IFR,-0.07584843,0.6931471805599453,1.0
A017_2,A017,T2,20.61,1,IFR,1.0087,3.0731561705187946,424.77209999999997
A017_3,A017,T3,61.28,3,IFR,0.22324428,4.131640346965797,3755.2384
A017_4,A017,T4,140.49,6,IFR,1.0260882,4.952229043207861,19737.440100000003
A018_1,A018,T1,1.0,0,IFR,0.8998065,0.6931471805599453,1.0
A018_2,A018,T2,34.03,1,IFR,0.46910602,3.5562048372093953,1158.0409
A018_3,A018,T3,83.64,3,IFR,-0.8570981,4.438406968109989,6995.6496
A018_4,A018,T4,150.87,6,IFR,0.042763263,5.023024891742178,22761.7569
A019_1,A019,T1,1.0,0,IFR,-0.457872,0.6931471805599453,1.0
A019_2,A019,T2,28.69,1,IFR,-0.7839532,3.3908102887756684,823.1161000000001
A019_3,A019,T3,83.68,3,IFR,-0.731604,4.4388794462666645,7002.342400000001
A019_4,A019,T4,154.76,6,IFR,-0.75950915,5.048316361063944,23950.6576
A020_1,A020,T1,1.0,0,IFR,0.072841056,0.6931471805599453,1.0
A020_2,A020,T2,26.85,1,IFR,-0.20886408,3.326832966373293,720.9225000000001
A020_3,A020,T3,78.25,3,IFR,-0.7968719,4.37260741275739,6123.0625
A020_4,A020,T4,145.78,6,IFR,-2.0479772,4.9889348671169165,21251.8084
A021_1,A021,T1,1.0,0,IFR,1.2711351,0.6931471805599453,1.0
A021_2,A021,T2,30.21,1,IFR,0.36641207,3.440738556282688,912.6441000000001
A021_3,A021,T3,74.19,3,IFR,0.2283193,4.320018243389936,5504.156099999999
A021_4,A021,T4,140.39,6,IFR,1.0181938,4.951522029603749,19709.352099999996
A022_1,A022,T1,1.0,0,IFR,0.16907588,0.6931471805599453,1.0
A022_2,A022,T2,24.15,1,IFR,0.4875518,3.224857896545748,583.2225
A022_3,A022,T3,74.46,3,IFR,0.77547616,4.323602714536165,5544.291599999999
A022_4,A022,T4,141.71,6,IFR,0.44959623,4.9608145991123,20081.724100000003
A023_1,A023,T1,1.0,0,IFR,0.5031585,0.6931471805599453,1.0
A023_2,A023,T2,25.63,1,IFR,-0.1653372,3.282038399825841,656.8969
A023_3,A023,T3,72.2,3,IFR,0.068792194,4.293195420967266,5212.84
A023_4,A023,T4,145.07,6,IFR,0.025527501,4.984085958862719,21045.3049
A024_1,A024,T1,1.0,0,IFR,0.4014854,0.6931471805599453,1.0
A024_2,A024,T2,29.57,1,IFR,0.27175164,3.420019135902743,874.3849
A024_3,A024,T3,91.47,3,IFR,0.0076772394,4.526884267589547,8366.7609
A024_4,A024,T4,145.65,6,IFR,-0.91121835,4.9880487954234605,21213.9225
A025_1,A025,T1,1.0,0,IFR,1.2585467,0.6931471805599453,1.0
A025_2,A025,T2,23.33,1,IFR,1.9095496,3.1917101567954314,544.2888999999999
A025_3,A025,T3,72.94,3,IFR,-0.28530517,4.303253953508486,5320.2436
A025_4,A025,T4,137.74,6,IFR,-0.96083295,4.932601677957155,18972.307600000004
A026_1,A026,T1,1.0,0,IFR,0.5969401,0.6931471805599453,1.0
A026_2,A026,T2,26.48,1,IFR,0.3370544,3.3134584673541485,701.1904000000001
A026_3,A026,T3,75.46,3,IFR,0.7356694,4.336767728268267,5694.211599999999
A026_4,A026,T4,147.65,6,IFR,-0.094755605,5.001594549444107,21800.522500000003
A027_1,A027,T1,1.0,0,IFR,0.16043636,0.6931471805599453,1.0
A027_2,A027,T2,28.26,1,IFR,0.46374553,3.3762213955919784,798.6276000000001
A027_3,A027,T3,74.58,3,IFR,-0.9193564,4.325191697921343,5562.176399999999
A027_4,A027,T4,145.92,6,IFR,-0.42966694,4.989888220951467,21292.646399999998
A028_1,A028,T1,1.0,0,IFR,1.7501152,0.6931471805599453,1.0
A028_2,A028,T2,22.82,1,IFR,0.095417134,3.170525563927154,520.7524
A028_3,A028,T3,72.26,3,IFR,0.1234633,4.294014757350668,5221.507600000001
A028_4,A028,T4,138.91,6,IFR,-0.8479047,4.940999358745194,19295.9881
A029_1,A029,T1,1.0,0,IFR,2.242445,0.6931471805599453,1.0
A029_2,A029,T2,28.43,1,IFR,0.29875055,3.382014562245381,808.2649
A029_3,A029,T3,93.26,3,IFR,1.3977594,4.546056921495585,8697.4276
A029_4,A029,T4,143.14,6,IFR,0.5618795,4.970785049496295,20489.059599999997
A030_1,A030,T1,1.0,0,IFR,0.12693016,0.6931471805599453,1.0
A030_2,A030,T2,32.95,1,IFR,0.890774,3.5248888540047054,1085.7025
A030_3,A030,T3,71.93,3,IFR,0.30001456,4.289500076996142,5173.924900000001
A030_4,A030,T4,150.46,6,IFR,0.70453537,5.020321563685677,22638.211600000002
A031_1,A031,T1,1.0,0,IFR,1.83632,0.6931471805599453,1.0
A031_2,A031,T2,32.41,1,IFR,-0.20975925,3.508855256368665,1050.4080999999999
A031_3,A031,T3,71.56,3,IFR,-0.34666744,4.2844138058068815,5120.8336
A031_4,A031,T4,143.85,6,IFR,-0.9627389,4.975698724215359,20692.8225
A032_1,A032,T1,1.0,0,IFR,0.71397096,0.6931471805599453,1.0
A032_2,A032,T2,57.18,3,IFR,-0.325758,4.063541653067055,3269.5524
A032_3,A032,T3,80.16,3,IFR,0.41406077,4.396422514957614,6425.625599999999
A032_4,A032,T4,144.51,6,IFR,1.8328576,4.980244812772187,20883.140099999997
A033_1,A033,T1,1.0,0,IFR,0.10781428,0.6931471805599453,1.0
A033_2,A033,T2,29.16,1,IFR,-0.23640966,3.4065165431397553,850.3056
A033_3,A033,T3,72.6,3,IFR,0.96893936,4.298645025734831,5270.759999999999
A033_4,A033,T4,168.33,6,IFR,-0.08949685,5.131849473677249,28334.988900000004
A034_1,A034,T1,1.0,0,IFR,1.6616325,0.6931471805599453,1.0
A034_2,A034,T2,26.08,1,IFR,1.3464628,3.298795448044074,680.1664
A034_3,A034,T3,74.28,3,IFR,0.25853375,4.3212144952771245,5517.5184
A034_4,A034,T4,145.38,6,IFR,-0.10638464,4.986205980173081,21135.344399999998
A035_1,A035,T1,1.0,0,IFR,-0.65596753,0.6931471805599453,1.0
A035_2,A035,T2,44.76,1,IFR,0.8209889,3.8234103470715426,2003.4575999999997
A035_3,A035,T3,79.98,3,IFR,-0.50477034,4.394202210604015,6396.800400000001
A035_4,A035,T4,152.47,6,IFR,-0.99131393,5.033505108187003,23247.1009
A036_1,A036,T1,1.0,0,IFR,0.8689254,0.6931471805599453,1.0
A036_2,A036,T2,21.63,1,IFR,-0.1759345,3.119276459645446,467.85689999999994
A036_3,A036,T3,71.47,3,IFR,-0.7087776,4.28317268312119,5107.9609
A036_4,A036,T4,143.85,6,IFR,-1.176061,4.975698724215359,20692.8225
A037_1,A037,T1,1.0,0,IFR,1.0822115,0.6931471805599453,1.0
A037_2,A037,T2,23.7,1,IFR,0.93259835,3.2068032436339315,561.6899999999999
A037_3,A037,T3,72.08,3,IFR,0.6126821,4.291554731509806,5195.5264
A037_4,A037,T4,143.66,6,IFR,-0.28599942,4.974386161421135,20638.1956
A038_1,A038,T1,1.0,0,IFR,1.1545284,0.6931471805599453,1.0
A038_2,A038,T2,71.85,3,IFR,-0.09438367,4.288402532641213,5162.422499999999
A038_3,A038,T3,72.86,3,IFR,0.9860895,4.3021714094244174,5308.5796
A038_4,A038,T4,152.89,6,IFR,-0.008316844,5.0362380614757605,23375.352099999996
A039_1,A039,T1,1.0,0,IFR,2.3421638,0.6931471805599453,1.0
A039_2,A039,T2,28.65,1,IFR,0.7976839,3.3894621254437345,820.8224999999999
A039_3,A039,T3,98.84,3,IFR,0.839274,4.603568904621118,9769.3456
A039_4,A039,T4,246.24,6,IFR,0.6956401,5.510359524791073,60634.1376
A040_1,A040,T1,1.0,0,IFR,-0.5817445,0.6931471805599453,1.0
A040_2,A040,T2,26.26,1,IFR,-0.26374146,3.3054204262683866,689.5876000000001
A040_3,A040,T3,71.28,3,IFR,-1.6241969,4.280547465724028,5080.838400000001
A040_4,A040,T4,143.53,6,IFR,-0.8882852,4.97348709846075,20600.8609
A041_1,A041,T1,1.0,0,IFR,1.2497655,0.6931471805599453,1.0
A041_2,A041,T2,31.78,1,IFR,-1.167476,3.4898185733156835,1009.9684000000001
A041_3,A041,T3,75.74,3,IFR,0.075356334,4.340423084818807,5736.547599999999
A041_4,A041,T4,141.84,6,IFR,0.66515946,4.961725122726247,20118.585600000002
A042_1,A042,T1,1.0,0,IFR,-1.02681,0.6931471805599453,1.0
A042_2,A042,T2,28.93,1,IFR,-1.0026407,3.3988613218646075,836.9449
A042_3,A042,T3,72.17,3,IFR,-0.5476192,4.292785500895938,5208.5089
A042_4,A042,T4,146.02,6,IFR,-0.8089415,4.9905686319459415,21321.840400000005
A043_1,A043,T1,1.0,0,IFR,0.9052307,0.6931471805599453,1.0
A043_2,A043,T2,25.62,1,IFR,0.115137,3.2816628129669656,656.3844
A043_3,A043,T3,64.94,3,IFR,0.2997891,4.188745237643585,4217.2036
A043_4,A043,T4,149.33,6,IFR,0.048738178,5.012832877639743,22299.448900000003
A044_1,A044,T1,1.0,0,IFR,-0.8060287,0.6931471805599453,1.0
A044_2,A044,T2,47.66,1,IFR,-0.19541748,3.8848573373553763,2271.4755999999998
A044_3,A044,T3,91.63,3,IFR,-1.4959046,4.5286130632659365,8396.0569
A044_4,A044,T4,155.27,6,IFR,-1.0974785,5.0515852804252095,24108.772900000004
A045_1,A045,T1,1.0,0,IFR,-0.76336116,0.6931471805599453,1.0
A045_2,A045,T2,24.66,1,IFR,-0.47526395,3.2449333591874905,608.1156
A045_3,A045,T3,72.23,3,IFR,-0.4236594,4.2936051730729785,5217.1729000000005
A045_4,A045,T4,151.52,6,IFR,-1.2165346,5.027295734989363,22958.310400000002
A046_1,A046,T1,1.0,0,IFR,-0.77469015,0.6931471805599453,1.0
A046_2,A046,T2,24.32,1,IFR,-1.245836,3.2315945972759756,591.4624
A046_3,A046,T3,73.05,3,IFR,-1.6056858,4.304740540713808,5336.3025
A046_4,A046,T4,147.94,6,IFR,-1.0504586,5.003543540282499,21886.243599999998
A047_1,A047,T1,1.0,0,IFR,-0.5218471,0.6931471805599453,1.0
A047_2,A047,T2,23.46,1,IFR,-0.38599724,3.1970391302590264,550.3716000000001
A047_3,A047,T3,76.85,3,IFR,-1.1630286,4.354783898280007,5905.922499999999
A047_4,A047,T4,144.22,6,IFR,-0.8443499,4.978249833952101,20799.4084
A048_1,A048,T1,1.0,0,IFR,1.4464241,0.6931471805599453,1.0
A048_2,A048,T2,23.91,1,IFR,-0.24025916,3.215269329274089,571.6881
A048_3,A048,T3,81.15,3,IFR,0.37180644,4.408546844483277,6585.322500000001
A048_4,A048,T4,146.3,6,IFR,0.32747135,4.9924713234685845,21403.690000000002
A049_1,A049,T1,1.0,0,IFR,1.9369724,0.6931471805599453,1.0
A049_2,A049,T2,27.12,1,IFR,-0.40477413,3.336481066942464,735.4944
A049_3,A049,T3,111.38,3,IFR,0.5799155,4.721885985684052,12405.5044
A049_4,A049,T4,168.86,6,IFR,0.29279515,5.134974568351863,28513.699600000004
A050_1,A050,T1,1.0,0,IFR,0.10375316,0.6931471805599453,1.0
A050_2,A050,T2,24.73,1,IFR,-0.20866837,3.2476576262936527,611.5729
A050_3,A050,T3,93.39,3,IFR,-0.78698945,4.547435135336853,8721.6921
A050_4,A050,T4,148.69,6,IFR,-0.7662721,5.008566488927144,22108.716099999998
A051_1,A051,T1,1.0,0,IFR,1.1308651,0.6931471805599453,1.0
A051_2,A051,T2,17.16,1,IFR,-0.1484353,2.8992213731731473,294.4656
A051_3,A051,T3,65.63,3,IFR,-0.51630783,4.199154926574446,4307.296899999999
A051_4,A051,T4,146.99,6,IFR,-0.24947512,4.997144703913756,21606.060100000002
A052_1,A052,T1,1.0,0,IFR,0.8560208,0.6931471805599453,1.0
A052_2,A052,T2,31.76,1,IFR,0.514484,3.4892082589848687,1008.6976000000001
A052_3,A052,T3,80.98,3,IFR,0.336497,4.406475315076191,6557.760400000001
A052_4,A052,T4,153.27,6,IFR,-0.45561698,5.038704314023848,23491.692900000002
A053_1,A053,T1,1.0,0,IFR,1.4144037,0.6931471805599453,1.0
A053_2,A053,T2,32.71,1,IFR,0.28295353,3.5177945292459696,1069.9441000000002
A053_3,A053,T3,78.28,3,IFR,-0.83496577,4.372985890021733,6127.758400000001
A053_4,A053,T4,148.9,6,IFR,-0.19286156,5.009968405108552,22171.210000000003
A054_1,A054,T1,1.0,0,IFR,0.06454673,0.6931471805599453,1.0
A054_2,A054,T2,16.9,1,IFR,0.59928095,2.884800712846709,285.60999999999996
A054_3,A054,T3,72.83,3,IFR,0.76526284,4.3017651530710745,5304.2089
A054_4,A054,T4,136.83,6,IFR,1.2983474,4.926021041706347,18722.448900000003
A055_1,A055,T1,1.0,0,IFR,-0.3203487,0.6931471805599453,1.0
A055_2,A055,T2,23.24,1,IFR,0.5494155,3.1880041612011136,540.0975999999999
A055_3,A055,T3,74.48,3,IFR,-0.9620779,4.32386772050035,5547.2704
A055_4,A055,T4,149.21,6,IFR,-0.9730982,5.012034315009963,22263.6241
A056_1,A056,T1,1.0,0,IFR,0.8824607,0.6931471805599453,1.0
A056_2,A056,T2,33.61,1,IFR,0.3381003,3.544142657647253,1129.6321
A056_3,A056,T3,71.46,3,IFR,-0.26972502,4.283034685466931,5106.531599999999
A056_4,A056,T4,147.84,6,IFR,-1.5637758,5.002871903478422,21856.6656
A057_1,A057,T1,1.0,0,IFR,0.009936852,0.6931471805599453,1.0
A057_2,A057,T2,24.78,1,IFR,-0.7343016,3.2495989975110415,614.0484
A057_3,A057,T3,73.83,3,IFR,-0.6061695,4.315218874092267,5450.8688999999995
A057_4,A057,T4,145.06,6,IFR,-1.3534855,4.984017496191964,21042.4036
A058_1,A058,T1,1.0,0,IFR,1.2909634,0.6931471805599453,1.0
A058_2,A058,T2,22.96,1,IFR,-1.1071848,3.1763857732472487,527.1616
A058_3,A058,T3,66.28,3,IFR,-0.0076611126,4.208863015664693,4393.0384
A058_4,A058,T4,143.48,6,IFR,-0.8837645,4.973141089668675,20586.510399999996
A059_1,A059,T1,1.0,0,IFR,0.98924613,0.6931471805599453,1.0
A059_2,A059,T2,30.4,1,IFR,1.1210508,3.4468078929142076,924.16
A059_3,A059,T3,79.78,3,IFR,1.5913445,4.391729410135267,6364.8484
A059_4,A059,T4,151.93,6,IFR,0.5147332,5.029980300360032,23082.7249
A060_1,A060,T1,1.0,0,IFR,0.089007095,0.6931471805599453,1.0
A060_2,A060,T2,24.87,1,IFR,0.9243096,3.2530839961979376,618.5169000000001
A060_3,A060,T3,94.68,3,IFR,-0.42468035,4.561009290202322,8964.3024
A060_4,A060,T4,143.91,6,IFR,0.6639469,4.976112860057833,20710.088099999997
A061_1,A061,T1,1.0,0,IFR,2.6159682,0.6931471805599453,1.0
A061_2,A061,T2,35.16,1,IFR,0.83355284,3.5879535355239756,1236.2255999999998
A061_3,A061,T3,82.55,3,IFR,0.720659,4.425445255041403,6814.5025
A061_4,A061,T4,146.56,6,IFR,-0.44061255,4.994234872728475,21479.8336
A062_1,A062,T1,1.0,0,IFR,1.5698215,0.6931471805599453,1.0
A062_2,A062,T2,44.69,1,IFR,0.29121718,3.8218794555751803,1997.1961
A062_3,A062,T3,92.72,3,IFR,-0.99807596,4.540311613639595,8596.9984
A062_4,A062,T4,149.18,6,IFR,-1.3407863,5.011834574671738,22254.672400000003
A063_1,A063,T1,1.0,0,IFR,1.0055077,0.6931471805599453,1.0
A063_2,A063,T2,21.98,1,IFR,0.5848471,3.1346242724206097,483.1204
A063_3,A063,T3,69.99,3,IFR,-0.0073365774,4.262539022051294,4898.6001
A063_4,A063,T4,141.09,6,IFR,-1.0480841,4.956460659649984,19906.3881
A064_1,A064,T1,1.0,0,IFR,0.9337908,0.6931471805599453,1.0
A064_2,A064,T2,37.65,1,IFR,1.0231495,3.654546775033431,1417.5224999999998
A064_3,A064,T3,82.99,3,IFR,0.12078351,4.430697744137536,6887.340099999999
A064_4,A064,T4,156.21,6,IFR,-0.82732314,5.057582491203423,24401.564100000003
A065_1,A065,T1,1.0,0,IFR,-1.6313238,0.6931471805599453,1.0
A065_2,A065,T2,32.31,1,IFR,0.011327019,3.5058576522055884,1043.9361000000001
A065_3,A065,T3,106.41,3,IFR,-1.3355386,4.676653287609955,11323.088099999999
A065_4,A065,T4,187.43,6,IFR,-2.3671904,5.238726585134399,35130.0049
A066_1,A066,T1,1.0,0,IFR,0.2606496,0.6931471805599453,1.0
A066_2,A066,T2,23.35,1,IFR,-0.04822852,3.192531849528599,545.2225000000001
A066_3,A066,T3,73.79,3,IFR,-0.73158157,4.314684186203576,5444.964100000001
A066_4,A066,T4,164.93,6,IFR,-1.053569,5.111566012674697,27201.9049
A067_1,A067,T1,1.0,0,IFR,0.53448457,0.6931471805599453,1.0
A067_2,A067,T2,29.91,1,IFR,-1.4098325,3.431079756144025,894.6081
A067_3,A067,T3,73.19,3,IFR,-1.5651689,4.306629370201435,5356.7761
A067_4,A067,T4,144.19,6,IFR,-1.2525647,4.978043229495596,20790.7561
A068_1,A068,T1,1.0,0,IFR,1.1313976,0.6931471805599453,1.0
A068_2,A068,T2,30.49,1,IFR,-0.6020199,3.4496700351129332,929.6401
A068_3,A068,T3,82.98,3,IFR,0.8178577,4.430578675256047,6885.680400000001
A068_4,A068,T4,155.59,6,IFR,-0.18029927,5.053630924557352,24208.2481
A069_1,A069,T1,1.0,0,IFR,-0.9453881,0.6931471805599453,1.0
A069_2,A069,T2,24.96,1,IFR,-1.0803355,3.2565568918358894,623.0016
A069_3,A069,T3,79.75,3,IFR,-0.40901044,4.391357962102766,6360.0625
A069_4,A069,T4,140.22,6,IFR,-1.3295189,4.950318958088201,19661.6484
A070_1,A070,T1,1.0,0,IFR,-0.19590467,0.6931471805599453,1.0
A070_2,A070,T2,24.25,1,IFR,0.001917907,3.228826155721369,588.0625
A070_3,A070,T3,81.92,3,IFR,-0.6862198,4.417876287567579,6710.8864
A070_4,A070,T4,149.2,6,IFR,-0.76803863,5.011967739330034,22260.639999999996
A071_1,A071,T1,1.0,0,IFR,0.8231066,0.6931471805599453,1.0
A071_2,A071,T2,30.92,1,IFR,0.7234464,3.463232772581608,956.0464000000001
A071_3,A071,T3,79.96,3,IFR,-0.8875053,4.3939552055391555,6393.601599999999
A071_4,A071,T4,153.27,6,IFR,0.3867004,5.038704314023848,23491.692900000002
A072_1,A072,T1,1.0,0,IFR,0.7837958,0.6931471805599453,1.0
A072_2,A072,T2,33.76,1,IFR,1.3752688,3.548467300397191,1139.7376
A072_3,A072,T3,83.54,3,IFR,-0.50578904,4.437224795138644,6978.931600000001
A072_4,A072,T4,154.89,6,IFR,0.22475065,5.04915063032459,23990.912099999994
A073_1,A073,T1,1.0,0,IFR,1.0453852,0.6931471805599453,1.0
A073_2,A073,T2,66.66,3,IFR,-0.18324019,4.214495163352562,4443.5556
A073_3,A073,T3,66.9,3,IFR,1.1016877,4.21803603456465,4475.610000000001
A073_4,A073,T4,140.12,6,IFR,1.1862053,4.949610592258481,19633.614400000002
A074_1,A074,T1,1.0,0,IFR,1.1920998,0.6931471805599453,1.0
A074_2,A074,T2,29.33,1,IFR,-0.18063918,3.41213732170049,860.2488999999999
A074_3,A074,T3,73.02,3,IFR,-0.33134934,4.30433532695801,5331.920399999999
A074_4,A074,T4,147.21,6,IFR,-0.77555984,4.998630186968824,21670.7841
A075_1,A075,T1,1.0,0,IFR,0.6835109,0.6931471805599453,1.0
A075_2,A075,T2,28.68,1,IFR,0.15669091,3.39047341829918,822.5423999999999
A075_3,A075,T3,71.37,3,IFR,-1.2112106,4.281791848878036,5093.6769
A075_4,A075,T4,244.53,6,IFR,-0.9596083,5.5034191393614815,59794.9209
A076_1,A076,T1,1.0,0,IFR,-0.23747711,0.6931471805599453,1.0
A076_2,A076,T2,27.3,1,IFR,-0.96419734,3.342861804649192,745.2900000000001
A076_3,A076,T3,74.88,3,IFR,-1.6650329,4.3291531450668135,5607.014399999999
A076_4,A076,T4,149.28,6,IFR,-1.514256,5.0125002207057685,22284.5184
A077_1,A077,T1,1.0,0,IFR,0.94863856,0.6931471805599453,1.0
A077_2,A077,T2,53.88,3,IFR,-0.2102372,4.00514898341763,2903.0544000000004
A077_3,A077,T3,78.36,3,IFR,-0.27487096,4.373994462976618,6140.2896
A077_4,A077,T4,149.75,6,IFR,0.36480424,5.015622835607295,22425.0625
A078_1,A078,T1,1.0,0,IFR,-0.96974343,0.6931471805599453,1.0
A078_2,A078,T2,26.17,1,IFR,0.103746764,3.3021134234382563,684.8689
A078_3,A078,T3,72.3,3,IFR,-0.52161014,4.294560608892605,5227.29
A078_4,A078,T4,140.08,6,IFR,-1.1577317,4.949327105367852,19622.406400000003
A079_1,A079,T1,1.0,0,IFR,0.29714143,0.6931471805599453,1.0
A079_2,A079,T2,26.11,1,IFR,-0.019604485,3.299902663510574,681.7321
A079_3,A079,T3,74.0,3,IFR,-0.63756335,4.31748811353631,5476.0
A079_4,A079,T4,194.42,6,IFR,-0.8638559,5.275151088516197,37799.136399999996
A080_1,A080,T1,1.0,0,IFR,-0.03166884,0.6931471805599453,1.0
A080_2,A080,T2,29.03,1,IFR,0.46226197,3.402196881995239,842.7409
A080_3,A080,T3,72.87,3,IFR,0.26095873,4.302306791540646,5310.036900000001
A080_4,A080,T4,145.77,6,IFR,-0.27738324,4.988866735623107,21248.892900000003
A081_1,A081,T1,1.0,0,IFR,-0.21233271,0.6931471805599453,1.0
A081_2,A081,T2,31.39,1,IFR,-0.2756375,3.477849733183238,985.3321000000001
A081_3,A081,T3,80.13,3,IFR,1.1896797,4.396052806406973,6420.816899999999
A081_4,A081,T4,154.53,6,IFR,0.5770681,5.046838639056468,23879.5209
A082_1,A082,T1,1.0,0,IFR,0.23409934,0.6931471805599453,1.0
A082_2,A082,T2,27.97,1,IFR,1.3762386,3.366260811781259,782.3208999999999
A082_3,A082,T3,75.71,3,IFR,0.45864242,4.3400320779712045,5732.004099999999
A082_4,A082,T4,170.25,6,IFR,-0.5385982,5.143124477142335,28985.0625
A083_1,A083,T1,1.0,0,IFR,2.0915012,0.6931471805599453,1.0
A083_2,A083,T2,25.15,1,IFR,0.5282948,3.263849190510932,632.5224999999999
A083_3,A083,T3,74.3,3,IFR,0.067734525,4.321480134805848,5520.49
A083_4,A083,T4,144.91,6,IFR,0.35439134,4.982989993275931,20998.9081
A084_1,A084,T1,1.0,0,IFR,0.4183016,0.6931471805599453,1.0
A084_2,A084,T2,27.25,1,IFR,-0.43802726,3.34109345759245,742.5625
A084_3,A084,T3,91.97,3,IFR,-0.0573422,4.532276860467767,8458.4809
A084_4,A084,T4,162.51,6,IFR,-0.6182798,5.096874150546495,26409.500099999997
A085_1,A085,T1,1.0,0,IFR,-0.031216,0.6931471805599453,1.0
A085_2,A085,T2,24.51,1,IFR,1.1066616,3.23907053215372,600.7401000000001
A085_3,A085,T3,71.4,3,IFR,0.061248675,4.282206299391671,5097.960000000001
A085_4,A085,T4,170.65,6,IFR,-0.76523185,5.145457519903701,29121.4225
A086_1,A086,T1,1.0,0,IFR,0.38950622,0.6931471805599453,1.0
A086_2,A086,T2,23.47,1,IFR,-0.14577931,3.19744787745458,550.8408999999999
A086_3,A086,T3,145.29,6,IFR,-1.0502772,4.985590952989995,21109.1841
A086_4,A086,T4,169.55,6,IFR,-0.8074584,5.139028508864655,28747.202500000003
A087_1,A087,T1,1.0,0,IFR,0.78208005,0.6931471805599453,1.0
A087_2,A087,T2,31.07,1,IFR,1.0232055,3.4679210137050633,965.3449
A087_3,A087,T3,72.8,3,IFR,0.5696994,4.301358731606427,5299.839999999999
A087_4,A087,T4,144.2,6,IFR,0.74973524,4.978112102390695,20793.639999999996
A088_1,A088,T1,1.0,0,IFR,1.4914855,0.6931471805599453,1.0
A088_2,A088,T2,24.25,1,IFR,2.2012293,3.228826155721369,588.0625
A088_3,A088,T3,74.91,3,IFR,1.2592479,4.3295484280286765,5611.508099999999
A088_4,A088,T4,149.93,6,IFR,1.9822054,5.016816153171337,22479.004900000004
A089_1,A089,T1,1.0,0,IFR,0.9941269,0.6931471805599453,1.0
A089_2,A089,T2,32.14,1,IFR,1.1067888,3.500741011998417,1032.9796000000001
A089_3,A089,T3,79.34,3,IFR,0.42236474,4.386267628931136,6294.8356
A089_4,A089,T4,146.96,6,IFR,-0.14824519,4.996941966964253,21597.2416
A090_1,A090,T1,1.0,0,IFR,0.5147539,0.6931471805599453,1.0
A090_2,A090,T2,23.54,1,IFR,-0.14470427,3.2003044392827653,554.1315999999999
A090_3,A090,T3,95.42,3,IFR,-1.0755081,4.568713648977476,9104.9764
A090_4,A090,T4,144.07,6,IFR,-0.72259337,4.977216384550811,20756.1649
A091_1,A091,T1,1.0,0,IFR,0.56830114,0.6931471805599453,1.0
A091_2,A091,T2,22.2,1,IFR,-0.024470944,3.1441522786722644,492.84
A091_3,A091,T3,73.64,3,IFR,-1.0722411,4.312676556539088,5422.8496000000005
A091_4,A091,T4,142.61,6,IFR,-0.80329055,4.9671012920725275,20337.612100000002
A092_1,A092,T1,1.0,0,IFR,-0.20546757,0.6931471805599453,1.0
A092_2,A092,T2,22.83,1,IFR,-1.1036576,3.170945291110651,521.2089
