UID,TEST,composite_ID,paradigm,IRT_theta,CTT_mean,IRT_fitted,CTT_fitted
A016,T3,A016_3,IRE,0.17359161,0.6071428571428571,-0.061218987313580414,0.59602083884501
A016,T4,A016_4,IFR,-0.7857009,0.5208333333333334,-0.3036580111301022,0.508002544676619
A016,T4,A016_4,ICR,-1.0612006,0.3684210526315789,-0.32948670435472305,0.5720419571713905
A016,T4,A016_4,IRE,-1.2219204,0.5178571428571429,-0.37851187533498276,0.5582050972602579
A017,T1,A017_1,IFR,-0.07584843,0.7291666666666666,0.06147224187687106,0.5647588234458155
A017,T1,A017_1,ICR,-0.64893633,0.5,0.15562142512890487,0.6652475579741028
A017,T1,A017_1,IRE,0.07371173,0.4107142857142857,0.15224300794107126,0.6498001431130626
A017,T2,A017_2,IFR,1.0087,0.75,0.4454912561652888,0.5944478615626214
A017,T2,A017_2,ICR,0.68695086,0.6973684210526315,0.4736850358546648,0.6748993207622894
A017,T2,A017_2,IRE,1.094934,0.6607142857142857,0.4452132418200543,0.6603372758111064
A017,T3,A017_3,IFR,0.22324428,0.5416666666666666,0.6162797077190342,0.6076517516290678
A017,T3,A017_3,ICR,0.23617989,0.6973684210526315,0.6151405095428701,0.6791918416011674
A017,T3,A017_3,IRE,0.34243777,0.6428571428571429,0.5755086978621102,0.6650235556836014
A017,T4,A017_4,IFR,1.0260882,0.7083333333333334,0.7486832673680016,0.6178880529135314
A017,T4,A017_4,ICR,1.1511014,0.7368421052631579,0.7248037102906989,0.6825196136710252
A017,T4,A017_4,IRE,0.8778206,0.7142857142857143,0.6765201071764271,0.6686565890121716
A018,T1,A018_1,IFR,0.8998065,0.6041666666666666,0.9076754273499699,0.6449268866708299
A018,T1,A018_1,ICR,1.2432209,0.7763157894736842,1.0018246106020037,0.7454156211991172
A018,T1,A018_1,IRE,0.89794534,0.7321428571428571,0.99844619341417,0.7299682063380769
A018,T2,A018_2,IFR,0.46910602,0.625,0.20345488423963135,0.5444941878742675
A018,T2,A018_2,ICR,0.6348993,0.6578947368421053,0.21826229863106233,0.6208788644809128
A018,T2,A018_2,IRE,0.11510111,0.7678571428571429,0.18469753130108207,0.6064965149662969
A018,T3,A018_3,IFR,-0.8570981,0.2083333333333333,-0.013538602535958594,0.5135475736191732
A018,T3,A018_3,ICR,-0.3062067,0.5921052631578947,-0.02317899393554329,0.5825049980318444
A018,T3,A018_3,IRE,-0.5672663,0.5,-0.06604516752874146,0.5684508301436033
A018,T4,A018_4,IFR,0.042763263,0.5,-0.15733589936514594,0.49303986372417397
A018,T4,A018_4,ICR,0.14981274,0.5921052631578947,-0.1831773686790585,0.5570753948384227
A018,T4,A018_4,IRE,0.25552902,0.6071428571428571,-0.23220740044715224,0.5432387064305243
A019,T1,A019_1,IFR,-0.457872,0.5833333333333334,-0.47669238783713697,0.49420904898694695
