composite_ID,UID,TEST,theta_IFR,theta_ICR,theta_IRE,CTT_IFR,CTT_ICR,CTT_IRE,se_IFR,se_ICR,se_IRE
A034_3,A034,T3,0.25853375,0.31177452,0.41954288,0.5416666666666666,0.6447368421052632,0.5892857142857143,,,
A034_4,A034,T4,-0.10638464,-0.009669799,0.035610847,0.4166666666666667,0.6052631578947368,0.6071428571428571,,,
A035_1,A035,T1,-0.65596753,-0.5415187,-0.45223022,0.25,0.5131578947368421,0.375,,,
A035_2,A035,T2,0.8209889,1.0356543,0.5595692,0.625,0.6578947368421053,0.7142857142857143,,,
A035_3,A035,T3,-0.50477034,-0.39255425,-0.37577602,0.4583333333333333,0.5789473684210527,0.6428571428571429,,,
A035_4,A035,T4,-0.99131393,-0.92812026,-1.0302126,0.4166666666666667,0.5,0.2678571428571428,,,
A036_1,A036,T1,0.8689254,1.2325392,1.0361929,0.6458333333333334,0.7894736842105263,0.8571428571428571,,,
A036_2,A036,T2,-0.1759345,-0.050014295,-0.27806544,0.5,0.6052631578947368,0.5892857142857143,,,
A036_3,A036,T3,-0.7087776,-0.21859926,-0.60023236,0.2708333333333333,0.631578947368421,0.6071428571428571,,,
A036_4,A036,T4,-1.176061,-1.234061,-1.1132983,0.1875,0.4342105263157895,0.5178571428571429,,,
A037_1,A037,T1,1.0822115,1.258741,0.93678945,0.8333333333333334,0.7105263157894737,0.7678571428571429,,,
A037_2,A037,T2,0.93259835,0.58575517,1.5641938,0.6875,0.8421052631578947,0.6964285714285714,,,
A037_3,A037,T3,0.6126821,0.20267418,0.19912125,0.75,0.6973684210526315,0.625,,,
A037_4,A037,T4,-0.28599942,-0.4808938,-0.20357801,0.4791666666666667,0.6710526315789473,0.5535714285714286,,,
A038_1,A038,T1,1.1545284,1.1368554,1.4483027,0.6666666666666666,0.8289473684210527,0.7857142857142857,,,
A038_2,A038,T2,-0.09438367,-0.15929624,-0.49120235,0.6666666666666666,0.5921052631578947,0.6428571428571429,,,
A038_3,A038,T3,0.9860895,0.93710977,1.2652723,0.7083333333333334,0.6842105263157895,0.75,,,
A038_4,A038,T4,-0.008316844,-0.112696126,-0.041008864,0.5208333333333334,0.5657894736842105,0.625,,,
A039_1,A039,T1,2.3421638,2.1386986,2.6988935,0.9166666666666666,0.8947368421052632,0.875,,,
A039_2,A039,T2,0.7976839,0.99968016,0.9120198,0.7083333333333334,0.8552631578947368,0.8392857142857143,,,
A039_3,A039,T3,0.839274,0.8152755,0.82550347,0.625,0.6710526315789473,0.6785714285714286,,,
A039_4,A039,T4,0.6956401,0.87478536,0.63423765,0.6041666666666666,0.7631578947368421,0.8035714285714286,,,
A040_1,A040,T1,-0.5817445,-0.49256238,-0.74248385,0.4791666666666667,0.5921052631578947,0.3392857142857143,,,
A040_2,A040,T2,-0.26374146,-0.38509324,0.09302302,0.4583333333333333,0.7368421052631579,0.625,,,
A040_3,A040,T3,-1.6241969,-1.3090754,-1.6655847,0.1875,0.3157894736842105,0.5,,,
A040_4,A040,T4,-0.8882852,-1.4733402,-1.5992237,0.5416666666666666,0.1578947368421052,0.4107142857142857,,,
A041_1,A041,T1,1.2497655,1.4855708,0.81122,0.8541666666666666,0.7368421052631579,0.7142857142857143,,,
A041_2,A041,T2,-1.167476,-0.81649363,-1.162225,0.3125,0.5394736842105263,0.5892857142857143,,,
A041_3,A041,T3,0.075356334,0.18753728,0.15353484,0.5416666666666666,0.6578947368421053,0.8571428571428571,,,
A041_4,A041,T4,0.66515946,0.48835725,0.5963426,0.7083333333333334,0.5789473684210527,0.6071428571428571,,,
A042_1,A042,T1,-1.02681,-0.6895237,-0.7229102,0.1666666666666666,0.631578947368421,0.5178571428571429,,,
A042_2,A042,T2,-1.0026407,-0.9664004,-1.140325,0.3125,0.6447368421052632,0.3392857142857143,,,
A042_3,A042,T3,-0.5476192,-0.6056565,-0.48732755,0.5,0.5,0.5714285714285714,,,
A042_4,A042,T4,-0.8089415,-1.1014373,-1.4546955,0.5416666666666666,0.4078947368421052,0.4285714285714285,,,
A043_1,A043,T1,0.9052307,0.899163,1.0126323,0.7083333333333334,0.75,0.8571428571428571,,,
A043_2,A043,T2,0.115137,0.034321833,0.3983507,0.5416666666666666,0.7105263157894737,0.7142857142857143,,,
A043_3,A043,T3,0.2997891,0.037855305,0.5010917,0.6458333333333334,0.7631578947368421,0.6785714285714286,,,
A043_4,A043,T4,0.048738178,-0.11178535,-0.5570522,0.5416666666666666,0.5,0.4464285714285714,,,
A044_1,A044,T1,-0.8060287,-0.4346427,-0.4703743,0.2291666666666666,0.6578947368421053,0.6428571428571429,,,
A044_2,A044,T2,-0.19541748,-0.3329901,-0.654232,0.5416666666666666,0.4210526315789473,0.6071428571428571,,,
A044_3,A044,T3,-1.4959046,-1.7054782,-1.5527358,0.3958333333333333,0.3157894736842105,0.4107142857142857,,,
A044_4,A044,T4,-1.0974785,-0.9379744,-1.2528853,0.3333333333333333,0.5131578947368421,0.375,,,
