composite_ID,theta_IFR,theta_ICR,theta_IRE,se_IFR,se_ICR,se_IRE
A054_2,0.59928095,0.45086184,0.6934224,,,
A054_3,0.76526284,0.7501586,0.8463199,,,
A054_4,1.2983474,1.2492504,1.2287457,,,
A055_1,-0.3203487,0.041222192,-0.13158245,,,
A055_2,0.5494155,1.2471511,0.76897997,,,
A055_3,-0.9620779,-0.31288907,-0.907813,,,
A055_4,-0.9730982,-1.554973,-1.0814104,,,
A056_1,0.8824607,0.9120589,0.72850454,,,
A056_2,0.3381003,-0.018810825,0.22693743,,,
A056_3,-0.26972502,0.29311848,-0.091664016,,,
A056_4,-1.5637758,-1.1334265,-1.3377627,,,
A057_1,0.009936852,-0.05232748,0.27071217,,,
A057_2,-0.7343016,-0.85586286,-0.8539148,,,
A057_3,-0.6061695,-0.5226535,-0.71713674,,,
A057_4,-1.3534855,-1.2877662,-1.8448895,,,
A058_1,1.2909634,1.6296768,1.2466015,,,
A058_2,-1.1071848,-0.682836,-1.077494,,,
A058_3,-0.0076611126,-0.061592907,-0.117913626,,,
A058_4,-0.8837645,-0.7328553,-0.69132006,,,
A059_1,0.98924613,0.8768439,1.7848992,,,
A059_2,1.1210508,1.4401908,0.89374894,,,
A059_3,1.5913445,2.004653,1.4927459,,,
A059_4,0.5147332,0.0840155,0.68180627,,,
A060_1,0.089007095,-0.034585696,-0.38018447,,,
A060_2,0.9243096,0.75584376,1.1239609,,,
A060_3,-0.42468035,-0.2604367,-0.09334896,,,
A060_4,0.6639469,0.36166513,0.46231183,,,
A061_1,2.6159682,2.3680613,2.7986915,,,
A061_2,0.83355284,0.9821358,1.2234498,,,
A061_3,0.720659,0.64583325,0.5204708,,,
A061_4,-0.44061255,-0.63718915,-0.6823952,,,
A062_1,1.5698215,1.4751632,1.4583671,,,
A062_2,0.29121718,0.39018252,0.24000895,,,
A062_3,-0.99807596,-0.94510424,-0.984396,,,
A062_4,-1.3407863,-0.8798419,-1.181499,,,
A063_1,1.0055077,1.2077117,0.9245191,,,
A063_2,0.5848471,1.3568763,1.0350604,,,
A063_3,-0.0073365774,0.070884176,0.028180914,,,
A063_4,-1.0480841,-1.0678395,-0.9576166,,,
A064_1,0.9337908,1.2809386,1.2904102,,,
A064_2,1.0231495,0.7598011,1.1106834,,,
A064_3,0.12078351,0.16164199,0.2845312,,,
A064_4,-0.82732314,-0.7334007,-0.7148069,,,
A065_1,-1.6313238,-1.8375293,-1.9897554,,,
A065_2,0.011327019,-0.0030232137,-0.46454605,,,
A065_3,-1.3355386,-1.2474006,-2.072122,,,
A065_4,-2.3671904,-2.2587807,-2.4058857,,,
A066_1,0.2606496,-0.14587693,0.04724063,,,
A066_2,-0.04822852,-0.5350211,0.049044065,,,
A066_3,-0.73158157,-1.1306067,-0.8186272,,,
A066_4,-1.053569,-1.4549768,-1.2446865,,,
A067_1,0.53448457,0.20703617,0.4298758,,,
A067_2,-1.4098325,-1.5590602,-1.1691964,,,
A067_3,-1.5651689,-1.4660316,-1.4345893,,,
A067_4,-1.2525647,-1.5478401,-1.3285642,,,
A068_1,1.1313976,1.4069263,1.041759,,,
A068_2,-0.6020199,-0.21608391,-0.0033514237,,,
A068_3,0.8178577,0.7251277,0.8072276,,,
A068_4,-0.18029927,-0.44046012,-0.29118964,,,
A069_1,-0.9453881,-0.8156367,-0.8091589,,,
A069_2,-1.0803355,-1.003427,-0.9965671,,,
A069_3,-0.40901044,-0.15258345,-0.24949603,,,
A069_4,-1.3295189,-1.1634574,-1.8297737,,,
A070_1,-0.19590467,0.17281204,-0.038579978,,,
A070_2,0.001917907,0.050464932,0.18958522,,,
A070_3,-0.6862198,-1.109818,-0.277578,,,
A070_4,-0.76803863,-1.0831009,-0.78672224,,,
A071_1,0.8231066,0.5489096,0.70816094,,,
A071_2,0.7234464,0.40938142,0.56730664,,,
A071_3,-0.8875053,-0.70280397,-0.84938395,,,
A071_4,0.3867004,0.24814038,0.033938855,,,
A072_1,0.7837958,1.2745856,1.0733924,,,
A072_2,1.3752688,1.3061616,1.4070365,,,
A072_3,-0.50578904,-0.58761966,-0.5334246,,,
A072_4,0.22475065,0.10019777,-0.2938692,,,
A073_1,1.0453852,1.1698031,0.68885374,,,
A073_2,-0.18324019,0.213315,0.119342916,,,
A073_3,1.1016877,1.063813,1.1573863,,,
A073_4,1.1862053,1.2432824,1.3339784,,,
A074_1,1.1920998,1.3506466,1.4998207,,,
A074_2,-0.18063918,-0.031553622,-0.037707042,,,
A074_3,-0.33134934,-0.53760165,-0.59307206,,,
A074_4,-0.77555984,-0.6315205,-1.2337722,,,
A075_1,0.6835109,0.9588991,0.8625738,,,
A075_2,0.15669091,0.5673783,0.39767498,,,
A075_3,-1.2112106,-1.399464,-1.2247729,,,
A075_4,-0.9596083,-0.7930459,-1.2319921,,,
A076_1,-0.23747711,0.024194812,-0.22091237,,,
A076_2,-0.96419734,-1.0196363,-1.0255073,,,
A076_3,-1.6650329,-1.6319014,-1.5301954,,,
A076_4,-1.514256,-1.6889011,-1.7831339,,,
A077_1,0.94863856,0.620659,0.89236367,,,
A077_2,-0.2102372,-0.054946523,-0.42042914,,,
A077_3,-0.27487096,-0.40346828,-0.1648312,,,
A077_4,0.36480424,0.047804616,0.0786916,,,
A078_1,-0.96974343,-0.5550404,-0.6276853,,,
A078_2,0.103746764,0.33242676,0.09190124,,,
A078_3,-0.52161014,-0.71275437,-0.71987665,,,
A078_4,-1.1577317,-0.96229225,-1.2768241,,,
A079_1,0.29714143,0.7266939,0.525917,,,
A079_2,-0.019604485,0.33964783,-0.23780693,,,
A079_3,-0.63756335,-0.95795447,-0.90638155,,,
A079_4,-0.8638559,-0.64385366,-0.8079388,,,
A080_1,-0.03166884,0.4963262,0.19847187,,,
A080_2,0.46226197,0.06484385,0.5421969,,,
A080_3,0.26095873,0.17949885,0.51873004,,,
A080_4,-0.27738324,-0.7201712,-0.7286859,,,
A081_1,-0.21233271,0.59079283,0.09954796,,,
A081_2,-0.2756375,-0.37425303,-0.37963817,,,
A081_3,1.1896797,1.4981886,0.9053249,,,
A081_4,0.5770681,0.28968403,0.20900704,,,
A082_1,0.23409934,0.3937965,0.15080759,,,
A082_2,1.3762386,1.6726893,1.0830928,,,
A082_3,0.45864242,0.26070443,0.8160206,,,
A082_4,-0.5385982,-0.24990185,-0.4891232,,,
A083_1,2.0915012,1.8757206,1.978909,,,
A083_2,0.5282948,0.7406226,0.57815444,,,
A083_3,0.067734525,0.15675685,0.22213173,,,
A083_4,0.35439134,0.41007304,0.27717957,,,
A084_1,0.4183016,1.0363737,1.0537276,,,
A084_2,-0.43802726,-0.08566386,-0.011237693,,,
A084_3,-0.0573422,0.1501421,-0.19179052,,,
A084_4,-0.6182798,-0.5393467,-0.18041168,,,
A085_1,-0.031216,0.075853765,-0.22509605,,,
A085_2,1.1066616,1.2179971,1.0013424,,,
A085_3,0.061248675,-0.22426121,-0.067706935,,,
A085_4,-0.76523185,-0.3583133,-1.0312817,,,
A086_1,0.38950622,0.88108736,0.6659961,,,
A086_2,-0.14577931,0.30652004,0.22458939,,,
A086_3,-1.0502772,-0.82387006,-1.3325757,,,
A086_4,-0.8074584,-0.6613363,-0.5272459,,,
A087_1,0.78208005,0.58175397,0.7895145,,,
A087_2,1.0232055,1.1760826,1.4542019,,,
A087_3,0.5696994,0.65625054,0.04354732,,,
A087_4,0.74973524,0.28195977,0.38482845,,,
A088_1,1.4914855,1.5454081,1.9759402,,,
A088_2,2.2012293,2.4344504,2.3444242,,,
A088_3,1.2592479,1.1459264,1.1121235,,,
A088_4,1.9822054,2.3584166,1.9438039,,,
A089_1,0.9941269,1.0743129,1.5588329,,,
A089_2,1.1067888,1.006568,0.9890919,,,
A089_3,0.42236474,1.1093498,0.07187775,,,
A089_4,-0.14824519,0.019611612,0.042044263,,,
A090_1,0.5147539,0.06928799,0.050371252,,,
A090_2,-0.14470427,-0.5618887,-0.27120855,,,
A090_3,-1.0755081,-1.2942528,-1.3461871,,,
