UID,REMEMVR_z,RAVLT_z,RAVLT_Pct_Ret_z,Discrepancy,Discrepancy_PctRet
A044,-1.333326632074249,0.8706459354397428,0.1652502370544121,-2.2039725675139916,-1.498576869128661
A045,-1.6007809066478296,-1.7353691094139083,0.456473974403097,0.13458820276607875,-2.057254881050927
A046,-1.809780343995911,-0.6692720456101421,0.6132867560523886,-1.140508298385769,-2.4230671000482995
A047,-1.5326258168678148,-1.7353691094139083,-1.884101988732626,0.20274329254609347,0.35147617186481117
A048,0.4567356455741942,-0.076995899052494,-1.1290774844952969,0.5337315446266883,1.585813130069491
A049,0.7262465630200582,-1.024637733544731,-0.0994986150807544,1.7508842965647893,0.8257451781008126
A050,-1.18834512159147,-1.2615481921677902,1.7537433498654178,0.07320307057632025,-2.942088471456888
A051,-0.0673367594565755,-0.9061825042332012,1.7537433498654178,0.8388457447766258,-1.8210801093219933
A052,0.0850114763992513,0.6337354768166836,-0.4321317882762214,-0.5487240004174323,0.5171432646754727
A053,0.6712760837299183,0.1599145595705651,0.0034592718606996,0.5113615241593532,0.6678168118692187
A054,1.5046497496429545,0.2783697888820947,1.6587053003809995,1.2262799607608599,-0.154055550738045
A055,0.1430975366558719,0.0414593302590355,0.1652502370544121,0.1016382063968364,-0.022152700398540198
A056,-0.1159986534341031,0.0414593302590355,-1.1290774844952969,-0.1574579836931386,1.0130788310611938
A057,-0.7694249373324431,0.1599145595705651,-0.3201226585267283,-0.9293394969030082,-0.4493022788057148
A058,-0.3840414485837071,-1.1430929628562605,0.456473974403097,0.7590515142725534,-0.8405154229868042
A059,1.4605126514164986,0.2783697888820947,0.6829813256742957,1.182142862534404,0.7775313257422029
A060,0.3406622941734215,0.0414593302590355,1.6587053003809995,0.299202963914386,-1.318043006207578
A061,1.2749949974581445,1.5813773113089205,1.135996028216694,-0.30638231385077597,0.1389989692414504
A062,0.1247341287561089,0.3968250181936243,2.181414572545304,-0.2720908894375154,-2.056680443789195
A063,0.4262575336032437,0.9891011647512724,1.6587053003809995,-0.5628436311480287,-1.2324477667777558
A064,0.450022463083345,1.81828776993198,0.6829813256742957,-1.368265306848635,-0.23295886259095072
A065,-2.909822076467814,0.515280247505154,-1.7762413452701509,-3.425102323972968,-1.1335807311976631
