UID,theta_all,se_all,strategy_text_combined,age,education,vr_exposure,sleep_hours
A010,0.7356485,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",22,6,4,8.0
A024,-0.7700928,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",29,8,4,7.0
A025,-1.1388493,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",26,6,2,7.0
A026,-0.26765063,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",29,8,1,6.0
A027,-0.8390413,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",28,6,1,8.0
A028,-0.7637951,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",26,7,1,7.0
A029,0.7683035,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",25,6,1,7.0
A030,0.33196774,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",31,8,1,7.0
A031,-0.57443035,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",32,6,2,7.0
A032,1.5530372,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",33,6,1,7.0
A033,-0.40873924,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",32,6,2,6.0
A034,-0.1552254,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",33,6,1,7.0
A035,-0.98961914,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",34,7,2,8.0
A036,-1.0100961,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",30,6,2,8.0
A037,-0.16601759,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",31,7,2,7.0
A038,-0.017467948,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",32,4,1,8.0
A039,0.72307914,,"nan,  | nan,  | nan,  | nan,  | nan,  | how i placed the items or the result of their placement - e.g. my lamp fell over, in the middle of the couch, the drill fell to the second shelf even though i placed on the top shelf | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",31,8,1,7.5
A040,-1.6119773,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",38,8,1,7.0
A041,0.1290578,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",35,6,0,8.0
A042,-1.260689,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",38,6,2,5.0
A043,-0.36708274,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",38,6,2,7.5
A044,-1.7971689,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",38,6,4,7.0
A045,-1.2476392,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",37,8,1,8.0
A046,-1.154563,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",38,6,1,8.0
A047,-1.600209,,"nan,  | nan,  | nan,  | trying to remember the object that was the odd one out in the rooms | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",36,6,0,7.0
A048,0.09614354,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",38,8,2,8.0
A049,0.034191336,,"nan,  | nan,  | nan,  | nan,  | When placing down an item, picking the same spot as another item was/is. | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",35,5,3,7.0
A050,-1.1381246,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",41,9,4,7.0
A051,-0.72000563,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",41,1,2,8.0
A052,-0.8312764,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",43,9,0,9.0
A053,-0.13549207,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",44,6,0,9.0
A054,1.2362738,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",43,7,0,8.0
A055,-0.62007034,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",44,6,1,7.5
A056,-0.9539059,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",42,6,0,7.0
A057,-1.0877718,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",40,6,0,10.0
A058,-1.0669552,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",42,6,0,8.0
A059,0.38432297,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",43,6,1,7.0
A060,0.19280487,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",48,4,0,8.0
A061,-0.2929151,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",47,5,1,6.0
A062,-0.7168849,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",48,8,2,7.0
A063,-0.58241045,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",45,8,1,9.0
A064,-0.33321425,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",47,6,1,5.0
A065,-2.3754525,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",47,6,0,8.0
A066,-1.2830758,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",47,8,1,7.0
A067,-1.1757759,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",48,6,1,5.5
A068,-0.3906647,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",49,8,1,6.0
A069,-1.7110198,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",46,5,0,6.0
A070,-1.0469787,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",52,5,1,6.5
A071,0.1462163,,"nan,  | nan,  | nan,  | Drew picture and took notes on day 1 of bathroom | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",50,7,1,7.0
A072,-0.13873519,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",50,7,0,6.0
A073,0.9759681,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",51,6,0,4.0
A074,-1.1428367,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",53,6,1,7.0
A075,-0.5980336,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",53,6,0,8.0
A076,-2.5163941,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",54,1,0,8.0
A077,0.58986604,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",52,6,0,7.0
A078,-1.0697036,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",50,7,0,7.0
A079,-0.9119565,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",50,5,1,5.5
A080,-0.8033879,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",56,8,2,7.0
A081,0.18450806,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | Drawing the room from memory, but i got it very wrong, not the furniture but the door, window and Pictures | nan,  | nan,  | nan,  | nan, ",55,5,3,7.0
A082,-0.08527875,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",58,9,3,7.0
A083,-0.03377411,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",58,9,2,5.5
A084,-0.024996497,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",59,5,3,7.0
A085,-0.5059031,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",58,2,0,7.0
A086,-1.1456217,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",58,5,0,7.0
A087,0.27864328,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",59,6,1,5.5
A088,1.1879628,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",56,4,1,7.0
A089,0.3647498,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",56,3,0,8.0
A090,-1.1440647,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",61,4,1,6.0
A091,-0.80276793,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",63,8,1,8.0
A092,-1.3833519,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",60,6,1,6.5
A093,0.5149613,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",64,6,0,7.0
A094,-1.1788263,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",60,5,0,6.0
A095,-0.7580661,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",61,6,3,6.0
A096,-1.4557325,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",60,8,0,7.0
A097,0.086306766,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",64,6,0,8.0
A098,-0.6924288,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",60,7,2,6.5
A099,0.8498486,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | What items did and did not belong in a bathroom | nan,  | nan,  | nan,  | nan, ",63,5,2,7.0
A100,0.06164612,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",66,8,0,6.5
A101,-1.1640573,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",69,2,1,7.0
A102,-0.5023084,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",68,5,1,8.0
A103,-0.96813315,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",68,6,2,9.0
A104,-1.7777252,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",66,6,0,6.0
A105,0.29649377,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",68,8,0,7.0
A106,1.0106606,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",66,8,1,7.5
A107,-1.2497748,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",70,5,0,7.5
A108,-1.1333818,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",69,4,0,7.0
A109,-1.2962439,,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, ",68,8,1,7.0
