UID,standardized_residual,cooks_distance,leverage,outlier_flag
A068,0.1844750011192409,9.79255907141955e-05,0.011265968907387739,normal
A069,-1.4546740046956719,0.005501704338221939,0.010411194315027949,normal
A070,-0.6051000847428725,0.0012126159023388469,0.0129889438710449,normal
A071,-0.04796807000347104,0.0005819762941815234,0.5003014584622559,high_leverage
A072,0.4968720012146333,0.0007392471198353458,0.011743827187351534,normal
A073,1.8963019328384318,0.010916805820718578,0.012318152175237247,normal
A074,-0.7189180169855953,0.0018113579641033243,0.013756202274774485,normal
A075,-0.051439842352576266,9.323716636265541e-06,0.013756202274774485,normal
A076,-2.467077989555112,0.021440030164625076,0.014619927386425997,normal
A077,1.4093607166304714,0.00646840207565181,0.0129889438710449,normal
A078,-0.6412678816295933,0.0012292235309875712,0.011743827187351534,normal
A079,-0.44784897919527494,0.0006008623505748702,0.011743827187351534,normal
A080,-0.2899456397288161,0.0003589978954623005,0.016636777733494826,normal
A081,0.047968070003472855,0.0005819762941815677,0.5003014584622559,high_leverage
A082,0.5991849535729894,0.0017537801465229714,0.01903949491225136,normal
A083,0.6626694693262946,0.002143298159933495,0.01903949491225136,normal
A084,0.6783093777018019,0.002407200754561696,0.020385553563512526,normal
A085,0.08284256213523922,3.364861621411194e-05,0.01903949491225136,normal
A086,-0.7025600718609009,0.0024077303500005987,0.01903949491225136,normal
A087,1.0549779630754594,0.005783401050994256,0.020385553563512526,normal
A088,2.2003919235584637,0.01969039846317761,0.016636777733494826,normal
A089,1.147130813814521,0.005547462279754184,0.016636777733494826,normal
A090,-0.689128172728334,0.0028562417628159487,0.02336707098980066,normal
A091,-0.2603333860659638,0.0004699781242272844,0.026734455247776494,normal
A092,-0.9897717896431819,0.005466414430828877,0.021828078922695626,normal
A093,1.379418476868767,0.013856508276838628,0.028562847438647315,normal
A094,-0.735919223921256,0.003035844026201786,0.021828078922695626,normal
A095,-0.2136132579911088,0.00027568199794514347,0.02336707098980066,normal
A096,-1.080062559637032,0.006496589402523225,0.021828078922695626,normal
A097,0.8413049866130795,0.005218643770943821,0.028562847438647315,normal
A098,-0.1372145538446788,0.00010612122440526708,0.021828078922695626,normal
A099,1.802042344990538,0.021790156106488285,0.026734455247776494,normal
A100,0.8210647988733963,0.005682358439972813,0.032509031944154755,normal
A101,-0.6845938339058124,0.004800797616793134,0.03915180901183036,normal
A102,0.13158956292196555,0.00016729609930912464,0.036841083281349905,normal
A103,-0.44471500809773246,0.0019071395579492434,0.036841083281349905,normal
A104,-1.4668133224189859,0.01785946134350013,0.032509031944154755,normal
A105,1.126467474472873,0.01210032002857614,0.036841083281349905,normal
A106,2.0313964412699272,0.03357126055292149,0.032509031944154755,normal
A107,-0.788189437765053,0.006761106879926123,0.04155900145023277,normal
A108,-0.6463628174814564,0.004281852460971981,0.03915180901183036,normal
A109,-0.8530967632186958,0.006979178590789904,0.036841083281349905,normal
