Days_within,Congruence,theta_predicted,theta_observed,CI_lower_observed,CI_upper_observed,n_obs,Data_Type
5.389830508474577,Common,-0.4281117511795704,,,,,Late
5.491525423728814,Common,-0.43758706545509707,,,,,Late
5.593220338983051,Common,-0.4470623797306238,,,,,Late
5.694915254237289,Common,-0.4565376940061505,,,,,Late
5.796610169491526,Common,-0.4660130082816772,,,,,Late
5.898305084745763,Common,-0.4754883225572039,,,,,Late
6.0,Common,-0.4849636368327306,0.05175877233333334,-0.27701518495672184,0.3805327296233886,3.0,Late
0.0,Congruent,0.13798301291973702,-0.18952605312499998,-0.5980162289948565,0.21896412274485655,16.0,Late
0.1016949152542373,Congruent,0.12772603509844505,,,,,Late
0.2033898305084746,Congruent,0.11746905727715307,,,,,Late
0.3050847457627119,Congruent,0.10721207945586107,,,,,Late
0.4067796610169492,Congruent,0.0969551016345691,,,,,Late
0.5084745762711864,Congruent,0.08669812381327711,,,,,Late
0.6101694915254238,Congruent,0.07644114599198513,,,,,Late
0.7118644067796611,Congruent,0.06618416817069314,,,,,Late
0.8135593220338984,Congruent,0.05592719034940117,,,,,Late
0.9152542372881356,Congruent,0.04567021252810918,,,,,Late
1.0169491525423728,Congruent,0.035413234706817204,,,,,Late
1.1186440677966103,Congruent,0.025156256885525207,,,,,Late
1.2203389830508475,Congruent,0.014899279064233231,,,,,Late
1.3220338983050848,Congruent,0.0046423012429412545,,,,,Late
1.4237288135593222,Congruent,-0.005614676578350741,,,,,Late
1.5254237288135595,Congruent,-0.01587165439964272,,,,,Late
1.6271186440677967,Congruent,-0.0261286322209347,,,,,Late
1.728813559322034,Congruent,-0.03638561004222668,,,,,Late
1.8305084745762712,Congruent,-0.04664258786351865,,,,,Late
1.9322033898305087,Congruent,-0.05689956568481065,,,,,Late
2.0338983050847457,Congruent,-0.0671565435061026,,,,,Late
2.135593220338983,Congruent,-0.07741352132739461,,,,,Late
2.2372881355932206,Congruent,-0.08767049914868662,,,,,Late
2.3389830508474576,Congruent,-0.09792747696997857,,,,,Late
2.440677966101695,Congruent,-0.10818445479127056,,,,,Late
2.5423728813559325,Congruent,-0.11844143261256254,,,,,Late
2.6440677966101696,Congruent,-0.12869841043385452,,,,,Late
2.745762711864407,Congruent,-0.1389553882551465,,,,,Late
2.8474576271186445,Congruent,-0.1492123660764385,,,,,Late
2.9491525423728815,Congruent,-0.1594693438977305,,,,,Late
3.050847457627119,Congruent,-0.1697263217190225,,,,,Late
3.152542372881356,Congruent,-0.17998329954031442,,,,,Late
3.2542372881355934,Congruent,-0.19024027736160642,,,,,Late
3.355932203389831,Congruent,-0.2004972551828984,,,,,Late
3.457627118644068,Congruent,-0.21075423300419038,,,,,Late
3.5593220338983054,Congruent,-0.22101121082548236,,,,,Late
3.6610169491525424,Congruent,-0.23126818864677434,,,,,Late
3.76271186440678,Congruent,-0.24152516646806635,,,,,Late
3.8644067796610173,Congruent,-0.2517821442893583,,,,,Late
3.9661016949152543,Congruent,-0.2620391221106503,,,,,Late
4.067796610169491,Congruent,-0.27229609993194226,,,,,Late
4.169491525423729,Congruent,-0.2825530777532343,,,,,Late
4.271186440677966,Congruent,-0.2928100555745262,,,,,Late
4.372881355932203,Congruent,-0.3030670333958182,,,,,Late
4.474576271186441,Congruent,-0.31332401121711023,,,,,Late
4.576271186440678,Congruent,-0.3235809890384022,,,,,Late
4.677966101694915,Congruent,-0.33383796685969414,,,,,Late
4.779661016949153,Congruent,-0.3440949446809862,,,,,Late
4.88135593220339,Congruent,-0.35435192250227815,,,,,Late
4.983050847457627,Congruent,-0.36460890032357013,,,,,Late
5.084745762711865,Congruent,-0.37486587814486216,,,,,Late
5.186440677966102,Congruent,-0.3851228559661541,,,,,Late
5.288135593220339,Congruent,-0.39537983378744607,,,,,Late
5.389830508474577,Congruent,-0.4056368116087381,,,,,Late
5.491525423728814,Congruent,-0.4158937894300301,,,,,Late
5.593220338983051,Congruent,-0.426150767251322,,,,,Late
5.694915254237289,Congruent,-0.43640774507261404,,,,,Late
5.796610169491526,Congruent,-0.44666472289390596,,,,,Late
5.898305084745763,Congruent,-0.456921700715198,,,,,Late
6.0,Congruent,-0.4671786785364899,-0.05860500000000002,-1.240082105014674,1.122872105014674,3.0,Late
0.0,Incongruent,0.0650804504728875,-0.17139129,-0.6240759138026852,0.2812933338026853,16.0,Late
0.1016949152542373,Incongruent,0.05593469257564058,,,,,Late
0.2033898305084746,Incongruent,0.04678893467839367,,,,,Late
0.3050847457627119,Incongruent,0.037643176781146745,,,,,Late
