UID,composite_ID,test,domain,theta,TSVR_hours,log_TSVR,age,Age_c,mean_age
A038,A038_3,3,What,0.70266676,72.86,4.3021714094244174,32.0,-12.57,44.57
A038,A038_4,4,What,0.056318834,152.89,5.0362380614757605,32.0,-12.57,44.57
A039,A039_1,1,What,2.252001,1.0,0.6931471805599453,31.0,-13.57,44.57
A039,A039_2,2,What,0.92305565,28.65,3.3894621254437345,31.0,-13.57,44.57
A039,A039_3,3,What,0.31220362,98.84,4.603568904621118,31.0,-13.57,44.57
A039,A039_4,4,What,0.6324969,246.24,5.510359524791073,31.0,-13.57,44.57
A040,A040_1,1,What,-0.36999494,1.0,0.6931471805599453,38.0,-6.57,44.57
A040,A040_2,2,What,0.056224108,26.26,3.3054204262683866,38.0,-6.57,44.57
A040,A040_3,3,What,-1.5265014,71.28,4.280547465724028,38.0,-6.57,44.57
A040,A040_4,4,What,-1.7589025,143.53,4.97348709846075,38.0,-6.57,44.57
A041,A041_1,1,What,1.2257649,1.0,0.6931471805599453,35.0,-9.57,44.57
A041,A041_2,2,What,-1.0088389,31.78,3.4898185733156835,35.0,-9.57,44.57
A041,A041_3,3,What,0.059980888,75.74,4.340423084818807,35.0,-9.57,44.57
A041,A041_4,4,What,0.045220107,141.84,4.961725122726247,35.0,-9.57,44.57
A042,A042_1,1,What,-0.8475921,1.0,0.6931471805599453,38.0,-6.57,44.57
A042,A042_2,2,What,-0.4416498,28.93,3.3988613218646075,38.0,-6.57,44.57
A042,A042_3,3,What,0.056583792,72.17,4.292785500895938,38.0,-6.57,44.57
A042,A042_4,4,What,-1.0751622,146.02,4.9905686319459415,38.0,-6.57,44.57
A043,A043_1,1,What,0.78068006,1.0,0.6931471805599453,38.0,-6.57,44.57
A043,A043_2,2,What,0.43919662,25.62,3.2816628129669656,38.0,-6.57,44.57
A043,A043_3,3,What,0.38608864,64.94,4.188745237643585,38.0,-6.57,44.57
A043,A043_4,4,What,-0.026184201,149.33,5.012832877639743,38.0,-6.57,44.57
A044,A044_1,1,What,-0.12027291,1.0,0.6931471805599453,38.0,-6.57,44.57
A044,A044_2,2,What,-0.47558594,47.66,3.8848573373553763,38.0,-6.57,44.57
A044,A044_3,3,What,-0.9757199,91.63,4.5286130632659365,38.0,-6.57,44.57
A044,A044_4,4,What,-1.5148207,155.27,5.0515852804252095,38.0,-6.57,44.57
A045,A045_1,1,What,-0.90017945,1.0,0.6931471805599453,37.0,-7.57,44.57
A045,A045_2,2,What,-0.808676,24.66,3.2449333591874905,37.0,-7.57,44.57
A045,A045_3,3,What,-0.65163666,72.23,4.2936051730729785,37.0,-7.57,44.57
A045,A045_4,4,What,-1.5065612,151.52,5.027295734989363,37.0,-7.57,44.57
A046,A046_1,1,What,-0.55372006,1.0,0.6931471805599453,38.0,-6.57,44.57
A046,A046_2,2,What,-1.0450114,24.32,3.2315945972759756,38.0,-6.57,44.57
A046,A046_3,3,What,-1.613356,73.05,4.304740540713808,38.0,-6.57,44.57
A046,A046_4,4,What,-1.2604105,147.94,5.003543540282499,38.0,-6.57,44.57
A047,A047_1,1,What,-0.4363785,1.0,0.6931471805599453,36.0,-8.57,44.57
A047,A047_2,2,What,-0.48320502,23.46,3.1970391302590264,36.0,-8.57,44.57
A047,A047_3,3,What,-1.4562982,76.85,4.354783898280007,36.0,-8.57,44.57
A047,A047_4,4,What,-1.3712326,144.22,4.978249833952101,36.0,-8.57,44.57
A048,A048_1,1,What,1.0746682,1.0,0.6931471805599453,38.0,-6.57,44.57
A048,A048_2,2,What,-0.534043,23.91,3.215269329274089,38.0,-6.57,44.57
A048,A048_3,3,What,0.23268522,81.15,4.408546844483277,38.0,-6.57,44.57
A048,A048_4,4,What,0.47788984,146.3,4.9924713234685845,38.0,-6.57,44.57
A049,A049_1,1,What,2.0709105,1.0,0.6931471805599453,35.0,-9.57,44.57
A049,A049_2,2,What,-0.3073396,27.12,3.336481066942464,35.0,-9.57,44.57
A049,A049_3,3,What,0.13866153,111.38,4.721885985684052,35.0,-9.57,44.57
A049,A049_4,4,What,-0.27844822,168.86,5.134974568351863,35.0,-9.57,44.57
A050,A050_1,1,What,-0.5759458,1.0,0.6931471805599453,41.0,-3.5700000000000003,44.57
A050,A050_2,2,What,-0.6173181,24.73,3.2476576262936527,41.0,-3.5700000000000003,44.57
A050,A050_3,3,What,-1.037826,93.39,4.547435135336853,41.0,-3.5700000000000003,44.57
A050,A050_4,4,What,-1.1924096,148.69,5.008566488927144,41.0,-3.5700000000000003,44.57
A051,A051_1,1,What,1.2619079,1.0,0.6931471805599453,41.0,-3.5700000000000003,44.57
A051,A051_2,2,What,-0.61919725,17.16,2.8992213731731473,41.0,-3.5700000000000003,44.57
A051,A051_3,3,What,-0.53872013,65.63,4.199154926574446,41.0,-3.5700000000000003,44.57
A051,A051_4,4,What,-0.75623167,146.99,4.997144703913756,41.0,-3.5700000000000003,44.57
A052,A052_1,1,What,0.9840419,1.0,0.6931471805599453,43.0,-1.5700000000000003,44.57
A052,A052_2,2,What,0.4169858,31.76,3.4892082589848687,43.0,-1.5700000000000003,44.57
A052,A052_3,3,What,0.17672805,80.98,4.406475315076191,43.0,-1.5700000000000003,44.57
A052,A052_4,4,What,-0.5472725,153.27,5.038704314023848,43.0,-1.5700000000000003,44.57
A053,A053_1,1,What,1.1032048,1.0,0.6931471805599453,44.0,-0.5700000000000003,44.57
A053,A053_2,2,What,0.5740109,32.71,3.5177945292459696,44.0,-0.5700000000000003,44.57
A053,A053_3,3,What,-0.52216256,78.28,4.372985890021733,44.0,-0.5700000000000003,44.57
A053,A053_4,4,What,0.31794128,148.9,5.009968405108552,44.0,-0.5700000000000003,44.57
A054,A054_1,1,What,0.5364078,1.0,0.6931471805599453,43.0,-1.5700000000000003,44.57
A054,A054_2,2,What,0.78079957,16.9,2.884800712846709,43.0,-1.5700000000000003,44.57
A054,A054_3,3,What,1.0624813,72.83,4.3017651530710745,43.0,-1.5700000000000003,44.57
A054,A054_4,4,What,1.199456,136.83,4.926021041706347,43.0,-1.5700000000000003,44.57
A055,A055_1,1,What,0.12596902,1.0,0.6931471805599453,44.0,-0.5700000000000003,44.57
A055,A055_2,2,What,0.7207104,23.24,3.1880041612011136,44.0,-0.5700000000000003,44.57
A055,A055_3,3,What,0.026863433,74.48,4.32386772050035,44.0,-0.5700000000000003,44.57
A055,A055_4,4,What,-0.27365744,149.21,5.012034315009963,44.0,-0.5700000000000003,44.57
A056,A056_1,1,What,0.25282967,1.0,0.6931471805599453,42.0,-2.5700000000000003,44.57
A056,A056_2,2,What,0.79354787,33.61,3.544142657647253,42.0,-2.5700000000000003,44.57
A056,A056_3,3,What,-0.6342211,71.46,4.283034685466931,42.0,-2.5700000000000003,44.57
A056,A056_4,4,What,-0.7479079,147.84,5.002871903478422,42.0,-2.5700000000000003,44.57
A057,A057_1,1,What,0.37111652,1.0,0.6931471805599453,40.0,-4.57,44.57
A057,A057_2,2,What,-0.33406383,24.78,3.2495989975110415,40.0,-4.57,44.57
A057,A057_3,3,What,-0.36420104,73.83,4.315218874092267,40.0,-4.57,44.57
A057,A057_4,4,What,-0.8997757,145.06,4.984017496191964,40.0,-4.57,44.57
A058,A058_1,1,What,0.86404234,1.0,0.6931471805599453,42.0,-2.5700000000000003,44.57
A058,A058_2,2,What,-0.67254853,22.96,3.1763857732472487,42.0,-2.5700000000000003,44.57
A058,A058_3,3,What,-0.33693078,66.28,4.208863015664693,42.0,-2.5700000000000003,44.57
A058,A058_4,4,What,-0.94237626,143.48,4.973141089668675,42.0,-2.5700000000000003,44.57
A059,A059_1,1,What,1.0408934,1.0,0.6931471805599453,43.0,-1.5700000000000003,44.57
A059,A059_2,2,What,1.4646933,30.4,3.4468078929142076,43.0,-1.5700000000000003,44.57
A059,A059_3,3,What,1.2263882,79.78,4.391729410135267,43.0,-1.5700000000000003,44.57
A059,A059_4,4,What,0.31380215,151.93,5.029980300360032,43.0,-1.5700000000000003,44.57
A060,A060_1,1,What,0.076296605,1.0,0.6931471805599453,48.0,3.4299999999999997,44.57
A060,A060_2,2,What,1.238489,24.87,3.2530839961979376,48.0,3.4299999999999997,44.57
A060,A060_3,3,What,-0.14499544,94.68,4.561009290202322,48.0,3.4299999999999997,44.57
A060,A060_4,4,What,0.22517887,143.91,4.976112860057833,48.0,3.4299999999999997,44.57
A061,A061_1,1,What,2.5348673,1.0,0.6931471805599453,47.0,2.4299999999999997,44.57
A061,A061_2,2,What,1.0422542,35.16,3.5879535355239756,47.0,2.4299999999999997,44.57
A061,A061_3,3,What,0.12469013,82.55,4.425445255041403,47.0,2.4299999999999997,44.57
A061,A061_4,4,What,-0.31471238,146.56,4.994234872728475,47.0,2.4299999999999997,44.57
A062,A062_1,1,What,1.241772,1.0,0.6931471805599453,48.0,3.4299999999999997,44.57
A062,A062_2,2,What,0.4567172,44.69,3.8218794555751803,48.0,3.4299999999999997,44.57
A062,A062_3,3,What,-0.8347038,92.72,4.540311613639595,48.0,3.4299999999999997,44.57
A062,A062_4,4,What,-0.5505843,149.18,5.011834574671738,48.0,3.4299999999999997,44.57
A063,A063_1,1,What,0.7833641,1.0,0.6931471805599453,45.0,0.4299999999999997,44.57
A063,A063_2,2,What,0.50485903,21.98,3.1346242724206097,45.0,0.4299999999999997,44.57
A063,A063_3,3,What,0.36549178,69.99,4.262539022051294,45.0,0.4299999999999997,44.57
A063,A063_4,4,What,-0.6113484,141.09,4.956460659649984,45.0,0.4299999999999997,44.57
A064,A064_1,1,What,1.0437275,1.0,0.6931471805599453,47.0,2.4299999999999997,44.57
A064,A064_2,2,What,0.62713385,37.65,3.654546775033431,47.0,2.4299999999999997,44.57
A064,A064_3,3,What,0.41516995,82.99,4.430697744137536,47.0,2.4299999999999997,44.57
A064,A064_4,4,What,-0.070843264,156.21,5.057582491203423,47.0,2.4299999999999997,44.57
A065,A065_1,1,What,-2.1746836,1.0,0.6931471805599453,47.0,2.4299999999999997,44.57
A065,A065_2,2,What,-1.1918952,32.31,3.5058576522055884,47.0,2.4299999999999997,44.57
A065,A065_3,3,What,-1.9587346,106.41,4.676653287609955,47.0,2.4299999999999997,44.57
A065,A065_4,4,What,-2.4718368,187.43,5.238726585134399,47.0,2.4299999999999997,44.57
A066,A066_1,1,What,0.5877305,1.0,0.6931471805599453,47.0,2.4299999999999997,44.57
A066,A066_2,2,What,-0.24346694,23.35,3.192531849528599,47.0,2.4299999999999997,44.57
A066,A066_3,3,What,-0.82052904,73.79,4.314684186203576,47.0,2.4299999999999997,44.57
A066,A066_4,4,What,-1.2888547,164.93,5.111566012674697,47.0,2.4299999999999997,44.57
A067,A067_1,1,What,0.88467497,1.0,0.6931471805599453,48.0,3.4299999999999997,44.57
