composite_ID,domain,test,theta
A104_2,What,2,-0.25339428
A104_3,What,3,0.30562896
A104_4,What,4,-1.6902736
A105_1,What,1,0.6786545
A105_2,What,2,0.4023
A105_3,What,3,-0.07094553
A105_4,What,4,0.012376063
A106_1,What,1,1.5945877
A106_2,What,2,0.07416145
A106_3,What,3,0.610385
A106_4,What,4,0.97847015
A107_1,What,1,-0.6293192
A107_2,What,2,-1.6425781
A107_3,What,3,-0.8989691
A107_4,What,4,-1.2341427
A108_1,What,1,-0.6797666
A108_2,What,2,-1.2300881
A108_3,What,3,-0.64672476
A108_4,What,4,-1.2409853
A109_1,What,1,-0.29406714
A109_2,What,2,-0.85136366
A109_3,What,3,-0.2927042
A109_4,What,4,-1.3304558
A010_1,Where,1,2.4439983
A010_2,Where,2,0.59148264
A010_3,Where,3,-0.091231495
A010_4,Where,4,0.47084022
A011_1,Where,1,0.9860436
A011_2,Where,2,0.20441371
A011_3,Where,3,-0.74633425
A011_4,Where,4,-0.26116142
A012_1,Where,1,1.4285018
A012_2,Where,2,-0.31520778
A012_3,Where,3,1.0647037
A012_4,Where,4,-0.45238903
A013_1,Where,1,0.09202722
A013_2,Where,2,-0.6685766
A013_3,Where,3,0.24629961
A013_4,Where,4,-0.42889243
A014_1,Where,1,0.840902
A014_2,Where,2,1.7318953
A014_3,Where,3,0.22653097
A014_4,Where,4,-0.64632875
A015_1,Where,1,1.7240337
A015_2,Where,2,1.980908
A015_3,Where,3,1.7067914
A015_4,Where,4,0.8411193
A016_1,Where,1,1.42478
A016_2,Where,2,0.5182861
A016_3,Where,3,0.08904186
A016_4,Where,4,-1.0289922
A017_1,Where,1,0.014488589
A017_2,Where,2,0.9758614
A017_3,Where,3,0.13619477
A017_4,Where,4,-0.036762077
A018_1,Where,1,0.33654568
A018_2,Where,2,0.034030903
A018_3,Where,3,-0.6435525
A018_4,Where,4,-0.09666681
A019_1,Where,1,-0.6979575
A019_2,Where,2,-1.2111
A019_3,Where,3,-1.4745452
A019_4,Where,4,-1.8336661
A020_1,Where,1,-0.079359196
A020_2,Where,2,-0.15119976
A020_3,Where,3,-0.95550704
A020_4,Where,4,-2.1095285
A021_1,Where,1,1.2243092
A021_2,Where,2,0.61569417
A021_3,Where,3,0.43332618
A021_4,Where,4,0.7931139
A022_1,Where,1,-0.02021975
A022_2,Where,2,0.49875164
A022_3,Where,3,0.051550657
A022_4,Where,4,0.03178843
A023_1,Where,1,0.8410934
A023_2,Where,2,-0.37005034
A023_3,Where,3,0.038829546
A023_4,Where,4,-0.029049361
A024_1,Where,1,0.4682902
A024_2,Where,2,0.12924328
A024_3,Where,3,0.1628256
A024_4,Where,4,-0.8004861
A025_1,Where,1,1.0470951
A025_2,Where,2,1.87031
A025_3,Where,3,0.022343142
A025_4,Where,4,-0.8030515
A026_1,Where,1,1.0557629
A026_2,Where,2,0.11092596
A026_3,Where,3,0.8867782
A026_4,Where,4,-0.30421466
A027_1,Where,1,0.8734448
A027_2,Where,2,0.3406542
A027_3,Where,3,-0.48679298
A027_4,Where,4,-0.80049735
A028_1,Where,1,1.5852748
A028_2,Where,2,-0.25359893
A028_3,Where,3,-0.15333362
A028_4,Where,4,-0.9400507
A029_1,Where,1,1.8794568
A029_2,Where,2,0.4782135
A029_3,Where,3,1.4485718
A029_4,Where,4,0.75251937
A030_1,Where,1,0.21859212
A030_2,Where,2,1.2273304
A030_3,Where,3,-0.03165805
A030_4,Where,4,0.53584546
A031_1,Where,1,2.1835008
A031_2,Where,2,0.23107058
A031_3,Where,3,-0.090858296
A031_4,Where,4,-0.6049658
A032_1,Where,1,0.7973815
A032_2,Where,2,-0.19438347
A032_3,Where,3,0.46258765
A032_4,Where,4,1.7630539
A033_1,Where,1,0.22796804
A033_2,Where,2,0.45576963
A033_3,Where,3,0.8525857
A033_4,Where,4,-0.5992665
A034_1,Where,1,1.6937131
A034_2,Where,2,0.952347
A034_3,Where,3,-0.020196838
A034_4,Where,4,-0.0680759
A035_1,Where,1,-0.11286555
A035_2,Where,2,0.78530264
A035_3,Where,3,-0.4592081
A035_4,Where,4,-0.9852635
A036_1,Where,1,1.2830837
A036_2,Where,2,-0.28614074
A036_3,Where,3,-0.31800184
A036_4,Where,4,-1.1686301
A037_1,Where,1,1.2661066
A037_2,Where,2,1.2943444
A037_3,Where,3,0.3974338
A037_4,Where,4,-0.20977189
A038_1,Where,1,1.1532568
A038_2,Where,2,-0.34703606
A038_3,Where,3,0.9468073
A038_4,Where,4,0.0417404
A039_1,Where,1,2.261533
A039_2,Where,2,1.4364381
A039_3,Where,3,0.62716204
A039_4,Where,4,0.81087965
A040_1,Where,1,-0.43747115
A040_2,Where,2,0.06511351
A040_3,Where,3,-1.7008954
A040_4,Where,4,-1.4403187
A041_1,Where,1,1.3058646
A041_2,Where,2,-1.2771462
A041_3,Where,3,0.3539766
A041_4,Where,4,0.21180752
A042_1,Where,1,-0.90481186
A042_2,Where,2,-1.2185562
A042_3,Where,3,-0.22750992
A042_4,Where,4,-1.1107395
A043_1,Where,1,1.1258926
A043_2,Where,2,0.6062357
A043_3,Where,3,0.5975626
A043_4,Where,4,-0.3230173
A044_1,Where,1,-0.071484536
A044_2,Where,2,-0.3498922
A044_3,Where,3,-1.3810043
A044_4,Where,4,-1.775171
A045_1,Where,1,-0.8901351
A045_2,Where,2,-1.1997546
A045_3,Where,3,-1.20582
A045_4,Where,4,-1.0786914
A046_1,Where,1,-0.7594207
A046_2,Where,2,-1.4042654
A046_3,Where,3,-1.4292107
A046_4,Where,4,-0.8373177
A047_1,Where,1,-0.77400184
A047_2,Where,2,-0.5633802
A047_3,Where,3,-0.9876903
A047_4,Where,4,-1.5214664
A048_1,Where,1,1.2967834
A048_2,Where,2,0.15703231
A048_3,Where,3,-0.019427864
A048_4,Where,4,-0.12420391
A049_1,Where,1,2.1550138
A049_2,Where,2,-0.65311587
A049_3,Where,3,0.5108627
A049_4,Where,4,0.17281532
A050_1,Where,1,-0.27281812
A050_2,Where,2,-0.5890776
A050_3,Where,3,-0.81224996
A050_4,Where,4,-1.0636857
A051_1,Where,1,1.7481024
A051_2,Where,2,-0.11357858
A051_3,Where,3,-0.5669623
A051_4,Where,4,-0.5802509
A052_1,Where,1,0.27368045
A052_2,Where,2,0.0042204764
A052_3,Where,3,-0.083795846
A052_4,Where,4,-0.75080687
A053_1,Where,1,1.3134335
A053_2,Where,2,0.9613449
A053_3,Where,3,-0.3428614
A053_4,Where,4,-0.13025364
A054_1,Where,1,0.44365084
A054_2,Where,2,1.1336492
A054_3,Where,3,1.302544
A054_4,Where,4,1.423274
A055_1,Where,1,0.2548027
A055_2,Where,2,1.0685252
A055_3,Where,3,-0.15719408
A055_4,Where,4,-0.6868054
A056_1,Where,1,0.53407556
A056_2,Where,2,0.36599728
A056_3,Where,3,-0.27181906
A056_4,Where,4,-1.0553216
A057_1,Where,1,0.5566227
A057_2,Where,2,-0.7836676
A057_3,Where,3,-0.71654075
A057_4,Where,4,-0.99096304
A058_1,Where,1,1.0633141
A058_2,Where,2,-0.7664266
A058_3,Where,3,0.050771274
A058_4,Where,4,-1.0194858
A059_1,Where,1,0.8121099
A059_2,Where,2,1.1245613
A059_3,Where,3,1.553987
A059_4,Where,4,0.44093394
