composite_ID,test,TSVR_hours,UID
A035_2,2,44.76,A035
A035_3,3,79.98,A035
A035_4,4,152.47,A035
A036_1,1,1.0,A036
A036_2,2,21.63,A036
A036_3,3,71.47,A036
A036_4,4,143.85,A036
A037_1,1,1.0,A037
A037_2,2,23.7,A037
A037_3,3,72.08,A037
A037_4,4,143.66,A037
A038_1,1,1.0,A038
A038_2,2,71.85,A038
A038_3,3,72.86,A038
A038_4,4,152.89,A038
A039_1,1,1.0,A039
A039_2,2,28.65,A039
A039_3,3,98.84,A039
A039_4,4,246.24,A039
A040_1,1,1.0,A040
A040_2,2,26.26,A040
A040_3,3,71.28,A040
A040_4,4,143.53,A040
A041_1,1,1.0,A041
A041_2,2,31.78,A041
A041_3,3,75.74,A041
A041_4,4,141.84,A041
A042_1,1,1.0,A042
A042_2,2,28.93,A042
A042_3,3,72.17,A042
A042_4,4,146.02,A042
A043_1,1,1.0,A043
A043_2,2,25.62,A043
A043_3,3,64.94,A043
A043_4,4,149.33,A043
A044_1,1,1.0,A044
A044_2,2,47.66,A044
A044_3,3,91.63,A044
A044_4,4,155.27,A044
A045_1,1,1.0,A045
A045_2,2,24.66,A045
A045_3,3,72.23,A045
A045_4,4,151.52,A045
A046_1,1,1.0,A046
A046_2,2,24.32,A046
A046_3,3,73.05,A046
A046_4,4,147.94,A046
A047_1,1,1.0,A047
A047_2,2,23.46,A047
A047_3,3,76.85,A047
A047_4,4,144.22,A047
A048_1,1,1.0,A048
A048_2,2,23.91,A048
A048_3,3,81.15,A048
A048_4,4,146.3,A048
A049_1,1,1.0,A049
A049_2,2,27.12,A049
A049_3,3,111.38,A049
A049_4,4,168.86,A049
A050_1,1,1.0,A050
A050_2,2,24.73,A050
A050_3,3,93.39,A050
A050_4,4,148.69,A050
A051_1,1,1.0,A051
A051_2,2,17.16,A051
A051_3,3,65.63,A051
A051_4,4,146.99,A051
A052_1,1,1.0,A052
A052_2,2,31.76,A052
A052_3,3,80.98,A052
A052_4,4,153.27,A052
A053_1,1,1.0,A053
A053_2,2,32.71,A053
A053_3,3,78.28,A053
A053_4,4,148.9,A053
A054_1,1,1.0,A054
A054_2,2,16.9,A054
A054_3,3,72.83,A054
A054_4,4,136.83,A054
A055_1,1,1.0,A055
A055_2,2,23.24,A055
A055_3,3,74.48,A055
A055_4,4,149.21,A055
A056_1,1,1.0,A056
A056_2,2,33.61,A056
A056_3,3,71.46,A056
A056_4,4,147.84,A056
A057_1,1,1.0,A057
A057_2,2,24.78,A057
A057_3,3,73.83,A057
A057_4,4,145.06,A057
A058_1,1,1.0,A058
A058_2,2,22.96,A058
A058_3,3,66.28,A058
A058_4,4,143.48,A058
A059_1,1,1.0,A059
A059_2,2,30.4,A059
A059_3,3,79.78,A059
A059_4,4,151.93,A059
A060_1,1,1.0,A060
A060_2,2,24.87,A060
A060_3,3,94.68,A060
A060_4,4,143.91,A060
A061_1,1,1.0,A061
A061_2,2,35.16,A061
A061_3,3,82.55,A061
A061_4,4,146.56,A061
A062_1,1,1.0,A062
A062_2,2,44.69,A062
A062_3,3,92.72,A062
A062_4,4,149.18,A062
A063_1,1,1.0,A063
A063_2,2,21.98,A063
A063_3,3,69.99,A063
A063_4,4,141.09,A063
A064_1,1,1.0,A064
A064_2,2,37.65,A064
A064_3,3,82.99,A064
A064_4,4,156.21,A064
A065_1,1,1.0,A065
A065_2,2,32.31,A065
A065_3,3,106.41,A065
A065_4,4,187.43,A065
A066_1,1,1.0,A066
A066_2,2,23.35,A066
A066_3,3,73.79,A066
A066_4,4,164.93,A066
A067_1,1,1.0,A067
A067_2,2,29.91,A067
A067_3,3,73.19,A067
A067_4,4,144.19,A067
A068_1,1,1.0,A068
A068_2,2,30.49,A068
A068_3,3,82.98,A068
A068_4,4,155.59,A068
A069_1,1,1.0,A069
A069_2,2,24.96,A069
A069_3,3,79.75,A069
A069_4,4,140.22,A069
A070_1,1,1.0,A070
A070_2,2,24.25,A070
A070_3,3,81.92,A070
A070_4,4,149.2,A070
A071_1,1,1.0,A071
A071_2,2,30.92,A071
A071_3,3,79.96,A071
A071_4,4,153.27,A071
A072_1,1,1.0,A072
A072_2,2,33.76,A072
A072_3,3,83.54,A072
A072_4,4,154.89,A072
A073_1,1,1.0,A073
A073_2,2,66.66,A073
A073_3,3,66.9,A073
A073_4,4,140.12,A073
A074_1,1,1.0,A074
A074_2,2,29.33,A074
A074_3,3,73.02,A074
A074_4,4,147.21,A074
A075_1,1,1.0,A075
A075_2,2,28.68,A075
A075_3,3,71.37,A075
A075_4,4,244.53,A075
A076_1,1,1.0,A076
A076_2,2,27.3,A076
A076_3,3,74.88,A076
A076_4,4,149.28,A076
A077_1,1,1.0,A077
A077_2,2,53.88,A077
A077_3,3,78.36,A077
A077_4,4,149.75,A077
A078_1,1,1.0,A078
A078_2,2,26.17,A078
A078_3,3,72.3,A078
A078_4,4,140.08,A078
A079_1,1,1.0,A079
A079_2,2,26.11,A079
A079_3,3,74.0,A079
A079_4,4,194.42,A079
A080_1,1,1.0,A080
A080_2,2,29.03,A080
A080_3,3,72.87,A080
A080_4,4,145.77,A080
A081_1,1,1.0,A081
A081_2,2,31.39,A081
A081_3,3,80.13,A081
A081_4,4,154.53,A081
A082_1,1,1.0,A082
A082_2,2,27.97,A082
A082_3,3,75.71,A082
A082_4,4,170.25,A082
A083_1,1,1.0,A083
A083_2,2,25.15,A083
A083_3,3,74.3,A083
A083_4,4,144.91,A083
A084_1,1,1.0,A084
A084_2,2,27.25,A084
A084_3,3,91.97,A084
A084_4,4,162.51,A084
A085_1,1,1.0,A085
A085_2,2,24.51,A085
A085_3,3,71.4,A085
A085_4,4,170.65,A085
A086_1,1,1.0,A086
A086_2,2,23.47,A086
A086_3,3,145.29,A086
A086_4,4,169.55,A086
A087_1,1,1.0,A087
A087_2,2,31.07,A087
A087_3,3,72.8,A087
A087_4,4,144.2,A087
A088_1,1,1.0,A088
A088_2,2,24.25,A088
A088_3,3,74.91,A088
A088_4,4,149.93,A088
A089_1,1,1.0,A089
A089_2,2,32.14,A089
A089_3,3,79.34,A089
A089_4,4,146.96,A089
A090_1,1,1.0,A090
A090_2,2,23.54,A090
A090_3,3,95.42,A090
A090_4,4,144.07,A090
A091_1,1,1.0,A091
A091_2,2,22.2,A091
A091_3,3,73.64,A091
A091_4,4,142.61,A091
A092_1,1,1.0,A092
A092_2,2,22.83,A092
A092_3,3,71.31,A092
A092_4,4,146.16,A092
A093_1,1,1.0,A093
A093_2,2,22.09,A093
A093_3,3,70.22,A093
A093_4,4,140.95,A093
A094_1,1,1.0,A094
A094_2,2,22.98,A094
A094_3,3,76.21,A094
A094_4,4,149.99,A094
A095_1,1,1.0,A095
A095_2,2,29.71,A095
A095_3,3,78.76,A095
A095_4,4,148.79,A095
A096_1,1,1.0,A096
A096_2,2,24.49,A096
A096_3,3,71.19,A096
A096_4,4,143.66,A096
A097_1,1,1.0,A097
A097_2,2,24.37,A097
A097_3,3,70.83,A097
A097_4,4,144.85,A097
A098_1,1,1.0,A098
A098_2,2,25.77,A098
A098_3,3,78.84,A098
A098_4,4,146.29,A098
A099_1,1,1.0,A099
A099_2,2,28.75,A099
A099_3,3,78.57,A099
A099_4,4,143.51,A099
A100_1,1,1.0,A100
A100_2,2,31.14,A100
A100_3,3,75.34,A100
A100_4,4,146.8,A100
A101_1,1,1.0,A101
A101_2,2,29.12,A101
A101_3,3,75.21,A101
A101_4,4,150.22,A101
A102_1,1,1.0,A102
A102_2,2,29.13,A102
A102_3,3,75.27,A102
A102_4,4,150.41,A102
A103_1,1,1.0,A103
A103_2,2,27.26,A103
A103_3,3,80.24,A103
A103_4,4,149.72,A103
A104_1,1,1.0,A104
A104_2,2,22.6,A104
A104_3,3,72.62,A104
A104_4,4,145.78,A104
A105_1,1,1.0,A105
A105_2,2,22.77,A105
A105_3,3,69.46,A105
A105_4,4,146.2,A105
A106_1,1,1.0,A106
A106_2,2,22.64,A106
A106_3,3,66.08,A106
A106_4,4,147.13,A106
A107_1,1,1.0,A107
A107_2,2,26.22,A107
A107_3,3,71.45,A107
A107_4,4,145.95,A107
A108_1,1,1.0,A108
A108_2,2,27.61,A108
A108_3,3,68.96,A108
A108_4,4,152.12,A108
A109_1,1,1.0,A109
A109_2,2,24.65,A109
A109_3,3,71.17,A109
A109_4,4,149.87,A109
