TSVR_hours,theta_observed,theta_predicted,CI_lower,CI_upper,paradigm,data_type
44.89795918367347,,-1.2694177073088837,-1.413151040642217,-1.1256843739755504,free_recall,predicted
48.9795918367347,,-1.3094589366555245,-1.4531922699888578,-1.1657256033221912,free_recall,predicted
53.06122448979592,,-1.3463550798458783,-1.4900884131792116,-1.202621746512545,free_recall,predicted
57.142857142857146,,-1.3805644271020223,-1.5242977604353556,-1.236831093768689,free_recall,predicted
61.224489795918366,,-1.412451864972485,-1.5561851983058184,-1.2687185316391518,free_recall,predicted
65.3061224489796,,-1.4423126516524825,-1.5860459849858157,-1.2985793183191492,free_recall,predicted
69.38775510204081,,-1.4703890779683206,-1.614122411301654,-1.3266557446349874,free_recall,predicted
73.46938775510205,,-1.4968824250131356,-1.6406157583464689,-1.3531490916798024,free_recall,predicted
77.55102040816327,,-1.5219617269313663,-1.6656950602646996,-1.378228393598033,free_recall,predicted
81.63265306122449,,-1.5457703114231212,-1.6895036447564544,-1.4020369780897879,free_recall,predicted
85.71428571428572,,-1.568430761741967,-1.7121640950753003,-1.4246974284086338,free_recall,predicted
89.79591836734694,,-1.5900487363668452,-1.7337820697001785,-1.446315403033512,free_recall,predicted
93.87755102040816,,-1.61071594808258,-1.7544492814159132,-1.4669826147492466,free_recall,predicted
97.9591836734694,,-1.6305125151275215,-1.7742458484608548,-1.4867791817941882,free_recall,predicted
102.04081632653062,,-1.649508836831696,-1.7932421701650292,-1.5057755034983626,free_recall,predicted
106.12244897959184,,-1.667767104676586,-1.8115004380099193,-1.5240337713432528,free_recall,predicted
110.20408163265306,,-1.6853425306420617,-1.829075863975395,-1.5416091973087285,free_recall,predicted
114.28571428571429,,-1.7022843540308785,-1.8460176873642118,-1.5585510206975453,free_recall,predicted
118.36734693877551,,-1.7186366730462277,-1.862370006379561,-1.5749033397128944,free_recall,predicted
122.44897959183673,,-1.734439136498255,-1.8781724698315883,-1.5907058031649217,free_recall,predicted
126.53061224489797,,-1.7497275229546743,-1.8934608562880075,-1.605994189621341,free_recall,predicted
130.6122448979592,,-1.7645342286228827,-1.908267561956216,-1.6208008952895494,free_recall,predicted
134.69387755102042,,-1.7788886806971593,-1.9226220140304926,-1.635155347363826,free_recall,predicted
138.77551020408163,,-1.7928176894310206,-1.9365510227643539,-1.6490843560976873,free_recall,predicted
142.85714285714286,,-1.8063457495217272,-1.9500790828550605,-1.662612416188394,free_recall,predicted
146.9387755102041,,-1.819495299319418,-1.9632286326527513,-1.6757619659860847,free_recall,predicted
151.0204081632653,,-1.8322869447508552,-1.9760202780841885,-1.688553611417522,free_recall,predicted
155.10204081632654,,-1.8447396535692828,-1.988472986902616,-1.7010063202359496,free_recall,predicted
159.18367346938777,,-1.8568709245276076,-2.000604257860941,-1.7131375911942743,free_recall,predicted
163.26530612244898,,-1.8686969352620602,-2.0124302685953936,-1.7249636019287269,free_recall,predicted
167.3469387755102,,-1.880232672022549,-2.0239660053558826,-1.7364993386892158,free_recall,predicted
171.42857142857144,,-1.8914920438598424,-2.035225377193176,-1.747758710526509,free_recall,predicted
175.51020408163265,,-1.9024879834520663,-2.0462213167853998,-1.758754650118733,free_recall,predicted
179.59183673469389,,-1.91323253640366,-2.0569658697369935,-1.7694992030703267,free_recall,predicted
183.67346938775512,,-1.923736940563038,-2.0674702738963715,-1.7800036072297047,free_recall,predicted
187.75510204081633,,-1.9340116966685077,-2.077745030001841,-1.7902783633351744,free_recall,predicted
191.83673469387756,,-1.94406663143584,-2.0877999647691734,-1.8003332981025066,free_recall,predicted
195.9183673469388,,-1.9539109540375859,-2.0976442873709193,-1.8101776207042526,free_recall,predicted
200.0,,-1.9635533067877655,-2.107286640121099,-1.8198199734544322,free_recall,predicted
0.0,,0.552,0.4082666666666667,0.6957333333333333,cued_recall,predicted
4.081632653061225,,-0.2949545837424761,-0.4386879170758094,-0.15122125040914275,cued_recall,predicted
8.16326530612245,,-0.6021205491980779,-0.7458538825314112,-0.45838721586474457,cued_recall,predicted
12.244897959183675,,-0.7940620700871942,-0.9377954034205276,-0.6503287367538608,cued_recall,predicted
16.3265306122449,,-0.9340164607525755,-1.0777497940859089,-0.7902831274192421,cued_recall,predicted
20.408163265306122,,-1.0442253736588343,-1.1879587069921675,-0.900492040325501,cued_recall,predicted
