observation,fitted,residual,standardized_residual,cooks_d,leverage
A038,-0.0024874141494677714,-0.0012986753718297285,-0.3553809288146624,0.001799255759141735,0.1103921496528366
A039,-0.001592991620813709,-0.0062046883138788915,-1.697905376372123,0.02441161190776587,0.07148053960985902
A040,0.0013223147196872636,0.004048757216796336,1.1079374657139487,0.01716482544873675,0.1087530245354873
A041,0.0008190629445963569,-0.0004501550225143569,-0.12318437192378837,0.00012266612470325535,0.06865482545153757
A042,0.0011715760436333475,0.005429445189396253,1.4857610425285894,0.015864140194204294,0.06192046896379852
A043,-0.0005891835431577415,-0.0025259982047973585,-0.6912363225463191,0.0026602082580165346,0.049273153914478694
A044,-0.0008637066811625108,0.00504769044808411,1.3812943239861681,0.009867413375127417,0.0460779312223905
A045,0.002319522814599686,0.0059094039516675145,1.6171011714234493,0.03120571288171777,0.09557442718731117
A046,0.0015967749432067356,0.0076309259441710645,2.0881935613629063,0.04390130890889916,0.08290826629930219
A047,0.008346841469433089,-0.0014746789298058886,-0.40354408741843845,0.003835817772793048,0.161969153057611
A048,-0.0006144743831878849,-0.000602808124299915,-0.16495770671996376,0.00029674078487048976,0.08867734222162275
A049,-0.0007264855862584413,-0.0025835466090081585,-0.7069843730475164,0.003885833852518159,0.06635377041173376
A050,-0.00013102627284789764,0.005917156121852297,1.6192225433231227,0.0464908742717307,0.13108326846148655
A051,-0.0012375754099221868,0.0010260152540603868,0.28076782071586004,0.0030685026080793437,0.22746166862745157
A052,-0.0013163545417244889,0.0003129609186983888,0.08564137303460448,4.6979620313523094e-05,0.05590031748968215
A053,-0.0007953471081967557,-0.003104033129057544,-0.8494148733426385,0.0013751514244263671,0.017995905718542093
A054,-0.0024792946757070116,-0.0014220082033428883,-0.3891308074735114,0.0013367906141911684,0.07410271059050094
A055,0.003731546471862991,-0.004461236109604491,-1.2208118107753139,0.01924863742193498,0.1019792096413713
A056,0.0009322535624672088,-0.0013289023167264088,-0.36365249535517297,0.0005003983057655567,0.034534451341985566
A057,-0.001532383940007094,0.004786150552399394,1.3097242510744362,0.00477049489788481,0.02584045687573968
A058,-5.940039325083219e-05,0.001375822567650832,0.3764921646947442,0.0008448280389882918,0.052401256253777305
A059,-0.0032765745262725416,-0.0024961941919797582,-0.6830804908525218,0.002006723988978995,0.038897327228134014
A060,-0.000739045027598372,5.4987969972471965e-05,0.015047390800148318,2.872922658381452e-06,0.10051402000382477
A061,0.0007306582687189113,-0.008679487714606512,-2.3751312087380763,0.09895339257897673,0.1299969903237905
A062,-0.003914017600883067,0.0013564800030526668,0.37119909552468006,0.001438787154644983,0.0855033752217513
A063,-0.0029559284633708417,0.0006940231092514419,0.18991857590794065,0.00025862586053256877,0.06179695128619006
A064,-0.0037144611169672385,0.0013805241050555386,0.3777787346613306,0.0013385292690755485,0.07805476441018779
A065,0.0036456471697828815,0.009120860283732518,2.495912273022307,0.08210095623817626,0.10367167892872264
A066,0.0010407073741634139,0.001874060080194486,0.5128342512691603,0.0023175161008346483,0.073984616698044
A067,-0.0017826894621265363,0.006721708905553236,1.8393874296019932,0.021482216353918733,0.05546340717104743
A068,-0.0026834846588075227,-0.0002327474679995772,-0.06369106025350531,2.027281842068299e-05,0.04465912451890984
A069,0.0020137536136962727,0.006514297044836727,1.7826294273271377,0.02916053747801014,0.07660917768356991
