UID,TEST,location_type,theta,se,TSVR_hours
A028,T2,Source,0.41178814,0.5,22.82
A028,T3,Source,-0.2597355,0.5,72.26
A028,T4,Source,-0.7819806,0.5,138.91
A029,T1,Source,1.6593924,0.5,1.0
A029,T2,Source,1.3603114,0.5,28.43
A029,T3,Source,0.9016798,0.5,93.26
A029,T4,Source,0.25560948,0.5,143.14
A030,T1,Source,0.34983945,0.5,1.0
A030,T2,Source,1.079581,0.5,32.95
A030,T3,Source,-0.025663225,0.5,71.93
A030,T4,Source,1.0084872,0.5,150.46
A031,T1,Source,1.7817703,0.5,1.0
A031,T2,Source,0.496819,0.5,32.41
A031,T3,Source,-0.17503846,0.5,71.56
A031,T4,Source,-0.8072562,0.5,143.85
A032,T1,Source,1.0985742,0.5,1.0
A032,T2,Source,-0.80952066,0.5,57.18
A032,T3,Source,0.06827313,0.5,80.16
A032,T4,Source,0.2156567,0.5,144.51
A033,T1,Source,0.32084683,0.5,1.0
A033,T2,Source,0.22721334,0.5,29.16
A033,T3,Source,0.77439886,0.5,72.6
A033,T4,Source,-0.099368066,0.5,168.33
A034,T1,Source,1.8211368,0.5,1.0
A034,T2,Source,1.6283642,0.5,26.08
A034,T3,Source,1.0441364,0.5,74.28
A034,T4,Source,0.6053154,0.5,145.38
A035,T1,Source,0.1447713,0.5,1.0
A035,T2,Source,0.8905213,0.5,44.76
A035,T3,Source,0.07136492,0.5,79.98
A035,T4,Source,-0.3635215,0.5,152.47
A036,T1,Source,-0.7466725,0.5,1.0
A036,T2,Source,-0.86961955,0.5,21.63
A036,T3,Source,-0.918497,0.5,71.47
A036,T4,Source,-1.3507532,0.5,143.85
A037,T1,Source,1.1950513,0.5,1.0
A037,T2,Source,0.5215914,0.5,23.7
A037,T3,Source,-0.6600132,0.5,72.08
A037,T4,Source,-1.3404595,0.5,143.66
A038,T1,Source,0.67471296,0.5,1.0
A038,T2,Source,0.57769156,0.5,71.85
A038,T3,Source,0.50586396,0.5,72.86
A038,T4,Source,0.68775254,0.5,152.89
A039,T1,Source,1.0134212,0.5,1.0
A039,T2,Source,1.1536825,0.5,28.65
A039,T3,Source,0.9467811,0.5,98.84
A039,T4,Source,0.33422208,0.5,246.24
A040,T1,Source,0.037014283,0.5,1.0
A040,T2,Source,-0.13419348,0.5,26.26
A040,T3,Source,-1.6159647,0.5,71.28
A040,T4,Source,-1.7481036,0.5,143.53
A041,T1,Source,1.5926738,0.5,1.0
A041,T2,Source,-0.4118361,0.5,31.78
A041,T3,Source,0.4543916,0.5,75.74
A041,T4,Source,0.690669,0.5,141.84
A042,T1,Source,-0.6321535,0.5,1.0
A042,T2,Source,-1.0748817,0.5,28.93
A042,T3,Source,-1.1776452,0.5,72.17
A042,T4,Source,-1.1313311,0.5,146.02
A043,T1,Source,0.9314749,0.5,1.0
A043,T2,Source,1.7443565,0.5,25.62
A043,T3,Source,1.1612022,0.5,64.94
A043,T4,Source,0.20009018,0.5,149.33
A044,T1,Source,-1.23271,0.5,1.0
A044,T2,Source,-0.5426331,0.5,47.66
A044,T3,Source,-1.8462261,0.5,91.63
A044,T4,Source,-1.4590483,0.5,155.27
A045,T1,Source,-0.48771042,0.5,1.0
A045,T2,Source,-0.75291854,0.5,24.66
A045,T3,Source,-0.33701846,0.5,72.23
A045,T4,Source,-0.71758026,0.5,151.52
A046,T1,Source,0.053599805,0.5,1.0
A046,T2,Source,-0.29500353,0.5,24.32
A046,T3,Source,-0.37216565,0.5,73.05
A046,T4,Source,-0.63073695,0.5,147.94
A047,T1,Source,0.17156133,0.5,1.0
A047,T2,Source,0.063802354,0.5,23.46
A047,T3,Source,-0.05376612,0.5,76.85
A047,T4,Source,-0.9707118,0.5,144.22
A048,T1,Source,0.6145826,0.5,1.0
A048,T2,Source,0.6180052,0.5,23.91
A048,T3,Source,-0.16286343,0.5,81.15
A048,T4,Source,-0.32606968,0.5,146.3
A049,T1,Source,1.6326123,0.5,1.0
A049,T2,Source,-0.15065402,0.5,27.12
A049,T3,Source,0.37734783,0.5,111.38
A049,T4,Source,-0.7039141,0.5,168.86
A050,T1,Source,0.4451789,0.5,1.0
A050,T2,Source,0.36321643,0.5,24.73
A050,T3,Source,-2.4990115,0.5,93.39
A050,T4,Source,-2.7438962,0.5,148.69
A051,T1,Source,1.0015105,0.5,1.0
A051,T2,Source,1.0506754,0.5,17.16
A051,T3,Source,-0.3211199,0.5,65.63
A051,T4,Source,-0.10859255,0.5,146.99
A052,T1,Source,0.7047565,0.5,1.0
A052,T2,Source,0.102837585,0.5,31.76
A052,T3,Source,-0.0015698769,0.5,80.98
A052,T4,Source,-0.45169076,0.5,153.27
A053,T1,Source,0.84855944,0.5,1.0
A053,T2,Source,-0.7995727,0.5,32.71
A053,T3,Source,-0.7742192,0.5,78.28
A053,T4,Source,-0.66131234,0.5,148.9
A054,T1,Source,1.8154135,0.5,1.0
A054,T2,Source,1.1800704,0.5,16.9
A054,T3,Source,1.6393541,0.5,72.83
A054,T4,Source,1.33212,0.5,136.83
A055,T1,Source,0.574144,0.5,1.0
A055,T2,Source,-0.16950391,0.5,23.24
A055,T3,Source,-0.89608663,0.5,74.48
A055,T4,Source,-1.7656777,0.5,149.21
A056,T1,Source,0.45213616,0.5,1.0
A056,T2,Source,-0.6433356,0.5,33.61
A056,T3,Source,-0.5442299,0.5,71.46
A056,T4,Source,-0.9695138,0.5,147.84
A057,T1,Source,0.6876959,0.5,1.0
A057,T2,Source,-0.57829076,0.5,24.78
A057,T3,Source,-1.252599,0.5,73.83
A057,T4,Source,-2.564727,0.5,145.06
A058,T1,Source,0.6814561,0.5,1.0
A058,T2,Source,-1.621224,0.5,22.96
A058,T3,Source,-0.60718966,0.5,66.28
A058,T4,Source,-1.5838706,0.5,143.48
A059,T1,Source,0.23920143,0.5,1.0
A059,T2,Source,-0.053322088,0.5,30.4
A059,T3,Source,-0.57601714,0.5,79.78
A059,T4,Source,0.21686792,0.5,151.93
A060,T1,Source,0.24117829,0.5,1.0
A060,T2,Source,0.6847152,0.5,24.87
A060,T3,Source,0.4573826,0.5,94.68
A060,T4,Source,0.68922484,0.5,143.91
A061,T1,Source,0.4348759,0.5,1.0
A061,T2,Source,1.2298143,0.5,35.16
A061,T3,Source,0.32175243,0.5,82.55
A061,T4,Source,0.582617,0.5,146.56
A062,T1,Source,1.2001371,0.5,1.0
A062,T2,Source,0.000834527,0.5,44.69
A062,T3,Source,-0.6940866,0.5,92.72
A062,T4,Source,-0.8138189,0.5,149.18
A063,T1,Source,-0.13293676,0.5,1.0
A063,T2,Source,-0.29875752,0.5,21.98
A063,T3,Source,-0.94496095,0.5,69.99
A063,T4,Source,-1.0068147,0.5,141.09
A064,T1,Source,0.9493055,0.5,1.0
A064,T2,Source,-0.0040088473,0.5,37.65
A064,T3,Source,-0.39947373,0.5,82.99
A064,T4,Source,-1.0393686,0.5,156.21
A065,T1,Source,-0.3550946,0.5,1.0
A065,T2,Source,-1.0237894,0.5,32.31
A065,T3,Source,-1.6289951,0.5,106.41
A065,T4,Source,-1.3768224,0.5,187.43
A066,T1,Source,-0.2739165,0.5,1.0
A066,T2,Source,-0.14154133,0.5,23.35
A066,T3,Source,-0.41517866,0.5,73.79
A066,T4,Source,-0.7867853,0.5,164.93
A067,T1,Source,-0.029404351,0.5,1.0
A067,T2,Source,-1.3702686,0.5,29.91
A067,T3,Source,-1.6940686,0.5,73.19
A067,T4,Source,-2.9207146,0.5,144.19
A068,T1,Source,1.6339319,0.5,1.0
A068,T2,Source,1.4582552,0.5,30.49
A068,T3,Source,1.0063742,0.5,82.98
A068,T4,Source,0.3517989,0.5,155.59
A069,T1,Source,-0.28594458,0.5,1.0
A069,T2,Source,-1.5041404,0.5,24.96
A069,T3,Source,-1.8122358,0.5,79.75
A069,T4,Source,-2.0647402,0.5,140.22
A070,T1,Source,0.4542324,0.5,1.0
A070,T2,Source,-0.31655166,0.5,24.25
A070,T3,Source,-1.4130342,0.5,81.92
A070,T4,Source,-2.1247447,0.5,149.2
A071,T1,Source,1.3271756,0.5,1.0
A071,T2,Source,0.4215033,0.5,30.92
A071,T3,Source,-0.16301413,0.5,79.96
A071,T4,Source,-0.056916684,0.5,153.27
A072,T1,Source,1.5426162,0.5,1.0
A072,T2,Source,1.1772798,0.5,33.76
A072,T3,Source,0.17890772,0.5,83.54
A072,T4,Source,-0.305306,0.5,154.89
A073,T1,Source,0.12170813,0.5,1.0
A073,T2,Source,0.0028061175,0.5,66.66
A073,T3,Source,0.30203983,0.5,66.9
A073,T4,Source,0.17517796,0.5,140.12
A074,T1,Source,0.98870414,0.5,1.0
A074,T2,Source,-0.1324366,0.5,29.33
A074,T3,Source,-1.453707,0.5,73.02
A074,T4,Source,-0.94918096,0.5,147.21
A075,T1,Source,0.25979865,0.5,1.0
A075,T2,Source,-0.0069382037,0.5,28.68
A075,T3,Source,-2.638019,0.5,71.37
A075,T4,Source,-0.93872964,0.5,244.53
A076,T1,Source,-0.43817917,0.5,1.0
A076,T2,Source,-1.2469751,0.5,27.3
A076,T3,Source,-0.7288916,0.5,74.88
A076,T4,Source,-1.7479918,0.5,149.28
A077,T1,Source,1.0310454,0.5,1.0
A077,T2,Source,-0.91682047,0.5,53.88
A077,T3,Source,-0.40170488,0.5,78.36
A077,T4,Source,-0.10747531,0.5,149.75
A078,T1,Source,-0.556103,0.5,1.0
A078,T2,Source,-0.4581931,0.5,26.17
A078,T3,Source,-1.1432558,0.5,72.3
A078,T4,Source,-1.5582061,0.5,140.08
A079,T1,Source,-0.14457574,0.5,1.0
A079,T2,Source,0.4830254,0.5,26.11
A079,T3,Source,-0.5857522,0.5,74.0
A079,T4,Source,-0.75935036,0.5,194.42
A080,T1,Source,1.0064683,0.5,1.0
A080,T2,Source,0.3322674,0.5,29.03
A080,T3,Source,0.0773038,0.5,72.87
A080,T4,Source,-0.53412056,0.5,145.77
A081,T1,Source,0.7992755,0.5,1.0
A081,T2,Source,0.55668974,0.5,31.39
A081,T3,Source,0.5462277,0.5,80.13
A081,T4,Source,0.05126938,0.5,154.53
A082,T1,Source,0.7752854,0.5,1.0
A082,T2,Source,0.18110365,0.5,27.97
A082,T3,Source,0.015849508,0.5,75.71
A082,T4,Source,-0.8982514,0.5,170.25
A083,T1,Source,0.7796732,0.5,1.0
A083,T2,Source,0.3514038,0.5,25.15
A083,T3,Source,0.4812683,0.5,74.3
A083,T4,Source,-0.15915819,0.5,144.91
A084,T1,Source,-0.22959355,0.5,1.0
A084,T2,Source,-0.83394134,0.5,27.25
A084,T3,Source,-0.64221627,0.5,91.97
A084,T4,Source,-0.7588525,0.5,162.51
A085,T1,Source,0.40074217,0.5,1.0
A085,T2,Source,1.4959512,0.5,24.51
A085,T3,Source,0.5722143,0.5,71.4
A085,T4,Source,-0.46485198,0.5,170.65
A086,T1,Source,1.0552716,0.5,1.0
A086,T2,Source,1.2843833,0.5,23.47
A086,T3,Source,-0.3276325,0.5,145.29
A086,T4,Source,-0.22770405,0.5,169.55
A087,T1,Source,1.1185037,0.5,1.0
A087,T2,Source,0.30655718,0.5,31.07
A087,T3,Source,0.045922436,0.5,72.8
A087,T4,Source,0.8747149,0.5,144.2
A088,T1,Source,0.74752676,0.5,1.0
A088,T2,Source,0.92337906,0.5,24.25
A088,T3,Source,0.50201994,0.5,74.91
A088,T4,Source,0.6327073,0.5,149.93
A089,T1,Source,0.9935411,0.5,1.0
A089,T2,Source,1.1007651,0.5,32.14
A089,T3,Source,0.6056416,0.5,79.34
A089,T4,Source,0.29004514,0.5,146.96
A090,T1,Source,-0.633604,0.5,1.0
A090,T2,Source,-0.73193383,0.5,23.54
A090,T3,Source,-1.3815377,0.5,95.42
A090,T4,Source,-1.018114,0.5,144.07
A091,T1,Source,0.64954895,0.5,1.0
A091,T2,Source,0.17978463,0.5,22.2
A091,T3,Source,-0.23546329,0.5,73.64
A091,T4,Source,0.09006388,0.5,142.61
A092,T1,Source,0.8744924,0.5,1.0
A092,T2,Source,0.5934438,0.5,22.83
A092,T3,Source,-0.27968797,0.5,71.31
A092,T4,Source,-0.37245795,0.5,146.16
A093,T1,Source,1.0293971,0.5,1.0
A093,T2,Source,0.014159476,0.5,22.09
A093,T3,Source,0.22156478,0.5,70.22
A093,T4,Source,-0.25663528,0.5,140.95
A094,T1,Source,-0.73057723,0.5,1.0
A094,T2,Source,-0.5334831,0.5,22.98
A094,T3,Source,-1.4642935,0.5,76.21
A094,T4,Source,-1.7716364,0.5,149.99
A095,T1,Source,1.0152643,0.5,1.0
A095,T2,Source,-0.11268075,0.5,29.71
A095,T3,Source,0.17239684,0.5,78.76
A095,T4,Source,-0.6100116,0.5,148.79
A096,T1,Source,0.79400086,0.5,1.0
A096,T2,Source,0.20638698,0.5,24.49
A096,T3,Source,0.28218946,0.5,71.19
A096,T4,Source,0.32424247,0.5,143.66
A097,T1,Source,-1.0605619,0.5,1.0
A097,T2,Source,-0.7669435,0.5,24.37
A097,T3,Source,-0.699544,0.5,70.83
A097,T4,Source,-1.3974788,0.5,144.85
A098,T1,Source,1.3407856,0.5,1.0
A098,T2,Source,0.62343097,0.5,25.77
A098,T3,Source,1.1661277,0.5,78.84
A098,T4,Source,0.16097778,0.5,146.29
A099,T1,Source,0.5927854,0.5,1.0
A099,T2,Source,1.0398009,0.5,28.75
A099,T3,Source,0.74911016,0.5,78.57
A099,T4,Source,1.6322693,0.5,143.51
A100,T1,Source,0.5608072,0.5,1.0
A100,T2,Source,1.8011457,0.5,31.14
A100,T3,Source,0.1713867,0.5,75.34
A100,T4,Source,-0.22593541,0.5,146.8
A101,T1,Source,-0.38814855,0.5,1.0
A101,T2,Source,-0.99591917,0.5,29.12
A101,T3,Source,-1.3390596,0.5,75.21
A101,T4,Source,-1.4068499,0.5,150.22
A102,T1,Source,0.345186,0.5,1.0
A102,T2,Source,0.4709829,0.5,29.13
A102,T3,Source,-0.39899844,0.5,75.27
A102,T4,Source,0.034385204,0.5,150.41
A103,T1,Source,-1.7241926,0.5,1.0
A103,T2,Source,-1.941286,0.5,27.26
A103,T3,Source,-1.8993843,0.5,80.24
A103,T4,Source,-1.8351121,0.5,149.72
A104,T1,Source,1.2953384,0.5,1.0
A104,T2,Source,1.1869268,0.5,22.6
A104,T3,Source,-0.51822704,0.5,72.62
A104,T4,Source,-2.50402,0.5,145.78
A105,T1,Source,1.3025925,0.5,1.0
A105,T2,Source,1.3931705,0.5,22.77
A105,T3,Source,0.10203641,0.5,69.46
A105,T4,Source,0.23215944,0.5,146.2
A106,T1,Source,0.4562772,0.5,1.0
A106,T2,Source,-0.44126767,0.5,22.64
A106,T3,Source,0.18073212,0.5,66.08
A106,T4,Source,-0.34956992,0.5,147.13
A107,T1,Source,-2.0859585,0.5,1.0
A107,T2,Source,-0.9956245,0.5,26.22
A107,T3,Source,-0.73969984,0.5,71.45
A107,T4,Source,-1.5657803,0.5,145.95
A108,T1,Source,-1.0648606,0.5,1.0
A108,T2,Source,-1.6578233,0.5,27.61
A108,T3,Source,-0.83507514,0.5,68.96
A108,T4,Source,-0.88340235,0.5,152.12
A109,T1,Source,-0.056996834,0.5,1.0
A109,T2,Source,-0.23156387,0.5,24.65
A109,T3,Source,0.32749358,0.5,71.17
A109,T4,Source,0.25729924,0.5,149.87
A010,T1,Destination,0.5609358,0.5,1.0
A010,T2,Destination,0.5119907,0.5,21.9
A010,T3,Destination,-0.33427307,0.5,80.88
A010,T4,Destination,-0.6992717,0.5,145.31
A011,T1,Destination,1.5244261,0.5,1.0
A011,T2,Destination,0.7351063,0.5,24.57
A011,T3,Destination,0.77250564,0.5,72.55
A011,T4,Destination,-0.04556107,0.5,148.85
A012,T1,Destination,1.1086988,0.5,1.0
A012,T2,Destination,-0.038475133,0.5,25.6
A012,T3,Destination,-0.3311227,0.5,166.33
A012,T4,Destination,0.2555767,0.5,166.87
A013,T1,Destination,0.02446122,0.5,1.0
A013,T2,Destination,0.16264062,0.5,24.77
A013,T3,Destination,0.25894642,0.5,79.66
A013,T4,Destination,-0.55041754,0.5,147.13
A014,T1,Destination,1.3580784,0.5,1.0
A014,T2,Destination,1.1169219,0.5,25.66
A014,T3,Destination,0.43201923,0.5,70.56
A014,T4,Destination,0.2844532,0.5,148.87
A015,T1,Destination,1.7676098,0.5,1.0
A015,T2,Destination,0.032688364,0.5,23.69
A015,T3,Destination,-0.40273485,0.5,70.59
A015,T4,Destination,-0.58203745,0.5,146.54
A016,T1,Destination,0.8927406,0.5,1.0
A016,T2,Destination,0.95510375,0.5,32.85
A016,T3,Destination,0.19462939,0.5,80.64
A016,T4,Destination,0.11810487,0.5,150.8
A017,T1,Destination,1.3435429,0.5,1.0
A017,T2,Destination,1.4296864,0.5,20.61
A017,T3,Destination,2.2833974,0.5,61.28
A017,T4,Destination,0.122321434,0.5,140.49
A018,T1,Destination,0.8142858,0.5,1.0
A018,T2,Destination,-0.67492276,0.5,34.03
A018,T3,Destination,-1.7499112,0.5,83.64
A018,T4,Destination,-1.954677,0.5,150.87
A019,T1,Destination,0.09515804,0.5,1.0
A019,T2,Destination,-0.04890954,0.5,28.69
A019,T3,Destination,0.18271942,0.5,83.68
A019,T4,Destination,0.019163825,0.5,154.76
A020,T1,Destination,0.19963156,0.5,1.0
A020,T2,Destination,0.33070213,0.5,26.85
A020,T3,Destination,-0.24584635,0.5,78.25
A020,T4,Destination,-0.77488387,0.5,145.78
A021,T1,Destination,0.6924623,0.5,1.0
A021,T2,Destination,0.25375608,0.5,30.21
A021,T3,Destination,0.06773279,0.5,74.19
A021,T4,Destination,-0.47202155,0.5,140.39
A022,T1,Destination,-1.5716472,0.5,1.0
A022,T2,Destination,-2.0526927,0.5,24.15
A022,T3,Destination,-1.2207271,0.5,74.46
A022,T4,Destination,-1.8666716,0.5,141.71
A023,T1,Destination,0.74832267,0.5,1.0
A023,T2,Destination,0.74359155,0.5,25.63
A023,T3,Destination,0.6376191,0.5,72.2
A023,T4,Destination,0.5440481,0.5,145.07
A024,T1,Destination,0.049735814,0.5,1.0
A024,T2,Destination,-0.18637812,0.5,29.57
A024,T3,Destination,0.28000638,0.5,91.47
A024,T4,Destination,-0.030641675,0.5,145.65
A025,T1,Destination,0.38545078,0.5,1.0
A025,T2,Destination,0.3494011,0.5,23.33
A025,T3,Destination,-0.031346235,0.5,72.94
A025,T4,Destination,-1.6843072,0.5,137.74
A026,T1,Destination,0.8554834,0.5,1.0
A026,T2,Destination,0.50777274,0.5,26.48
A026,T3,Destination,0.67689455,0.5,75.46
A026,T4,Destination,1.133408,0.5,147.65
A027,T1,Destination,1.0038637,0.5,1.0
A027,T2,Destination,0.89208364,0.5,28.26
A027,T3,Destination,0.34410724,0.5,74.58
A027,T4,Destination,-0.15685867,0.5,145.92
A028,T1,Destination,1.2559813,0.5,1.0
A028,T2,Destination,0.76746184,0.5,22.82
A028,T3,Destination,-0.1562987,0.5,72.26
A028,T4,Destination,-0.045433797,0.5,138.91
A029,T1,Destination,2.2294068,0.5,1.0
A029,T2,Destination,0.77878493,0.5,28.43
A029,T3,Destination,0.2685156,0.5,93.26
A029,T4,Destination,0.69974846,0.5,143.14
A030,T1,Destination,-0.0077323057,0.5,1.0
A030,T2,Destination,0.5231934,0.5,32.95
A030,T3,Destination,-0.023180155,0.5,71.93
A030,T4,Destination,-0.12728706,0.5,150.46
A031,T1,Destination,1.9325812,0.5,1.0
A031,T2,Destination,0.42165378,0.5,32.41
A031,T3,Destination,-0.65397453,0.5,71.56
A031,T4,Destination,-0.53339005,0.5,143.85
A032,T1,Destination,0.31224978,0.5,1.0
A032,T2,Destination,-1.2805831,0.5,57.18
A032,T3,Destination,-0.61835086,0.5,80.16
A032,T4,Destination,0.32567814,0.5,144.51
A033,T1,Destination,-0.16518727,0.5,1.0
A033,T2,Destination,-0.47338432,0.5,29.16
A033,T3,Destination,-0.11000837,0.5,72.6
A033,T4,Destination,-1.2210691,0.5,168.33
A034,T1,Destination,1.6428461,0.5,1.0
A034,T2,Destination,1.6413245,0.5,26.08
A034,T3,Destination,1.2023969,0.5,74.28
A034,T4,Destination,0.6421228,0.5,145.38
A035,T1,Destination,0.76337385,0.5,1.0
A035,T2,Destination,0.4686343,0.5,44.76
A035,T3,Destination,0.32487682,0.5,79.98
A035,T4,Destination,-0.19872285,0.5,152.47
A036,T1,Destination,-0.34990805,0.5,1.0
A036,T2,Destination,-1.3774467,0.5,21.63
A036,T3,Destination,-1.0355872,0.5,71.47
A036,T4,Destination,-1.7324836,0.5,143.85
A037,T1,Destination,0.36804277,0.5,1.0
A037,T2,Destination,0.39995757,0.5,23.7
A037,T3,Destination,0.02613512,0.5,72.08
A037,T4,Destination,-1.3213162,0.5,143.66
A038,T1,Destination,0.93066376,0.5,1.0
A038,T2,Destination,0.57185614,0.5,71.85
A038,T3,Destination,0.5378632,0.5,72.86
A038,T4,Destination,0.396789,0.5,152.89
A039,T1,Destination,1.7810454,0.5,1.0
A039,T2,Destination,2.0131736,0.5,28.65
A039,T3,Destination,0.94956374,0.5,98.84
A039,T4,Destination,0.5343449,0.5,246.24
A040,T1,Destination,-0.31461167,0.5,1.0
A040,T2,Destination,-0.61962616,0.5,26.26
A040,T3,Destination,-1.6644305,0.5,71.28
A040,T4,Destination,-2.0150275,0.5,143.53
A041,T1,Destination,0.7602327,0.5,1.0
A041,T2,Destination,-1.5549716,0.5,31.78
A041,T3,Destination,0.08509895,0.5,75.74
A041,T4,Destination,-0.5902207,0.5,141.84
A042,T1,Destination,-0.647247,0.5,1.0
A042,T2,Destination,-1.0236869,0.5,28.93
A042,T3,Destination,-0.21056157,0.5,72.17
A042,T4,Destination,-0.22162849,0.5,146.02
A043,T1,Destination,2.09703,0.5,1.0
A043,T2,Destination,2.0776703,0.5,25.62
A043,T3,Destination,1.4074724,0.5,64.94
A043,T4,Destination,0.9365929,0.5,149.33
A044,T1,Destination,-0.26495937,0.5,1.0
A044,T2,Destination,-0.8594988,0.5,47.66
A044,T3,Destination,-1.2835374,0.5,91.63
A044,T4,Destination,-0.90289384,0.5,155.27
A045,T1,Destination,0.23310524,0.5,1.0
A045,T2,Destination,0.26042888,0.5,24.66
A045,T3,Destination,0.29736727,0.5,72.23
A045,T4,Destination,-0.72731435,0.5,151.52
A046,T1,Destination,0.37660778,0.5,1.0
A046,T2,Destination,0.36936802,0.5,24.32
A046,T3,Destination,0.024929734,0.5,73.05
A046,T4,Destination,-0.5020506,0.5,147.94
A047,T1,Destination,0.5871213,0.5,1.0
A047,T2,Destination,-0.041635565,0.5,23.46
A047,T3,Destination,0.10319561,0.5,76.85
A047,T4,Destination,-0.5746598,0.5,144.22
A048,T1,Destination,0.48314616,0.5,1.0
A048,T2,Destination,0.35914424,0.5,23.91
A048,T3,Destination,-0.1659016,0.5,81.15
A048,T4,Destination,-0.032904245,0.5,146.3
A049,T1,Destination,1.268603,0.5,1.0
A049,T2,Destination,-0.79708076,0.5,27.12
A049,T3,Destination,-0.37368485,0.5,111.38
A049,T4,Destination,-0.5662929,0.5,168.86
A050,T1,Destination,-0.0120328665,0.5,1.0
A050,T2,Destination,-0.6759028,0.5,24.73
A050,T3,Destination,-1.7570821,0.5,93.39
A050,T4,Destination,-2.2046497,0.5,148.69
A051,T1,Destination,1.5559939,0.5,1.0
A051,T2,Destination,1.224602,0.5,17.16
A051,T3,Destination,0.14085884,0.5,65.63
A051,T4,Destination,0.25162408,0.5,146.99
A052,T1,Destination,0.41121083,0.5,1.0
A052,T2,Destination,0.39483026,0.5,31.76
A052,T3,Destination,-0.2530656,0.5,80.98
A052,T4,Destination,-0.15629846,0.5,153.27
A053,T1,Destination,0.27674448,0.5,1.0
A053,T2,Destination,-0.14668256,0.5,32.71
A053,T3,Destination,-0.0752174,0.5,78.28
A053,T4,Destination,-0.19842967,0.5,148.9
A054,T1,Destination,1.7236238,0.5,1.0
A054,T2,Destination,0.7477987,0.5,16.9
A054,T3,Destination,0.39130184,0.5,72.83
A054,T4,Destination,0.73316056,0.5,136.83
A055,T1,Destination,0.570045,0.5,1.0
A055,T2,Destination,-0.5764433,0.5,23.24
A055,T3,Destination,-0.43680644,0.5,74.48
A055,T4,Destination,-0.3534355,0.5,149.21
A056,T1,Destination,0.23411365,0.5,1.0
A056,T2,Destination,-0.46979463,0.5,33.61
A056,T3,Destination,0.10543604,0.5,71.46
