TSVR_hours,domain,model,mean_score,CI_lower,CI_upper,n
145.29,What,CTT,0.4736842105263157,,,1
145.31,What,CTT,0.8947368421052632,,,1
145.38,What,CTT,0.6842105263157895,,,1
145.65,What,CTT,0.6842105263157895,,,1
145.77,What,CTT,0.5789473684210527,,,1
145.78,What,CTT,0.3157894736842105,0.21263157894736842,0.4189473684210526,2
145.92,What,CTT,0.5263157894736842,,,1
145.95,What,CTT,0.5263157894736842,,,1
146.02,What,CTT,0.5789473684210527,,,1
146.16,What,CTT,0.3684210526315789,,,1
146.2,What,CTT,0.6842105263157895,,,1
146.29,What,CTT,0.7894736842105263,,,1
146.3,What,CTT,0.8947368421052632,,,1
146.54,What,CTT,0.8421052631578947,,,1
146.56,What,CTT,0.6842105263157895,,,1
146.8,What,CTT,0.7894736842105263,,,1
146.96,What,CTT,0.6842105263157895,,,1
146.99,What,CTT,0.5263157894736842,,,1
147.13,What,CTT,0.868421052631579,0.6105263157894737,1.1263157894736842,2
147.21,What,CTT,0.4736842105263157,,,1
147.65,What,CTT,0.7368421052631579,,,1
147.84,What,CTT,0.5789473684210527,,,1
147.94,What,CTT,0.4210526315789473,,,1
148.69,What,CTT,0.5263157894736842,,,1
148.79,What,CTT,0.6842105263157895,,,1
148.85,What,CTT,0.631578947368421,,,1
148.87,What,CTT,0.7368421052631579,,,1
148.9,What,CTT,0.8947368421052632,,,1
149.18,What,CTT,0.5789473684210527,,,1
149.2,What,CTT,0.6842105263157895,,,1
149.21,What,CTT,0.8421052631578947,,,1
149.28,What,CTT,0.2105263157894736,,,1
149.33,What,CTT,0.7894736842105263,,,1
149.72,What,CTT,0.631578947368421,,,1
149.75,What,CTT,0.8947368421052632,,,1
149.87,What,CTT,0.4736842105263157,,,1
149.93,What,CTT,0.8421052631578947,,,1
149.99,What,CTT,0.631578947368421,,,1
150.22,What,CTT,0.3684210526315789,,,1
150.41,What,CTT,0.7368421052631579,,,1
150.46,What,CTT,0.631578947368421,,,1
150.8,What,CTT,0.5263157894736842,,,1
150.87,What,CTT,0.6842105263157895,,,1
151.52,What,CTT,0.3157894736842105,,,1
151.93,What,CTT,0.8421052631578947,,,1
152.12,What,CTT,0.4210526315789473,,,1
152.47,What,CTT,0.5789473684210527,,,1
152.89,What,CTT,0.7368421052631579,,,1
153.27,What,CTT,0.7105263157894737,0.6589473684210527,0.7621052631578946,2
154.53,What,CTT,0.7894736842105263,,,1
154.76,What,CTT,0.5789473684210527,,,1
154.89,What,CTT,0.5789473684210527,,,1
155.27,What,CTT,0.4210526315789473,,,1
155.59,What,CTT,0.6842105263157895,,,1
156.21,What,CTT,0.7894736842105263,,,1
162.51,What,CTT,0.6842105263157895,,,1
164.93,What,CTT,0.4736842105263157,,,1
166.33,What,CTT,0.8421052631578947,,,1
166.87,What,CTT,0.631578947368421,,,1
168.33,What,CTT,0.7894736842105263,,,1
168.86,What,CTT,0.631578947368421,,,1
169.55,What,CTT,0.5789473684210527,,,1
170.25,What,CTT,0.7894736842105263,,,1
170.65,What,CTT,0.4736842105263157,,,1
187.43,What,CTT,0.1052631578947368,,,1
194.42,What,CTT,0.5789473684210527,,,1
244.53,What,CTT,0.5789473684210527,,,1
246.24,What,CTT,0.7368421052631579,,,1
1.0,What,IRT,0.60461890992,0.4425500695412439,0.7666877502987561,100
16.9,What,IRT,0.78079957,,,1
17.16,What,IRT,-0.61919725,,,1
20.61,What,IRT,1.0619187,,,1
21.63,What,IRT,0.026050432,,,1
21.9,What,IRT,0.5321417,,,1
21.98,What,IRT,0.50485903,,,1
22.09,What,IRT,0.31625798,,,1
22.2,What,IRT,-0.23618999,,,1
22.6,What,IRT,-0.25339428,,,1
22.64,What,IRT,0.07416145,,,1
22.77,What,IRT,0.4023,,,1
22.82,What,IRT,0.3311532,,,1
22.83,What,IRT,-0.707106,,,1
22.96,What,IRT,-0.67254853,,,1
22.98,What,IRT,-0.10413395,,,1
23.24,What,IRT,0.7207104,,,1
23.33,What,IRT,1.7059261,,,1
23.35,What,IRT,-0.24346694,,,1
23.46,What,IRT,-0.48320502,,,1
23.47,What,IRT,-0.8055431,,,1
23.54,What,IRT,-1.004835,,,1
23.69,What,IRT,1.9235327,,,1
23.7,What,IRT,1.157818,,,1
23.91,What,IRT,-0.534043,,,1
24.15,What,IRT,0.13877183,,,1
24.25,What,IRT,1.28394397,-0.8450886447999999,3.4129765848,2
24.32,What,IRT,-1.0450114,,,1
24.37,What,IRT,-0.46951467,,,1
24.49,What,IRT,-1.6634033,,,1
24.51,What,IRT,1.5030562,,,1
24.57,What,IRT,0.58703774,,,1
24.65,What,IRT,-0.85136366,,,1
24.66,What,IRT,-0.808676,,,1
24.73,What,IRT,-0.6173181,,,1
24.77,What,IRT,-0.30207354,,,1
24.78,What,IRT,-0.33406383,,,1
24.87,What,IRT,1.238489,,,1
24.96,What,IRT,-1.4017547,,,1
25.15,What,IRT,0.627722,,,1
25.6,What,IRT,-0.16549101,,,1
25.62,What,IRT,0.43919662,,,1
