UID,test,composite_ID,Congruence,theta,SE,TSVR_hours,Segment,Days_within
A038,4,A038_4,Common,0.5360858,0.1962873223365104,152.89,Late,5.370416666666666
A039,1,A039_1,Common,2.113206,0.1962873223365104,1.0,Early,0.041666666666666664
A039,2,A039_2,Common,0.72722864,0.1962873223365104,28.65,Late,0.19374999999999995
A039,3,A039_3,Common,0.6532409,0.1962873223365104,98.84,Late,3.1183333333333336
A039,4,A039_4,Common,-0.19232592,0.1962873223365104,246.24,Late,9.26
A040,1,A040_1,Common,-1.5618265,0.1962873223365104,1.0,Early,0.041666666666666664
A040,2,A040_2,Common,-0.31991416,0.1962873223365104,26.26,Late,0.09416666666666673
A040,3,A040_3,Common,-1.1753646,0.1962873223365104,71.28,Late,1.97
A040,4,A040_4,Common,-0.6841468,0.1962873223365104,143.53,Late,4.980416666666667
A041,1,A041_1,Common,1.2749807,0.1962873223365104,1.0,Early,0.041666666666666664
A041,2,A041_2,Common,-1.0111216,0.1962873223365104,31.78,Late,0.3241666666666667
A041,3,A041_3,Common,-0.52210444,0.1962873223365104,75.74,Late,2.1558333333333333
A041,4,A041_4,Common,0.22386456,0.1962873223365104,141.84,Late,4.91
A042,1,A042_1,Common,-0.38919944,0.1962873223365104,1.0,Early,0.041666666666666664
A042,2,A042_2,Common,-0.94573104,0.1962873223365104,28.93,Late,0.20541666666666666
A042,3,A042_3,Common,-0.60165393,0.1962873223365104,72.17,Late,2.0070833333333336
A042,4,A042_4,Common,-0.919106,0.1962873223365104,146.02,Late,5.084166666666667
A043,1,A043_1,Common,1.0159061,0.1962873223365104,1.0,Early,0.041666666666666664
A043,2,A043_2,Common,0.23345459,0.1962873223365104,25.62,Late,0.06750000000000005
A043,3,A043_3,Common,-0.1154044,0.1962873223365104,64.94,Late,1.7058333333333333
A043,4,A043_4,Common,0.06730463,0.1962873223365104,149.33,Late,5.222083333333334
A044,1,A044_1,Common,-0.021611089,0.1962873223365104,1.0,Early,0.041666666666666664
A044,2,A044_2,Common,0.33177772,0.1962873223365104,47.66,Late,0.9858333333333332
A044,3,A044_3,Common,-1.3885521,0.1962873223365104,91.63,Late,2.8179166666666666
A044,4,A044_4,Common,-0.6907909,0.1962873223365104,155.27,Late,5.4695833333333335
A045,1,A045_1,Common,-0.8811096,0.1962873223365104,1.0,Early,0.041666666666666664
A045,2,A045_2,Common,0.25599375,0.1962873223365104,24.66,Late,0.027500000000000007
A045,3,A045_3,Common,0.28792378,0.1962873223365104,72.23,Late,2.0095833333333335
A045,4,A045_4,Common,-0.73880816,0.1962873223365104,151.52,Late,5.3133333333333335
A046,1,A046_1,Common,-0.8263327,0.1962873223365104,1.0,Early,0.041666666666666664
A046,2,A046_2,Common,-1.0503073,0.1962873223365104,24.32,Late,0.013333333333333345
A046,3,A046_3,Common,-1.6721164,0.1962873223365104,73.05,Late,2.0437499999999997
A046,4,A046_4,Common,-1.5642638,0.1962873223365104,147.94,Late,5.164166666666667
A047,1,A047_1,Common,0.032663453,0.1962873223365104,1.0,Early,0.041666666666666664
A047,2,A047_2,Common,0.31397206,0.1962873223365104,23.46,Early,0.9775
A047,3,A047_3,Common,-1.4813104,0.1962873223365104,76.85,Late,2.202083333333333
A047,4,A047_4,Common,-1.0614867,0.1962873223365104,144.22,Late,5.009166666666666
A048,1,A048_1,Common,1.0506663,0.1962873223365104,1.0,Early,0.041666666666666664
A048,2,A048_2,Common,-0.6741307,0.1962873223365104,23.91,Early,0.99625
A048,3,A048_3,Common,-0.10325131,0.1962873223365104,81.15,Late,2.38125
A048,4,A048_4,Common,0.48396504,0.1962873223365104,146.3,Late,5.095833333333334
A049,1,A049_1,Common,1.7571232,0.1962873223365104,1.0,Early,0.041666666666666664
A049,2,A049_2,Common,-0.60318244,0.1962873223365104,27.12,Late,0.13000000000000003
A049,3,A049_3,Common,0.6597407,0.1962873223365104,111.38,Late,3.640833333333333
A049,4,A049_4,Common,0.3402084,0.1962873223365104,168.86,Late,6.035833333333334
A050,1,A050_1,Common,-0.32734805,0.1962873223365104,1.0,Early,0.041666666666666664
A050,2,A050_2,Common,-0.5032114,0.1962873223365104,24.73,Late,0.030416666666666686
A050,3,A050_3,Common,-0.91217804,0.1962873223365104,93.39,Late,2.89125
A050,4,A050_4,Common,-0.3601759,0.1962873223365104,148.69,Late,5.195416666666667
A051,1,A051_1,Common,0.88582057,0.1962873223365104,1.0,Early,0.041666666666666664
A051,2,A051_2,Common,-0.28985074,0.1962873223365104,17.16,Early,0.715
A051,3,A051_3,Common,-0.6146358,0.1962873223365104,65.63,Late,1.7345833333333331
A051,4,A051_4,Common,-0.11835715,0.1962873223365104,146.99,Late,5.124583333333334
A052,1,A052_1,Common,0.7985213,0.1962873223365104,1.0,Early,0.041666666666666664
A052,2,A052_2,Common,-0.44622117,0.1962873223365104,31.76,Late,0.3233333333333334
A052,3,A052_3,Common,-0.017932264,0.1962873223365104,80.98,Late,2.374166666666667
A052,4,A052_4,Common,0.04671596,0.1962873223365104,153.27,Late,5.38625
A053,1,A053_1,Common,1.12028,0.1962873223365104,1.0,Early,0.041666666666666664
A053,2,A053_2,Common,0.83742,0.1962873223365104,32.71,Late,0.3629166666666667
A053,3,A053_3,Common,-0.50420165,0.1962873223365104,78.28,Late,2.2616666666666667
A053,4,A053_4,Common,-0.45412505,0.1962873223365104,148.9,Late,5.204166666666667
A054,1,A054_1,Common,0.18263195,0.1962873223365104,1.0,Early,0.041666666666666664
A054,2,A054_2,Common,0.97050226,0.1962873223365104,16.9,Early,0.7041666666666666
