observation,fitted,residual,standardized_residual,leverage,cooks_d
28,0.10183975495647407,1.090186955043526,1.706267423927091,0.03626658543531092,0.018946796122561078
29,-0.1989279321156934,-0.7160853103843067,-1.120755510978097,0.06026300226630387,0.014285933654964453
30,0.05331494658545975,-0.8796200940854598,-1.376706174134858,0.03004082053601243,0.010086399038685304
31,-0.054101385208193076,0.5050249577081931,0.7904218901364884,0.058719593072781295,0.006900994284047204
32,0.03363563027207629,-0.9254918952720763,-1.4485007958550002,0.037276106968739585,0.014064143034153103
33,-0.03430670603460018,-1.0376881439653998,-1.6241007728558232,0.02230049413891653,0.010256008937095473
34,-0.03652376939502666,-1.1762385556049733,-1.8409480327304881,0.02204087915500948,0.013017252182908903
35,0.19925763831892973,-1.2253479633189297,-1.9178098794101086,0.2131808579374873,0.21108541380297383
36,0.08201563335197412,0.23178946664802577,0.36277705793605936,0.015754078172970414,0.00035670904896589035
37,0.2663769598149738,0.22895193668502622,0.35833599861326654,0.23089723794727604,0.008353714431001729
38,-0.009257659806471918,-0.7849491501935282,-1.2285353060026274,0.023216274568293765,0.006120962722499007
39,-0.08394886649974886,0.044775268999748964,0.07007842328180672,0.0247269282627843,2.1278210267547093e-05
40,0.006485830091366343,0.056951740908633655,0.08913599616907703,0.017087346325973782,2.3420694231151742e-05
41,0.02906688528205778,0.4292377222179421,0.6718061880605601,0.026995376425681603,0.0021448470556726914
42,-0.08880916253959922,1.1084162700395992,1.734798389367843,0.023570490926990557,0.01240034038054674
43,-0.020850262312980747,0.12341056081298064,0.19315165963929093,0.03122898431129302,0.0002069003492375238
44,0.14222735936704453,-0.21417622186704444,-0.33521031292924314,0.07247576685258794,0.0015777049261901399
45,0.177463873354629,-0.689515203354629,-1.079170250885542,0.045556636900743006,0.00970688781526237
46,-0.03768066795408269,-0.21480316604591732,-0.3361915523616933,0.027383272983793307,0.0005452858525306982
47,-0.1009470656222286,1.0908264956222287,1.7072683781677116,0.0358425274452886,0.018730743899412032
48,-0.028729363304680525,0.2643555323046805,0.41374667988792196,0.0209863062650608,0.000624706848181622
49,-0.09261580103633471,0.9575434510363348,1.4986651509078026,0.05311651698646046,0.022176575026084958
50,-0.10845067732943935,0.19864266232943925,0.3108985134768368,0.04910516556494175,0.0008748795072946276
51,0.024297892649537273,0.2689792723504627,0.4209833625324234,0.011470791837904335,0.00034673126302286295
52,0.03556676281396537,0.27371680468603454,0.42839814314100694,0.022123466144944978,0.0007076671405342838
53,0.05617054875165397,-0.606096781251654,-0.9486108678996917,0.028036695739212063,0.004450942998383175
54,-0.04737895116756399,-0.777750598832436,-1.2172687488033558,0.10962095805853371,0.03414801237260208
55,-0.023790559380528604,0.39769848438052857,0.6224436692297245,0.01834347599096405,0.0012291683785953553
56,-0.2648910643470497,-0.9145062181529504,-1.431306953173772,0.06262376130020231,0.024334676617930713
57,-0.0662427364465327,-0.1444523278034672,-0.22608443451027457,0.03264153003452436,0.0002971568226992022
58,-0.1617000922085205,0.35795702470852053,0.5602437339764612,0.12579129243911882,0.008610395270979487
59,-0.09814856776086184,0.17602079276086174,0.275492697130731,0.23922250246083082,0.0052282415430462284
60,-0.21182125019769293,0.548168209697693,0.8579460199120298,0.03540927506213785,0.004668738501477066
