composite_ID,theta_Source,theta_Destination
A069_T4,-0.89648604,-1.3653631
A070_T1,-0.6794456,-0.4601987
A070_T2,-0.5490207,-0.98332644
A070_T3,-0.50525945,-1.5808581
A070_T4,-0.5899193,-2.3015401
A071_T1,-0.49452478,-0.37689722
A071_T2,-0.42710117,-1.2409844
A071_T3,-0.90704507,-1.8136119
A071_T4,-0.44567153,-1.4441723
A072_T1,-0.0033950394,0.36622024
A072_T2,-0.469817,0.08794008
A072_T3,-0.8500143,-0.4184123
A072_T4,-0.9747923,-0.8041701
A073_T1,-1.0817769,-0.99301803
A073_T2,-1.3681653,-1.0216492
A073_T3,-0.7803563,-0.84401137
A073_T4,-0.78982615,-1.347937
A074_T1,-0.34460968,-0.9179718
A074_T2,-0.8429631,-0.38399434
A074_T3,-0.84208596,-0.4118035
A074_T4,-0.7306644,-0.482973
A075_T1,-1.0846347,-0.77332985
A075_T2,-0.6880062,-0.5819492
A075_T3,-1.0039687,-1.5653446
A075_T4,-1.4206526,-0.93688047
A076_T1,-0.87200195,-0.70078886
A076_T2,-1.4597589,-1.3895069
A076_T3,-1.7673023,-1.3967309
A076_T4,-0.4805253,-1.869762
A077_T1,-0.36140457,-0.49119845
A077_T2,-1.2716068,-0.49433705
A077_T3,-0.84983426,-0.4989826
A077_T4,-1.0859673,-0.8942387
A078_T1,-0.7442093,-1.6547972
A078_T2,-1.217172,-1.5204173
A078_T3,-0.9165854,-1.5768688
A078_T4,-1.074014,-1.2363594
A079_T1,-0.7045413,-0.55983806
A079_T2,-0.8142296,-0.5231431
A079_T3,-0.79181707,-1.0692254
A079_T4,-0.7823519,-1.0383948
A080_T1,-0.42682707,0.4324323
A080_T2,-0.68094116,-0.22018896
A080_T3,-0.72463816,-0.9436877
A080_T4,-0.9517683,-1.2143112
A081_T1,-0.27029097,-0.78329015
A081_T2,-0.33208665,-0.89706063
A081_T3,-0.4603413,-0.13209185
A081_T4,-1.0726866,-0.8795057
A082_T1,-0.50652784,-1.1764239
A082_T2,-0.8220301,-1.0582744
A082_T3,-0.17880896,-1.3677479
A082_T4,-1.5593513,-1.0435083
A083_T1,-0.29046968,-1.0365682
A083_T2,-1.0763723,-0.4177013
A083_T3,-1.202541,-0.7084331
A083_T4,-0.8063148,-1.2615808
A084_T1,-1.032207,-1.4183103
A084_T2,-0.99167323,-1.9098439
A084_T3,-0.9818901,-1.2175366
A084_T4,-1.455244,-1.4158593
A085_T1,-0.36545935,0.0073918123
A085_T2,-0.2253215,0.27535403
A085_T3,-0.36988163,-0.5144156
A085_T4,-0.83165544,-0.7658169
A086_T1,-0.3618851,-0.27812696
A086_T2,-0.21183495,0.059859
A086_T3,-1.2394054,-0.41264915
A086_T4,-1.546026,-1.035318
A087_T1,-0.19322239,-0.014767205
A087_T2,-0.5465908,-0.19923158
A087_T3,-0.62504506,0.07385114
A087_T4,-0.39131248,-1.0872371
A088_T1,-0.34111518,0.5498859
A088_T2,-0.25505546,-0.69840395
A088_T3,-1.1151365,-0.568071
A088_T4,-0.17946187,-0.38792503
A089_T1,-0.27448496,-0.25796568
A089_T2,-0.4778019,0.031638045
A089_T3,-0.5514194,-1.3225673
A089_T4,-0.5722563,-0.9284074
A090_T1,-1.0287526,-1.8708167
A090_T2,-0.9427168,-1.557978
A090_T3,-0.77250814,-1.9986427
A090_T4,-1.1573464,-1.9771423
A091_T1,-0.6283785,-0.43969902
A091_T2,-0.55644274,-1.038719
A091_T3,-1.1597253,-1.0521905
A091_T4,-0.64821875,-1.1590825
A092_T1,-0.23264426,-0.78161585
A092_T2,-0.5254265,-0.8169474
A092_T3,-0.9043393,-1.0631728
A092_T4,-0.81648684,-1.8625423
A093_T1,-0.32939866,-0.46370706
A093_T2,-0.27696675,-1.0843637
A093_T3,-0.4471624,-2.0066051
A093_T4,-0.9467834,-1.9431742
A094_T1,-1.3196282,-1.4246477
A094_T2,-1.9649814,-0.9600428
A094_T3,-1.0129862,-1.8223197
A094_T4,-1.1506073,-1.2479631
A095_T1,-0.3826626,0.010824216
A095_T2,-0.85158104,-1.2839589
A095_T3,-1.1285485,-0.707032
A095_T4,-1.2775958,-1.4349427
A096_T1,-0.66300774,-0.29699335
A096_T2,-0.90211695,-0.14960408
A096_T3,-1.4942834,-0.61149085
A096_T4,-1.4270912,-0.5857403
A097_T1,-1.4779776,-1.1982393
A097_T2,-1.2857141,-1.9319931
A097_T3,-1.4104755,-1.6932471
A097_T4,-1.1386353,-1.5849942
A098_T1,-0.48590535,-0.6084861
A098_T2,-1.028803,-1.1346993
A098_T3,-0.3599263,-0.716172
