composite_ID,UID,TEST,location,TSVR_hours,ma_theta,ma_theta_se
A024_T1,A024,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A024_T2,A024,T2,Source,29.57,-0.46753719789140213,0.03336885405438295
A024_T3,A024,T3,Source,91.47,-0.696006719101708,0.01005178079579118
A024_T4,A024,T4,Source,145.65,-0.8039787019589788,0.02653847406965855
A025_T1,A025,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A025_T2,A025,T2,Source,23.33,-0.4265447724303614,0.03256614272992639
A025_T3,A025,T3,Source,72.94,-0.6463838594280047,0.01850779491008819
A025_T4,A025,T4,Source,137.74,-0.7905501093770114,0.02207960060299125
A026_T1,A026,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A026_T2,A026,T2,Source,26.48,-0.44809410981028597,0.0331705088394172
A026_T3,A026,T3,Source,75.46,-0.6537143659328308,0.017282291564567377
A026_T4,A026,T4,Source,147.65,-0.8072799072917933,0.02767780737788229
A027_T1,A027,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A027_T2,A027,T2,Source,28.26,-0.4594819350852153,0.03332748057768674
A027_T3,A027,T3,Source,74.58,-0.6511781227794923,0.017710122967192207
A027_T4,A027,T4,Source,145.92,-0.8044265034283814,0.026692059602700068
A028_T1,A028,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A028_T2,A028,T2,Source,22.82,-0.4228702555008389,0.0324240611489418
A028_T3,A028,T3,Source,72.26,-0.6443694991588336,0.018838315737412552
A028_T4,A028,T4,Source,138.91,-0.792575337156394,0.02273320016014216
A029_T1,A029,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A029_T2,A029,T2,Source,28.43,-0.46054234775126257,0.03333625036103794
A029_T3,A029,T3,Source,93.26,-0.7003394623755939,0.009414622280790869
A029_T4,A029,T4,Source,143.14,-0.7997832177882632,0.025114466743267155
A030_T1,A030,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A030_T2,A030,T2,Source,32.95,-0.4871753251500384,0.03322265046742103
A030_T3,A030,T3,Source,71.93,-0.6433862216739725,0.01899860939384801
A030_T4,A030,T4,Source,150.46,-0.8118574136115237,0.029284357343332144
A031_T1,A031,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A031_T2,A031,T2,Source,32.41,-0.4841414965979118,0.033268395813129986
A031_T3,A031,T3,Source,71.56,-0.6422792629011668,0.019178226824354137
A031_T4,A031,T4,Source,143.85,-0.8009760117677858,0.02551654562733622
A032_T1,A032,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A032_T2,A032,T2,Source,57.18,-0.5950419393975067,0.025879911309309913
A032_T3,A032,T3,Source,80.16,-0.6668548361661436,0.01501454288347459
A032_T4,A032,T4,Source,144.51,-0.8020805229242168,0.02589083920574038
A033_T1,A033,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A033_T2,A033,T2,Source,29.16,-0.46504443380028804,0.033362278771175397
A033_T3,A033,T3,Source,72.6,-0.6453786523379332,0.01867308704715809
A033_T4,A033,T4,Source,168.33,-0.8394551305289206,0.03959000985637324
A034_T1,A034,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A034_T2,A034,T2,Source,26.08,-0.44546052187320323,0.033118004809665334
A034_T3,A034,T3,Source,74.28,-0.6503077643321352,0.01785603875955865
A034_T4,A034,T4,Source,145.38,-0.8035302262588624,0.02638496278884716
A035_T1,A035,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A035_T2,A035,T2,Source,44.76,-0.5455966200613658,0.030643055719103036
A035_T3,A035,T3,Source,79.98,-0.6663636407768624,0.015100461659351055
A035_T4,A035,T4,Source,152.47,-0.8150894649502796,0.030436993740690397
A036_T1,A036,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A036_T2,A036,T2,Source,21.63,-0.4140756032097356,0.032039205061040125
A036_T3,A036,T3,Source,71.47,-0.6420092792393353,0.019221898546583252
A036_T4,A036,T4,Source,143.85,-0.8009760117677858,0.02551654562733622
A037_T1,A037,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A037_T2,A037,T2,Source,23.7,-0.42917649580536005,0.03266102579547436
A037_T3,A037,T3,Source,72.08,-0.6438336326746178,0.018925758759920034
A037_T4,A037,T4,Source,143.66,-0.8006572831708341,0.025408887852842853
A038_T1,A038,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A038_T2,A038,T2,Source,71.85,-0.6431472833509473,0.01903745568110649
A038_T3,A038,T3,Source,72.86,-0.6461476933742584,0.018546692056484387
A038_T4,A038,T4,Source,152.89,-0.8157604655642897,0.030678159710746927
A039_T1,A039,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A039_T2,A039,T2,Source,28.65,-0.4619078693445241,0.03334606393742698
A039_T3,A039,T3,Source,98.84,-0.7134125323422952,0.007967351749870018
A039_T4,A039,T4,Source,246.24,-0.9374223567327153,0.08403752617662909
A040_T1,A040,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A040_T2,A040,T2,Source,26.26,-0.446649142149425,0.03314244874824204
A040_T3,A040,T3,Source,71.28,-0.6414383790707515,0.01931406778460358
A040_T4,A040,T4,Source,143.53,-0.8004390082464617,0.025335251945180205
A041_T1,A041,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A041_T2,A041,T2,Source,31.78,-0.48055395729283307,0.033311505372100335
A041_T3,A041,T3,Source,75.74,-0.654516156074033,0.017146257875916487
A041_T4,A041,T4,Source,141.84,-0.7975867023682532,0.024379907940879995
A042_T1,A042,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A042_T2,A042,T2,Source,28.93,-0.4636348725360189,0.03335608441398614
A042_T3,A042,T3,Source,72.17,-0.6441017056453875,0.018882040158152195
A042_T4,A042,T4,Source,146.02,-0.804592185202777,0.026748961667729543
A043_T1,A043,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A043_T2,A043,T2,Source,25.62,-0.44239646567596963,0.033049345920439795
A043_T3,A043,T3,Source,64.94,-0.6216182307465113,0.022352246739646184
A043_T4,A043,T4,Source,149.33,-0.8100250265986335,0.028637570088464535
A044_T1,A044,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A044_T2,A044,T2,Source,47.66,-0.5580516707465678,0.02966751243849557
A044_T3,A044,T3,Source,91.63,-0.6963968853797183,0.009992268898647376
A044_T4,A044,T4,Source,155.27,-0.8195349387075724,0.03204657566846398
A045_T1,A045,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A045_T2,A045,T2,Source,24.66,-0.4358756891348549,0.0328763556582725
A045_T3,A045,T3,Source,72.23,-0.6442802656666403,0.01885289117329636
A045_T4,A045,T4,Source,151.52,-0.8135661985259155,0.02989189121666764
A046_T1,A046,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A046_T2,A046,T2,Source,24.32,-0.4335239650159543,0.032805075613284315
A046_T3,A046,T3,Source,73.05,-0.6467082341012905,0.018454307061802355
A046_T4,A046,T4,Source,147.94,-0.8077555678717013,0.027843313650239707
A047_T1,A047,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A047_T2,A047,T2,Source,23.46,-0.4274726591053531,0.032600254214344204
A047_T3,A047,T3,Source,76.85,-0.6576704385978305,0.01660770410154899
A047_T4,A047,T4,Source,144.22,-0.8015957132660769,0.025726315709902484
A048_T1,A048,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A048_T2,A048,T2,Source,23.91,-0.43065768760123024,0.032711886063210086
A048_T3,A048,T3,Source,81.15,-0.6695399822883086,0.014543994063259846
A048_T4,A048,T4,Source,146.3,-0.8050556049119346,0.026908339861838524
A049_T1,A049,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A049_T2,A049,T2,Source,27.12,-0.4522498224172398,0.03324103681558141
A049_T3,A049,T3,Source,111.38,-0.7406762642124718,0.009173607728871954
A049_T4,A049,T4,Source,168.86,-0.8402369465194606,0.039896763549275786
A050_T1,A050,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A050_T2,A050,T2,Source,24.73,-0.4363570763666067,0.03289036796896685
A050_T3,A050,T3,Source,93.39,-0.7006514049963044,0.009370980543525875
A050_T4,A050,T4,Source,148.69,-0.8089822306175195,0.028271675720319016
A051_T1,A051,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A051_T2,A051,T2,Source,17.16,-0.37789124313912814,0.029827067727518704
A051_T3,A051,T3,Source,65.63,-0.6238515899225946,0.02202645760075239
A051_T4,A051,T4,Source,146.99,-0.8061945401680781,0.027301414009676603
A052_T1,A052,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A052_T2,A052,T2,Source,31.76,-0.48043920349074964,0.03331268841384814
A052_T3,A052,T3,Source,80.98,-0.6690808588840891,0.014624537949319389
A052_T4,A052,T4,Source,153.27,-0.8163662797616477,0.030896444696533243
A053_T1,A053,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A053_T2,A053,T2,Source,32.71,-0.48583158527184417,0.03324396451292066
A053_T3,A053,T3,Source,78.28,-0.6616782433047885,0.015916446032637428
A053_T4,A053,T4,Source,148.9,-0.8093247979804145,0.028391699306391474
A054_T1,A054,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A054_T2,A054,T2,Source,16.9,-0.37561230240774096,0.029656093541985416
A054_T3,A054,T3,Source,72.83,-0.646059075163673,0.01856127776307677
A054_T4,A054,T4,Source,136.83,-0.7889651998496684,0.021573028474624507
A055_T1,A055,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A055_T2,A055,T2,Source,23.24,-0.42590032297643265,0.032542030724079275
A055_T3,A055,T3,Source,74.48,-0.6508883295863845,0.017758759382846927
A055_T4,A055,T4,Source,149.21,-0.809829778350955,0.028568940559158356
A056_T1,A056,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A056_T2,A056,T2,Source,33.61,-0.49083312093395143,0.033156128986663286
A056_T3,A056,T3,Source,71.46,-0.6419792635122765,0.019226750471188263
A056_T4,A056,T4,Source,147.84,-0.8075916324023954,0.027786234339311062
A057_T1,A057,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A057_T2,A057,T2,Source,24.78,-0.4367003458832169,0.032900239566594866
A057_T3,A057,T3,Source,73.83,-0.6489966915160399,0.018074933473357736
A057_T4,A057,T4,Source,145.06,-0.8029978231217525,0.026203121801267486
A058_T1,A058,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A058_T2,A058,T2,Source,22.96,-0.42388445085470716,0.03246438938566676
A058_T3,A058,T3,Source,66.28,-0.6259376819713229,0.021718214303443308
A058_T4,A058,T4,Source,143.48,-0.8003550135616002,0.025306935831791864
A059_T1,A059,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A059_T2,A059,T2,Source,30.4,-0.4725072240069358,0.033365187572233584
A059_T3,A059,T3,Source,79.78,-0.6658167789815514,0.015196046727225875
A059_T4,A059,T4,Source,151.93,-0.8142245522097298,0.030127077546610603
A060_T1,A060,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A060_T2,A060,T2,Source,24.87,-0.43731702092014635,0.03291772166908859
A060_T3,A060,T3,Source,94.68,-0.7037272534636245,0.00895984717748017
A060_T4,A060,T4,Source,143.91,-0.8010765918232687,0.02555055162951761
A061_T1,A061,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A061_T2,A061,T2,Source,35.16,-0.49921502384188565,0.03295654576420093
A061_T3,A061,T3,Source,82.55,-0.6732906061518207,0.013885400459419864
A061_T4,A061,T4,Source,146.56,-0.805485279413868,0.027056401927196865
A062_T1,A062,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A062_T2,A062,T2,Source,44.69,-0.5452881042901008,0.030665302437679218
A062_T3,A062,T3,Source,92.72,-0.6990397824961742,0.00959991193814725
A062_T4,A062,T4,Source,149.18,-0.8097809464269259,0.028551784909241505
A063_T1,A063,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A063_T2,A063,T2,Source,21.98,-0.4166952273204185,0.03216038382818123
A063_T3,A063,T3,Source,69.99,-0.6375282795210175,0.019938705502131317
A063_T4,A063,T4,Source,141.09,-0.7963120193571337,0.02395716195929861
A064_T1,A064,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A064_T2,A064,T2,Source,37.65,-0.5121088570699276,0.03252020725943858
A064_T3,A064,T3,Source,82.99,-0.6744583449855311,0.01368036456390901
A064_T4,A064,T4,Source,156.21,-0.8210128469313084,0.03258780329898745
A065_T1,A065,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A065_T2,A065,T2,Source,32.31,-0.4835755368678593,0.03327598623700533
A065_T3,A065,T3,Source,106.41,-0.7301935049888064,0.007934911148914156
A065_T4,A065,T4,Source,187.43,-0.8664632234926705,0.05063170674762878
A066_T1,A066,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A066_T2,A066,T2,Source,23.35,-0.4266877533307581,0.03257144566707112
A066_T3,A066,T3,Source,73.79,-0.6488798282013428,0.018094390897991364
A066_T4,A066,T4,Source,164.93,-0.8343921849489891,0.03762272786150406
A067_T1,A067,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A067_T2,A067,T2,Source,29.91,-0.4695853110466358,0.033370056290381325
A067_T3,A067,T3,Source,73.19,-0.6471204839560747,0.018386225243740933
A067_T4,A067,T4,Source,144.19,-0.8015455153532836,0.02570930146233861
A068_T1,A068,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A068_T2,A068,T2,Source,30.49,-0.4730401368149341,0.03336346254958595
A068_T3,A068,T3,Source,82.98,-0.6744318632534515,0.013685013009715133
A068_T4,A068,T4,Source,155.59,-0.8200388643489399,0.03223077878668783
A069_T1,A069,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A069_T2,A069,T2,Source,24.96,-0.4379321467977835,0.03293483693700895
A069_T3,A069,T3,Source,79.75,-0.6657346505216193,0.015210395051349888
A069_T4,A069,T4,Source,140.22,-0.7948264553391757,0.02346780322131306
A070_T1,A070,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A070_T2,A070,T2,Source,24.25,-0.43303696985177476,0.03278973021860384
A070_T3,A070,T3,Source,81.92,-0.6716094861373062,0.014180669380827815
A070_T4,A070,T4,Source,149.2,-0.8098135019261954,0.02856322193192666
A071_T1,A071,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A071_T2,A071,T2,Source,30.92,-0.4755704101071858,0.03335173795056794
A071_T3,A071,T3,Source,79.96,-0.6663090062664857,0.015110014572287549
A071_T4,A071,T4,Source,153.27,-0.8163662797616477,0.030896444696533243
A072_T1,A072,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A072_T2,A072,T2,Source,33.76,-0.49165689158216386,0.033139427915987875
A072_T3,A072,T3,Source,83.54,-0.6759107310931105,0.013425566350063313
A072_T4,A072,T4,Source,154.89,-0.8189354379479155,0.031827896651514365
A073_T1,A073,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A073_T2,A073,T2,Source,66.66,-0.627149368071208,0.021537447126932667
A073_T3,A073,T3,Source,66.9,-0.6279116830779872,0.021423075132995715
A073_T4,A073,T4,Source,140.12,-0.7946552200435192,0.023411628992155306
A074_T1,A074,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A074_T2,A074,T2,Source,29.33,-0.4660810974523114,0.03336569367847739
A074_T3,A074,T3,Source,73.02,-0.6466198088386448,0.018468895121495587
A074_T4,A074,T4,Source,147.21,-0.8065567673871429,0.027426835030849677
A075_T1,A075,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A075_T2,A075,T2,Source,28.68,-0.46209348864058275,0.033347269141274394
A075_T3,A075,T3,Source,71.37,-0.6417089638365469,0.01927041328346204
A075_T4,A075,T4,Source,244.53,-0.9355787983902814,0.08305629883606568
A076_T1,A076,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A076_T2,A076,T2,Source,27.3,-0.45340602471613073,0.03325796287835059
A076_T3,A076,T3,Source,74.88,-0.6520455540562485,0.01756423207086502
A076_T4,A076,T4,Source,149.28,-0.8099436886038166,0.02860897310736507
A077_T1,A077,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A077_T2,A077,T2,Source,53.88,-0.5828302490784053,0.027277052057911703
A077_T3,A077,T3,Source,78.36,-0.6619006373431027,0.01587788701644266
A077_T4,A077,T4,Source,149.75,-0.8107073968438414,0.02887785945697999
A078_T1,A078,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A078_T2,A078,T2,Source,26.17,-0.44605555309308165,0.03313039505979166
A078_T3,A078,T3,Source,72.3,-0.6444884289589202,0.018818880868257434
A078_T4,A078,T4,Source,140.08,-0.7945866980389802,0.02338916368131504
A079_T1,A079,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A079_T2,A079,T2,Source,26.11,-0.4456590262875038,0.033122172412354656
A079_T3,A079,T3,Source,74.0,-0.6494927700182715,0.01799223892395192
A079_T4,A079,T4,Source,194.42,-0.8757952096913303,0.05465235906866362
A080_T1,A080,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A080_T2,A080,T2,Source,29.03,-0.4642487216818617,0.03335900149254089
A080_T3,A080,T3,Source,72.87,-0.6461772259932327,0.018541830064735927
A080_T4,A080,T4,Source,145.77,-0.8041778079303267,0.026606725231628752
A081_T1,A081,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A081_T2,A081,T2,Source,31.39,-0.478306516803468,0.03333247082097211
A081_T3,A081,T3,Source,80.13,-0.6667730345855086,0.015028855414708612
A081_T4,A081,T4,Source,154.53,-0.8183663944381554,0.03162079131929865
A082_T1,A082,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A082_T2,A082,T2,Source,27.97,-0.45766233585192195,0.0333100974455906
A082_T3,A082,T3,Source,75.71,-0.654430368897497,0.017160830081926627
A082_T4,A082,T4,Source,170.25,-0.842278060915562,0.040701326358932394
A083_T1,A083,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A083_T2,A083,T2,Source,25.15,-0.43922569346292084,0.03296977432890453
A083_T3,A083,T3,Source,74.3,-0.6503658797223925,0.017846310502198398
A083_T4,A083,T4,Source,144.91,-0.8027479308337352,0.02611792125437772
A084_T1,A084,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A084_T2,A084,T2,Source,27.25,-0.4530854044320099,0.033253387192411395
A084_T3,A084,T3,Source,91.97,-0.6972240938403013,0.00986738576700157
A084_T4,A084,T4,Source,162.51,-0.8307372694431804,0.0362234683479763
A085_T1,A085,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A085_T2,A085,T2,Source,24.51,-0.4348409470998679,0.032845570168263144
A085_T3,A085,T3,Source,71.4,-0.6417990953733838,0.01925585992251366
A085_T4,A085,T4,Source,170.65,-0.8428629553869017,0.04093286444130163
A086_T1,A086,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A086_T2,A086,T2,Source,23.47,-0.4275438895500431,0.03260284325752984
A086_T3,A086,T3,Source,145.29,-0.8033805841149735,0.026333809132392926
A086_T4,A086,T4,Source,169.55,-0.84125183884508,0.040296142629303845
A087_T1,A087,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A087_T2,A087,T2,Source,31.07,-0.4764469567066049,0.03334631200645154
A087_T3,A087,T3,Source,72.8,-0.6459704264050364,0.018575863058253855
A087_T4,A087,T4,Source,144.2,-0.8015622489336238,0.02571497276427861
A088_T1,A088,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A088_T2,A088,T2,Source,24.25,-0.43303696985177476,0.03278973021860384
A088_T3,A088,T3,Source,74.91,-0.6521321370036108,0.017549644808973683
A088_T4,A088,T4,Source,149.93,-0.8109993671557307,0.028980880804354806
A089_T1,A089,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A089_T2,A089,T2,Source,32.14,-0.48261039900469016,0.03328824737214936
A089_T3,A089,T3,Source,79.34,-0.6646096222416064,0.015406752625395101
A089_T4,A089,T4,Source,146.96,-0.8061451114959205,0.027284314569003234
A090_T1,A090,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A090_T2,A090,T2,Source,23.54,-0.4280419232210119,0.032620827542371694
A090_T3,A090,T3,Source,95.42,-0.7054758617484096,0.008743525537839485
A090_T4,A090,T4,Source,144.07,-0.8013446388063282,0.025641254758884017
A091_T1,A091,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A091_T2,A091,T2,Source,22.2,-0.41832761300578514,0.032233100257497066
A091_T3,A091,T3,Source,73.64,-0.648441117915425,0.018167355125460003
A091_T4,A091,T4,Source,142.61,-0.7988896826152848,0.02481472803234628
A092_T1,A092,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A092_T2,A092,T2,Source,22.83,-0.42294283753398754,0.032426975372838604
A092_T3,A092,T3,Source,71.31,-0.6415286057090726,0.019299517224731055
A092_T4,A092,T4,Source,146.16,-0.8048239850895139,0.026828641169656806
A093_T1,A093,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A093_T2,A093,T2,Source,22.09,-0.41751278092179434,0.03219707183862674
A093_T3,A093,T3,Source,70.22,-0.6382298150810656,0.0198275008060156
A093_T4,A093,T4,Source,140.95,-0.7960734677519065,0.02387833839541667
A094_T1,A094,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A094_T2,A094,T2,Source,22.98,-0.4240289935176587,0.03247006804296803
A094_T3,A094,T3,Source,76.21,-0.6558564514423554,0.0169180625994611
A094_T4,A094,T4,Source,149.99,-0.8110966275596553,0.02901522651913625
A095_T1,A095,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A095_T2,A095,T2,Source,29.71,-0.4683826121369092,0.03336981031372874
A095_T3,A095,T3,Source,78.76,-0.6630097592368391,0.015685305319961457
A095_T4,A095,T4,Source,148.79,-0.80914540676392,0.028328825422571584
A096_T1,A096,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A096_T2,A096,T2,Source,24.49,-0.43470265051648443,0.03284138680762475
A096_T3,A096,T3,Source,71.19,-0.6411675085707853,0.01935771369870211
A096_T4,A096,T4,Source,143.66,-0.8006572831708341,0.025408887852842853
A097_T1,A097,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A097_T2,A097,T2,Source,24.37,-0.4338712266205333,0.03281589561844358
A097_T3,A097,T3,Source,70.83,-0.6400811562719364,0.019532205995252693
A097_T4,A097,T4,Source,144.85,-0.8026479151033545,0.02608384781460716
A098_T1,A098,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A098_T2,A098,T2,Source,25.77,-0.44339983278181977,0.03307272315097783
A098_T3,A098,T3,Source,78.84,-0.6632310164078743,0.015646833743006967
A098_T4,A098,T4,Source,146.29,-0.8050390666033851,0.026902646466124964
A099_T1,A099,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A099_T2,A099,T2,Source,28.75,-0.4625260543196467,0.03334995799671196
A099_T3,A099,T3,Source,78.57,-0.6624835169268775,0.015776736166032507
A099_T4,A099,T4,Source,143.51,-0.8004054132271492,0.02532392513912652
A100_T1,A100,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A100_T2,A100,T2,Source,31.14,-0.4768549420295013,0.03334354666351736
A100_T3,A100,T3,Source,75.34,-0.6533699783168319,0.0173406084630598
A100_T4,A100,T4,Source,146.8,-0.805881353643604,0.02719313158629152
A101_T1,A101,T1,Source,1.0,-0.16013880167454828,0.0169041344101956
A101_T2,A101,T2,Source,29.12,-0.4647998743568704,0.03336133212169066
