model_name,AIC,BIC,log_likelihood,n_params,converged,delta_AIC,akaike_weight,cumulative_weight,renorm_weight
Log+SquareRoot,1536.0651465788696,1578.226652127881,-759.0325732894348,8.0,False,1.830862634298683,0.0168945581193342,0.7192506392778796,0.016961758233064228
SquareRoot+Log,1536.1101236725135,1578.2716292215248,-759.0550618362568,8.0,False,1.875839727942548,0.0165188642954245,0.7357695035733042,0.016584570042298876
CubeRoot+Log,1536.1476408421297,1578.3091463911408,-759.0738204210647,8.0,False,1.913356897558515,0.016211882056593,0.7519813856298972,0.016276366745111376
PowerLaw_Lin,1536.164188957904,1578.3256945069154,-759.0820944789521,8.0,False,1.9299050133331548,0.0160782974116369,0.7680596830415342,0.016142250751346374
SquareRoot+PowerLaw,1536.209308874908,1578.3708144239192,-759.104654437454,8.0,False,1.9750249303369856,0.0157196326323103,0.7837793156738445,0.01578215934021375
Root_Multi,1536.3196655121749,1578.481171061186,-759.1598327560873,8.0,True,2.08538156760369,0.0148757459585571,0.7986550616324017,0.014934916006875205
Recip+Log,1536.3688903685888,1578.5303959176,-759.1844451842944,8.0,False,2.134606424017875,0.0145140866428253,0.8131691482752271,0.014571818148212776
PowerLaw_Log,1536.4256472405114,1578.5871527895226,-759.2128236202557,8.0,False,2.1913632959403917,0.0141079890254838,0.827277137300711,0.014164105229312152
Log+LogLog,1536.6305736477088,1578.79207919672,-759.3152868238544,8.0,False,2.3962897031378816,0.0127340311892563,0.8400111684899673,0.012784682312423615
Recip+PowerLaw,1536.6436179998082,1578.8051235488194,-759.3218089999041,8.0,False,2.409334055237196,0.0126512478532223,0.8526624163431895,0.012701569695827367
Recip+PowerLaw05,1536.6436179998082,1578.8051235488194,-759.3218089999041,8.0,False,2.409334055237196,0.0126512478532223,0.8653136641964119,0.012701569695827367
Log+PowerLaw05,1536.7041772393775,1578.865682788389,-759.3520886196889,8.0,False,2.469893294806752,0.0122739144637776,0.8775875786601894,0.012322735417960154
Sin+Log,1536.704379537142,1578.8658850861532,-759.352189768571,8.0,False,2.4700955925709422,0.0122726730338363,0.8898602516940258,0.012321489050083652
SquareRoot+Recip,1536.7340115561035,1578.895517105115,-759.3670057780519,8.0,False,2.4997276115327622,0.0120921813785427,0.9019524330725686,0.012140279467770156
Log+Recip,1536.8577960306293,1579.0193015796406,-759.4288980153146,8.0,False,2.6235120860583265,0.0113664591564214,0.91331889222899,0.011411670599219962
Exp+Recip,1536.8816684388755,1579.043173987887,-759.4408342194379,8.0,False,2.647384494304788,0.0112315932743456,0.9245504855033356,0.011276268272062273
Tanh+Log,1536.881902465963,1579.0434080149746,-759.4409512329817,8.0,False,2.64761852139236,0.0112302791027036,0.9357807646060392,0.011274948873146309
Exp+PowerLaw,1537.0487230265908,1579.210228575602,-759.5243615132954,8.0,False,2.814439082019817,0.0103315605501973,0.9461123251562368,0.010372655560737255
Recip+Quad,1537.255973363156,1584.1020906398353,-758.627986681578,9.0,True,3.0216894185850838,0.0093145544658635,0.9554268796221002,0.00935160421377814
Lin+Log,1537.7134910155155,1579.8749965645268,-759.8567455077578,8.0,False,3.47920707094454,0.0074099178062928,0.962836797428393,0.007439391635427354
Exp+Log,1537.7134910155155,1579.8749965645268,-759.8567455077578,8.0,False,3.47920707094454,0.0074099178062928,0.970246715234686,0.007439391635427354
PowerLaw+Recip+Log,1537.7653369584332,1584.6114542351124,-758.8826684792166,9.0,False,3.53105301386222,0.0072202990774726,0.9774670143121584,0.007249018675567072
Lin+Log+PowerLaw,1538.7058559196685,1585.5519731963475,-759.3529279598342,9.0,False,4.471571975097504,0.0045115324939675,0.981978546806126,0.004529477650896132
Lin+Quad+Log,1538.8020923717986,1585.648209648478,-759.4010461858993,9.0,False,4.567808427227647,0.0042995856983502,0.9862781325044762,0.004316687811698194
Quad+Log,1538.8020923717986,1585.648209648478,-759.4010461858993,9.0,False,4.567808427227647,0.0042995856983502,0.9905777182028264,0.004316687811698194
Quad+Log+SquareRoot,1539.643502115262,1591.1742311196092,-758.821751057631,10.0,False,5.40921817069102,0.0028230385280974,0.993400756730924,0.0028342674995101113
Quartic,1539.7795553310616,1591.3102843354088,-758.8897776655308,10.0,True,5.54527138649064,0.0026373831360272,0.9960381398669512,0.0026478736410430054
