composite_ID,UID,TEST,TSVR_hours,log_TSVR,location,theta
A025_T1,A025,T1,1.0,0.6931471805599453,Source,1.5201635
A025_T2,A025,T2,23.33,3.1917101567954314,Source,0.80029917
A025_T3,A025,T3,72.94,4.303253953508486,Source,0.34703553
A025_T4,A025,T4,137.74,4.932601677957155,Source,-1.2910038
A026_T1,A026,T1,1.0,0.6931471805599453,Source,0.30597228
A026_T2,A026,T2,26.48,3.3134584673541485,Source,0.1270002
A026_T3,A026,T3,75.46,4.336767728268267,Source,0.4475891
A026_T4,A026,T4,147.65,5.001594549444107,Source,0.34728104
A027_T1,A027,T1,1.0,0.6931471805599453,Source,0.9088447
A027_T2,A027,T2,28.26,3.3762213955919784,Source,0.55407584
A027_T3,A027,T3,74.58,4.325191697921343,Source,-0.25326005
A027_T4,A027,T4,145.92,4.989888220951467,Source,-1.0227153
A028_T1,A028,T1,1.0,0.6931471805599453,Source,0.93658507
A028_T2,A028,T2,22.82,3.170525563927154,Source,0.41178814
A028_T3,A028,T3,72.26,4.294014757350668,Source,-0.2597355
A028_T4,A028,T4,138.91,4.940999358745194,Source,-0.7819806
A029_T1,A029,T1,1.0,0.6931471805599453,Source,1.6593924
A029_T2,A029,T2,28.43,3.382014562245381,Source,1.3603114
A029_T3,A029,T3,93.26,4.546056921495585,Source,0.9016798
A029_T4,A029,T4,143.14,4.970785049496295,Source,0.25560948
A030_T1,A030,T1,1.0,0.6931471805599453,Source,0.34983945
A030_T2,A030,T2,32.95,3.5248888540047054,Source,1.079581
A030_T3,A030,T3,71.93,4.289500076996142,Source,-0.025663225
A030_T4,A030,T4,150.46,5.020321563685677,Source,1.0084872
A031_T1,A031,T1,1.0,0.6931471805599453,Source,1.7817703
A031_T2,A031,T2,32.41,3.508855256368665,Source,0.496819
A031_T3,A031,T3,71.56,4.2844138058068815,Source,-0.17503846
A031_T4,A031,T4,143.85,4.975698724215359,Source,-0.8072562
A032_T1,A032,T1,1.0,0.6931471805599453,Source,1.0985742
A032_T2,A032,T2,57.18,4.063541653067055,Source,-0.80952066
A032_T3,A032,T3,80.16,4.396422514957614,Source,0.06827313
A032_T4,A032,T4,144.51,4.980244812772187,Source,0.2156567
A033_T1,A033,T1,1.0,0.6931471805599453,Source,0.32084683
A033_T2,A033,T2,29.16,3.4065165431397553,Source,0.22721334
A033_T3,A033,T3,72.6,4.298645025734831,Source,0.77439886
A033_T4,A033,T4,168.33,5.131849473677249,Source,-0.099368066
A034_T1,A034,T1,1.0,0.6931471805599453,Source,1.8211368
A034_T2,A034,T2,26.08,3.298795448044074,Source,1.6283642
A034_T3,A034,T3,74.28,4.3212144952771245,Source,1.0441364
A034_T4,A034,T4,145.38,4.986205980173081,Source,0.6053154
A035_T1,A035,T1,1.0,0.6931471805599453,Source,0.1447713
A035_T2,A035,T2,44.76,3.8234103470715426,Source,0.8905213
A035_T3,A035,T3,79.98,4.394202210604015,Source,0.07136492
A035_T4,A035,T4,152.47,5.033505108187003,Source,-0.3635215
A036_T1,A036,T1,1.0,0.6931471805599453,Source,-0.7466725
A036_T2,A036,T2,21.63,3.119276459645446,Source,-0.86961955
A036_T3,A036,T3,71.47,4.28317268312119,Source,-0.918497
A036_T4,A036,T4,143.85,4.975698724215359,Source,-1.3507532
A037_T1,A037,T1,1.0,0.6931471805599453,Source,1.1950513
A037_T2,A037,T2,23.7,3.2068032436339315,Source,0.5215914
A037_T3,A037,T3,72.08,4.291554731509806,Source,-0.6600132
A037_T4,A037,T4,143.66,4.974386161421135,Source,-1.3404595
A038_T1,A038,T1,1.0,0.6931471805599453,Source,0.67471296
A038_T2,A038,T2,71.85,4.288402532641213,Source,0.57769156
A038_T3,A038,T3,72.86,4.3021714094244174,Source,0.50586396
A038_T4,A038,T4,152.89,5.0362380614757605,Source,0.68775254
A039_T1,A039,T1,1.0,0.6931471805599453,Source,1.0134212
A039_T2,A039,T2,28.65,3.3894621254437345,Source,1.1536825
A039_T3,A039,T3,98.84,4.603568904621118,Source,0.9467811
A039_T4,A039,T4,246.24,5.510359524791073,Source,0.33422208
A040_T1,A040,T1,1.0,0.6931471805599453,Source,0.037014283
A040_T2,A040,T2,26.26,3.3054204262683866,Source,-0.13419348
A040_T3,A040,T3,71.28,4.280547465724028,Source,-1.6159647
A040_T4,A040,T4,143.53,4.97348709846075,Source,-1.7481036
A041_T1,A041,T1,1.0,0.6931471805599453,Source,1.5926738
A041_T2,A041,T2,31.78,3.4898185733156835,Source,-0.4118361
A041_T3,A041,T3,75.74,4.340423084818807,Source,0.4543916
A041_T4,A041,T4,141.84,4.961725122726247,Source,0.690669
A042_T1,A042,T1,1.0,0.6931471805599453,Source,-0.6321535
A042_T2,A042,T2,28.93,3.3988613218646075,Source,-1.0748817
A042_T3,A042,T3,72.17,4.292785500895938,Source,-1.1776452
A042_T4,A042,T4,146.02,4.9905686319459415,Source,-1.1313311
A043_T1,A043,T1,1.0,0.6931471805599453,Source,0.9314749
A043_T2,A043,T2,25.62,3.2816628129669656,Source,1.7443565
A043_T3,A043,T3,64.94,4.188745237643585,Source,1.1612022
A043_T4,A043,T4,149.33,5.012832877639743,Source,0.20009018
A044_T1,A044,T1,1.0,0.6931471805599453,Source,-1.23271
A044_T2,A044,T2,47.66,3.8848573373553763,Source,-0.5426331
A044_T3,A044,T3,91.63,4.5286130632659365,Source,-1.8462261
A044_T4,A044,T4,155.27,5.0515852804252095,Source,-1.4590483
A045_T1,A045,T1,1.0,0.6931471805599453,Source,-0.48771042
A045_T2,A045,T2,24.66,3.2449333591874905,Source,-0.75291854
A045_T3,A045,T3,72.23,4.2936051730729785,Source,-0.33701846
A045_T4,A045,T4,151.52,5.027295734989363,Source,-0.71758026
A046_T1,A046,T1,1.0,0.6931471805599453,Source,0.053599805
A046_T2,A046,T2,24.32,3.2315945972759756,Source,-0.29500353
A046_T3,A046,T3,73.05,4.304740540713808,Source,-0.37216565
A046_T4,A046,T4,147.94,5.003543540282499,Source,-0.63073695
A047_T1,A047,T1,1.0,0.6931471805599453,Source,0.17156133
A047_T2,A047,T2,23.46,3.1970391302590264,Source,0.063802354
A047_T3,A047,T3,76.85,4.354783898280007,Source,-0.05376612
A047_T4,A047,T4,144.22,4.978249833952101,Source,-0.9707118
A048_T1,A048,T1,1.0,0.6931471805599453,Source,0.6145826
A048_T2,A048,T2,23.91,3.215269329274089,Source,0.6180052
A048_T3,A048,T3,81.15,4.408546844483277,Source,-0.16286343
A048_T4,A048,T4,146.3,4.9924713234685845,Source,-0.32606968
A049_T1,A049,T1,1.0,0.6931471805599453,Source,1.6326123
A049_T2,A049,T2,27.12,3.336481066942464,Source,-0.15065402
A049_T3,A049,T3,111.38,4.721885985684052,Source,0.37734783
A049_T4,A049,T4,168.86,5.134974568351863,Source,-0.7039141
A050_T1,A050,T1,1.0,0.6931471805599453,Source,0.4451789
A050_T2,A050,T2,24.73,3.2476576262936527,Source,0.36321643
A050_T3,A050,T3,93.39,4.547435135336853,Source,-2.4990115
A050_T4,A050,T4,148.69,5.008566488927144,Source,-2.7438962
A051_T1,A051,T1,1.0,0.6931471805599453,Source,1.0015105
A051_T2,A051,T2,17.16,2.8992213731731473,Source,1.0506754
A051_T3,A051,T3,65.63,4.199154926574446,Source,-0.3211199
A051_T4,A051,T4,146.99,4.997144703913756,Source,-0.10859255
A052_T1,A052,T1,1.0,0.6931471805599453,Source,0.7047565
A052_T2,A052,T2,31.76,3.4892082589848687,Source,0.102837585
A052_T3,A052,T3,80.98,4.406475315076191,Source,-0.0015698769
A052_T4,A052,T4,153.27,5.038704314023848,Source,-0.45169076
A053_T1,A053,T1,1.0,0.6931471805599453,Source,0.84855944
A053_T2,A053,T2,32.71,3.5177945292459696,Source,-0.7995727
A053_T3,A053,T3,78.28,4.372985890021733,Source,-0.7742192
A053_T4,A053,T4,148.9,5.009968405108552,Source,-0.66131234
A054_T1,A054,T1,1.0,0.6931471805599453,Source,1.8154135
A054_T2,A054,T2,16.9,2.884800712846709,Source,1.1800704
A054_T3,A054,T3,72.83,4.3017651530710745,Source,1.6393541
A054_T4,A054,T4,136.83,4.926021041706347,Source,1.33212
A055_T1,A055,T1,1.0,0.6931471805599453,Source,0.574144
A055_T2,A055,T2,23.24,3.1880041612011136,Source,-0.16950391
A055_T3,A055,T3,74.48,4.32386772050035,Source,-0.89608663
A055_T4,A055,T4,149.21,5.012034315009963,Source,-1.7656777
A056_T1,A056,T1,1.0,0.6931471805599453,Source,0.45213616
A056_T2,A056,T2,33.61,3.544142657647253,Source,-0.6433356
A056_T3,A056,T3,71.46,4.283034685466931,Source,-0.5442299
A056_T4,A056,T4,147.84,5.002871903478422,Source,-0.9695138
A057_T1,A057,T1,1.0,0.6931471805599453,Source,0.6876959
A057_T2,A057,T2,24.78,3.2495989975110415,Source,-0.57829076
A057_T3,A057,T3,73.83,4.315218874092267,Source,-1.252599
A057_T4,A057,T4,145.06,4.984017496191964,Source,-2.564727
A058_T1,A058,T1,1.0,0.6931471805599453,Source,0.6814561
A058_T2,A058,T2,22.96,3.1763857732472487,Source,-1.621224
A058_T3,A058,T3,66.28,4.208863015664693,Source,-0.60718966
A058_T4,A058,T4,143.48,4.973141089668675,Source,-1.5838706
A059_T1,A059,T1,1.0,0.6931471805599453,Source,0.23920143
A059_T2,A059,T2,30.4,3.4468078929142076,Source,-0.053322088
A059_T3,A059,T3,79.78,4.391729410135267,Source,-0.57601714
A059_T4,A059,T4,151.93,5.029980300360032,Source,0.21686792
A060_T1,A060,T1,1.0,0.6931471805599453,Source,0.24117829
A060_T2,A060,T2,24.87,3.2530839961979376,Source,0.6847152
A060_T3,A060,T3,94.68,4.561009290202322,Source,0.4573826
A060_T4,A060,T4,143.91,4.976112860057833,Source,0.68922484
A061_T1,A061,T1,1.0,0.6931471805599453,Source,0.4348759
A061_T2,A061,T2,35.16,3.5879535355239756,Source,1.2298143
A061_T3,A061,T3,82.55,4.425445255041403,Source,0.32175243
A061_T4,A061,T4,146.56,4.994234872728475,Source,0.582617
A062_T1,A062,T1,1.0,0.6931471805599453,Source,1.2001371
A062_T2,A062,T2,44.69,3.8218794555751803,Source,0.000834527
A062_T3,A062,T3,92.72,4.540311613639595,Source,-0.6940866
A062_T4,A062,T4,149.18,5.011834574671738,Source,-0.8138189
A063_T1,A063,T1,1.0,0.6931471805599453,Source,-0.13293676
A063_T2,A063,T2,21.98,3.1346242724206097,Source,-0.29875752
A063_T3,A063,T3,69.99,4.262539022051294,Source,-0.94496095
A063_T4,A063,T4,141.09,4.956460659649984,Source,-1.0068147
A064_T1,A064,T1,1.0,0.6931471805599453,Source,0.9493055
A064_T2,A064,T2,37.65,3.654546775033431,Source,-0.0040088473
A064_T3,A064,T3,82.99,4.430697744137536,Source,-0.39947373
A064_T4,A064,T4,156.21,5.057582491203423,Source,-1.0393686
A065_T1,A065,T1,1.0,0.6931471805599453,Source,-0.3550946
A065_T2,A065,T2,32.31,3.5058576522055884,Source,-1.0237894
A065_T3,A065,T3,106.41,4.676653287609955,Source,-1.6289951
A065_T4,A065,T4,187.43,5.238726585134399,Source,-1.3768224
A066_T1,A066,T1,1.0,0.6931471805599453,Source,-0.2739165
A066_T2,A066,T2,23.35,3.192531849528599,Source,-0.14154133
A066_T3,A066,T3,73.79,4.314684186203576,Source,-0.41517866
A066_T4,A066,T4,164.93,5.111566012674697,Source,-0.7867853
A067_T1,A067,T1,1.0,0.6931471805599453,Source,-0.029404351
A067_T2,A067,T2,29.91,3.431079756144025,Source,-1.3702686
A067_T3,A067,T3,73.19,4.306629370201435,Source,-1.6940686
A067_T4,A067,T4,144.19,4.978043229495596,Source,-2.9207146
A068_T1,A068,T1,1.0,0.6931471805599453,Source,1.6339319
A068_T2,A068,T2,30.49,3.4496700351129332,Source,1.4582552
A068_T3,A068,T3,82.98,4.430578675256047,Source,1.0063742
A068_T4,A068,T4,155.59,5.053630924557352,Source,0.3517989
A069_T1,A069,T1,1.0,0.6931471805599453,Source,-0.28594458
A069_T2,A069,T2,24.96,3.2565568918358894,Source,-1.5041404
A069_T3,A069,T3,79.75,4.391357962102766,Source,-1.8122358
A069_T4,A069,T4,140.22,4.950318958088201,Source,-2.0647402
A070_T1,A070,T1,1.0,0.6931471805599453,Source,0.4542324
A070_T2,A070,T2,24.25,3.228826155721369,Source,-0.31655166
A070_T3,A070,T3,81.92,4.417876287567579,Source,-1.4130342
A070_T4,A070,T4,149.2,5.011967739330034,Source,-2.1247447
A071_T1,A071,T1,1.0,0.6931471805599453,Source,1.3271756
A071_T2,A071,T2,30.92,3.463232772581608,Source,0.4215033
A071_T3,A071,T3,79.96,4.3939552055391555,Source,-0.16301413
A071_T4,A071,T4,153.27,5.038704314023848,Source,-0.056916684
A072_T1,A072,T1,1.0,0.6931471805599453,Source,1.5426162
A072_T2,A072,T2,33.76,3.548467300397191,Source,1.1772798
A072_T3,A072,T3,83.54,4.437224795138644,Source,0.17890772
A072_T4,A072,T4,154.89,5.04915063032459,Source,-0.305306
A073_T1,A073,T1,1.0,0.6931471805599453,Source,0.12170813
A073_T2,A073,T2,66.66,4.214495163352562,Source,0.0028061175
A073_T3,A073,T3,66.9,4.21803603456465,Source,0.30203983
A073_T4,A073,T4,140.12,4.949610592258481,Source,0.17517796
A074_T1,A074,T1,1.0,0.6931471805599453,Source,0.98870414
A074_T2,A074,T2,29.33,3.41213732170049,Source,-0.1324366
A074_T3,A074,T3,73.02,4.30433532695801,Source,-1.453707
A074_T4,A074,T4,147.21,4.998630186968824,Source,-0.94918096
A075_T1,A075,T1,1.0,0.6931471805599453,Source,0.25979865
A075_T2,A075,T2,28.68,3.39047341829918,Source,-0.0069382037
A075_T3,A075,T3,71.37,4.281791848878036,Source,-2.638019
A075_T4,A075,T4,244.53,5.5034191393614815,Source,-0.93872964
A076_T1,A076,T1,1.0,0.6931471805599453,Source,-0.43817917
A076_T2,A076,T2,27.3,3.342861804649192,Source,-1.2469751
A076_T3,A076,T3,74.88,4.3291531450668135,Source,-0.7288916
A076_T4,A076,T4,149.28,5.0125002207057685,Source,-1.7479918
A077_T1,A077,T1,1.0,0.6931471805599453,Source,1.0310454
A077_T2,A077,T2,53.88,4.00514898341763,Source,-0.91682047
A077_T3,A077,T3,78.36,4.373994462976618,Source,-0.40170488
A077_T4,A077,T4,149.75,5.015622835607295,Source,-0.10747531
A078_T1,A078,T1,1.0,0.6931471805599453,Source,-0.556103
A078_T2,A078,T2,26.17,3.3021134234382563,Source,-0.4581931
A078_T3,A078,T3,72.3,4.294560608892605,Source,-1.1432558
A078_T4,A078,T4,140.08,4.949327105367852,Source,-1.5582061
A079_T1,A079,T1,1.0,0.6931471805599453,Source,-0.14457574
A079_T2,A079,T2,26.11,3.299902663510574,Source,0.4830254
A079_T3,A079,T3,74.0,4.31748811353631,Source,-0.5857522
A079_T4,A079,T4,194.42,5.275151088516197,Source,-0.75935036
A080_T1,A080,T1,1.0,0.6931471805599453,Source,1.0064683
A080_T2,A080,T2,29.03,3.402196881995239,Source,0.3322674
A080_T3,A080,T3,72.87,4.302306791540646,Source,0.0773038
A080_T4,A080,T4,145.77,4.988866735623107,Source,-0.53412056
A081_T1,A081,T1,1.0,0.6931471805599453,Source,0.7992755
A081_T2,A081,T2,31.39,3.477849733183238,Source,0.55668974
A081_T3,A081,T3,80.13,4.396052806406973,Source,0.5462277
A081_T4,A081,T4,154.53,5.046838639056468,Source,0.05126938
A082_T1,A082,T1,1.0,0.6931471805599453,Source,0.7752854
A082_T2,A082,T2,27.97,3.366260811781259,Source,0.18110365
A082_T3,A082,T3,75.71,4.3400320779712045,Source,0.015849508
A082_T4,A082,T4,170.25,5.143124477142335,Source,-0.8982514
A083_T1,A083,T1,1.0,0.6931471805599453,Source,0.7796732
A083_T2,A083,T2,25.15,3.263849190510932,Source,0.3514038
A083_T3,A083,T3,74.3,4.321480134805848,Source,0.4812683
A083_T4,A083,T4,144.91,4.982989993275931,Source,-0.15915819
A084_T1,A084,T1,1.0,0.6931471805599453,Source,-0.22959355
A084_T2,A084,T2,27.25,3.34109345759245,Source,-0.83394134
A084_T3,A084,T3,91.97,4.532276860467767,Source,-0.64221627
A084_T4,A084,T4,162.51,5.096874150546495,Source,-0.7588525
A085_T1,A085,T1,1.0,0.6931471805599453,Source,0.40074217
A085_T2,A085,T2,24.51,3.23907053215372,Source,1.4959512
A085_T3,A085,T3,71.4,4.282206299391671,Source,0.5722143
A085_T4,A085,T4,170.65,5.145457519903701,Source,-0.46485198
A086_T1,A086,T1,1.0,0.6931471805599453,Source,1.0552716
A086_T2,A086,T2,23.47,3.19744787745458,Source,1.2843833
A086_T3,A086,T3,145.29,4.985590952989995,Source,-0.3276325
A086_T4,A086,T4,169.55,5.139028508864655,Source,-0.22770405
A087_T1,A087,T1,1.0,0.6931471805599453,Source,1.1185037
A087_T2,A087,T2,31.07,3.4679210137050633,Source,0.30655718
A087_T3,A087,T3,72.8,4.301358731606427,Source,0.045922436
A087_T4,A087,T4,144.2,4.978112102390695,Source,0.8747149
A088_T1,A088,T1,1.0,0.6931471805599453,Source,0.74752676
A088_T2,A088,T2,24.25,3.228826155721369,Source,0.92337906
A088_T3,A088,T3,74.91,4.3295484280286765,Source,0.50201994
A088_T4,A088,T4,149.93,5.016816153171337,Source,0.6327073
A089_T1,A089,T1,1.0,0.6931471805599453,Source,0.9935411
A089_T2,A089,T2,32.14,3.500741011998417,Source,1.1007651
A089_T3,A089,T3,79.34,4.386267628931136,Source,0.6056416
A089_T4,A089,T4,146.96,4.996941966964253,Source,0.29004514
A090_T1,A090,T1,1.0,0.6931471805599453,Source,-0.633604
A090_T2,A090,T2,23.54,3.2003044392827653,Source,-0.73193383
A090_T3,A090,T3,95.42,4.568713648977476,Source,-1.3815377
A090_T4,A090,T4,144.07,4.977216384550811,Source,-1.018114
A091_T1,A091,T1,1.0,0.6931471805599453,Source,0.64954895
A091_T2,A091,T2,22.2,3.1441522786722644,Source,0.17978463
A091_T3,A091,T3,73.64,4.312676556539088,Source,-0.23546329
A091_T4,A091,T4,142.61,4.9671012920725275,Source,0.09006388
A092_T1,A092,T1,1.0,0.6931471805599453,Source,0.8744924
A092_T2,A092,T2,22.83,3.170945291110651,Source,0.5934438
A092_T3,A092,T3,71.31,4.28096243218686,Source,-0.27968797
A092_T4,A092,T4,146.16,4.991520430236574,Source,-0.37245795
A093_T1,A093,T1,1.0,0.6931471805599453,Source,1.0293971
A093_T2,A093,T2,22.09,3.139399623366404,Source,0.014159476
A093_T3,A093,T3,70.22,4.265773677849632,Source,0.22156478
A093_T4,A093,T4,140.95,4.95547488291898,Source,-0.25663528
A094_T1,A094,T1,1.0,0.6931471805599453,Source,-0.73057723
A094_T2,A094,T2,22.98,3.177220149599368,Source,-0.5334831
A094_T3,A094,T3,76.21,4.3465289823207245,Source,-1.4642935
A094_T4,A094,T4,149.99,5.017213609456379,Source,-1.7716364
A095_T1,A095,T1,1.0,0.6931471805599453,Source,1.0152643
A095_T2,A095,T2,29.71,3.424588334452731,Source,-0.11268075
A095_T3,A095,T3,78.76,4.379022125653583,Source,0.17239684
A095_T4,A095,T4,148.79,5.009234313180627,Source,-0.6100116
A096_T1,A096,T1,1.0,0.6931471805599453,Source,0.79400086
A096_T2,A096,T2,24.49,3.238286218388024,Source,0.20638698
A096_T3,A096,T3,71.19,4.279301532151069,Source,0.28218946
A096_T4,A096,T4,143.66,4.974386161421135,Source,0.32424247
A097_T1,A097,T1,1.0,0.6931471805599453,Source,-1.0605619
A097_T2,A097,T2,24.37,3.2335673736111907,Source,-0.7669435
A097_T3,A097,T3,70.83,4.27430221608671,Source,-0.699544
A097_T4,A097,T4,144.85,4.98257869631373,Source,-1.3974788
A098_T1,A098,T1,1.0,0.6931471805599453,Source,1.3407856
A098_T2,A098,T2,25.77,3.2872818575322613,Source,0.62343097
A098_T3,A098,T3,78.84,4.380024632003209,Source,1.1661277
A098_T4,A098,T4,146.29,4.992403432501452,Source,0.16097778
A099_T1,A099,T1,1.0,0.6931471805599453,Source,0.5927854
A099_T2,A099,T2,28.75,3.392829131991639,Source,1.0398009
A099_T3,A099,T3,78.57,4.3766371373894435,Source,0.74911016
A099_T4,A099,T4,143.51,4.973348709310239,Source,1.6322693
A100_T1,A100,T1,1.0,0.6931471805599453,Source,0.5608072
A100_T2,A100,T2,31.14,3.4701013603093664,Source,1.8011457
A100_T3,A100,T3,75.34,4.3351970473170836,Source,0.1713867
A100_T4,A100,T4,146.8,4.995860008514102,Source,-0.22593541
A101_T1,A101,T1,1.0,0.6931471805599453,Source,-0.38814855
A101_T2,A101,T2,29.12,3.405189402931693,Source,-0.99591917
A101_T3,A101,T3,75.21,4.333492687678026,Source,-1.3390596
A101_T4,A101,T4,150.22,5.018735730130124,Source,-1.4068499
A102_T1,A102,T1,1.0,0.6931471805599453,Source,0.345186
A102_T2,A102,T2,29.13,3.40552135314221,Source,0.4709829
A102_T3,A102,T3,75.27,4.3342796761761475,Source,-0.39899844
A102_T4,A102,T4,150.41,5.019991389020281,Source,0.034385204
A103_T1,A103,T1,1.0,0.6931471805599453,Source,-1.7241926
A103_T2,A103,T2,27.26,3.3414473772563813,Source,-1.941286
A103_T3,A103,T3,80.24,4.397407736712184,Source,-1.8993843
A103_T4,A103,T4,149.72,5.015423810828053,Source,-1.8351121
A104_T1,A104,T1,1.0,0.6931471805599453,Source,1.2953384
A104_T2,A104,T2,22.6,3.1612467120315646,Source,1.1869268
A104_T3,A104,T3,72.62,4.298916727950875,Source,-0.51822704
A104_T4,A104,T4,145.78,4.9889348671169165,Source,-2.50402
A105_T1,A105,T1,1.0,0.6931471805599453,Source,1.3025925
A105_T2,A105,T2,22.77,3.1684242813721024,Source,1.3931705
A105_T3,A105,T3,69.46,4.255045172913092,Source,0.10203641
A105_T4,A105,T4,146.2,4.991792206294776,Source,0.23215944
A106_T1,A106,T1,1.0,0.6931471805599453,Source,0.4562772
A106_T2,A106,T2,22.64,3.1629401925378975,Source,-0.44126767
A106_T3,A106,T3,66.08,4.205885936955008,Source,0.18073212
A106_T4,A106,T4,147.13,4.998090266593961,Source,-0.34956992
A107_T1,A107,T1,1.0,0.6931471805599453,Source,-2.0859585
A107_T2,A107,T2,26.22,3.30395199722332,Source,-0.9956245
A107_T3,A107,T3,71.45,4.282896668766692,Source,-0.73969984
A107_T4,A107,T4,145.95,4.990092392864926,Source,-1.5657803
A108_T1,A108,T1,1.0,0.6931471805599453,Source,-1.0648606
A108_T2,A108,T2,27.61,3.3537563070620187,Source,-1.6578233
A108_T3,A108,T3,68.96,4.247923650150401,Source,-0.83507514
A108_T4,A108,T4,152.12,5.031221927704644,Source,-0.88340235
A109_T1,A109,T1,1.0,0.6931471805599453,Source,-0.056996834
A109_T2,A109,T2,24.65,3.2445435716167785,Source,-0.23156387
A109_T3,A109,T3,71.17,4.279024447084182,Source,0.32749358
A109_T4,A109,T4,149.87,5.016418538851983,Source,0.25729924
A010_T1,A010,T1,1.0,0.6931471805599453,Destination,0.5609358
A010_T2,A010,T2,21.9,3.131136910560194,Destination,0.5119907
A010_T3,A010,T3,80.88,4.405254760793088,Destination,-0.33427307
A010_T4,A010,T4,145.31,4.985727658390071,Destination,-0.6992717
A011_T1,A011,T1,1.0,0.6931471805599453,Destination,1.5244261
A011_T2,A011,T2,24.57,3.2414197893030954,Destination,0.7351063
A011_T3,A011,T3,72.55,4.297965447047447,Destination,0.77250564
A011_T4,A011,T4,148.85,5.009634793762673,Destination,-0.04556107
A012_T1,A012,T1,1.0,0.6931471805599453,Destination,1.1086988
A012_T2,A012,T2,25.6,3.2809112157876537,Destination,-0.038475133
A012_T3,A012,T3,166.33,5.119967910506483,Destination,-0.3311227
