model_name,AIC,BIC,log_likelihood,n_params,converged,delta_AIC,akaike_weight,cumulative_weight
PowerLaw+Recip+Log,876.0639018060947,907.9956181829585,-430.03195090304735,7.0,True,4.771682104930278,0.005240885159003009,0.9612490512946819
SquareRoot,876.2267522082811,900.175539490929,-432.11337610414057,5.0,True,4.934532507116728,0.004831056623880654,0.9660801079185625
Exp_slow,876.2267522082811,900.175539490929,-432.11337610414057,5.0,True,4.934532507116728,0.004831056623880654,0.9709111645424431
PowerLaw_10,876.4376835164753,900.3864707991232,-432.21884175823766,5.0,False,5.1454638153109045,0.004347493848744991,0.9752586583911881
Reciprocal,876.4376835164753,900.3864707991232,-432.21884175823766,5.0,False,5.1454638153109045,0.004347493848744991,0.9796061522399331
Quad+Log+SquareRoot,876.4956926136206,912.4188735375924,-429.2478463068103,8.0,False,5.203472912456164,0.004223207894226647,0.9838293601341598
Quartic,876.6783961567617,912.6015770807335,-429.33919807838083,8.0,True,5.386176455597251,0.0038545074595832075,0.9876838675937429
Log+SquareRoot,876.9615743669247,904.9018261966805,-431.4807871834623,6.0,True,5.669354665760238,0.003345627023971101,0.9910294946177141
SquareRoot+Log,876.9615743677109,904.9018261974668,-431.48078718385545,6.0,False,5.6693546665464964,0.0033456270226558376,0.9943751216403699
Cubic,877.5186028676426,909.4503192445064,-430.7593014338213,7.0,False,6.226383166478172,0.0025323301246510553,0.9969074517650209
Quadratic,877.8696421788163,905.8098940085722,-431.93482108940816,6.0,True,6.577422477651908,0.0021246779143694336,0.9990321296793904
Ultimate,879.7933043684702,923.699414386658,-428.8966521842351,10.0,True,8.501084667305804,0.0008120357817092724,0.9998441654610997
Root_067,883.0980156595006,907.0468029421485,-435.5490078297503,5.0,False,11.805795958336148,0.0001555844638162593,0.9999997499249159
Recip_sq,896.3588966421412,920.3076839247891,-442.1794483210706,5.0,True,25.066676940976777,2.0530641027579316e-07,0.9999999552313262
Cos,901.0984977738094,925.0472850564573,-444.5492488869047,5.0,True,29.806278072645,1.9196020302693886e-08,0.9999999744273466
Sin+Cos,901.4594353100729,929.3996871398288,-443.72971765503644,6.0,True,30.167215608908464,1.6026349533438185e-08,0.9999999904536961
Exponential_proxy,903.8818901684604,927.8306774511083,-445.9409450842302,5.0,False,32.589670467295946,4.773151527488065e-09,0.9999999952268477
Linear,903.8818901684604,927.8306774511083,-445.9409450842302,5.0,False,32.589670467295946,4.773151527488065e-09,0.9999999999999992
Arctanh,935.6116788947211,959.560466177369,-461.80583944736054,5.0,True,64.31945919355667,6.14849952361349e-16,0.9999999999999999
Exp_fast,950.8185588139249,974.7673460965729,-469.40927940696247,5.0,True,79.52633911276052,3.066458741889402e-19,0.9999999999999999
Quadratic_pure,950.8185588139249,974.7673460965729,-469.40927940696247,5.0,True,79.52633911276052,3.066458741889402e-19,0.9999999999999999
Cubic_pure,980.1339403894285,1004.0827276720764,-484.06697019471426,5.0,True,108.8417206882641,1.3209394153131624e-25,0.9999999999999999
Tanh,1004.2659915994773,1028.214778882125,-496.13299579973864,5.0,False,132.97377189831286,7.597567381569168e-31,0.9999999999999999
Sin,1012.2373402326612,1036.186127515309,-500.1186701163306,5.0,True,140.94512053149674,1.411621284640696e-32,0.9999999999999999
Sinh,1027.2530508556129,1051.2018381382607,-507.6265254278064,5.0,False,155.96083115444844,7.746366940527533e-36,0.9999999999999999
