composite_ID,paradigm,theta_accuracy,theta_confidence,UID,test,TSVR_hours,z_accuracy,z_confidence,calibration
A017_T3,free_recall,0.22324428,0.35307437,A017,T3,72.0,0.20130402352275842,1.8793110632358134,1.678007039713055
A017_T4,free_recall,1.0260882,-0.029758565,A017,T4,144.0,1.0950553168966277,1.2329932316186143,0.13793791472198658
A018_T1,free_recall,0.8998065,-0.29802382,A018,T1,0.0,0.9544745266672504,0.7800943243972829,-0.17438020226996753
A018_T2,free_recall,0.46910602,-0.45788598,A018,T2,24.0,0.47500510369803084,0.5102069788666749,0.03520187516864404
A018_T3,free_recall,-0.8570981,-0.9335735,A018,T3,72.0,-1.0013673492785755,-0.2928726371902954,0.7084947120882801
A018_T4,free_recall,0.042763263,-0.9365713,A018,T4,144.0,0.0003868360659719419,-0.297933674051249,-0.29832051011722094
A019_T1,free_recall,-0.457872,-2.0756469,A019,T1,0.0,-0.5569362035290931,-2.2209784398837926,-1.6640422363546996
A019_T2,free_recall,-0.7839532,-2.373974,A019,T2,24.0,-0.9199401286816974,-2.7246292670641847,-1.8046891383824875
A019_T3,free_recall,-0.731604,-2.2976873,A019,T3,72.0,-0.8616633403277576,-2.595838220062882,-1.7341748797351242
A019_T4,free_recall,-0.75950915,-2.2863612,A019,T4,144.0,-0.8927282376047923,-2.57671692791836,-1.683988690313568
A020_T1,free_recall,0.072841056,-0.378014,A020,T1,0.0,0.033870388380326535,0.6450508760370485,0.611180487656722
A020_T2,free_recall,-0.20886408,-0.5136545,A020,T2,24.0,-0.27973269607731227,0.41605575616975515,0.6957884522470674
A020_T3,free_recall,-0.7968719,-1.018064,A020,T3,72.0,-0.934321634907352,-0.43551375230818107,0.4988078825991709
A020_T4,free_recall,-2.0479772,-1.5175667,A020,T4,144.0,-2.3270917016245574,-1.2787993540313878,1.0482923475931696
A021_T1,free_recall,1.2711351,-0.3466501,A021,T1,0.0,1.3678492913621219,0.6980009907889537,-0.6698483005731681
A021_T2,free_recall,0.36641207,-0.40947,A021,T2,24.0,0.36068294424993846,0.5919452734290842,0.23126232917914574
A021_T3,free_recall,0.2283193,-0.29831088,A021,T3,72.0,0.2069536966110198,0.7796096952554771,0.5726559986444573
A021_T4,free_recall,1.0181938,-0.20864159,A021,T4,144.0,1.0862670206479488,0.9309939043373154,-0.15527311631063334
A022_T1,free_recall,0.16907588,-1.2396909,A022,T1,0.0,0.14100204407948994,-0.809675440972825,-0.9506774850523149
A022_T2,free_recall,0.4875518,-1.40694,A022,T2,24.0,0.4955395305294501,-1.092033790449544,-1.5875733209789942
A022_T3,free_recall,0.77547616,-0.74001235,A022,T3,72.0,0.816066052227271,0.03390703957218439,-0.7821590126550866
A022_T4,free_recall,0.44959623,-1.968053,A022,T4,144.0,0.4532861872167893,-2.039333001924705,-2.4926191891414944
A023_T1,free_recall,0.5031585,-0.49672464,A023,T1,0.0,0.512913403536171,0.44463759802404274,-0.06827580551212825
A023_T2,free_recall,-0.1653372,-0.62490255,A023,T2,24.0,-0.23127719392126522,0.22824119824087236,0.4595183921621376
A023_T3,free_recall,0.068792194,-0.663698,A023,T3,72.0,0.029363066895980845,0.16274476669531185,0.133381699799331
A023_T4,free_recall,0.025527501,-0.34702584,A023,T4,144.0,-0.018800560383121414,0.6973666476072423,0.7161672079903637
A024_T1,free_recall,0.4014854,-0.3857919,A024,T1,0.0,0.3997276866581871,0.631919833739093,0.2321921470809059
A024_T2,free_recall,0.27175164,-0.48210856,A024,T2,24.0,0.25530395384315235,0.46931320001305005,0.2140092461698977
A024_T3,free_recall,0.0076772394,-0.4839036,A024,T3,72.0,-0.038672037260049016,0.46628272312770547,0.5049547603877544
A024_T4,free_recall,-0.91121835,-0.9060695,A024,T4,144.0,-1.061615726616,-0.2464389999150713,0.8151767267009287
A025_T1,free_recall,1.2585467,-0.21331964,A025,T1,0.0,1.3538354855634709,0.923096184847228,-0.4307393007162429
A025_T2,free_recall,1.9095496,-0.34082785,A025,T2,24.0,2.0785525437248378,0.7078304063149017,-1.370722137409936
A025_T3,free_recall,-0.28530517,-0.79121,A025,T3,72.0,-0.3648293398364234,-0.05252741030579251,0.3123019295306309
A025_T4,free_recall,-0.96083295,-1.3909258,A025,T4,144.0,-1.1168482715921482,-1.0649978118990462,0.05185045969310198
A026_T1,free_recall,0.5969401,-0.49681032,A026,T1,0.0,0.6173140525373751,0.44449294873514866,-0.17282110380222648
A026_T2,free_recall,0.3370544,-0.49528146,A026,T2,24.0,0.3280010556794387,0.44707404714572896,0.11907299146629025
A026_T3,free_recall,0.7356694,-0.5871357,A026,T3,72.0,0.771751905543538,0.29200109548955594,-0.47975081005398207
A026_T4,free_recall,-0.094755605,-0.35571375,A026,T4,144.0,-0.15270352567994552,0.6826992806199025,0.835402806299848
A027_T1,free_recall,0.16043636,-0.31150258,A027,T1,0.0,0.13138425663441666,0.757338803281816,0.6259545466473994
A027_T2,free_recall,0.46374553,-0.54816264,A027,T2,24.0,0.4690376363594009,0.3577973771775121,-0.11124025918188879
A027_T3,free_recall,-0.9193564,-0.89747775,A027,T3,72.0,-1.0706752617657975,-0.23193397508015975,0.8387412866856377
A027_T4,free_recall,-0.42966694,-1.3732976,A027,T4,144.0,-0.5255374369360951,-1.035236997304256,-0.5096995603681608
A028_T1,free_recall,1.7501152,0.23003227,A028,T1,0.0,1.901065117266795,1.6715851964171018,-0.22947992084969315
A028_T2,free_recall,0.095417134,-0.27348408,A028,T2,24.0,0.05900279383194826,0.8215235487278642,0.7625207548959159
A028_T3,free_recall,0.1234633,-0.5850953,A028,T3,72.0,0.09022467458889319,0.2954458014776438,0.20522112688875063
A028_T4,free_recall,-0.8479047,-0.89578515,A028,T4,144.0,-0.9911329650653857,-0.22907644255936127,0.7620565225060245
A029_T1,free_recall,2.242445,0.2032756,A029,T1,0.0,2.449142252255248,1.626413239266401,-0.8227290129888469
A029_T2,free_recall,0.29875055,-0.23989162,A029,T2,24.0,0.28535999603399903,0.8782360306513107,0.5928760346173116
A029_T3,free_recall,1.3977594,-0.35276702,A029,T3,72.0,1.5088114747682824,0.6876740985361336,-0.8211373762321488
A029_T4,free_recall,0.5618795,-0.25487813,A029,T4,144.0,0.5782834815685325,0.8529350500898828,0.2746515685213503
A030_T1,free_recall,0.12693016,-0.71084976,A030,T1,0.0,0.09408409300355357,0.08314079197423781,-0.01094330102931576
A030_T2,free_recall,0.890774,-0.24096577,A030,T2,24.0,0.9444192614328828,0.8764225965515732,-0.06799666488130962
A030_T3,free_recall,0.30001456,-0.59410924,A030,T3,72.0,0.2867671320216982,0.2802280142328564,-0.006539117788841753
A030_T4,free_recall,0.70453537,-0.37904358,A030,T4,144.0,0.7370925167292828,0.6433126872548414,-0.09377982947444141
A031_T1,free_recall,1.83632,0.21379074,A031,T1,0.0,1.997031032403869,1.644165427917441,-0.352865604486428
A031_T2,free_recall,-0.20975925,-0.3242269,A031,T2,24.0,-0.28072922768869873,0.7358569657507704,1.016586193439469
A031_T3,free_recall,-0.34666744,-0.76721454,A031,T3,72.0,-0.4331397633330061,-0.012017066868759807,0.42112269646424627
A031_T4,free_recall,-0.9627389,-1.2054753,A031,T4,144.0,-1.1189700355305312,-0.7519109427342356,0.36705909279629556
A032_T1,free_recall,0.71397096,-0.2334175,A032,T1,0.0,0.7475965145253246,0.8891659659245901,0.14156945139926547
A032_T2,free_recall,-0.325758,-0.4512196,A032,T2,24.0,-0.40986271211771724,0.5214614971497904,0.9313242092675076
A032_T3,free_recall,0.41406077,-0.45501208,A032,T3,72.0,0.4137269870479254,0.5150588415108455,0.10133185446292009
