composite_ID,paradigm,theta_accuracy,theta_confidence,UID,test,TSVR_hours
A048_T2,free_recall,-0.24025916,-0.58757037,A048,T2,24.0
A048_T3,free_recall,0.37180644,-0.54447675,A048,T3,72.0
A048_T4,free_recall,0.32747135,-0.54475516,A048,T4,144.0
A049_T1,free_recall,1.9369724,0.042168345,A049,T1,0.0
A049_T2,free_recall,-0.40477413,-0.5844998,A049,T2,24.0
A049_T3,free_recall,0.5799155,-0.5180559,A049,T3,72.0
A049_T4,free_recall,0.29279515,-0.5881099,A049,T4,144.0
A050_T1,free_recall,0.10375316,-0.45585206,A050,T1,0.0
A050_T2,free_recall,-0.20866837,-0.41204536,A050,T2,24.0
A050_T3,free_recall,-0.78698945,-1.0213366,A050,T3,72.0
A050_T4,free_recall,-0.7662721,-1.2465863,A050,T4,144.0
A051_T1,free_recall,1.1308651,-0.16446207,A051,T1,0.0
A051_T2,free_recall,-0.1484353,-0.26510713,A051,T2,24.0
A051_T3,free_recall,-0.51630783,-0.6704625,A051,T3,72.0
A051_T4,free_recall,-0.24947512,-0.9372713,A051,T4,144.0
A052_T1,free_recall,0.8560208,-0.54505354,A052,T1,0.0
A052_T2,free_recall,0.514484,-0.35872635,A052,T2,24.0
A052_T3,free_recall,0.336497,-0.7488621,A052,T3,72.0
A052_T4,free_recall,-0.45561698,-0.50986373,A052,T4,144.0
A053_T1,free_recall,1.4144037,-0.407479,A053,T1,0.0
A053_T2,free_recall,0.28295353,-1.4468019,A053,T2,24.0
A053_T3,free_recall,-0.83496577,-1.4735703,A053,T3,72.0
A053_T4,free_recall,-0.19286156,-1.4498922,A053,T4,144.0
A054_T1,free_recall,0.06454673,0.08053217,A054,T1,0.0
A054_T2,free_recall,0.59928095,-0.45485732,A054,T2,24.0
A054_T3,free_recall,0.76526284,-0.22336246,A054,T3,72.0
A054_T4,free_recall,1.2983474,-0.08711298,A054,T4,144.0
A055_T1,free_recall,-0.3203487,-0.5442102,A055,T1,0.0
A055_T2,free_recall,0.5494155,-1.1166618,A055,T2,24.0
A055_T3,free_recall,-0.9620779,-0.78869855,A055,T3,72.0
A055_T4,free_recall,-0.9730982,-0.8674088,A055,T4,144.0
A056_T1,free_recall,0.8824607,-0.3793793,A056,T1,0.0
A056_T2,free_recall,0.3381003,-0.81827146,A056,T2,24.0
A056_T3,free_recall,-0.26972502,-0.7588861,A056,T3,72.0
A056_T4,free_recall,-1.5637758,-1.1386805,A056,T4,144.0
A057_T1,free_recall,0.009936852,-0.5011889,A057,T1,0.0
A057_T2,free_recall,-0.7343016,-0.5067597,A057,T2,24.0
A057_T3,free_recall,-0.6061695,-0.66122895,A057,T3,72.0
A057_T4,free_recall,-1.3534855,-1.2370822,A057,T4,144.0
A058_T1,free_recall,1.2909634,-0.15271345,A058,T1,0.0
A058_T2,free_recall,-1.1071848,-0.61431795,A058,T2,24.0
A058_T3,free_recall,-0.0076611126,-0.67453474,A058,T3,72.0
A058_T4,free_recall,-0.8837645,-1.2803134,A058,T4,144.0
A059_T1,free_recall,0.98924613,-0.75498015,A059,T1,0.0
A059_T2,free_recall,1.1210508,-0.533682,A059,T2,24.0
A059_T3,free_recall,1.5913445,-0.6213782,A059,T3,72.0
A059_T4,free_recall,0.5147332,-0.39551023,A059,T4,144.0
A060_T1,free_recall,0.089007095,-0.59167314,A060,T1,0.0
A060_T2,free_recall,0.9243096,-0.5356161,A060,T2,24.0
A060_T3,free_recall,-0.42468035,-0.51016915,A060,T3,72.0
A060_T4,free_recall,0.6639469,-0.0043468704,A060,T4,144.0
A061_T1,free_recall,2.6159682,0.38957322,A061,T1,0.0
A061_T2,free_recall,0.83355284,-0.19454269,A061,T2,24.0
