composite_ID,UID,test,theta_observed,theta_ma_fitted,residual_ma,TSVR_hours
A064_3,A064,T3,0.17636402,0.0016877257338377993,0.1746762942661622,82.99
A064_4,A064,T4,-0.33321425,-0.22952844705234787,-0.10368580294765212,156.21
A065_1,A065,T1,-2.2385516,-0.9025002016956999,-1.3360513983043,1.0
A065_2,A065,T2,-0.9801161,-1.4952296526177447,0.5151135526177446,32.31
A065_3,A065,T3,-2.2205753,-1.9271577753092193,-0.29341752469078086,106.41
A065_4,A065,T4,-2.3754525,-2.130540434531344,-0.24491206546865607,187.43
A066_1,A066,T1,0.46571386,0.19150137392184763,0.27421248607815235,1.0
A066_2,A066,T2,-0.45289963,-0.2958701729192489,-0.1570294570807511,23.35
A066_3,A066,T3,-0.92944336,-0.6976263868027476,-0.23181697319725247,73.79
A066_4,A066,T4,-1.2830758,-0.9917190291954466,-0.29135677080455336,164.93
A067_1,A067,T1,0.6627066,-0.02861131593140249,0.6913179159314026,1.0
A067_2,A067,T2,-1.312235,-0.5955080410815686,-0.7167269589184314,29.91
A067_3,A067,T3,-1.4752139,-0.9147118615690552,-0.5605020384309448,73.19
A067_4,A067,T4,-1.1757759,-1.1638935328060425,-0.011882367193957633,144.19
A068_1,A068,T1,1.3038205,0.9724093217094032,0.33141117829059685,1.0
A068_2,A068,T2,0.163223,0.3991274158538314,-0.23590441585383137,30.49
A068_3,A068,T3,0.4192529,0.039736587403825005,0.37951631259617497,82.98
A068_4,A068,T4,-0.3906647,-0.1901072406352201,-0.20055745936477987,155.59
A069_1,A069,T1,-0.7867887,-0.3270741491854539,-0.4597145508145461,1.0
A069_2,A069,T2,-1.5067587,-0.8353256873951864,-0.6714330126048136,24.96
A069_3,A069,T3,-0.71302193,-1.245016112355493,0.531994182355493,79.75
A069_4,A069,T4,-1.7110198,-1.4523093422120796,-0.25871045778792046,140.22
A070_1,A070,T1,0.5967721,0.4731076800258166,0.12366441997418343,1.0
A070_2,A070,T2,0.042192243,-0.02605613854223547,0.06824838154223548,24.25
A070_3,A070,T3,-0.4347659,-0.45479527356201516,0.020029373562015174,81.92
A070_4,A070,T4,-1.0469787,-0.6744270254703195,-0.3725516745296804,149.2
A071_1,A071,T1,1.1001538,0.823571581330305,0.276582218669695,1.0
A071_2,A071,T2,0.40058818,0.24561561252516925,0.15497256747483076,30.92
A071_3,A071,T3,-0.86193055,-0.0953461438574583,-0.7665844061425416,79.96
A071_4,A071,T4,0.1462163,-0.33358602554295785,0.4798023255429579,153.27
A072_1,A072,T1,0.9622242,0.736558510867863,0.22566568913213703,1.0
A072_2,A072,T2,0.37431285,0.12893830403129683,0.24537454596870314,33.76
A072_3,A072,T3,-0.88631296,-0.19860937988278815,-0.6877035801172119,83.54
A072_4,A072,T4,-0.13873519,-0.42435056079337874,0.28561537079337873,154.89
A073_1,A073,T1,0.8751058,0.9745816574893348,-0.09947585748933474,1.0
A073_2,A073,T2,-0.48682293,0.12308895834090698,-0.6099118883409069,66.66
A073_3,A073,T3,-0.018863132,0.12175995628265246,-0.14062308828265246,66.9
A073_4,A073,T4,0.9759681,-0.15039644234845925,1.1263645423484592,140.12
A074_1,A074,T1,1.1391835,0.43956722389406266,0.6996162761059372,1.0
A074_2,A074,T2,-0.16370372,-0.120849396239614,-0.042854323760386004,29.33
A074_3,A074,T3,-0.85258937,-0.44567117892651487,-0.40691819107348515,73.02
A074_4,A074,T4,-1.1428367,-0.7031559331416797,-0.43968076685832025,147.21
A075_1,A075,T1,0.4822121,0.44230239269940885,0.039909707300591124,1.0
A075_2,A075,T2,0.49708104,-0.1107359789616655,0.6078170189616655,28.68
A075_3,A075,T3,-1.5457226,-0.43446447531250815,-1.1112581246874917,71.37
A075_4,A075,T4,-0.5980336,-0.8741202824340614,0.2760866824340613,244.53
A076_1,A076,T1,-0.39436588,-0.3553829876419881,-0.03898289235801189,1.0
A076_2,A076,T2,-0.7679121,-0.8923326539164461,0.12442055391644613,27.3
A076_3,A076,T3,-1.2046329,-1.2499487381624892,0.045315838162489186,74.88
A076_4,A076,T4,-2.5163941,-1.5031096346685149,-1.013284465331485,149.28
A077_1,A077,T1,1.257486,1.0985496023697303,0.1589363976302698,1.0
A077_2,A077,T2,-0.15718071,0.3253025357478903,-0.4824832457478903,53.88
A077_3,A077,T3,0.254887,0.18713170357612724,0.06775529642387274,78.36
A077_4,A077,T4,0.58986604,-0.0503024045844061,0.640168444584406,149.75
A078_1,A078,T1,0.05510661,0.22734590786439737,-0.17223929786439737,1.0
A078_2,A078,T2,0.07325087,-0.29597738645718435,0.3692282564571844,26.17
A078_3,A078,T3,-1.0537938,-0.6542191096786404,-0.3995746903213596,72.3
A078_4,A078,T4,-1.0697036,-0.897529298338505,-0.17217430166149494,140.08
