composite_ID,UID,test,theta,SE,TSVR_hours
A066_1,A066,1,0.46571386,0.3,1.0
A066_2,A066,2,-0.45289963,0.3,23.35
A066_3,A066,3,-0.92944336,0.3,73.79
A066_4,A066,4,-1.2830758,0.3,164.93
A067_1,A067,1,0.6627066,0.3,1.0
A067_2,A067,2,-1.312235,0.3,29.91
A067_3,A067,3,-1.4752139,0.3,73.19
A067_4,A067,4,-1.1757759,0.3,144.19
A068_1,A068,1,1.3038205,0.3,1.0
A068_2,A068,2,0.163223,0.3,30.49
A068_3,A068,3,0.4192529,0.3,82.98
A068_4,A068,4,-0.3906647,0.3,155.59
A069_1,A069,1,-0.7867887,0.3,1.0
A069_2,A069,2,-1.5067587,0.3,24.96
A069_3,A069,3,-0.71302193,0.3,79.75
A069_4,A069,4,-1.7110198,0.3,140.22
A070_1,A070,1,0.5967721,0.3,1.0
A070_2,A070,2,0.042192243,0.3,24.25
A070_3,A070,3,-0.4347659,0.3,81.92
A070_4,A070,4,-1.0469787,0.3,149.2
A071_1,A071,1,1.1001538,0.3,1.0
A071_2,A071,2,0.40058818,0.3,30.92
A071_3,A071,3,-0.86193055,0.3,79.96
A071_4,A071,4,0.1462163,0.3,153.27
A072_1,A072,1,0.9622242,0.3,1.0
A072_2,A072,2,0.37431285,0.3,33.76
A072_3,A072,3,-0.88631296,0.3,83.54
A072_4,A072,4,-0.13873519,0.3,154.89
A073_1,A073,1,0.8751058,0.3,1.0
A073_2,A073,2,-0.48682293,0.3,66.66
A073_3,A073,3,-0.018863132,0.3,66.9
A073_4,A073,4,0.9759681,0.3,140.12
A074_1,A074,1,1.1391835,0.3,1.0
A074_2,A074,2,-0.16370372,0.3,29.33
A074_3,A074,3,-0.85258937,0.3,73.02
A074_4,A074,4,-1.1428367,0.3,147.21
A075_1,A075,1,0.4822121,0.3,1.0
A075_2,A075,2,0.49708104,0.3,28.68
A075_3,A075,3,-1.5457226,0.3,71.37
A075_4,A075,4,-0.5980336,0.3,244.53
A076_1,A076,1,-0.39436588,0.3,1.0
A076_2,A076,2,-0.7679121,0.3,27.3
A076_3,A076,3,-1.2046329,0.3,74.88
A076_4,A076,4,-2.5163941,0.3,149.28
A077_1,A077,1,1.257486,0.3,1.0
A077_2,A077,2,-0.15718071,0.3,53.88
A077_3,A077,3,0.254887,0.3,78.36
A077_4,A077,4,0.58986604,0.3,149.75
A078_1,A078,1,0.05510661,0.3,1.0
A078_2,A078,2,0.07325087,0.3,26.17
A078_3,A078,3,-1.0537938,0.3,72.3
A078_4,A078,4,-1.0697036,0.3,140.08
A079_1,A079,1,0.49688977,0.3,1.0
A079_2,A079,2,-0.40158516,0.3,26.11
A079_3,A079,3,-0.94553256,0.3,74.0
A079_4,A079,4,-0.9119565,0.3,194.42
A080_1,A080,1,0.35685366,0.3,1.0
A080_2,A080,2,0.34285796,0.3,29.03
A080_3,A080,3,0.31786218,0.3,72.87
A080_4,A080,4,-0.8033879,0.3,145.77
A081_1,A081,1,0.56923956,0.3,1.0
A081_2,A081,2,-0.24241331,0.3,31.39
A081_3,A081,3,0.93472326,0.3,80.13
A081_4,A081,4,0.18450806,0.3,154.53
A082_1,A082,1,0.47511065,0.3,1.0
A082_2,A082,2,1.1720833,0.3,27.97
A082_3,A082,3,0.4018064,0.3,75.71
A082_4,A082,4,-0.08527875,0.3,170.25
A083_1,A083,1,1.9135383,0.3,1.0
A083_2,A083,2,0.9028967,0.3,25.15
A083_3,A083,3,0.21852846,0.3,74.3
A083_4,A083,4,-0.03377411,0.3,144.91
A084_1,A084,1,0.37614724,0.3,1.0
A084_2,A084,2,-0.4066572,0.3,27.25
A084_3,A084,3,0.011830099,0.3,91.97
A084_4,A084,4,-0.024996497,0.3,162.51
A085_1,A085,1,0.29977113,0.3,1.0
A085_2,A085,2,1.7130281,0.3,24.51
A085_3,A085,3,-0.14947924,0.3,71.4
A085_4,A085,4,-0.5059031,0.3,170.65
A086_1,A086,1,0.9054527,0.3,1.0
A086_2,A086,2,-0.35819164,0.3,23.47
A086_3,A086,3,-1.1229844,0.3,145.29
A086_4,A086,4,-1.1456217,0.3,169.55
A087_1,A087,1,1.164813,0.3,1.0
A087_2,A087,2,1.112516,0.3,31.07
A087_3,A087,3,-0.23325346,0.3,72.8
A087_4,A087,4,0.27864328,0.3,144.2
A088_1,A088,1,2.00997,0.3,1.0
A088_2,A088,2,2.599694,0.3,24.25
A088_3,A088,3,0.43418288,0.3,74.91
A088_4,A088,4,1.1879628,0.3,149.93
A089_1,A089,1,1.6034564,0.3,1.0
A089_2,A089,2,0.9674698,0.3,32.14
A089_3,A089,3,0.524776,0.3,79.34
A089_4,A089,4,0.3647498,0.3,146.96
A090_1,A090,1,0.20163605,0.3,1.0
A090_2,A090,2,-0.51139903,0.3,23.54
A090_3,A090,3,-1.5578265,0.3,95.42
A090_4,A090,4,-1.1440647,0.3,144.07
A091_1,A091,1,0.64397514,0.3,1.0
A091_2,A091,2,-0.25296763,0.3,22.2
A091_3,A091,3,-1.0806334,0.3,73.64
A091_4,A091,4,-0.80276793,0.3,142.61
A092_1,A092,1,-0.28513366,0.3,1.0
A092_2,A092,2,-0.78696686,0.3,22.83
A092_3,A092,3,-0.45482323,0.3,71.31
A092_4,A092,4,-1.3833519,0.3,146.16
A093_1,A093,1,0.56161565,0.3,1.0
A093_2,A093,2,0.19028424,0.3,22.09
A093_3,A093,3,0.67098945,0.3,70.22
A093_4,A093,4,0.5149613,0.3,140.95
A094_1,A094,1,-0.70889944,0.3,1.0
A094_2,A094,2,-0.17624284,0.3,22.98
A094_3,A094,3,-1.6861137,0.3,76.21
A094_4,A094,4,-1.1788263,0.3,149.99
A095_1,A095,1,1.5409168,0.3,1.0
A095_2,A095,2,-0.27584857,0.3,29.71
A095_3,A095,3,-0.5608494,0.3,78.76
A095_4,A095,4,-0.7580661,0.3,148.79
A096_1,A096,1,-0.45961466,0.3,1.0
A096_2,A096,2,-1.2598481,0.3,24.49
A096_3,A096,3,-2.12857,0.3,71.19
A096_4,A096,4,-1.4557325,0.3,143.66
A097_1,A097,1,0.24293853,0.3,1.0
A097_2,A097,2,-0.5491651,0.3,24.37
A097_3,A097,3,0.7895957,0.3,70.83
A097_4,A097,4,0.086306766,0.3,144.85
A098_1,A098,1,0.6008492,0.3,1.0
A098_2,A098,2,0.3483601,0.3,25.77
A098_3,A098,3,1.1610224,0.3,78.84
A098_4,A098,4,-0.6924288,0.3,146.29
A099_1,A099,1,1.1219946,0.3,1.0
A099_2,A099,2,1.2483166,0.3,28.75
A099_3,A099,3,-0.21441267,0.3,78.57
A099_4,A099,4,0.8498486,0.3,143.51
A100_1,A100,1,-0.06985861,0.3,1.0
A100_2,A100,2,0.79101294,0.3,31.14
A100_3,A100,3,0.2661362,0.3,75.34
A100_4,A100,4,0.06164612,0.3,146.8
A101_1,A101,1,-1.0356112,0.3,1.0
A101_2,A101,2,-0.70036155,0.3,29.12
A101_3,A101,3,-1.5118189,0.3,75.21
A101_4,A101,4,-1.1640573,0.3,150.22
A102_1,A102,1,-0.044223346,0.3,1.0
A102_2,A102,2,1.0700971,0.3,29.13
A102_3,A102,3,-0.4782194,0.3,75.27
A102_4,A102,4,-0.5023084,0.3,150.41
A103_1,A103,1,1.7611793,0.3,1.0
A103_2,A103,2,-1.0142955,0.3,27.26
