UID,test,Theta_All,composite_ID,SE_All
A062,3,-0.71933067,A062_3,0.3
A062,4,-0.7851457,A062_4,0.3
A063,1,0.79967636,A063_1,0.3
A063,2,0.92907774,A063_2,0.3
A063,3,0.13805565,A063_3,0.3
A063,4,-0.5937941,A063_4,0.3
A064,1,1.0638402,A064_1,0.3
A064,2,0.552375,A064_2,0.3
A064,3,0.23217492,A064_3,0.3
A064,4,-0.44561276,A064_4,0.3
A065,1,-2.0830104,A065_1,0.3
A065,2,-0.9551515,A065_2,0.3
A065,3,-2.328333,A065_3,0.3
A065,4,-2.4072976,A065_4,0.3
A066,1,0.45707268,A066_1,0.3
A066,2,-0.43946454,A066_2,0.3
A066,3,-1.029803,A066_3,0.3
A066,4,-1.3137078,A066_4,0.3
A067,1,0.56683654,A067_1,0.3
A067,2,-1.3179948,A067_2,0.3
A067,3,-1.4770215,A067_3,0.3
A067,4,-1.151493,A067_4,0.3
A068,1,1.3359032,A068_1,0.3
A068,2,0.15436766,A068_2,0.3
A068,3,0.48587143,A068_3,0.3
A068,4,-0.48925096,A068_4,0.3
A069,1,-0.829367,A069_1,0.3
A069,2,-1.3878288,A069_2,0.3
A069,3,-0.72984815,A069_3,0.3
A069,4,-1.8206128,A069_4,0.3
A070,1,0.769586,A070_1,0.3
A070,2,0.1572754,A070_2,0.3
A070,3,-0.5042026,A070_3,0.3
A070,4,-0.95631814,A070_4,0.3
A071,1,1.0652045,A071_1,0.3
A071,2,0.48838606,A071_2,0.3
A071,3,-0.9492759,A071_3,0.3
A071,4,-0.1431156,A071_4,0.3
A072,1,1.027997,A072_1,0.3
A072,2,0.32470903,A072_2,0.3
A072,3,-0.81482315,A072_3,0.3
A072,4,-0.059671625,A072_4,0.3
A073,1,0.86409956,A073_1,0.3
A073,2,-0.43931562,A073_2,0.3
A073,3,-0.022208666,A073_3,0.3
A073,4,0.87205744,A073_4,0.3
A074,1,1.0114701,A074_1,0.3
A074,2,-0.24984065,A074_2,0.3
A074,3,-0.747433,A074_3,0.3
A074,4,-1.140333,A074_4,0.3
A075,1,0.44177657,A075_1,0.3
A075,2,0.3285573,A075_2,0.3
A075,3,-1.6101103,A075_3,0.3
A075,4,-0.8352746,A075_4,0.3
A076,1,-0.67275023,A076_1,0.3
A076,2,-0.727144,A076_2,0.3
A076,3,-1.2541977,A076_3,0.3
A076,4,-2.3781576,A076_4,0.3
A077,1,1.3315984,A077_1,0.3
A077,2,-0.11370149,A077_2,0.3
A077,3,0.11929927,A077_3,0.3
A077,4,0.52316684,A077_4,0.3
A078,1,-0.0061935056,A078_1,0.3
A078,2,0.12444444,A078_2,0.3
A078,3,-0.9963169,A078_3,0.3
A078,4,-1.1869607,A078_4,0.3
A079,1,0.6048229,A079_1,0.3
A079,2,-0.4433327,A079_2,0.3
A079,3,-0.93676865,A079_3,0.3
A079,4,-1.0450428,A079_4,0.3
A080,1,0.43223232,A080_1,0.3
A080,2,0.37010667,A080_2,0.3
A080,3,0.3817208,A080_3,0.3
A080,4,-0.90022707,A080_4,0.3
A081,1,0.4887913,A081_1,0.3
A081,2,-0.24014655,A081_2,0.3
A081,3,0.9772818,A081_3,0.3
A081,4,0.10074507,A081_4,0.3
A082,1,0.6354628,A082_1,0.3
A082,2,1.2813603,A082_2,0.3
A082,3,0.3645513,A082_3,0.3
A082,4,-0.14756651,A082_4,0.3
A083,1,2.0433524,A083_1,0.3
A083,2,0.7724059,A083_2,0.3
A083,3,0.09424536,A083_3,0.3
A083,4,0.16266367,A083_4,0.3
A084,1,0.47989082,A084_1,0.3
A084,2,-0.43649375,A084_2,0.3
A084,3,-0.059250627,A084_3,0.3
A084,4,-0.1099715,A084_4,0.3
A085,1,0.33109197,A085_1,0.3
A085,2,1.5900961,A085_2,0.3
A085,3,-0.12630741,A085_3,0.3
A085,4,-0.6723888,A085_4,0.3
A086,1,0.8186921,A086_1,0.3
A086,2,-0.21640581,A086_2,0.3
A086,3,-1.16917,A086_3,0.3
A086,4,-1.1372638,A086_4,0.3
A087,1,1.3816087,A087_1,0.3
A087,2,1.0635835,A087_2,0.3
A087,3,-0.1395148,A087_3,0.3
A087,4,0.16794929,A087_4,0.3
A088,1,1.8632618,A088_1,0.3
A088,2,2.5807672,A088_2,0.3
A088,3,0.32591462,A088_3,0.3
A088,4,1.1588811,A088_4,0.3
A089,1,1.8125938,A089_1,0.3
A089,2,0.75797635,A089_2,0.3
A089,3,0.41028813,A089_3,0.3
A089,4,0.27987298,A089_4,0.3
A090,1,0.1034093,A090_1,0.3
A090,2,-0.72142386,A090_2,0.3
A090,3,-1.6217462,A090_3,0.3
A090,4,-1.2131134,A090_4,0.3
A091,1,0.6988087,A091_1,0.3
A091,2,-0.15620911,A091_2,0.3
A091,3,-1.0325363,A091_3,0.3
A091,4,-0.7024124,A091_4,0.3
A092,1,-0.32260948,A092_1,0.3
A092,2,-0.7340102,A092_2,0.3
A092,3,-0.45272446,A092_3,0.3
A092,4,-1.2632616,A092_4,0.3
A093,1,0.6024886,A093_1,0.3
A093,2,-0.0014268106,A093_2,0.3
A093,3,0.5634775,A093_3,0.3
A093,4,0.15537941,A093_4,0.3
A094,1,-0.69553435,A094_1,0.3
A094,2,-0.24276473,A094_2,0.3
A094,3,-1.487862,A094_3,0.3
A094,4,-1.2105786,A094_4,0.3
A095,1,1.4366688,A095_1,0.3
A095,2,-0.23397207,A095_2,0.3
A095,3,-0.56888056,A095_3,0.3
A095,4,-0.7078163,A095_4,0.3
A096,1,-0.5892221,A096_1,0.3
A096,2,-1.3797287,A096_2,0.3
A096,3,-2.293965,A096_3,0.3
A096,4,-1.6194274,A096_4,0.3
A097,1,0.18008272,A097_1,0.3
A097,2,-0.48415625,A097_2,0.3
A097,3,0.58378893,A097_3,0.3
A097,4,0.08374358,A097_4,0.3
A098,1,0.663333,A098_1,0.3
A098,2,0.21510054,A098_2,0.3
A098,3,1.1444161,A098_3,0.3
A098,4,-0.64253545,A098_4,0.3
A099,1,1.1768681,A099_1,0.3
A099,2,1.2528491,A099_2,0.3
A099,3,-0.25637814,A099_3,0.3
A099,4,0.8152229,A099_4,0.3
A100,1,-0.4187039,A100_1,0.3
A100,2,0.8113332,A100_2,0.3
A100,3,0.259828,A100_3,0.3
A100,4,-0.0951726,A100_4,0.3
A101,1,-0.9598389,A101_1,0.3
A101,2,-0.63820314,A101_2,0.3
A101,3,-1.431653,A101_3,0.3
A101,4,-1.3417324,A101_4,0.3
A102,1,0.103330046,A102_1,0.3
A102,2,1.0171475,A102_2,0.3
A102,3,-0.35873887,A102_3,0.3
A102,4,-0.58692485,A102_4,0.3
A103,1,1.7438626,A103_1,0.3
A103,2,-1.037045,A103_2,0.3
A103,3,-1.4360352,A103_3,0.3
A103,4,-1.0292777,A103_4,0.3
A104,1,1.5332297,A104_1,0.3
A104,2,0.168981,A104_2,0.3
A104,3,0.33267602,A104_3,0.3
A104,4,-1.7622573,A104_4,0.3
A105,1,0.6887934,A105_1,0.3
A105,2,0.480079,A105_2,0.3
A105,3,-0.32440555,A105_3,0.3
A105,4,0.23358627,A105_4,0.3
A106,1,1.1178534,A106_1,0.3
A106,2,0.07759142,A106_2,0.3
A106,3,0.4571968,A106_3,0.3
A106,4,0.9707541,A106_4,0.3
A107,1,-0.65584344,A107_1,0.3
A107,2,-1.5684488,A107_2,0.3
A107,3,-1.2029418,A107_3,0.3
A107,4,-1.3889017,A107_4,0.3
A108,1,-0.37231407,A108_1,0.3
A108,2,-1.2308868,A108_2,0.3
A108,3,-0.3885623,A108_3,0.3
A108,4,-1.3180475,A108_4,0.3
A109,1,-0.2409467,A109_1,0.3
A109,2,-1.1081656,A109_2,0.3
A109,3,-0.23239803,A109_3,0.3
A109,4,-1.2565839,A109_4,0.3
