bootstrap_iteration,cohens_d
1722,1.1750376043957154
1723,1.4880615387171932
1724,1.4181978585064354
1725,1.319247161818656
1726,1.4250241471874163
1727,1.4224508197907542
1728,1.2535130324496166
1729,1.2162693309780355
1730,1.1131704728138236
1731,1.4528276675860121
1732,1.34438397583357
1733,1.2195803833273093
1734,1.425567306840411
1735,1.6248604929802961
1736,1.5175835816142254
1737,1.3084867399343738
1738,1.4284206724471915
1739,1.367954409162175
1740,1.286240061458065
1741,1.56154445946988
1742,1.3780150957424382
1743,1.7270834704131717
1744,1.47615598532903
1745,1.1818361042371015
1746,1.415638300959878
1747,1.4461824759221111
1748,1.2182532089288989
1749,1.3219618596425082
1750,1.313107246451696
1751,1.4815508996584414
1752,1.339867204732434
1753,1.4086514681033362
1754,1.2123749781899893
1755,1.2932500084123177
1756,1.45561847692646
1757,1.2946370276855002
1758,1.4428606701506679
1759,1.4298639207921318
1760,1.3317940355497815
1761,1.4759821855134858
1762,1.0681458284898537
1763,1.4585039758041378
1764,1.5839544906442469
1765,1.3694998686773783
1766,1.5973272303251866
1767,1.4825955512128304
1768,1.1651159108078564
1769,1.5136084111548462
1770,1.072754294851419
1771,1.357577138325305
1772,1.4387094709263375
1773,1.4818358377602039
1774,1.196885661678761
1775,1.3783435687780428
1776,1.2620252699295142
1777,1.2815643810268245
1778,1.3680665302356085
1779,1.2117808583373564
1780,1.3397840957144138
1781,1.3000737894453986
1782,1.400233020440633
1783,1.377000586181315
1784,1.397334993820715
1785,1.287284474648707
1786,1.508398587254936
1787,1.3637356373532676
1788,1.5931809225503664
1789,1.338797715556143
1790,1.1069414627751684
1791,1.6017399797945064
1792,1.4766663336837025
1793,1.451900141972938
1794,1.5472087113408974
1795,1.0617449913508175
1796,1.738420980079205
1797,1.3470337029995287
1798,1.5067994331776693
1799,1.073885472721962
1800,1.448645334805376
1801,1.364892545368509
1802,1.1308199975207789
1803,1.556043239478434
1804,1.1217866070370426
1805,1.3209528113654514
1806,1.3780331556548862
1807,1.337506613032665
1808,1.4478564790458128
1809,1.2086096289001915
1810,1.3517345099348435
1811,1.3921792155558943
1812,1.4750781564233761
1813,1.2556781696349881
1814,1.1442482202662845
1815,1.3439173996249958
1816,1.103058858646521
1817,1.1571668011581144
1818,1.7032969439382546
1819,1.1841761457306363
1820,1.2179393102919558
1821,1.3124584419033103
1822,1.4934513143716361
1823,1.0892966088496623
1824,1.247212462337737
1825,1.3285538378743103
1826,1.3207949097222398
1827,1.2062923253064908
1828,1.4741072766168357
1829,1.141968704525279
1830,1.4753422206678075
1831,1.0346819225132413
1832,1.2274307382280216
1833,1.2844859524184378
1834,1.3719903388435775
1835,1.3222344359460334
1836,1.3559286833744195
1837,1.088361028423425
1838,1.875016407634482
1839,1.2117947404063036
1840,1.3664452876523812
1841,1.585429720745107
1842,1.4327016220600792
1843,1.6198282188761235
1844,1.236412776684967
1845,1.4551640306528175
1846,1.66426481489764
1847,1.4488688157929572
1848,1.3249828737833034
1849,1.493712459689538
1850,1.291643065843186
1851,1.387506842033079
1852,1.2101246485833754
1853,1.5092828000132033
1854,1.3571517638455024
1855,1.2953188212492928
1856,1.5019944140438328
1857,1.481851710833068
1858,1.37631638808738
1859,1.5800624798435583
1860,1.2121938930672718
1861,1.266865530498163
1862,1.3339645701257408
