UID,theta_all,theta_what,theta_where,theta_when,beta_age_bivariate_all,beta_age_controlled_all,beta_age_bivariate_what,beta_age_controlled_what,beta_age_bivariate_where,beta_age_controlled_where,beta_age_bivariate_when,beta_age_controlled_when
A027,-0.05787567499999999,-0.12884181,-0.0182978325,-0.323235915,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A028,0.12858346,0.22139514999999999,0.059572887500000005,0.19661717750000002,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A029,1.023111325,0.9213593250000001,1.1396903675,0.11961852,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A030,0.435349075,0.24558417847500003,0.4875274825,-0.55679205,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A031,0.4143596645,0.37680075249999995,0.429686821,0.145862975,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A032,0.7238456824999999,0.758142725,0.707159895,0.52122254425,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A033,0.375180925,0.37015001,0.2342642175,0.3011083025,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A034,0.609261065,0.48516567,0.6394468405,0.671948605,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A035,-0.20200146749999998,-0.10476066425,-0.19300862749999997,-0.1505749725,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A036,-0.05789503249999997,0.017222680500000004,-0.12242224499999999,0.2164744375,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A037,0.6399919475,0.585846746,0.6870282275,0.3835626675,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A038,0.496686178,0.4923451795,0.44869211000000003,0.7115313587500001,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A039,1.19202671,1.0299392925,1.2840031975,0.718996055,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A040,-0.9150132424999999,-0.899793683,-0.8783929349999999,0.015378762499999976,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A041,0.109736675,0.08053174874999999,0.14862563,-0.0373437175,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A042,-0.8263051475000001,-0.576955077,-0.86540437,-0.31882898,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A043,0.4509235725,0.39494527975,0.5016684,-0.0431736925,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A044,-0.891856265,-0.7715998625,-0.894388009,-0.05938452999999999,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A045,-1.07199485,-0.9667633274999999,-1.093600275,0.04784260325000003,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A046,-1.212762325,-1.11812449,-1.107553625,0.019851305,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A047,-1.026090325,-0.9367785799999999,-0.961634685,0.147823975,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A048,0.31380509999999995,0.312800065,0.327545984,0.32969457,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A049,0.4953288965,0.40594605250000004,0.5463939874999999,0.58044347875,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A050,-0.79420681,-0.8558748749999999,-0.684457845,-0.09908123500000003,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A051,-0.03917359749999999,-0.1630602875,0.121827655,-0.29789281749999996,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A052,0.063437571,0.2576208125,-0.13917544739999999,0.16731374999999998,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
