UID,test,location_type,ctt_full_score
A072,T4,source,0.6944444444444444
A073,T1,source,0.9027777777777778
A073,T2,source,0.75
A073,T3,source,0.8888888888888888
A073,T4,source,0.8888888888888888
A074,T1,source,0.9166666666666666
A074,T2,source,0.7777777777777778
A074,T3,source,0.5138888888888888
A074,T4,source,0.5555555555555556
A075,T1,source,0.8888888888888888
A075,T2,source,0.7361111111111112
A075,T3,source,0.375
A075,T4,source,0.4583333333333333
A076,T1,source,0.6527777777777778
A076,T2,source,0.6111111111111112
A076,T3,source,0.3888888888888889
A076,T4,source,0.4583333333333333
A077,T1,source,0.7916666666666666
A077,T2,source,0.7638888888888888
A077,T3,source,0.6805555555555556
A077,T4,source,0.7777777777777778
A078,T1,source,0.6666666666666666
A078,T2,source,0.625
A078,T3,source,0.5277777777777778
A078,T4,source,0.4027777777777778
A079,T1,source,0.6944444444444444
A079,T2,source,0.75
A079,T3,source,0.6388888888888888
A079,T4,source,0.4722222222222222
A080,T1,source,0.8055555555555556
A080,T2,source,0.8194444444444444
A080,T3,source,0.6111111111111112
A080,T4,source,0.4722222222222222
A081,T1,source,0.625
A081,T2,source,0.8194444444444444
A081,T3,source,0.7222222222222222
A081,T4,source,0.5833333333333334
A082,T1,source,0.7638888888888888
A082,T2,source,0.9027777777777778
A082,T3,source,0.9444444444444444
A082,T4,source,0.625
A083,T1,source,1.0
A083,T2,source,0.8333333333333334
A083,T3,source,0.75
A083,T4,source,0.6388888888888888
A084,T1,source,0.7916666666666666
A084,T2,source,0.7083333333333334
A084,T3,source,0.6805555555555556
A084,T4,source,0.5833333333333334
A085,T1,source,0.6666666666666666
A085,T2,source,0.9166666666666666
A085,T3,source,0.75
A085,T4,source,0.4444444444444444
A086,T1,source,0.7638888888888888
A086,T2,source,0.75
A086,T3,source,0.375
A086,T4,source,0.5138888888888888
A087,T1,source,0.7638888888888888
A087,T2,source,0.875
A087,T3,source,0.5694444444444444
A087,T4,source,0.7361111111111112
A088,T1,source,0.9444444444444444
A088,T2,source,0.9583333333333334
A088,T3,source,0.8611111111111112
A088,T4,source,0.9444444444444444
A089,T1,source,0.8611111111111112
A089,T2,source,0.8611111111111112
A089,T3,source,0.7916666666666666
A089,T4,source,0.7777777777777778
A090,T1,source,0.7083333333333334
A090,T2,source,0.7222222222222222
A090,T3,source,0.5
A090,T4,source,0.4166666666666667
A091,T1,source,0.8194444444444444
A091,T2,source,0.6388888888888888
A091,T3,source,0.5416666666666666
A091,T4,source,0.4305555555555556
A092,T1,source,0.6944444444444444
A092,T2,source,0.5555555555555556
A092,T3,source,0.5277777777777778
A092,T4,source,0.5555555555555556
A093,T1,source,0.6388888888888888
A093,T2,source,1.0
A093,T3,source,0.7222222222222222
A093,T4,source,0.8611111111111112
A094,T1,source,0.3888888888888889
A094,T2,source,0.6666666666666666
A094,T3,source,0.4166666666666667
A094,T4,source,0.4027777777777778
A095,T1,source,0.9166666666666666
A095,T2,source,0.8055555555555556
A095,T3,source,0.6805555555555556
A095,T4,source,0.6666666666666666
A096,T1,source,0.5138888888888888
A096,T2,source,0.6944444444444444
A096,T3,source,0.3472222222222222
A096,T4,source,0.2638888888888889
A097,T1,source,0.7222222222222222
A097,T2,source,0.5833333333333334
A097,T3,source,0.7361111111111112
A097,T4,source,0.4722222222222222
A098,T1,source,0.8055555555555556
A098,T2,source,0.5833333333333334
A098,T3,source,0.9166666666666666
A098,T4,source,0.4166666666666667
A099,T1,source,0.8194444444444444
