UID,Total_z,Learning_z,LearningSlope_z,Forgetting_z,Recognition_z,PctRet_z,theta_all
A042,0.2769744428077063,0.4917375350345119,-0.2671224680363547,1.1658269778886063,0.7754425084138362,-0.6726739747384859,-0.8263051475000001
A043,-0.4301943473396284,-0.4724537101311981,-0.339444655233258,-1.42489963964163,0.7754425084138362,1.130301776678628,0.4509235725
A044,0.8662817679304852,-0.4724537101311981,-0.8215925698792809,0.1295363308765118,-0.0239827579921799,0.1644219098480309,-0.891856265
A045,-1.7266704626097422,0.0096419124516568,0.8177103399171965,-0.3886089926295354,-0.8234080243981962,0.4541858698972103,-1.07199485
A046,-0.6659172773887401,1.455928780200222,2.1195097094614583,-0.3886089926295354,-0.0239827579921799,0.6102126176159989,-1.212762325
A047,-1.7266704626097422,-0.9545493327140532,-0.3973024049907808,1.1658269778886063,-0.8234080243981962,-1.874657809016561,-1.026090325
A048,-0.0766099522659611,-1.4366449552969085,-1.0420030451460345,0.1295363308765118,-0.0239827579921799,-1.1234179125927646,0.3138050999999999
A049,-1.0195016724624073,-0.9545493327140532,-0.7940412604709368,0.1295363308765118,0.7754425084138362,-0.0989998720148579,0.4953288965
A050,-1.255224602511519,0.973833157617367,2.8427315814304923,-1.42489963964163,-0.0239827579921799,1.7449526010253704,-0.79420681
A051,-0.9016402074378516,-0.9545493327140532,-0.7940412604709368,-1.42489963964163,-0.0239827579921799,1.7449526010253704,-0.0391735974999999
A052,0.6305588378813737,0.4917375350345119,0.2391328423419693,0.6476816543825591,-0.0239827579921799,-0.429965700509258,0.063437571
A053,0.1591129777831504,-0.4724537101311981,-0.5460794757958394,0.1295363308765118,-0.8234080243981962,0.0034419320429325,0.4583046074999999
A054,0.2769744428077063,0.973833157617367,0.991283589189765,-1.42489963964163,0.7754425084138362,1.650390935741257,1.0196071075
A055,0.0412515127585946,0.4917375350345119,-0.0501559064456444,0.1295363308765118,0.7754425084138362,0.1644219098480309,0.1025602984999999
A056,0.0412515127585946,1.455928780200222,2.1195097094614583,0.6476816543825591,0.7754425084138362,-1.1234179125927646,-0.0719488624999999
A057,0.1591129777831504,0.973833157617367,0.5284215911295828,0.6476816543825591,-0.8234080243981962,-0.318518023567267,-0.51205133
