UID,TEST,Memory_Score,Sleep_Hours_WP,Sleep_Quality_WP,Sleep_Hours_PM,Sleep_Quality_PM
A033,4,0.8571428571428571,0.75,0.0,6.25,0.0
A034,1,0.8571428571428571,-1.25,-0.25,7.25,0.25
A034,2,0.7142857142857143,0.75,-0.25,7.25,0.25
A034,3,0.7142857142857143,-0.25,0.25,7.25,0.25
A034,4,0.7142857142857143,0.75,0.25,7.25,0.25
A035,1,1.0,-0.25,-0.25,7.25,-0.25
A035,2,0.8571428571428571,-0.25,-0.25,7.25,-0.25
A035,3,0.8571428571428571,-0.25,0.25,7.25,-0.25
A035,4,0.5714285714285714,0.75,0.25,7.25,-0.25
A036,1,0.8571428571428571,0.25,-0.5,7.75,0.0
A036,2,0.8571428571428571,-0.75,-0.5,7.75,0.0
A036,3,0.9285714285714286,-0.75,0.5,7.75,0.0
A036,4,0.8571428571428571,1.25,0.5,7.75,0.0
A037,1,1.0,-1.5,-0.25,9.5,-0.25
A037,2,1.0,-0.5,0.25,9.5,-0.25
A037,3,0.7142857142857143,0.5,-0.25,9.5,-0.25
A037,4,0.7142857142857143,1.5,0.25,9.5,-0.25
A038,1,1.0,-2.25,-0.625,7.25,-0.375
A038,2,1.0,-0.25,-0.125,7.25,-0.375
A038,3,0.8571428571428571,-0.25,-0.125,7.25,-0.375
A038,4,0.7142857142857143,2.75,0.875,7.25,-0.375
A039,1,1.0,0.75,0.0,7.25,0.0
A039,2,1.0,0.75,0.5,7.25,0.0
A039,3,0.7142857142857143,-1.25,-0.5,7.25,0.0
A039,4,0.8571428571428571,-0.25,0.0,7.25,0.0
A040,1,0.7142857142857143,0.25,0.125,6.75,-0.125
A040,2,0.8571428571428571,0.25,0.125,6.75,-0.125
A040,3,0.4285714285714285,0.25,0.125,6.75,-0.125
A040,4,0.5714285714285714,-0.75,-0.375,6.75,-0.125
A041,1,1.0,0.25,0.0,7.75,0.0
A041,2,0.8571428571428571,0.25,0.0,7.75,0.0
A041,3,0.8571428571428571,0.25,0.0,7.75,0.0
A041,4,0.7142857142857143,-0.75,0.0,7.75,0.0
A042,1,0.5714285714285714,-0.5,-0.25,5.5,-0.25
A042,2,1.0,-0.5,0.25,5.5,-0.25
A042,3,0.8571428571428571,1.5,0.25,5.5,-0.25
A042,4,0.5714285714285714,-0.5,-0.25,5.5,-0.25
A043,1,0.8571428571428571,0.0,0.375,7.0,-0.375
A043,2,0.8571428571428571,0.0,-0.125,7.0,-0.375
A043,3,0.8571428571428571,0.0,-0.125,7.0,-0.375
A043,4,0.8571428571428571,0.0,-0.125,7.0,-0.375
A044,1,1.0,-0.5,-0.125,7.5,0.125
A044,2,0.5714285714285714,0.5,0.375,7.5,0.125
A044,3,0.5714285714285714,-0.5,-0.125,7.5,0.125
A044,4,0.4285714285714285,0.5,-0.125,7.5,0.125
A045,1,1.0,0.25,0.25,7.75,-0.25
A045,2,0.8571428571428571,0.25,0.25,7.75,-0.25
A045,3,0.8571428571428571,-1.75,-0.25,7.75,-0.25
A045,4,0.5714285714285714,1.25,-0.25,7.75,-0.25
A046,1,0.5714285714285714,-0.75,-0.125,7.75,0.125
A046,2,0.7142857142857143,0.25,-0.125,7.75,0.125
A046,3,0.7142857142857143,0.25,0.375,7.75,0.125
A046,4,0.7142857142857143,0.25,-0.125,7.75,0.125
A047,1,0.8571428571428571,-1.25,-0.625,7.25,0.125
A047,2,0.5714285714285714,-0.25,-0.125,7.25,0.125
A047,3,0.7142857142857143,-0.25,-0.125,7.25,0.125
A047,4,0.2857142857142857,1.75,0.875,7.25,0.125
A048,1,1.0,0.5,0.0,7.5,0.0
A048,2,0.5714285714285714,-0.5,0.0,7.5,0.0
A048,3,0.8571428571428571,-0.5,0.0,7.5,0.0
A048,4,0.8571428571428571,0.5,0.0,7.5,0.0
A049,1,1.0,0.0,-0.25,6.0,-0.25
A049,2,0.8571428571428571,-2.0,-0.75,6.0,-0.25
A049,3,1.0,1.0,0.75,6.0,-0.25
A049,4,0.8571428571428571,1.0,0.25,6.0,-0.25
A050,1,0.5714285714285714,-0.25,0.125,7.25,-0.125
A050,2,0.4285714285714285,-0.25,0.125,7.25,-0.125
A050,3,0.5714285714285714,-0.25,-0.375,7.25,-0.125
A050,4,0.7142857142857143,0.75,0.125,7.25,-0.125
A051,1,1.0,0.25,0.0,7.75,0.0
A051,2,0.7142857142857143,0.25,0.0,7.75,0.0
A051,3,0.5714285714285714,1.25,0.5,7.75,0.0
A051,4,0.4285714285714285,-1.75,-0.5,7.75,0.0
A052,1,1.0,1.0,-0.25,8.0,-0.25
A052,2,0.8571428571428571,-2.0,-0.75,8.0,-0.25
A052,3,1.0,1.0,0.75,8.0,-0.25
A052,4,1.0,0.0,0.25,8.0,-0.25
A053,1,1.0,0.0,0.25,8.0,0.25
A053,2,1.0,0.0,-0.25,8.0,0.25
A053,3,0.7142857142857143,0.0,0.25,8.0,0.25
A053,4,1.0,0.0,-0.25,8.0,0.25
A054,1,0.8571428571428571,0.25,0.0,7.75,0.0
A054,2,0.8571428571428571,0.25,0.0,7.75,0.0
A054,3,1.0,-0.75,0.0,7.75,0.0
A054,4,0.8571428571428571,0.25,0.0,7.75,0.0
A055,1,1.0,-0.75,-0.375,5.75,-0.625
A055,2,0.8571428571428571,1.25,0.125,5.75,-0.625
A055,3,1.0,1.25,0.625,5.75,-0.625
A055,4,1.0,-1.75,-0.375,5.75,-0.625
A056,1,0.8571428571428571,-0.5,0.0,8.5,0.5
A056,2,1.0,0.5,0.5,8.5,0.5
A056,3,0.7142857142857143,0.5,-0.5,8.5,0.5
A056,4,0.8571428571428571,-0.5,0.0,8.5,0.5
A057,1,1.0,-0.25,0.0,10.25,0.0
A057,2,0.8571428571428571,-0.25,0.0,10.25,0.0
A057,3,0.8571428571428571,0.75,0.0,10.25,0.0
A057,4,1.0,-0.25,0.0,10.25,0.0
A058,1,0.8571428571428571,-0.5,0.0,6.5,0.0
A058,2,0.8571428571428571,1.5,0.5,6.5,0.0
A058,3,1.0,0.5,0.0,6.5,0.0
A058,4,0.7142857142857143,-1.5,-0.5,6.5,0.0
A059,1,1.0,-0.5,0.0,7.5,0.0
A059,2,1.0,-0.5,0.0,7.5,0.0
A059,3,1.0,0.5,0.0,7.5,0.0
A059,4,1.0,0.5,0.0,7.5,0.0
A060,1,0.7142857142857143,-0.5,-0.375,7.5,-0.125
A060,2,1.0,0.5,0.625,7.5,-0.125
A060,3,0.7142857142857143,0.5,-0.375,7.5,-0.125
A060,4,0.7142857142857143,-0.5,0.125,7.5,-0.125
A061,1,1.0,0.5,0.375,5.5,-0.375
A061,2,0.8571428571428571,-0.5,-0.125,5.5,-0.375
A061,3,0.7142857142857143,-0.5,-0.125,5.5,-0.375
A061,4,0.8571428571428571,0.5,-0.125,5.5,-0.375
A062,1,1.0,0.25,0.375,6.75,0.125
A062,2,0.8571428571428571,0.25,-0.125,6.75,0.125
A062,3,0.7142857142857143,0.25,-0.125,6.75,0.125
A062,4,0.8571428571428571,-0.75,-0.125,6.75,0.125
A063,1,1.0,-0.25,-1.125,8.25,0.125
A063,2,0.7142857142857143,-0.25,0.375,8.25,0.125
A063,3,1.0,-0.25,-0.125,8.25,0.125
A063,4,0.8571428571428571,0.75,0.875,8.25,0.125
A064,1,1.0,-1.25,-0.25,5.25,0.25
A064,2,0.8571428571428571,-0.25,-0.25,5.25,0.25
A064,3,1.0,1.75,0.75,5.25,0.25
A064,4,0.8571428571428571,-0.25,-0.25,5.25,0.25
A065,1,0.5714285714285714,0.5,0.125,5.5,-0.625
A065,2,0.4285714285714285,-0.5,-0.375,5.5,-0.625
A065,3,0.5714285714285714,-0.5,0.125,5.5,-0.625
A065,4,0.4285714285714285,0.5,0.125,5.5,-0.625
A066,1,1.0,-0.5,-0.125,7.5,0.125
A066,2,0.7142857142857143,1.5,0.375,7.5,0.125
A066,3,0.7142857142857143,-0.5,-0.125,7.5,0.125
A066,4,0.4285714285714285,-0.5,-0.125,7.5,0.125
A067,1,1.0,0.75,0.25,5.25,-0.25
A067,2,0.8571428571428571,0.75,0.25,5.25,-0.25
A067,3,0.8571428571428571,-2.25,-0.75,5.25,-0.25
A067,4,0.8571428571428571,0.75,0.25,5.25,-0.25
A068,1,1.0,-0.75,0.0,6.75,0.0
A068,2,0.8571428571428571,0.25,0.0,6.75,0.0
A068,3,0.8571428571428571,0.25,0.0,6.75,0.0
A068,4,0.7142857142857143,0.25,0.0,6.75,0.0
A069,1,1.0,-0.5,0.0,6.5,0.0
A069,2,0.8571428571428571,-0.5,0.0,6.5,0.0
A069,3,0.7142857142857143,0.5,0.0,6.5,0.0
A069,4,0.5714285714285714,0.5,0.0,6.5,0.0
A070,1,1.0,-0.5,0.0,6.5,0.0
A070,2,1.0,-0.5,0.0,6.5,0.0
A070,3,0.7142857142857143,-0.5,-0.5,6.5,0.0
A070,4,0.8571428571428571,1.5,0.5,6.5,0.0
A071,1,0.8571428571428571,-0.5,-0.125,7.5,0.125
A071,2,1.0,-1.5,-0.625,7.5,0.125
A071,3,0.8571428571428571,0.5,0.375,7.5,0.125
A071,4,0.8571428571428571,1.5,0.375,7.5,0.125
A072,1,1.0,-1.0,-0.375,6.0,-0.125
A072,2,0.5714285714285714,0.0,0.125,6.0,-0.125
A072,3,0.5714285714285714,1.0,0.125,6.0,-0.125
A072,4,0.7142857142857143,0.0,0.125,6.0,-0.125
A073,1,1.0,-1.5,-0.25,6.5,0.25
A073,2,0.7142857142857143,-0.5,-0.25,6.5,0.25
A073,3,0.7142857142857143,0.5,0.25,6.5,0.25
A073,4,0.8571428571428571,1.5,0.25,6.5,0.25
A074,1,0.7142857142857143,-0.25,0.0,7.25,0.0
A074,2,0.7142857142857143,0.75,0.0,7.25,0.0
A074,3,0.5714285714285714,-0.25,0.0,7.25,0.0
A074,4,0.7142857142857143,-0.25,0.0,7.25,0.0
A075,1,0.7142857142857143,-4.5,-0.625,6.5,-0.375
A075,2,0.8571428571428571,3.5,0.875,6.5,-0.375
A075,3,0.7142857142857143,1.5,-0.125,6.5,-0.375
A075,4,0.7142857142857143,-0.5,-0.125,6.5,-0.375
A076,1,0.5714285714285714,1.5,0.875,6.5,-0.375
A076,2,0.8571428571428571,-0.5,-0.625,6.5,-0.375
A076,3,0.5714285714285714,-0.5,-0.125,6.5,-0.375
A076,4,0.2857142857142857,-0.5,-0.125,6.5,-0.375
A077,1,1.0,0.25,0.0,6.75,0.0
A077,2,1.0,-0.75,0.0,6.75,0.0
A077,3,1.0,0.25,0.0,6.75,0.0
A077,4,0.8571428571428571,0.25,0.0,6.75,0.0
A078,1,0.8571428571428571,-0.25,-0.125,7.25,0.125
A078,2,0.8571428571428571,-0.25,-0.125,7.25,0.125
A078,3,0.7142857142857143,-0.25,-0.125,7.25,0.125
A078,4,0.7142857142857143,0.75,0.375,7.25,0.125
A079,1,0.7142857142857143,0.25,0.0,5.75,0.0
A079,2,0.5714285714285714,0.25,-0.5,5.75,0.0
A079,3,0.7142857142857143,0.25,1.0,5.75,0.0
A079,4,0.5714285714285714,-0.75,-0.5,5.75,0.0
A080,1,0.8571428571428571,-0.5,0.0,7.5,0.5
A080,2,0.8571428571428571,0.5,0.0,7.5,0.5
A080,3,1.0,-0.5,0.0,7.5,0.5
A080,4,0.7142857142857143,0.5,0.0,7.5,0.5
A081,1,1.0,0.75,0.25,6.25,-0.25
A081,2,0.5714285714285714,-0.25,-0.75,6.25,-0.25
A081,3,0.8571428571428571,-0.25,0.25,6.25,-0.25
A081,4,0.8571428571428571,-0.25,0.25,6.25,-0.25
A082,1,1.0,0.25,0.375,6.75,0.125
A082,2,1.0,-1.75,-0.125,6.75,0.125
A082,3,0.8571428571428571,1.25,-0.625,6.75,0.125
A082,4,1.0,0.25,0.375,6.75,0.125
A083,1,1.0,-1.0,0.125,7.0,0.375
A083,2,0.8571428571428571,0.0,0.125,7.0,0.375
A083,3,0.7142857142857143,0.0,-0.375,7.0,0.375
A083,4,0.7142857142857143,1.0,0.125,7.0,0.375
A084,1,0.8571428571428571,0.5,-0.125,6.5,-0.375
A084,2,0.7142857142857143,0.5,0.375,6.5,-0.375
A084,3,0.8571428571428571,0.5,0.375,6.5,-0.375
A084,4,0.7142857142857143,-1.5,-0.625,6.5,-0.375
A085,1,1.0,0.75,0.75,7.25,0.25
A085,2,1.0,-0.25,0.25,7.25,0.25
A085,3,0.7142857142857143,-0.25,-0.25,7.25,0.25
A085,4,0.7142857142857143,-0.25,-0.75,7.25,0.25
A086,1,1.0,0.25,0.0,7.75,0.0
A086,2,0.5714285714285714,-0.75,0.0,7.75,0.0
A086,3,0.5714285714285714,0.25,0.0,7.75,0.0
A086,4,0.5714285714285714,0.25,0.0,7.75,0.0
A087,1,1.0,-0.5,0.0,5.5,0.0
A087,2,0.8571428571428571,0.5,0.0,5.5,0.0
A087,3,0.5714285714285714,0.5,0.0,5.5,0.0
A087,4,1.0,-0.5,0.0,5.5,0.0
A088,1,0.8571428571428571,-0.25,-0.125,7.25,0.125
A088,2,1.0,-1.25,-0.125,7.25,0.125
A088,3,0.8571428571428571,0.75,0.375,7.25,0.125
A088,4,0.8571428571428571,0.75,-0.125,7.25,0.125
A089,1,1.0,-1.25,-0.125,8.25,0.125
A089,2,0.7142857142857143,0.75,0.375,8.25,0.125
A089,3,1.0,-0.25,-0.125,8.25,0.125
A089,4,0.8571428571428571,0.75,-0.125,8.25,0.125
A090,1,0.8571428571428571,0.25,0.5,5.75,-0.5
A090,2,0.5714285714285714,1.25,0.0,5.75,-0.5
A090,3,0.2857142857142857,0.25,0.0,5.75,-0.5
A090,4,0.5714285714285714,-1.75,-0.5,5.75,-0.5
A091,1,0.8571428571428571,-0.5,0.125,8.5,0.375
A091,2,0.5714285714285714,0.5,-0.375,8.5,0.375
A091,3,0.7142857142857143,0.5,-0.375,8.5,0.375
A091,4,0.8571428571428571,-0.5,0.625,8.5,0.375
A092,1,0.8571428571428571,-0.25,-0.5,6.25,0.0
A092,2,1.0,-0.25,0.0,6.25,0.0
A092,3,0.8571428571428571,-0.25,0.0,6.25,0.0
A092,4,0.5714285714285714,0.75,0.5,6.25,0.0
A093,1,0.8571428571428571,0.0,0.0,7.0,0.0
A093,2,0.5714285714285714,0.0,0.0,7.0,0.0
A093,3,1.0,0.0,0.0,7.0,0.0
A093,4,0.7142857142857143,0.0,0.0,7.0,0.0
A094,1,0.8571428571428571,2.0,1.0,6.0,0.0
A094,2,0.7142857142857143,-2.0,-1.0,6.0,0.0
A094,3,0.7142857142857143,2.0,1.0,6.0,0.0
A094,4,0.7142857142857143,-2.0,-1.0,6.0,0.0
A095,1,1.0,0.25,0.125,5.75,-0.125
A095,2,0.5714285714285714,1.25,0.625,5.75,-0.125
A095,3,0.8571428571428571,0.25,0.125,5.75,-0.125
A095,4,0.8571428571428571,-1.75,-0.875,5.75,-0.125
A096,1,0.7142857142857143,0.0,0.5,7.0,0.5
A096,2,0.2857142857142857,-1.0,-0.5,7.0,0.5
A096,3,0.4285714285714285,1.0,0.5,7.0,0.5
A096,4,0.5714285714285714,0.0,-0.5,7.0,0.5
A097,1,1.0,-0.5,-0.875,8.5,0.375
A097,2,0.7142857142857143,-0.5,-0.375,8.5,0.375
A097,3,1.0,0.5,0.625,8.5,0.375
A097,4,1.0,0.5,0.625,8.5,0.375
A098,1,0.8571428571428571,-0.75,-0.25,6.75,-0.25
A098,2,0.8571428571428571,0.25,-0.25,6.75,-0.25
A098,3,0.8571428571428571,0.25,0.25,6.75,-0.25
A098,4,1.0,0.25,0.25,6.75,-0.25
A099,1,1.0,-1.25,-0.5,6.25,0.0
A099,2,0.8571428571428571,-0.25,0.0,6.25,0.0
A099,3,0.4285714285714285,0.75,0.5,6.25,0.0
A099,4,0.7142857142857143,0.75,0.0,6.25,0.0
A100,1,0.4285714285714285,0.75,0.0,6.25,0.0
A100,2,1.0,-0.25,0.0,6.25,0.0
A100,3,1.0,-0.25,0.0,6.25,0.0
A100,4,0.8571428571428571,-0.25,0.0,6.25,0.0
A101,1,0.4285714285714285,-0.5,0.0,7.5,0.5
A101,2,0.7142857142857143,0.5,0.0,7.5,0.5
A101,3,0.5714285714285714,-0.5,0.0,7.5,0.5
A101,4,0.4285714285714285,0.5,0.0,7.5,0.5
A102,1,1.0,0.0,0.25,8.0,0.25
A102,2,1.0,0.0,-0.25,8.0,0.25
A102,3,0.8571428571428571,0.0,0.25,8.0,0.25
A102,4,0.7142857142857143,0.0,-0.25,8.0,0.25
A103,1,1.0,-0.25,-0.75,8.25,-0.25
A103,2,0.8571428571428571,1.75,0.25,8.25,-0.25
A103,3,0.5714285714285714,-1.25,-0.25,8.25,-0.25
A103,4,0.7142857142857143,-0.25,0.75,8.25,-0.25
A104,1,1.0,-1.25,-0.375,6.25,-0.125
A104,2,0.7142857142857143,0.75,0.125,6.25,-0.125
A104,3,1.0,0.75,0.125,6.25,-0.125
A104,4,0.5714285714285714,-0.25,0.125,6.25,-0.125
A105,1,0.8571428571428571,-0.75,-0.375,5.75,-0.125
A105,2,0.5714285714285714,0.25,0.125,5.75,-0.125
A105,3,0.8571428571428571,-0.75,0.125,5.75,-0.125
A105,4,1.0,1.25,0.125,5.75,-0.125
A106,1,1.0,0.25,-0.125,7.75,0.125
A106,2,1.0,-0.75,-0.125,7.75,0.125
A106,3,0.8571428571428571,1.25,0.375,7.75,0.125
A106,4,1.0,-0.75,-0.125,7.75,0.125
A107,1,0.8571428571428571,1.5,0.25,6.5,-0.25
A107,2,0.7142857142857143,-1.5,-0.75,6.5,-0.25
A107,3,0.2857142857142857,-0.5,-0.25,6.5,-0.25
A107,4,0.5714285714285714,0.5,0.75,6.5,-0.25
A108,1,0.7142857142857143,-0.25,-0.125,7.25,0.125
A108,2,0.4285714285714285,-0.25,-0.125,7.25,0.125
A108,3,0.5714285714285714,-0.25,0.375,7.25,0.125
A108,4,0.7142857142857143,0.75,-0.125,7.25,0.125
A109,1,0.7142857142857143,0.25,0.0,6.75,0.0
A109,2,0.7142857142857143,0.25,0.0,6.75,0.0
A109,3,0.7142857142857143,0.25,0.0,6.75,0.0
A109,4,0.7142857142857143,-0.75,0.0,6.75,0.0
