UID,TEST,Memory_Score
A058,3,1.0
A058,4,0.7142857142857143
A059,1,1.0
A059,2,1.0
A059,3,1.0
A059,4,1.0
A060,1,0.7142857142857143
A060,2,1.0
A060,3,0.7142857142857143
A060,4,0.7142857142857143
A061,1,1.0
A061,2,0.8571428571428571
A061,3,0.7142857142857143
A061,4,0.8571428571428571
A062,1,1.0
A062,2,0.8571428571428571
A062,3,0.7142857142857143
A062,4,0.8571428571428571
A063,1,1.0
A063,2,0.7142857142857143
A063,3,1.0
A063,4,0.8571428571428571
A064,1,1.0
A064,2,0.8571428571428571
A064,3,1.0
A064,4,0.8571428571428571
A065,1,0.5714285714285714
A065,2,0.42857142857142855
A065,3,0.5714285714285714
A065,4,0.42857142857142855
A066,1,1.0
A066,2,0.7142857142857143
A066,3,0.7142857142857143
A066,4,0.42857142857142855
A067,1,1.0
A067,2,0.8571428571428571
A067,3,0.8571428571428571
A067,4,0.8571428571428571
A068,1,1.0
A068,2,0.8571428571428571
A068,3,0.8571428571428571
A068,4,0.7142857142857143
A069,1,1.0
A069,2,0.8571428571428571
A069,3,0.7142857142857143
A069,4,0.5714285714285714
A070,1,1.0
A070,2,1.0
A070,3,0.7142857142857143
A070,4,0.8571428571428571
A071,1,0.8571428571428571
A071,2,1.0
A071,3,0.8571428571428571
A071,4,0.8571428571428571
A072,1,1.0
A072,2,0.5714285714285714
A072,3,0.5714285714285714
A072,4,0.7142857142857143
A073,1,1.0
A073,2,0.7142857142857143
A073,3,0.7142857142857143
A073,4,0.8571428571428571
A074,1,0.7142857142857143
A074,2,0.7142857142857143
A074,3,0.5714285714285714
A074,4,0.7142857142857143
A075,1,0.7142857142857143
A075,2,0.8571428571428571
A075,3,0.7142857142857143
A075,4,0.7142857142857143
A076,1,0.5714285714285714
A076,2,0.8571428571428571
A076,3,0.5714285714285714
A076,4,0.2857142857142857
A077,1,1.0
A077,2,1.0
A077,3,1.0
A077,4,0.8571428571428571
A078,1,0.8571428571428571
A078,2,0.8571428571428571
A078,3,0.7142857142857143
A078,4,0.7142857142857143
A079,1,0.7142857142857143
A079,2,0.5714285714285714
A079,3,0.7142857142857143
A079,4,0.5714285714285714
A080,1,0.8571428571428571
A080,2,0.8571428571428571
A080,3,1.0
A080,4,0.7142857142857143
A081,1,1.0
A081,2,0.5714285714285714
A081,3,0.8571428571428571
A081,4,0.8571428571428571
A082,1,1.0
A082,2,1.0
A082,3,0.8571428571428571
A082,4,1.0
A083,1,1.0
A083,2,0.8571428571428571
A083,3,0.7142857142857143
A083,4,0.7142857142857143
A084,1,0.8571428571428571
A084,2,0.7142857142857143
A084,3,0.8571428571428571
A084,4,0.7142857142857143
A085,1,1.0
A085,2,1.0
A085,3,0.7142857142857143
A085,4,0.7142857142857143
A086,1,1.0
A086,2,0.5714285714285714
A086,3,0.5714285714285714
A086,4,0.5714285714285714
A087,1,1.0
A087,2,0.8571428571428571
A087,3,0.5714285714285714
A087,4,1.0
A088,1,0.8571428571428571
A088,2,1.0
A088,3,0.8571428571428571
A088,4,0.8571428571428571
A089,1,1.0
A089,2,0.7142857142857143
A089,3,1.0
A089,4,0.8571428571428571
A090,1,0.8571428571428571
A090,2,0.5714285714285714
A090,3,0.2857142857142857
A090,4,0.5714285714285714
A091,1,0.8571428571428571
A091,2,0.5714285714285714
A091,3,0.7142857142857143
A091,4,0.8571428571428571
A092,1,0.8571428571428571
A092,2,1.0
A092,3,0.8571428571428571
A092,4,0.5714285714285714
A093,1,0.8571428571428571
A093,2,0.5714285714285714
A093,3,1.0
A093,4,0.7142857142857143
A094,1,0.8571428571428571
A094,2,0.7142857142857143
A094,3,0.7142857142857143
A094,4,0.7142857142857143
A095,1,1.0
A095,2,0.5714285714285714
A095,3,0.8571428571428571
A095,4,0.8571428571428571
A096,1,0.7142857142857143
A096,2,0.2857142857142857
A096,3,0.42857142857142855
A096,4,0.5714285714285714
A097,1,1.0
A097,2,0.7142857142857143
A097,3,1.0
A097,4,1.0
A098,1,0.8571428571428571
A098,2,0.8571428571428571
A098,3,0.8571428571428571
A098,4,1.0
A099,1,1.0
A099,2,0.8571428571428571
A099,3,0.42857142857142855
A099,4,0.7142857142857143
A100,1,0.42857142857142855
A100,2,1.0
A100,3,1.0
A100,4,0.8571428571428571
A101,1,0.42857142857142855
A101,2,0.7142857142857143
A101,3,0.5714285714285714
A101,4,0.42857142857142855
A102,1,1.0
A102,2,1.0
A102,3,0.8571428571428571
A102,4,0.7142857142857143
A103,1,1.0
A103,2,0.8571428571428571
A103,3,0.5714285714285714
A103,4,0.7142857142857143
A104,1,1.0
A104,2,0.7142857142857143
A104,3,1.0
A104,4,0.5714285714285714
A105,1,0.8571428571428571
A105,2,0.5714285714285714
A105,3,0.8571428571428571
A105,4,1.0
A106,1,1.0
A106,2,1.0
A106,3,0.8571428571428571
A106,4,1.0
A107,1,0.8571428571428571
A107,2,0.7142857142857143
A107,3,0.2857142857142857
A107,4,0.5714285714285714
A108,1,0.7142857142857143
A108,2,0.42857142857142855
A108,3,0.5714285714285714
A108,4,0.7142857142857143
A109,1,0.7142857142857143
A109,2,0.7142857142857143
A109,3,0.7142857142857143
A109,4,0.7142857142857143
